Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Diag. parasit.
Período:2018
"Município Resid";"Ign/Branco";"Positivo";"Negativo";"Não realizado";"Total"
"291390 Ipiaú";-;-;-;1;1
"291400 Ipirá";-;-;-;1;1
"291430 Iramaia";1;-;-;-;1
"291440 Iraquara";2;-;-;5;7
"291450 Irará";-;-;-;1;1
"291460 Irecê";2;1;1;5;9
"291470 Itaberaba";-;1;-;1;2
"291500 Itaeté";-;-;-;1;1
"291535 Itaguaçu da Bahia";-;-;1;1;2
"291610 Itaparica";-;-;-;2;2
"291640 Itapetinga";-;-;-;2;2
"291650 Itapicuru";-;2;-;-;2
"291720 Ituaçu";-;-;-;1;1
"291733 Iuiú";-;-;1;2;3
"291740 Jacaraci";-;-;1;2;3
"291750 Jacobina";-;-;-;2;2
"291770 Jaguarari";-;-;-;1;1
"291800 Jequié";8;2;1;8;19
"291835 João Dourado";-;-;-;4;4
"291840 Juazeiro";-;-;2;21;23
"291850 Jussara";-;1;1;7;9
"291875 Lagoa Real";-;-;1;-;1
"291880 Laje";-;-;-;1;1
"291910 Lamarão";-;-;-;1;1
"291915 Lapão";-;-;-;3;3
"291920 Lauro de Freitas";-;-;-;1;1
"291930 Lençóis";1;-;-;-;1
"291950 Livramento de Nossa Senhora";1;1;-;3;5
"291955 Luís Eduardo Magalhães";-;-;-;2;2
"291960 Macajuba";-;-;-;1;1
"291980 Macaúbas";-;1;-;3;4
"291990 Macururé";-;-;-;1;1
"292020 Malhada";-;1;2;2;5
"292040 Manoel Vitorino";-;-;-;2;2
"292060 Maragogipe";-;1;1;1;3
"292080 Marcionílio Souza";-;-;-;2;2
"292100 Mata de São João";-;-;-;2;2
"292105 Matina";-;-;-;1;1
"292120 Miguel Calmon";1;-;-;5;6
"292140 Mirangaba";-;-;-;1;1
"292160 Morpará";-;-;-;1;1
"292170 Morro do Chapéu";-;1;-;5;6
"292200 Mucuri";-;-;-;1;1
"292205 Mulungu do Morro";-;-;-;1;1
"292225 Muquém de São Francisco";1;-;-;-;1
"292230 Muritiba";-;-;1;-;1
"292240 Mutuípe";-;-;-;1;1
"292265 Nordestina";1;-;-;1;2
"292280 Nova Itarana";1;-;-;1;2
"292290 Nova Soure";-;-;-;1;1
"292303 Novo Horizonte";-;-;-;5;5
"292310 Olindina";2;1;-;-;3
"292320 Oliveira dos Brejinhos";-;-;1;2;3
"292335 Ourolândia";-;1;-;-;1
"292340 Palmas de Monte Alto";-;-;-;2;2
"292350 Palmeiras";-;-;2;3;5
"292360 Paramirim";-;1;-;-;1
"292370 Paratinga";-;1;-;-;1
"292400 Paulo Afonso";1;-;-;-;1
"292405 Pé de Serra";1;-;-;1;2
"292410 Pedrão";-;-;-;1;1
"292420 Pedro Alexandre";1;-;-;1;2
"292430 Piatã";1;-;-;-;1
"292465 Pintadas";-;-;-;1;1
"292530 Porto Seguro";-;-;1;-;1
"292550 Prado";-;-;-;1;1
"292560 Presidente Dutra";-;-;-;5;5
"292580 Queimadas";-;2;-;-;2
"292590 Quijingue";1;-;-;1;2
"292620 Riachão das Neves";-;1;-;3;4
"292630 Riachão do Jacuípe";-;1;-;1;2
"292640 Riacho de Santana";-;-;-;1;1
"292660 Ribeira do Pombal";-;-;-;1;1
"292670 Rio de Contas";-;-;-;1;1
"292720 Ruy Barbosa";-;-;-;1;1
"292730 Salinas da Margarida";-;1;-;1;2
"292740 Salvador";-;-;1;17;18
"292750 Santa Bárbara";-;-;2;2;4
"292805 Santa Luzia";-;-;-;1;1
"292810 Santa Maria da Vitória";1;1;-;3;5
"292840 Santa Rita de Cássia";-;-;-;1;1
"292800 Santaluz";-;-;-;2;2
"292820 Santana";1;1;-;2;4
"292860 Santo Amaro";-;1;-;1;2
"292880 Santo Estêvão";1;1;2;5;9
"292890 São Desidério";-;-;-;1;1
"292905 São Félix do Coribe";10;2;11;21;44
"292920 São Francisco do Conde";-;-;-;2;2
"292925 São Gabriel";-;-;-;11;11
"292930 São Gonçalo dos Campos";1;-;-;1;2
"292970 Sátiro Dias";2;-;1;-;3
"292980 Saúde";-;1;-;-;1
"292990 Seabra";-;-;-;2;2
"293000 Sebastião Laranjeiras";-;-;-;2;2
"293020 Sento Sé";-;1;-;4;5
"293015 Serra do Ramalho";-;1;-;1;2
"293040 Serra Preta";-;-;-;1;1
"293050 Serrinha";-;4;1;3;8
"293070 Simões Filho";-;1;-;1;2
"293075 Sítio do Mato";1;-;-;1;2
"293077 Sobradinho";-;-;-;3;3
"293080 Souto Soares";-;-;-;1;1
"293100 Tanhaçu";-;1;-;-;1
"293105 Tanque Novo";-;2;-;6;8
"293110 Tanquinho";-;-;-;1;1
"293150 Teofilândia";1;-;1;3;5
"293190 Tucano";1;4;-;3;8
"293200 Uauá";-;-;-;1;1
"293240 Uibaí";-;1;-;3;4
"293245 Umburanas";-;-;-;1;1
"293260 Urandi";-;1;-;-;1
"293330 Vitória da Conquista";-;2;-;-;2
"293340 Wagner";-;-;-;1;1
"293360 Xique-Xique";-;-;-;9;9
"Total";63;93;59;471;686
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
