Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Regional Ocorr
Período:2020
"Município Resid";"Alagoinhas";"Barreiras";"Boquira";"Brumado";"Caetité";"Cícero Dantas";"Eunápolis";"Feira de Santana";"Guanambi";"Ibotirama";"Irecê";"Itaberaba";"Itapetinga";"Jacobina";"Jequié";"Juazeiro";"Salvador";"Santa Maria da Vitória";"Seabra";"Senhor do Bonfim";"Serrinha";"Vitória da Conquista";"Total"
"290750 Catu";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"290755 Caturama";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290760 Central";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2
"290780 Cícero Dantas";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290790 Cipó";-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"290800 Coaraci";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"290810 Cocos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290820 Conceição da Feira";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290830 Conceição do Almeida";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"290850 Conceição do Jacuípe";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290860 Conde";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"290870 Condeúba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"290890 Coração de Maria";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290910 Coribe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"290930 Correntina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"290940 Cotegipe";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"290960 Crisópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"290990 Curaçá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;5
"291005 Dias d'Ávila";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"290050 Érico Cardoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"291070 Euclides da Cunha";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;5;-;-;-;2;-;8
"291072 Eunápolis";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291077 Feira da Mata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"291080 Feira de Santana";-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
"291110 Formosa do Rio Preto";-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291130 Gentio do Ouro";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2
"291160 Governador Mangabeira";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291170 Guanambi";-;-;-;-;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"291190 Iaçu";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;3
"291200 Ibiassucê";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291240 Ibipeba";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"291250 Ibipitanga";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291290 Ibirataia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"291300 Ibitiara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"291310 Ibititá";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"291360 Ilhéus";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291370 Inhambupe";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;4
"291380 Ipecaetá";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3
"291390 Ipiaú";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"291400 Ipirá";-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;3;-;-;-;-;-;6
"291440 Iraquara";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291460 Irecê";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"291470 Itaberaba";-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;4
"291535 Itaguaçu da Bahia";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;3
"291560 Itamaraju";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291570 Itamari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"291610 Itaparica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"291650 Itapicuru";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"291685 Itatim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"291700 Itiúba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1
"291720 Ituaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"291733 Iuiú";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291735 Jaborandi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1
"291740 Jacaraci";-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"291750 Jacobina";-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;3
"291760 Jaguaquara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"291770 Jaguarari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"291780 Jaguaripe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"291800 Jequié";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;2;-;-;-;-;-;6
"291810 Jeremoabo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"291830 Jitaúna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"291835 João Dourado";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"291840 Juazeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;10
"291850 Jussara";-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;5
"291875 Lagoa Real";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291910 Lamarão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"291915 Lapão";-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;8
"291920 Lauro de Freitas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"291950 Livramento de Nossa Senhora";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"291960 Macajuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"291980 Macaúbas";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;11
"291995 Maetinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"292010 Mairi";-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2
"292020 Malhada";-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292030 Malhada de Pedras";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292050 Maracás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"292060 Maragogipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"292080 Marcionílio Souza";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2
"292100 Mata de São João";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"292120 Miguel Calmon";-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;4
"292140 Mirangaba";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"292145 Mirante";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"292150 Monte Santo";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292160 Morpará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"292170 Morro do Chapéu";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"292225 Muquém de São Francisco";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
"292265 Nordestina";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292285 Nova Redenção";-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;1;-;-;-;-;-;4
"292290 Nova Soure";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292340 Palmas de Monte Alto";-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"292350 Palmeiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"292405 Pé de Serra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"292440 Pilão Arcado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"292450 Pindaí";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292465 Pintadas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292480 Piritiba";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1
"292510 Poções";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292530 Porto Seguro";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292560 Presidente Dutra";-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;3
"292570 Presidente Jânio Quadros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"292580 Queimadas";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292595 Rafael Jambeiro";-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"292600 Remanso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1
"292640 Riacho de Santana";-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"292660 Ribeira do Pombal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"292665 Ribeirão do Largo";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"292670 Rio de Contas";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2
"292680 Rio do Antônio";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292690 Rio do Pires";-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"292730 Salinas da Margarida";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"292740 Salvador";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;3
"292750 Santa Bárbara";-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;1;-;-;-;-;-;5
"292790 Santa Inês";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1
"292810 Santa Maria da Vitória";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292840 Santa Rita de Cássia";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"292800 Santaluz";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"292820 Santana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;3
"292860 Santo Amaro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"292880 Santo Estêvão";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292905 São Félix do Coribe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;3
"292925 São Gabriel";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;2
"292930 São Gonçalo dos Campos";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"292970 Sátiro Dias";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;3
"292975 Saubara";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293010 Senhor do Bonfim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;3
"293020 Sento Sé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2
"293050 Serrinha";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;3;-;5
"293070 Simões Filho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;2
"293080 Souto Soares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;5
"293100 Tanhaçu";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"293105 Tanque Novo";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293150 Teofilândia";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;4
"293170 Terra Nova";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293180 Tremedal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"293190 Tucano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2
"293240 Uibaí";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"293260 Urandi";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"293280 Utinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"293315 Várzea Nova";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1
"293330 Vitória da Conquista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;3
"293360 Xique-Xique";-;-;-;-;-;-;-;1;-;-;16;-;-;-;-;-;1;-;-;-;-;-;18
"Total";4;12;21;8;11;4;1;92;41;3;55;5;1;11;15;25;78;19;8;7;16;16;453
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
