Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Mes Inic.Sintomas
Período:2022
"Município Resid";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"292040 Manoel Vitorino";-;-;-;-;-;-;1;-;-;-;-;-;1
"292050 Maracás";-;-;-;-;-;1;-;-;3;-;-;-;4
"292100 Mata de São João";1;-;-;1;-;-;-;-;-;-;-;-;2
"292120 Miguel Calmon";-;-;-;-;1;-;-;-;-;-;3;-;4
"292145 Mirante";-;-;-;1;-;-;-;2;-;-;-;-;3
"292150 Monte Santo";-;-;-;-;-;-;-;-;-;-;-;1;1
"292160 Morpará";-;-;-;1;-;-;-;-;1;-;-;1;3
"292170 Morro do Chapéu";1;-;-;1;-;-;-;-;-;-;-;-;2
"292190 Mucugê";-;-;-;-;1;-;-;-;-;-;-;-;1
"292200 Mucuri";-;-;-;-;-;-;1;-;-;-;-;-;1
"292205 Mulungu do Morro";-;-;-;1;-;-;-;-;-;-;-;-;1
"292230 Muritiba";-;-;1;-;-;-;-;-;-;-;-;-;1
"292303 Novo Horizonte";-;2;-;-;-;-;-;-;-;-;-;-;2
"292310 Olindina";-;-;-;-;-;-;-;1;-;-;-;-;1
"292340 Palmas de Monte Alto";-;-;-;-;1;-;-;2;-;-;-;-;3
"292350 Palmeiras";-;1;-;-;-;-;-;-;-;-;-;-;1
"292360 Paramirim";-;-;-;-;-;-;-;-;1;-;-;2;3
"292460 Pindobaçu";-;-;-;-;1;-;-;-;-;-;-;-;1
"292480 Piritiba";-;-;1;-;-;-;-;-;-;-;-;-;1
"292500 Planalto";-;-;-;-;-;-;-;1;-;-;-;-;1
"292560 Presidente Dutra";-;-;-;-;-;-;-;-;2;2;-;-;4
"292570 Presidente Jânio Quadros";-;-;-;-;-;-;1;-;-;-;-;-;1
"292580 Queimadas";1;-;-;-;1;1;-;-;1;-;-;-;4
"292590 Quijingue";-;-;1;1;-;-;-;-;-;-;-;-;2
"292595 Rafael Jambeiro";-;-;-;-;1;-;-;-;-;-;-;-;1
"292600 Remanso";1;-;-;-;-;-;-;-;-;-;-;-;1
"292640 Riacho de Santana";-;-;1;-;-;-;-;-;-;-;-;-;1
"292660 Ribeira do Pombal";-;-;1;-;-;-;-;-;-;-;-;-;1
"292680 Rio do Antônio";-;1;-;-;-;-;-;-;-;-;-;-;1
"292700 Rio Real";-;-;1;-;1;-;-;-;-;-;-;-;2
"292710 Rodelas";-;-;-;-;-;-;-;1;-;-;-;-;1
"292720 Ruy Barbosa";-;-;-;-;-;-;-;-;-;1;-;-;1
"292740 Salvador";1;5;2;-;1;3;1;3;1;3;1;1;22
"292750 Santa Bárbara";-;-;-;-;-;1;-;-;2;-;-;-;3
"292810 Santa Maria da Vitória";-;-;-;1;-;-;-;-;-;-;-;-;1
"292840 Santa Rita de Cássia";-;-;-;-;-;-;1;-;-;-;-;-;1
"292800 Santaluz";2;-;-;-;-;-;-;-;1;-;-;-;3
"292820 Santana";1;-;-;-;-;-;-;1;-;-;-;-;2
"292830 Santanópolis";-;1;-;-;2;-;-;1;-;-;-;-;4
"292860 Santo Amaro";-;-;-;-;-;-;-;-;-;-;1;-;1
"292870 Santo Antônio de Jesus";-;-;-;-;-;1;-;-;-;-;-;-;1
"292910 São Felipe";-;-;-;1;1;-;-;1;-;-;-;-;3
"292905 São Félix do Coribe";-;-;-;1;-;-;-;-;-;-;-;-;1
"292925 São Gabriel";-;-;2;1;1;1;-;1;-;1;1;1;9
"292930 São Gonçalo dos Campos";1;-;-;-;1;-;-;-;-;-;-;-;2
"292990 Seabra";-;-;1;-;-;-;2;2;1;-;-;-;6
"293020 Sento Sé";-;1;2;-;2;-;-;-;-;-;-;-;5
"293050 Serrinha";1;-;-;-;-;-;-;-;-;-;-;-;1
"293070 Simões Filho";-;1;-;-;-;-;-;-;1;-;-;-;2
"293077 Sobradinho";-;-;1;-;-;-;-;-;-;-;1;-;2
"293150 Teofilândia";-;-;-;-;-;-;1;-;-;-;-;-;1
"293170 Terra Nova";-;-;-;-;-;-;1;-;-;-;-;-;1
"293190 Tucano";1;-;-;-;-;-;-;-;-;-;-;-;1
"293290 Valença";-;-;-;-;-;-;-;-;-;-;1;-;1
"293300 Valente";1;-;-;-;-;-;-;-;-;-;-;-;1
"293317 Varzedo";-;-;-;-;-;-;1;-;-;-;-;-;1
"293320 Vera Cruz";-;-;-;-;-;-;-;1;-;-;-;-;1
"293330 Vitória da Conquista";-;-;-;-;1;-;-;-;1;-;-;-;2
"293360 Xique-Xique";-;-;-;-;2;-;-;1;1;-;1;1;6
"Total";41;34;38;37;54;21;23;44;32;23;21;24;392
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
