Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano Inic.Sintomas
Período:2022
"291840 Juazeiro";-;-;17;17
"291850 Jussara";-;2;15;17
"291915 Lapão";-;-;2;2
"291920 Lauro de Freitas";-;-;2;2
"291950 Livramento de Nossa Senhora";-;-;2;2
"291955 Luís Eduardo Magalhães";-;1;-;1
"291970 Macarani";-;-;1;1
"292020 Malhada";-;-;2;2
"292030 Malhada de Pedras";-;-;1;1
"292040 Manoel Vitorino";-;-;1;1
"292050 Maracás";-;-;4;4
"292100 Mata de São João";-;1;1;2
"292120 Miguel Calmon";-;-;4;4
"292145 Mirante";-;-;3;3
"292150 Monte Santo";-;1;-;1
"292160 Morpará";-;-;3;3
"292170 Morro do Chapéu";-;-;2;2
"292190 Mucugê";-;-;1;1
"292200 Mucuri";-;-;1;1
"292205 Mulungu do Morro";-;-;1;1
"292230 Muritiba";-;-;1;1
"292303 Novo Horizonte";-;-;2;2
"292310 Olindina";-;-;1;1
"292340 Palmas de Monte Alto";-;-;3;3
"292350 Palmeiras";-;-;1;1
"292360 Paramirim";-;-;3;3
"292460 Pindobaçu";-;-;1;1
"292480 Piritiba";-;-;1;1
"292500 Planalto";-;-;1;1
"292560 Presidente Dutra";-;-;4;4
"292570 Presidente Jânio Quadros";-;-;1;1
"292580 Queimadas";-;-;4;4
"292590 Quijingue";-;-;2;2
"292595 Rafael Jambeiro";-;-;1;1
"292600 Remanso";-;-;1;1
"292640 Riacho de Santana";-;-;1;1
"292660 Ribeira do Pombal";-;-;1;1
"292680 Rio do Antônio";-;-;1;1
"292700 Rio Real";-;-;2;2
"292710 Rodelas";-;-;1;1
"292720 Ruy Barbosa";-;-;1;1
"292740 Salvador";-;2;20;22
"292750 Santa Bárbara";-;1;2;3
"292810 Santa Maria da Vitória";-;-;1;1
"292840 Santa Rita de Cássia";-;1;-;1
"292800 Santaluz";-;1;2;3
"292820 Santana";-;-;2;2
"292830 Santanópolis";-;-;4;4
"292860 Santo Amaro";-;1;-;1
"292870 Santo Antônio de Jesus";-;-;1;1
"292910 São Felipe";-;-;3;3
"292905 São Félix do Coribe";-;-;1;1
"292925 São Gabriel";-;-;9;9
"292930 São Gonçalo dos Campos";-;-;2;2
"292990 Seabra";-;-;6;6
"293020 Sento Sé";-;-;5;5
"293050 Serrinha";-;-;1;1
"293070 Simões Filho";-;-;2;2
"293077 Sobradinho";-;-;2;2
"293150 Teofilândia";-;-;1;1
"293190 Tucano";-;-;1;1
"293290 Valença";-;-;1;1
"293300 Valente";-;-;1;1
"293317 Varzedo";-;-;1;1
"293320 Vera Cruz";-;-;1;1
"293330 Vitória da Conquista";-;-;2;2
"293360 Xique-Xique";-;1;5;6
"Total";1;25;365;391
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
