Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Escolaridade
Período:2018
"Município Resid";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"290800 Coaraci";-;-;3;1;2;-;-;-;-;-;-;6
"290810 Cocos";10;-;3;-;1;-;-;-;-;-;-;14
"290860 Conde";-;-;-;-;-;-;-;-;-;1;-;1
"290870 Condeúba";-;1;-;-;-;-;-;-;-;-;-;1
"290880 Contendas do Sincorá";-;-;3;-;-;-;-;-;-;-;-;3
"290910 Coribe";5;-;2;1;1;1;3;1;-;-;-;14
"290930 Correntina";2;-;-;1;-;-;-;1;-;-;-;4
"291000 Dário Meira";-;-;2;-;-;-;-;-;-;-;1;3
"291005 Dias d'Ávila";1;-;-;-;1;-;-;-;-;-;1;3
"291020 Dom Macedo Costa";1;-;-;-;-;-;-;-;-;-;-;1
"291040 Encruzilhada";-;-;1;-;-;-;-;-;-;-;-;1
"291072 Eunápolis";1;-;-;-;-;-;-;-;-;-;-;1
"291077 Feira da Mata";2;-;-;-;-;-;-;-;-;-;-;2
"291080 Feira de Santana";-;-;-;-;1;-;1;-;-;-;-;2
"291085 Filadélfia";-;-;-;-;1;-;-;1;-;-;-;2
"291090 Firmino Alves";1;-;-;-;-;-;-;-;-;-;-;1
"291100 Floresta Azul";1;-;-;-;-;-;-;-;-;-;1;2
"291120 Gandu";-;3;12;2;16;1;1;1;-;-;2;38
"291190 Iaçu";1;-;-;-;-;-;-;-;-;-;-;1
"291210 Ibicaraí";-;-;2;-;-;-;-;-;-;-;-;2
"291220 Ibicoara";6;1;3;4;1;2;-;2;-;-;-;19
"291230 Ibicuí";-;1;-;-;-;-;1;-;-;-;-;2
"291270 Ibirapitanga";-;-;5;4;3;1;-;-;-;-;-;13
"291280 Ibirapuã";-;-;-;-;-;-;-;1;-;-;-;1
"291290 Ibirataia";6;1;3;-;1;-;3;-;-;-;-;14
"291340 Igaporã";-;-;-;-;-;-;-;1;-;-;-;1
"291345 Igrapiúna";12;-;2;3;2;1;2;2;1;-;1;26
"291350 Iguaí";1;-;-;-;1;-;1;-;-;-;1;4
"291360 Ilhéus";4;3;10;4;3;-;2;3;2;-;-;31
"291390 Ipiaú";5;2;-;2;8;1;5;1;-;-;-;24
"291430 Iramaia";1;-;-;-;-;-;-;-;-;-;-;1
"291440 Iraquara";1;-;-;-;-;-;2;-;-;-;2;5
"291460 Irecê";1;-;-;-;-;-;-;-;-;-;-;1
"291470 Itaberaba";-;-;-;-;-;-;-;2;-;-;-;2
"291480 Itabuna";1;-;2;-;1;1;-;1;-;1;1;8
"291490 Itacaré";6;-;-;2;1;-;-;3;-;1;-;13
"291510 Itagi";-;-;1;1;2;-;1;-;-;-;-;5
"291520 Itagibá";-;-;-;-;1;-;-;-;-;-;-;1
"291540 Itaju do Colônia";1;-;-;-;-;-;-;-;-;-;-;1
"291550 Itajuípe";1;-;-;-;-;-;-;-;-;-;-;1
"291560 Itamaraju";-;-;1;-;-;-;-;-;-;-;-;1
"291570 Itamari";1;-;4;-;-;-;-;-;-;-;-;5
"291580 Itambé";1;-;1;1;2;1;1;-;-;-;1;8
"291630 Itapebi";-;-;1;-;-;-;-;-;-;-;1;2
"291640 Itapetinga";-;-;-;-;-;-;-;1;-;-;2;3
"291670 Itaquara";-;-;1;-;-;-;-;-;-;-;-;1
"291680 Itarantim";-;-;-;-;-;-;1;1;-;-;-;2
"291710 Itororó";3;-;-;-;-;-;-;-;-;-;-;3
"291720 Ituaçu";1;-;-;-;-;-;-;-;-;-;-;1
"291730 Ituberá";4;2;15;13;13;-;-;1;-;-;7;55
"291733 Iuiú";1;-;-;-;-;-;-;-;-;-;-;1
"291735 Jaborandi";-;-;-;-;-;-;1;-;-;-;-;1
"291740 Jacaraci";2;-;2;-;1;-;-;2;-;-;-;7
"291750 Jacobina";-;-;-;-;-;-;1;-;-;-;-;1
"291760 Jaguaquara";1;1;6;8;10;3;5;-;-;-;-;34
"291770 Jaguarari";-;-;-;-;-;1;-;-;-;-;-;1
"291780 Jaguaripe";2;-;-;-;-;-;-;-;-;-;-;2
"291800 Jequié";2;-;1;6;8;-;4;-;-;-;-;21
"291820 Jiquiriçá";1;2;1;3;2;1;1;2;1;-;5;19
"291830 Jitaúna";-;-;-;1;4;-;-;-;-;-;1;6
"291835 João Dourado";-;-;1;-;-;-;-;-;-;-;-;1
"291855 Jussari";-;-;-;-;1;-;-;-;-;-;-;1
"291860 Jussiape";-;-;-;-;1;-;-;-;-;-;-;1
"291880 Laje";1;1;10;-;5;-;1;2;-;-;2;22
"291920 Lauro de Freitas";1;-;-;-;-;-;-;-;-;-;-;1
"291930 Lençóis";2;2;1;-;-;-;-;-;-;-;-;5
"291955 Luís Eduardo Magalhães";-;1;-;-;-;-;-;-;-;-;-;1
"291970 Macarani";1;-;-;1;-;-;1;-;-;-;-;3
"291980 Macaúbas";1;-;-;-;-;-;-;-;-;-;-;1
"292000 Maiquinique";-;-;1;-;1;-;-;-;-;-;-;2
"292060 Maragogipe";1;-;-;-;-;-;-;-;-;-;-;1
"292070 Maraú";3;2;10;1;9;2;5;4;-;-;-;36
"292120 Miguel Calmon";11;-;-;-;-;-;-;-;-;1;1;13
"292140 Mirangaba";1;-;-;-;-;-;-;-;-;-;-;1
"292150 Monte Santo";-;-;1;-;-;-;-;-;-;-;-;1
"292170 Morro do Chapéu";-;-;1;-;1;-;-;-;-;-;-;2
"292230 Muritiba";-;-;1;-;-;-;-;-;-;-;-;1
"292240 Mutuípe";19;6;14;9;17;4;2;-;3;-;9;83
"292250 Nazaré";1;-;1;-;-;-;-;1;-;-;-;3
"292260 Nilo Peçanha";30;2;5;1;7;2;4;7;-;-;10;68
"292265 Nordestina";2;-;-;-;-;-;-;-;-;-;-;2
"292270 Nova Canaã";-;1;1;-;-;-;-;-;-;-;-;2
"292275 Nova Ibiá";2;2;2;-;5;-;-;2;-;-;3;16
"292303 Novo Horizonte";-;-;-;-;-;-;-;1;-;-;-;1
"292350 Palmeiras";1;-;-;-;-;-;-;2;-;-;-;3
"292390 Pau Brasil";-;-;2;4;1;-;1;-;-;-;1;9
"292410 Pedrão";-;-;-;-;-;-;-;-;-;-;1;1
"292460 Pindobaçu";2;-;-;-;1;-;-;-;-;-;-;3
"292467 Piraí do Norte";2;-;-;1;4;3;1;-;1;-;2;14
"292500 Planalto";-;-;-;3;-;-;1;-;-;-;-;4
"292510 Poções";-;-;-;2;-;-;-;-;-;-;-;2
"292520 Pojuca";1;-;-;-;1;-;1;1;-;-;-;4
"292530 Porto Seguro";4;-;1;-;1;1;-;1;-;1;-;9
"292575 Presidente Tancredo Neves";2;8;20;-;23;1;6;12;1;-;5;78
"292640 Riacho de Santana";-;-;-;-;-;-;-;-;-;-;1;1
"292665 Ribeirão do Largo";-;-;1;-;-;-;-;1;-;-;-;2
"292690 Rio do Pires";1;-;-;-;-;-;-;-;-;-;-;1
"292700 Rio Real";-;-;2;1;1;-;-;-;-;-;2;6
"292740 Salvador";6;-;-;-;-;-;-;1;-;-;1;8
"292750 Santa Bárbara";-;-;-;-;1;-;-;-;-;-;-;1
"292770 Santa Cruz Cabrália";2;-;1;-;2;-;-;-;-;-;-;5
"292790 Santa Inês";-;-;2;-;1;-;-;-;-;-;-;3
"292805 Santa Luzia";5;-;1;-;-;-;-;-;-;-;-;6
"292810 Santa Maria da Vitória";1;2;4;3;3;-;3;2;-;1;-;19
"292870 Santo Antônio de Jesus";1;-;-;-;2;1;2;1;-;-;-;7
"292910 São Felipe";-;-;-;-;-;-;-;1;-;-;-;1
"292905 São Félix do Coribe";6;1;-;-;-;1;-;1;-;-;1;10
"292920 São Francisco do Conde";2;-;-;-;-;-;-;-;-;-;-;2
"292935 São José da Vitória";6;-;2;-;1;-;1;-;-;-;-;10
"292940 São Miguel das Matas";6;-;-;-;-;-;-;-;-;-;-;6
"293010 Senhor do Bonfim";2;-;-;-;2;-;-;-;-;-;-;4
"293015 Serra do Ramalho";3;-;-;-;-;-;-;-;-;-;-;3
"293030 Serra Dourada";4;-;-;-;-;-;-;-;-;-;-;4
"293075 Sítio do Mato";1;-;-;-;-;-;-;-;-;-;-;1
"293080 Souto Soares";-;-;1;-;-;-;-;-;-;-;-;1
"293120 Taperoá";16;15;55;9;39;1;16;11;-;1;21;184
"293150 Teofilândia";1;-;-;-;-;-;-;-;-;-;-;1
"293160 Teolândia";9;18;30;1;47;-;6;20;1;-;9;141
"293200 Uauá";-;-;1;-;-;-;-;-;-;-;-;1
"293210 Ubaíra";4;4;8;1;2;1;2;4;-;-;2;28
"293230 Ubatã";-;-;2;3;3;-;-;-;-;-;-;8
"293250 Una";19;1;6;1;4;1;1;8;1;-;2;44
"293270 Uruçuca";10;4;8;1;1;1;-;-;1;-;-;26
"293280 Utinga";3;-;4;-;2;-;2;-;-;1;1;13
"293290 Valença";-;-;81;37;109;5;8;34;-;-;25;299
"293320 Vera Cruz";1;-;-;-;-;-;-;-;-;-;-;1
"293330 Vitória da Conquista";-;1;1;4;-;-;1;2;-;-;-;9
"293340 Wagner";7;3;4;4;3;2;1;2;-;-;1;27
"293345 Wanderley";1;-;-;-;-;-;-;-;-;-;-;1
"293350 Wenceslau Guimarães";4;17;48;1;69;1;12;29;1;-;21;203
"Total";348;126;454;153;487;43;123;187;15;8;158;2102
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
