Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária SINAN
Período:2018
"Município Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"290880 Contendas do Sincorá";-;-;-;-;-;-;-;-;3;-;3
"290910 Coribe";-;-;-;2;2;5;1;2;2;-;14
"290930 Correntina";-;-;-;-;-;2;1;1;-;-;4
"291000 Dário Meira";-;1;-;-;-;-;-;-;2;-;3
"291005 Dias d'Ávila";-;1;-;1;-;-;-;1;-;-;3
"291020 Dom Macedo Costa";-;-;-;-;-;-;-;-;1;-;1
"291040 Encruzilhada";-;-;-;-;-;-;-;1;-;-;1
"291072 Eunápolis";-;-;-;-;-;-;-;-;1;-;1
"291077 Feira da Mata";-;-;-;-;-;2;-;-;-;-;2
"291080 Feira de Santana";-;-;-;-;-;1;1;-;-;-;2
"291085 Filadélfia";-;-;-;-;1;1;-;-;-;-;2
"291090 Firmino Alves";-;-;-;-;-;-;-;1;-;-;1
"291100 Floresta Azul";-;-;1;-;-;-;-;-;1;-;2
"291120 Gandu";-;1;1;2;2;7;15;7;3;-;38
"291190 Iaçu";-;-;-;-;-;-;1;-;-;-;1
"291210 Ibicaraí";-;-;-;-;-;-;-;2;-;-;2
"291220 Ibicoara";-;-;-;2;3;4;6;3;1;-;19
"291230 Ibicuí";-;-;-;-;1;-;-;1;-;-;2
"291270 Ibirapitanga";-;-;-;2;2;2;6;1;-;-;13
"291280 Ibirapuã";-;-;-;-;-;1;-;-;-;-;1
"291290 Ibirataia";-;-;-;1;-;7;2;4;-;-;14
"291340 Igaporã";-;-;-;-;-;-;1;-;-;-;1
"291345 Igrapiúna";-;1;1;-;5;10;4;4;1;-;26
"291350 Iguaí";1;-;-;-;1;-;-;1;1;-;4
"291360 Ilhéus";-;-;-;-;3;10;10;5;3;-;31
"291390 Ipiaú";-;-;-;2;3;4;8;2;5;-;24
"291430 Iramaia";-;-;-;1;-;-;-;-;-;-;1
"291440 Iraquara";-;2;-;-;-;2;1;-;-;-;5
"291460 Irecê";-;-;-;-;-;-;1;-;-;-;1
"291470 Itaberaba";-;-;-;-;-;1;-;-;1;-;2
"291480 Itabuna";-;1;1;-;-;1;2;1;1;1;8
"291490 Itacaré";-;-;-;2;2;4;3;-;1;1;13
"291510 Itagi";-;-;-;1;-;-;2;1;1;-;5
"291520 Itagibá";-;-;-;1;-;-;-;-;-;-;1
"291540 Itaju do Colônia";-;-;-;-;-;-;-;1;-;-;1
"291550 Itajuípe";-;-;-;-;-;-;1;-;-;-;1
"291560 Itamaraju";-;-;-;-;-;-;-;1;-;-;1
"291570 Itamari";-;-;-;-;1;1;1;-;2;-;5
"291580 Itambé";1;-;-;-;-;2;2;1;2;-;8
"291630 Itapebi";-;-;2;-;-;-;-;-;-;-;2
"291640 Itapetinga";-;2;-;-;-;-;-;1;-;-;3
"291670 Itaquara";-;-;-;-;-;-;-;-;1;-;1
"291680 Itarantim";-;-;-;-;-;2;-;-;-;-;2
"291710 Itororó";-;-;-;-;-;-;-;3;-;-;3
"291720 Ituaçu";-;-;-;-;-;-;1;-;-;-;1
"291730 Ituberá";1;7;1;7;3;15;14;6;1;-;55
"291733 Iuiú";-;-;-;-;-;-;-;-;1;-;1
"291735 Jaborandi";-;-;-;-;-;1;-;-;-;-;1
"291740 Jacaraci";-;-;-;1;-;4;1;1;-;-;7
"291750 Jacobina";-;-;-;-;-;-;1;-;-;-;1
"291760 Jaguaquara";-;-;-;2;4;7;5;11;2;3;34
"291770 Jaguarari";-;-;-;-;-;-;-;1;-;-;1
"291780 Jaguaripe";-;-;-;-;-;1;1;-;-;-;2
"291800 Jequié";-;-;1;1;1;4;8;6;-;-;21
"291820 Jiquiriçá";2;3;1;-;2;2;4;4;1;-;19
"291830 Jitaúna";-;1;-;1;-;2;1;-;1;-;6
"291835 João Dourado";-;-;-;-;1;-;-;-;-;-;1
"291855 Jussari";-;-;-;-;-;1;-;-;-;-;1
"291860 Jussiape";-;-;-;-;-;1;-;-;-;-;1
"291880 Laje";1;-;1;2;2;3;6;6;1;-;22
"291920 Lauro de Freitas";-;-;-;1;-;-;-;-;-;-;1
"291930 Lençóis";-;-;-;-;1;-;2;2;-;-;5
"291955 Luís Eduardo Magalhães";-;-;-;-;-;-;-;1;-;-;1
"291970 Macarani";-;-;-;-;-;-;2;1;-;-;3
"291980 Macaúbas";-;-;-;-;-;-;-;-;-;1;1
"292000 Maiquinique";-;-;-;1;-;-;-;-;1;-;2
"292060 Maragogipe";-;-;-;-;-;-;-;-;1;-;1
"292070 Maraú";-;-;2;3;10;11;4;3;1;2;36
"292120 Miguel Calmon";1;-;-;-;-;3;1;3;3;2;13
"292140 Mirangaba";-;-;-;-;-;-;-;-;-;1;1
"292150 Monte Santo";-;-;-;-;-;-;-;-;1;-;1
"292170 Morro do Chapéu";-;-;-;1;-;-;-;1;-;-;2
"292230 Muritiba";-;-;-;-;-;1;-;-;-;-;1
"292240 Mutuípe";6;3;2;6;5;20;19;13;7;2;83
"292250 Nazaré";-;-;-;-;-;2;1;-;-;-;3
"292260 Nilo Peçanha";-;8;8;4;13;17;13;4;1;-;68
"292265 Nordestina";-;-;-;-;-;-;-;-;2;-;2
"292270 Nova Canaã";-;-;-;-;-;1;1;-;-;-;2
"292275 Nova Ibiá";1;1;1;-;3;4;2;3;1;-;16
"292303 Novo Horizonte";-;-;-;-;-;1;-;-;-;-;1
"292350 Palmeiras";-;-;-;-;-;2;-;1;-;-;3
"292390 Pau Brasil";-;-;1;1;-;4;1;1;1;-;9
"292410 Pedrão";-;1;-;-;-;-;-;-;-;-;1
"292460 Pindobaçu";-;-;-;-;-;-;2;-;1;-;3
"292467 Piraí do Norte";1;1;-;4;3;3;2;-;-;-;14
"292500 Planalto";-;-;-;-;-;1;-;3;-;-;4
"292510 Poções";-;-;-;-;-;-;-;2;-;-;2
"292520 Pojuca";-;-;-;-;1;1;1;1;-;-;4
"292530 Porto Seguro";-;-;-;-;1;1;4;2;1;-;9
"292575 Presidente Tancredo Neves";1;3;4;7;13;27;12;9;2;-;78
"292640 Riacho de Santana";1;-;-;-;-;-;-;-;-;-;1
"292665 Ribeirão do Largo";-;-;-;-;-;-;-;1;1;-;2
"292690 Rio do Pires";-;-;-;-;-;-;-;-;1;-;1
"292700 Rio Real";-;2;1;3;-;-;-;-;-;-;6
"292740 Salvador";1;-;-;-;-;1;1;3;2;-;8
"292750 Santa Bárbara";-;-;-;-;-;1;-;-;-;-;1
"292770 Santa Cruz Cabrália";-;-;-;2;1;1;-;1;-;-;5
"292790 Santa Inês";-;-;-;-;-;-;-;2;-;1;3
"292805 Santa Luzia";-;-;-;-;-;-;1;3;1;1;6
"292810 Santa Maria da Vitória";-;-;1;1;3;4;7;2;1;-;19
"292870 Santo Antônio de Jesus";-;-;-;1;2;2;-;1;1;-;7
"292910 São Felipe";-;-;-;-;-;-;1;-;-;-;1
"292905 São Félix do Coribe";-;1;1;-;-;2;3;3;-;-;10
"292920 São Francisco do Conde";-;-;-;-;1;1;-;-;-;-;2
"292935 São José da Vitória";-;-;-;1;2;1;3;2;1;-;10
"292940 São Miguel das Matas";-;-;-;1;-;3;1;1;-;-;6
"293010 Senhor do Bonfim";-;-;-;-;-;1;1;-;2;-;4
"293015 Serra do Ramalho";-;-;-;-;-;1;-;-;1;1;3
"293030 Serra Dourada";-;-;-;1;-;1;1;-;1;-;4
"293075 Sítio do Mato";-;-;-;-;-;-;-;-;1;-;1
"293080 Souto Soares";-;-;-;-;-;-;-;-;-;1;1
"293120 Taperoá";1;12;15;21;24;41;39;17;12;2;184
"293150 Teofilândia";-;-;-;1;-;-;-;-;-;-;1
"293160 Teolândia";2;3;9;21;21;35;32;12;5;1;141
"293200 Uauá";-;-;1;-;-;-;-;-;-;-;1
"293210 Ubaíra";1;1;2;1;2;4;8;5;4;-;28
"293230 Ubatã";-;-;-;-;-;-;4;2;2;-;8
"293250 Una";-;1;1;2;5;8;17;5;3;2;44
"293270 Uruçuca";-;-;-;1;2;-;5;6;9;3;26
"293280 Utinga";-;1;1;2;2;3;-;2;2;-;13
"293290 Valença";7;11;23;20;32;90;49;42;18;7;299
"293320 Vera Cruz";-;-;-;-;-;-;1;-;-;-;1
"293330 Vitória da Conquista";-;-;-;1;-;2;1;2;2;1;9
"293340 Wagner";-;1;-;4;3;7;5;7;-;-;27
"293345 Wanderley";-;-;-;-;-;-;-;-;-;1;1
"293350 Wenceslau Guimarães";1;11;16;22;25;65;32;21;5;5;203
"Total";32;86;109;183;229;521;433;306;158;45;2102
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
