Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2022
"Município Resid";"Ignorado";"Masculino";"Feminino";"Total"
"291820 Jiquiriçá";-;9;7;16
"291830 Jitaúna";-;4;1;5
"291840 Juazeiro";-;1;-;1
"291850 Jussara";-;3;-;3
"291855 Jussari";-;1;-;1
"291880 Laje";-;10;5;15
"291905 Lajedo do Tabocal";-;-;2;2
"291920 Lauro de Freitas";-;1;-;1
"291930 Lençóis";-;8;2;10
"291950 Livramento de Nossa Senhora";-;1;-;1
"291955 Luís Eduardo Magalhães";-;1;-;1
"291995 Maetinga";-;1;-;1
"292070 Maraú";-;10;8;18
"292090 Mascote";-;-;1;1
"292100 Mata de São João";-;-;1;1
"292120 Miguel Calmon";-;3;5;8
"292145 Mirante";-;-;1;1
"292170 Morro do Chapéu";-;2;-;2
"292190 Mucugê";-;-;4;4
"292220 Muniz Ferreira";-;-;3;3
"292240 Mutuípe";-;29;20;49
"292260 Nilo Peçanha";-;1;5;6
"292270 Nova Canaã";-;-;2;2
"292275 Nova Ibiá";-;3;4;7
"292285 Nova Redenção";-;-;1;1
"292330 Ouriçangas";-;2;-;2
"292340 Palmas de Monte Alto";-;1;-;1
"292350 Palmeiras";-;6;4;10
"292360 Paramirim";-;-;1;1
"292390 Pau Brasil";-;2;1;3
"292405 Pé de Serra";-;1;-;1
"292460 Pindobaçu";-;2;4;6
"292467 Piraí do Norte";-;3;10;13
"292470 Piripá";-;-;2;2
"292500 Planalto";-;3;1;4
"292510 Poções";-;3;4;7
"292530 Porto Seguro";-;12;17;29
"292550 Prado";-;2;2;4
"292575 Presidente Tancredo Neves";-;7;3;10
"292595 Rafael Jambeiro";-;-;1;1
"292660 Ribeira do Pombal";-;1;-;1
"292740 Salvador";-;6;7;13
"292770 Santa Cruz Cabrália";-;1;2;3
"292790 Santa Inês";-;1;-;1
"292805 Santa Luzia";-;1;-;1
"292810 Santa Maria da Vitória";-;10;10;20
"292840 Santa Rita de Cássia";-;2;-;2
"292820 Santana";-;2;-;2
"292870 Santo Antônio de Jesus";-;1;-;1
"292890 São Desidério";-;1;-;1
"292905 São Félix do Coribe";-;10;4;14
"292925 São Gabriel";-;-;1;1
"292935 São José da Vitória";-;7;3;10
"292940 São Miguel das Matas";-;1;-;1
"292980 Saúde";-;3;-;3
"292990 Seabra";-;2;-;2
"293000 Sebastião Laranjeiras";-;2;-;2
"293015 Serra do Ramalho";-;1;-;1
"293050 Serrinha";-;1;-;1
"293070 Simões Filho";-;1;2;3
"293090 Tabocas do Brejo Velho";-;-;2;2
"293100 Tanhaçu";-;-;1;1
"293105 Tanque Novo";-;-;1;1
"293120 Taperoá";1;10;18;29
"293135 Teixeira de Freitas";-;-;1;1
"293160 Teolândia";-;11;11;22
"293180 Tremedal";-;3;-;3
"293190 Tucano";-;2;-;2
"293210 Ubaíra";-;2;4;6
"293220 Ubaitaba";-;3;2;5
"293230 Ubatã";-;3;-;3
"293250 Una";1;15;16;32
"293260 Urandi";-;1;-;1
"293270 Uruçuca";-;8;5;13
"293280 Utinga";-;9;6;15
"293290 Valença";-;61;36;97
"293315 Várzea Nova";-;-;1;1
"293317 Varzedo";-;1;-;1
"293330 Vitória da Conquista";-;1;-;1
"293340 Wagner";-;2;1;3
"293350 Wenceslau Guimarães";-;62;44;106
"Total";2;618;425;1045
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
