Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária SINAN
Período:2022
"Município Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"291080 Feira de Santana";-;-;-;-;-;-;-;1;-;-;1
"291120 Gandu";-;1;2;1;1;2;7;2;3;-;19
"291165 Guajeru";-;-;-;-;-;-;-;-;1;-;1
"291170 Guanambi";-;-;-;-;-;1;1;-;-;-;2
"291180 Guaratinga";-;-;-;1;-;-;-;-;-;-;1
"291210 Ibicaraí";-;-;-;-;-;-;-;-;-;1;1
"291220 Ibicoara";-;-;-;2;-;6;7;3;-;-;18
"291270 Ibirapitanga";-;-;-;-;1;2;1;1;2;-;7
"291290 Ibirataia";-;-;1;1;-;1;2;-;2;-;7
"291345 Igrapiúna";-;-;-;-;-;-;-;1;-;-;1
"291350 Iguaí";1;-;-;-;-;3;1;2;4;-;11
"291360 Ilhéus";-;-;1;-;-;1;5;2;4;1;14
"291370 Inhambupe";-;-;-;-;-;-;-;1;1;-;2
"291380 Ipecaetá";-;1;1;-;-;-;-;-;-;-;2
"291390 Ipiaú";-;-;-;1;-;-;-;1;-;1;3
"291420 Irajuba";-;-;-;-;-;1;-;-;-;-;1
"291440 Iraquara";-;-;-;1;-;2;-;1;1;-;5
"291470 Itaberaba";-;-;-;-;-;-;-;-;-;1;1
"291490 Itacaré";-;-;-;2;1;3;-;1;-;-;7
"291500 Itaeté";-;-;-;-;-;1;-;-;-;-;1
"291520 Itagibá";-;-;-;-;-;-;-;-;1;-;1
"291550 Itajuípe";-;-;-;-;1;1;2;-;-;-;4
"291560 Itamaraju";-;-;3;-;-;-;-;-;1;-;4
"291570 Itamari";1;-;-;-;1;1;3;3;4;1;14
"291580 Itambé";-;-;-;-;-;-;2;1;1;-;4
"291640 Itapetinga";-;-;-;-;-;-;-;1;-;-;1
"291650 Itapicuru";-;1;-;-;-;-;-;-;-;-;1
"291660 Itapitanga";-;-;-;-;-;-;-;-;1;-;1
"291690 Itiruçu";-;-;-;-;1;-;-;-;-;-;1
"291720 Ituaçu";-;-;-;-;-;1;1;1;-;-;3
"291730 Ituberá";-;1;1;1;2;1;-;-;1;-;7
"291735 Jaborandi";-;-;-;-;-;-;-;1;-;-;1
"291740 Jacaraci";-;-;-;-;-;-;1;-;-;-;1
"291750 Jacobina";1;-;3;-;2;11;12;5;2;1;37
"291760 Jaguaquara";-;-;-;-;-;1;2;1;3;-;7
"291780 Jaguaripe";-;-;-;-;-;-;-;1;-;-;1
"291800 Jequié";-;1;-;-;-;-;-;2;-;-;3
"291810 Jeremoabo";-;-;-;-;-;-;-;-;1;-;1
"291820 Jiquiriçá";-;-;-;-;3;7;1;4;1;-;16
"291830 Jitaúna";-;-;1;-;-;1;2;1;-;-;5
"291840 Juazeiro";-;-;-;-;-;-;-;-;1;-;1
"291850 Jussara";-;-;-;-;-;-;1;1;1;-;3
"291855 Jussari";-;-;-;-;-;-;-;1;-;-;1
"291880 Laje";-;1;-;-;2;2;5;3;2;-;15
"291905 Lajedo do Tabocal";-;-;-;-;1;1;-;-;-;-;2
"291920 Lauro de Freitas";-;-;-;-;-;-;-;-;1;-;1
"291930 Lençóis";-;-;-;-;-;3;5;1;1;-;10
"291950 Livramento de Nossa Senhora";-;-;-;-;-;-;-;-;1;-;1
"291955 Luís Eduardo Magalhães";-;-;-;-;-;1;-;-;-;-;1
"291995 Maetinga";-;-;-;-;-;-;-;1;-;-;1
"292070 Maraú";-;-;-;1;2;1;4;7;3;-;18
"292090 Mascote";-;-;-;-;-;-;-;1;-;-;1
"292100 Mata de São João";-;-;-;-;-;-;-;-;-;1;1
"292120 Miguel Calmon";-;-;-;-;-;1;2;3;2;-;8
"292145 Mirante";-;-;-;1;-;-;-;-;-;-;1
"292170 Morro do Chapéu";-;-;-;-;-;-;2;-;-;-;2
"292190 Mucugê";-;-;-;-;1;-;2;-;1;-;4
"292220 Muniz Ferreira";-;-;-;-;-;-;3;-;-;-;3
"292240 Mutuípe";1;-;5;3;1;3;15;11;8;2;49
"292260 Nilo Peçanha";-;-;-;-;1;1;3;-;-;1;6
"292270 Nova Canaã";-;-;-;-;1;-;-;-;1;-;2
"292275 Nova Ibiá";-;-;-;-;1;1;2;-;3;-;7
"292285 Nova Redenção";-;-;-;-;-;-;-;1;-;-;1
"292330 Ouriçangas";-;-;-;-;-;1;1;-;-;-;2
"292340 Palmas de Monte Alto";-;-;-;-;-;1;-;-;-;-;1
"292350 Palmeiras";-;-;-;-;1;4;5;-;-;-;10
"292360 Paramirim";-;-;-;-;1;-;-;-;-;-;1
"292390 Pau Brasil";1;-;-;-;-;1;1;-;-;-;3
"292405 Pé de Serra";-;-;-;1;-;-;-;-;-;-;1
"292460 Pindobaçu";-;-;-;-;-;-;2;2;1;1;6
"292467 Piraí do Norte";-;-;1;2;-;4;5;-;-;1;13
"292470 Piripá";-;-;-;-;-;1;-;1;-;-;2
"292500 Planalto";-;-;-;-;-;-;-;-;4;-;4
"292510 Poções";-;-;-;-;-;1;1;2;2;1;7
"292530 Porto Seguro";-;1;1;2;3;11;3;6;1;1;29
"292550 Prado";-;-;-;1;-;-;-;2;1;-;4
"292575 Presidente Tancredo Neves";-;-;1;1;1;1;5;-;1;-;10
"292595 Rafael Jambeiro";-;-;-;-;-;1;-;-;-;-;1
"292660 Ribeira do Pombal";-;-;-;-;-;-;-;-;-;1;1
"292740 Salvador";-;-;-;2;1;3;-;5;-;2;13
"292770 Santa Cruz Cabrália";-;-;-;-;1;-;1;1;-;-;3
"292790 Santa Inês";-;-;-;-;-;1;-;-;-;-;1
"292805 Santa Luzia";-;-;-;-;-;-;-;1;-;-;1
"292810 Santa Maria da Vitória";-;-;1;2;1;2;5;5;4;-;20
"292840 Santa Rita de Cássia";-;-;-;-;-;-;-;2;-;-;2
"292820 Santana";-;-;-;-;-;-;1;-;1;-;2
"292870 Santo Antônio de Jesus";1;-;-;-;-;-;-;-;-;-;1
"292890 São Desidério";-;-;-;-;-;1;-;-;-;-;1
"292905 São Félix do Coribe";-;-;-;1;-;2;2;6;2;1;14
"292925 São Gabriel";-;-;-;-;-;-;1;-;-;-;1
"292935 São José da Vitória";-;-;-;-;-;4;-;3;3;-;10
"292940 São Miguel das Matas";-;-;-;-;-;-;1;-;-;-;1
"292980 Saúde";-;-;-;-;-;1;-;1;-;1;3
"292990 Seabra";-;-;-;-;-;2;-;-;-;-;2
"293000 Sebastião Laranjeiras";-;-;-;-;-;-;-;-;2;-;2
"293015 Serra do Ramalho";-;-;-;-;-;-;-;1;-;-;1
"293050 Serrinha";-;-;-;-;-;-;1;-;-;-;1
"293070 Simões Filho";-;-;-;-;-;1;2;-;-;-;3
"293090 Tabocas do Brejo Velho";-;-;-;-;-;-;1;-;-;1;2
"293100 Tanhaçu";-;1;-;-;-;-;-;-;-;-;1
"293105 Tanque Novo";-;-;-;-;-;-;-;-;-;1;1
"293120 Taperoá";1;-;2;3;6;10;4;2;1;-;29
"293135 Teixeira de Freitas";-;-;-;-;-;1;-;-;-;-;1
"293160 Teolândia";-;-;1;1;2;4;5;5;3;1;22
"293180 Tremedal";-;-;-;-;1;-;-;-;-;2;3
"293190 Tucano";-;-;-;-;2;-;-;-;-;-;2
"293210 Ubaíra";-;-;-;1;-;1;3;1;-;-;6
"293220 Ubaitaba";-;1;-;-;1;-;-;2;1;-;5
"293230 Ubatã";-;-;-;-;-;-;-;2;1;-;3
"293250 Una";1;-;1;2;2;5;6;6;5;4;32
"293260 Urandi";-;-;-;-;-;-;1;-;-;-;1
"293270 Uruçuca";-;-;-;-;-;3;6;3;1;-;13
"293280 Utinga";-;-;-;2;-;1;5;4;2;1;15
"293290 Valença";1;4;4;10;9;14;24;21;9;1;97
"293315 Várzea Nova";-;-;-;-;-;-;-;1;-;-;1
"293317 Varzedo";-;-;-;-;-;-;1;-;-;-;1
"293330 Vitória da Conquista";-;-;-;-;-;-;-;1;-;-;1
"293340 Wagner";-;-;-;-;-;1;1;-;-;1;3
"293350 Wenceslau Guimarães";2;6;7;9;9;26;29;10;7;1;106
"Total";13;19;41;62;76;211;250;192;142;39;1045
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
