Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Raça
Período:2022
"Município Resid";"Ign/Branco";"Branca";"Preta";"Amarela";"Parda";"Indigena";"Total"
"291470 Itaberaba";-;-;-;-;1;-;1
"291490 Itacaré";2;-;1;-;4;-;7
"291500 Itaeté";1;-;-;-;-;-;1
"291520 Itagibá";-;-;-;-;1;-;1
"291550 Itajuípe";-;-;1;1;2;-;4
"291560 Itamaraju";-;-;-;-;4;-;4
"291570 Itamari";-;2;3;-;9;-;14
"291580 Itambé";1;1;-;-;2;-;4
"291640 Itapetinga";-;-;1;-;-;-;1
"291650 Itapicuru";-;-;-;-;1;-;1
"291660 Itapitanga";-;-;-;-;1;-;1
"291690 Itiruçu";-;-;-;-;1;-;1
"291720 Ituaçu";-;1;1;-;1;-;3
"291730 Ituberá";-;1;-;-;6;-;7
"291735 Jaborandi";-;-;-;-;1;-;1
"291740 Jacaraci";-;1;-;-;-;-;1
"291750 Jacobina";-;2;9;-;26;-;37
"291760 Jaguaquara";-;1;1;-;5;-;7
"291780 Jaguaripe";-;-;1;-;-;-;1
"291800 Jequié";-;-;-;-;3;-;3
"291810 Jeremoabo";-;-;-;-;1;-;1
"291820 Jiquiriçá";2;-;10;-;4;-;16
"291830 Jitaúna";-;-;-;-;5;-;5
"291840 Juazeiro";1;-;-;-;-;-;1
"291850 Jussara";-;-;1;-;2;-;3
"291855 Jussari";-;-;-;-;1;-;1
"291880 Laje";-;1;3;-;11;-;15
"291905 Lajedo do Tabocal";-;-;-;-;2;-;2
"291920 Lauro de Freitas";-;-;-;-;1;-;1
"291930 Lençóis";-;2;4;-;4;-;10
"291950 Livramento de Nossa Senhora";-;-;1;-;-;-;1
"291955 Luís Eduardo Magalhães";-;-;-;-;1;-;1
"291995 Maetinga";-;-;-;-;1;-;1
"292070 Maraú";-;1;5;-;12;-;18
"292090 Mascote";-;-;1;-;-;-;1
"292100 Mata de São João";-;-;-;-;1;-;1
"292120 Miguel Calmon";-;1;1;-;6;-;8
"292145 Mirante";-;-;-;-;1;-;1
"292170 Morro do Chapéu";-;-;1;-;1;-;2
"292190 Mucugê";-;-;3;-;1;-;4
"292220 Muniz Ferreira";-;1;-;-;2;-;3
"292240 Mutuípe";-;12;20;-;17;-;49
"292260 Nilo Peçanha";-;1;1;-;4;-;6
"292270 Nova Canaã";-;-;1;-;1;-;2
"292275 Nova Ibiá";-;-;-;-;7;-;7
"292285 Nova Redenção";-;-;-;-;1;-;1
"292330 Ouriçangas";1;-;1;-;-;-;2
"292340 Palmas de Monte Alto";-;-;-;-;1;-;1
"292350 Palmeiras";-;2;1;-;7;-;10
"292360 Paramirim";-;-;-;-;1;-;1
"292390 Pau Brasil";-;-;-;-;1;2;3
"292405 Pé de Serra";-;1;-;-;-;-;1
"292460 Pindobaçu";-;-;-;-;6;-;6
"292467 Piraí do Norte";-;1;-;-;12;-;13
"292470 Piripá";-;-;-;-;2;-;2
"292500 Planalto";2;-;-;-;2;-;4
"292510 Poções";-;-;-;-;7;-;7
"292530 Porto Seguro";2;4;3;-;17;3;29
"292550 Prado";-;-;2;-;2;-;4
"292575 Presidente Tancredo Neves";-;-;-;-;10;-;10
"292595 Rafael Jambeiro";-;-;1;-;-;-;1
"292660 Ribeira do Pombal";-;-;-;-;1;-;1
"292740 Salvador";3;2;5;-;3;-;13
"292770 Santa Cruz Cabrália";-;-;-;-;2;1;3
"292790 Santa Inês";-;-;-;-;1;-;1
"292805 Santa Luzia";-;-;-;-;1;-;1
"292810 Santa Maria da Vitória";-;6;3;-;11;-;20
"292840 Santa Rita de Cássia";-;-;-;-;2;-;2
"292820 Santana";-;-;1;-;1;-;2
"292870 Santo Antônio de Jesus";-;-;-;-;1;-;1
"292890 São Desidério";-;-;-;-;1;-;1
"292905 São Félix do Coribe";3;3;2;-;6;-;14
"292925 São Gabriel";-;-;-;-;1;-;1
"292935 São José da Vitória";-;1;2;1;6;-;10
"292940 São Miguel das Matas";-;-;-;-;1;-;1
"292980 Saúde";-;-;2;-;1;-;3
"292990 Seabra";1;-;-;-;1;-;2
"293000 Sebastião Laranjeiras";-;-;1;-;1;-;2
"293015 Serra do Ramalho";-;-;-;-;1;-;1
"293050 Serrinha";-;-;-;-;1;-;1
"293070 Simões Filho";-;-;-;-;3;-;3
"293090 Tabocas do Brejo Velho";-;-;-;-;2;-;2
"293100 Tanhaçu";-;1;-;-;-;-;1
"293105 Tanque Novo";-;1;-;-;-;-;1
"293120 Taperoá";10;-;18;-;1;-;29
"293135 Teixeira de Freitas";-;-;-;-;1;-;1
"293160 Teolândia";1;-;-;-;21;-;22
"293180 Tremedal";-;-;1;-;2;-;3
"293190 Tucano";-;-;-;-;2;-;2
"293210 Ubaíra";-;-;1;-;5;-;6
"293220 Ubaitaba";-;-;2;-;3;-;5
"293230 Ubatã";-;-;-;-;3;-;3
"293250 Una";4;-;11;-;17;-;32
"293260 Urandi";-;-;-;-;1;-;1
"293270 Uruçuca";1;-;4;-;8;-;13
"293280 Utinga";5;1;5;-;4;-;15
"293290 Valença";-;6;26;-;65;-;97
"293315 Várzea Nova";-;-;-;-;1;-;1
"293317 Varzedo";-;-;-;-;1;-;1
"293330 Vitória da Conquista";-;1;-;-;-;-;1
"293340 Wagner";-;-;-;-;3;-;3
"293350 Wenceslau Guimarães";2;-;-;-;104;-;106
"Total";57;87;211;2;682;6;1045
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
