Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Trim.Diagnóstico
Período:2022
"Município Resid";"1 Trimestre";"2 Trimestre";"3 Trimestre";"4 Trimestre";"Total"
"291720 Ituaçu";2;-;1;-;3
"291730 Ituberá";2;3;-;2;7
"291735 Jaborandi";-;-;1;-;1
"291740 Jacaraci";1;-;-;-;1
"291750 Jacobina";2;2;24;9;37
"291760 Jaguaquara";2;2;-;3;7
"291780 Jaguaripe";-;1;-;-;1
"291800 Jequié";1;-;2;-;3
"291810 Jeremoabo";1;-;-;-;1
"291820 Jiquiriçá";2;4;4;6;16
"291830 Jitaúna";4;-;-;1;5
"291840 Juazeiro";-;-;-;1;1
"291850 Jussara";2;-;-;1;3
"291855 Jussari";1;-;-;-;1
"291880 Laje";6;1;6;2;15
"291905 Lajedo do Tabocal";-;-;2;-;2
"291920 Lauro de Freitas";-;-;1;-;1
"291930 Lençóis";1;3;2;4;10
"291950 Livramento de Nossa Senhora";-;-;-;1;1
"291955 Luís Eduardo Magalhães";1;-;-;-;1
"291995 Maetinga";1;-;-;-;1
"292070 Maraú";1;7;6;4;18
"292090 Mascote";-;1;-;-;1
"292100 Mata de São João";-;-;-;1;1
"292120 Miguel Calmon";2;-;-;6;8
"292145 Mirante";-;-;1;-;1
"292170 Morro do Chapéu";-;1;1;-;2
"292190 Mucugê";-;3;1;-;4
"292220 Muniz Ferreira";1;1;1;-;3
"292240 Mutuípe";11;8;16;14;49
"292260 Nilo Peçanha";-;2;1;3;6
"292270 Nova Canaã";1;1;-;-;2
"292275 Nova Ibiá";3;1;1;2;7
"292285 Nova Redenção";1;-;-;-;1
"292330 Ouriçangas";-;-;1;1;2
"292340 Palmas de Monte Alto";-;1;-;-;1
"292350 Palmeiras";2;1;4;3;10
"292360 Paramirim";-;-;-;1;1
"292390 Pau Brasil";-;1;-;2;3
"292405 Pé de Serra";-;-;-;1;1
"292460 Pindobaçu";2;1;1;2;6
"292467 Piraí do Norte";5;4;2;2;13
"292470 Piripá";-;1;1;-;2
"292500 Planalto";-;2;1;1;4
"292510 Poções";3;-;3;1;7
"292530 Porto Seguro";9;7;5;8;29
"292550 Prado";-;2;1;1;4
"292575 Presidente Tancredo Neves";2;3;4;1;10
"292595 Rafael Jambeiro";-;-;1;-;1
"292660 Ribeira do Pombal";-;1;-;-;1
"292740 Salvador";5;2;5;1;13
"292770 Santa Cruz Cabrália";2;1;-;-;3
"292790 Santa Inês";1;-;-;-;1
"292805 Santa Luzia";-;1;-;-;1
"292810 Santa Maria da Vitória";3;5;4;8;20
"292840 Santa Rita de Cássia";-;-;2;-;2
"292820 Santana";1;1;-;-;2
"292870 Santo Antônio de Jesus";-;-;1;-;1
"292890 São Desidério";1;-;-;-;1
"292905 São Félix do Coribe";3;4;3;4;14
"292925 São Gabriel";-;-;-;1;1
"292935 São José da Vitória";6;2;-;2;10
"292940 São Miguel das Matas";-;-;-;1;1
"292980 Saúde";-;-;-;3;3
"292990 Seabra";-;-;1;1;2
"293000 Sebastião Laranjeiras";1;-;1;-;2
"293015 Serra do Ramalho";-;-;1;-;1
"293050 Serrinha";-;1;-;-;1
"293070 Simões Filho";-;-;1;2;3
"293090 Tabocas do Brejo Velho";1;-;-;1;2
"293100 Tanhaçu";-;1;-;-;1
"293105 Tanque Novo";-;-;-;1;1
"293120 Taperoá";20;7;1;1;29
"293135 Teixeira de Freitas";1;-;-;-;1
"293160 Teolândia";11;7;3;1;22
"293180 Tremedal";1;1;1;-;3
"293190 Tucano";-;-;-;2;2
"293210 Ubaíra";3;1;-;2;6
"293220 Ubaitaba";1;2;2;-;5
"293230 Ubatã";-;1;-;2;3
"293250 Una";8;4;3;17;32
"293260 Urandi";-;-;1;-;1
"293270 Uruçuca";4;2;3;4;13
"293280 Utinga";-;1;4;10;15
"293290 Valença";22;21;30;24;97
"293315 Várzea Nova";-;-;-;1;1
"293317 Varzedo";-;-;-;1;1
"293330 Vitória da Conquista";-;-;-;1;1
"293340 Wagner";-;1;-;2;3
"293350 Wenceslau Guimarães";69;19;12;6;106
"Total";332;201;246;266;1045
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
