Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Crit.Confirm/Descarte
Período:2020, 2024
"Município Resid";"Clínico-Laboratorial";"Clínico-epidemiológico";"Total"
"291360 Ilhéus";2;23;25
"291370 Inhambupe";1;3;4
"291390 Ipiaú";1;13;14
"291420 Irajuba";-;2;2
"291430 Iramaia";-;1;1
"291440 Iraquara";4;1;5
"291450 Irará";1;2;3
"291460 Irecê";1;2;3
"291465 Itabela";1;-;1
"291480 Itabuna";-;2;2
"291490 Itacaré";1;10;11
"291510 Itagi";-;2;2
"291520 Itagibá";-;3;3
"291540 Itaju do Colônia";-;1;1
"291550 Itajuípe";-;5;5
"291560 Itamaraju";1;3;4
"291570 Itamari";15;6;21
"291580 Itambé";-;4;4
"291630 Itapebi";-;1;1
"291640 Itapetinga";1;2;3
"291660 Itapitanga";1;1;2
"291670 Itaquara";1;4;5
"291685 Itatim";1;-;1
"291690 Itiruçu";-;1;1
"291700 Itiúba";-;1;1
"291710 Itororó";1;-;1
"291720 Ituaçu";3;6;9
"291730 Ituberá";3;15;18
"291735 Jaborandi";1;2;3
"291740 Jacaraci";1;2;3
"291750 Jacobina";5;3;8
"291760 Jaguaquara";4;5;9
"291770 Jaguarari";4;8;12
"291800 Jequié";1;15;16
"291820 Jiquiriçá";7;17;24
"291830 Jitaúna";8;2;10
"291835 João Dourado";-;1;1
"291845 Jucuruçu";-;1;1
"291855 Jussari";-;2;2
"291870 Lafaiete Coutinho";-;1;1
"291880 Laje";5;-;5
"291890 Lajedão";-;1;1
"291900 Lajedinho";-;1;1
"291920 Lauro de Freitas";-;4;4
"291930 Lençóis";3;2;5
"291940 Licínio de Almeida";3;1;4
"291970 Macarani";-;5;5
"292020 Malhada";-;1;1
"292050 Maracás";-;1;1
"292060 Maragogipe";-;1;1
"292070 Maraú";2;32;34
"292090 Mascote";1;3;4
"292100 Mata de São João";1;-;1
"292120 Miguel Calmon";1;7;8
"292170 Morro do Chapéu";-;4;4
"292180 Mortugaba";1;-;1
"292190 Mucugê";-;2;2
"292200 Mucuri";1;-;1
"292225 Muquém de São Francisco";1;-;1
"292240 Mutuípe";20;88;108
"292250 Nazaré";1;1;2
"292260 Nilo Peçanha";6;14;20
"292265 Nordestina";-;1;1
"292270 Nova Canaã";1;8;9
"292275 Nova Ibiá";6;2;8
"292285 Nova Redenção";3;3;6
"292290 Nova Soure";-;1;1
"292320 Oliveira dos Brejinhos";1;-;1
"292350 Palmeiras";5;20;25
"292390 Pau Brasil";2;-;2
"292430 Piatã";-;1;1
"292450 Pindaí";-;1;1
"292460 Pindobaçu";2;15;17
"292467 Piraí do Norte";20;21;41
"292480 Piritiba";1;-;1
"292500 Planalto";-;10;10
"292510 Poções";2;1;3
"292530 Porto Seguro";-;25;25
"292550 Prado";-;3;3
"292575 Presidente Tancredo Neves";34;5;39
"292620 Riachão das Neves";-;2;2
"292670 Rio de Contas";1;-;1
"292720 Ruy Barbosa";1;-;1
"292740 Salvador";5;6;11
"292770 Santa Cruz Cabrália";-;8;8
"292790 Santa Inês";-;2;2
"292805 Santa Luzia";2;4;6
"292810 Santa Maria da Vitória";33;5;38
"292840 Santa Rita de Cássia";1;-;1
"292800 Santaluz";-;1;1
"292820 Santana";3;3;6
"292860 Santo Amaro";3;2;5
"292870 Santo Antônio de Jesus";1;1;2
"292890 São Desidério";4;-;4
"292895 São Domingos";-;1;1
"292905 São Félix do Coribe";21;6;27
"292930 São Gonçalo dos Campos";1;3;4
"292935 São José da Vitória";-;6;6
"292940 São Miguel das Matas";3;-;3
"292950 São Sebastião do Passé";-;1;1
"292970 Sátiro Dias";-;2;2
"292980 Saúde";2;5;7
"292990 Seabra";5;5;10
"293010 Senhor do Bonfim";1;13;14
"293015 Serra do Ramalho";-;3;3
"293030 Serra Dourada";1;2;3
"293075 Sítio do Mato";-;1;1
"293080 Souto Soares";-;2;2
"293090 Tabocas do Brejo Velho";-;2;2
"293100 Tanhaçu";-;2;2
"293105 Tanque Novo";-;1;1
"293120 Taperoá";75;72;147
"293135 Teixeira de Freitas";1;2;3
"293160 Teolândia";51;4;55
"293180 Tremedal";-;2;2
"293190 Tucano";1;-;1
"293200 Uauá";-;1;1
"293210 Ubaíra";14;8;22
"293220 Ubaitaba";1;6;7
"293230 Ubatã";1;5;6
"293240 Uibaí";1;-;1
"293250 Una";3;25;28
"293260 Urandi";1;-;1
"293270 Uruçuca";1;12;13
"293280 Utinga";-;4;4
"293290 Valença";75;59;134
"293305 Várzea da Roça";1;-;1
"293310 Várzea do Poço";-;1;1
"293320 Vera Cruz";1;-;1
"293330 Vitória da Conquista";2;5;7
"293340 Wagner";2;7;9
"293345 Wanderley";2;2;4
"293350 Wenceslau Guimarães";64;2;66
"293360 Xique-Xique";1;-;1
"Total";755;1155;1910
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
