Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Evolução do caso
Período:2020, 2024
"Município Resid";"Ign/Branco";"Cura";"Abandono";"Óbito por LTA";"Óbito por outra causa";"Tranferência";"Mudança de Diagnóstico";"Total"
"290840 Conceição do Coité";-;1;-;-;-;-;-;1
"290860 Conde";1;-;-;-;-;-;-;1
"290870 Condeúba";-;2;-;-;-;-;-;2
"290900 Cordeiros";1;-;-;-;-;-;-;1
"290910 Coribe";10;34;-;-;-;-;-;44
"290930 Correntina";2;12;-;-;-;-;-;14
"290950 Cravolândia";-;1;-;-;-;-;-;1
"290970 Cristópolis";-;1;-;-;-;-;-;1
"290990 Curaçá";1;-;-;-;-;-;1;2
"291000 Dário Meira";6;3;2;-;1;-;2;14
"291005 Dias d'Ávila";1;-;-;-;-;-;-;1
"291010 Dom Basílio";-;-;1;-;-;-;-;1
"291040 Encruzilhada";3;-;-;-;-;-;-;3
"291050 Entre Rios";1;1;-;-;-;-;-;2
"291060 Esplanada";-;-;-;-;-;-;2;2
"291072 Eunápolis";4;3;-;-;1;-;-;8
"291077 Feira da Mata";1;3;-;-;-;-;-;4
"291080 Feira de Santana";-;-;-;-;-;1;-;1
"291100 Floresta Azul";2;-;1;-;-;-;-;3
"291110 Formosa do Rio Preto";2;-;-;-;-;-;-;2
"291120 Gandu";3;27;-;-;-;-;-;30
"291150 Gongogi";2;-;-;-;-;-;-;2
"291160 Governador Mangabeira";-;1;-;-;-;-;-;1
"291170 Guanambi";1;4;-;-;-;-;-;5
"291180 Guaratinga";6;-;-;-;-;-;-;6
"291200 Ibiassucê";1;-;-;-;-;-;-;1
"291210 Ibicaraí";-;2;-;-;-;-;-;2
"291220 Ibicoara";8;28;1;-;-;-;2;39
"291230 Ibicuí";5;-;-;-;-;-;-;5
"291270 Ibirapitanga";1;13;1;-;-;-;-;15
"291290 Ibirataia";3;2;-;-;-;-;-;5
"291300 Ibitiara";1;1;-;-;-;-;-;2
"291310 Ibititá";-;1;-;-;-;-;-;1
"291345 Igrapiúna";14;2;-;-;-;-;-;16
"291350 Iguaí";-;20;-;-;-;-;-;20
"291360 Ilhéus";-;22;3;-;-;-;-;25
"291370 Inhambupe";-;-;-;-;-;-;4;4
"291390 Ipiaú";12;1;-;-;-;-;1;14
"291420 Irajuba";2;-;-;-;-;-;-;2
"291430 Iramaia";1;-;-;-;-;-;-;1
"291440 Iraquara";1;4;-;-;-;-;-;5
"291450 Irará";1;2;-;-;-;-;-;3
"291460 Irecê";-;3;-;-;-;-;-;3
"291465 Itabela";-;1;-;-;-;-;-;1
"291480 Itabuna";1;1;-;-;-;-;-;2
"291490 Itacaré";4;7;-;-;-;-;-;11
"291510 Itagi";2;-;-;-;-;-;-;2
"291520 Itagibá";2;-;-;-;-;1;-;3
"291540 Itaju do Colônia";1;-;-;-;-;-;-;1
"291550 Itajuípe";1;3;1;-;-;-;-;5
"291560 Itamaraju";1;3;-;-;-;-;-;4
"291570 Itamari";18;3;-;-;-;-;-;21
"291580 Itambé";2;2;-;-;-;-;-;4
"291630 Itapebi";1;-;-;-;-;-;-;1
"291640 Itapetinga";2;1;-;-;-;-;-;3
"291660 Itapitanga";1;1;-;-;-;-;-;2
"291670 Itaquara";3;2;-;-;-;-;-;5
"291685 Itatim";-;-;1;-;-;-;-;1
"291690 Itiruçu";1;-;-;-;-;-;-;1
"291700 Itiúba";-;-;-;-;-;-;1;1
"291710 Itororó";-;-;-;-;1;-;-;1
"291720 Ituaçu";4;4;1;-;-;-;-;9
"291730 Ituberá";7;10;1;-;-;-;-;18
"291735 Jaborandi";1;2;-;-;-;-;-;3
"291740 Jacaraci";-;2;-;-;-;-;1;3
"291750 Jacobina";4;2;2;-;-;-;-;8
"291760 Jaguaquara";3;6;-;-;-;-;-;9
"291770 Jaguarari";4;7;-;-;-;-;1;12
"291800 Jequié";13;3;-;-;-;-;-;16
"291820 Jiquiriçá";5;18;1;-;-;-;-;24
"291830 Jitaúna";4;6;-;-;-;-;-;10
"291835 João Dourado";1;-;-;-;-;-;-;1
"291845 Jucuruçu";1;-;-;-;-;-;-;1
"291855 Jussari";-;2;-;-;-;-;-;2
"291870 Lafaiete Coutinho";1;-;-;-;-;-;-;1
"291880 Laje";2;3;-;-;-;-;-;5
"291890 Lajedão";1;-;-;-;-;-;-;1
"291900 Lajedinho";-;1;-;-;-;-;-;1
"291920 Lauro de Freitas";-;1;-;-;-;-;3;4
"291930 Lençóis";5;-;-;-;-;-;-;5
"291940 Licínio de Almeida";2;2;-;-;-;-;-;4
"291970 Macarani";1;3;-;-;-;-;1;5
"292020 Malhada";1;-;-;-;-;-;-;1
"292050 Maracás";-;1;-;-;-;-;-;1
"292060 Maragogipe";1;-;-;-;-;-;-;1
"292070 Maraú";1;33;-;-;-;-;-;34
"292090 Mascote";3;-;-;-;-;1;-;4
"292100 Mata de São João";-;1;-;-;-;-;-;1
"292120 Miguel Calmon";3;-;-;1;-;-;4;8
"292170 Morro do Chapéu";-;4;-;-;-;-;-;4
"292180 Mortugaba";-;-;-;-;1;-;-;1
"292190 Mucugê";-;2;-;-;-;-;-;2
"292200 Mucuri";1;-;-;-;-;-;-;1
"292225 Muquém de São Francisco";1;-;-;-;-;-;-;1
"292240 Mutuípe";27;78;-;-;-;-;3;108
"292250 Nazaré";-;1;-;-;1;-;-;2
"292260 Nilo Peçanha";7;13;-;-;-;-;-;20
"292265 Nordestina";1;-;-;-;-;-;-;1
"292270 Nova Canaã";6;3;-;-;-;-;-;9
"292275 Nova Ibiá";1;7;-;-;-;-;-;8
"292285 Nova Redenção";-;3;-;-;-;1;2;6
"292290 Nova Soure";1;-;-;-;-;-;-;1
"292320 Oliveira dos Brejinhos";-;1;-;-;-;-;-;1
"292350 Palmeiras";13;10;1;-;-;-;1;25
"292390 Pau Brasil";-;2;-;-;-;-;-;2
"292430 Piatã";1;-;-;-;-;-;-;1
"292450 Pindaí";1;-;-;-;-;-;-;1
"292460 Pindobaçu";4;13;-;-;-;-;-;17
"292467 Piraí do Norte";12;29;-;-;-;-;-;41
"292480 Piritiba";-;1;-;-;-;-;-;1
"292500 Planalto";1;9;-;-;-;-;-;10
"292510 Poções";2;1;-;-;-;-;-;3
"292530 Porto Seguro";2;20;2;-;-;-;1;25
"292550 Prado";2;1;-;-;-;-;-;3
"292575 Presidente Tancredo Neves";1;27;11;-;-;-;-;39
"292620 Riachão das Neves";-;2;-;-;-;-;-;2
"292670 Rio de Contas";1;-;-;-;-;-;-;1
"292720 Ruy Barbosa";-;-;1;-;-;-;-;1
"292740 Salvador";6;1;-;-;1;2;1;11
"292770 Santa Cruz Cabrália";6;2;-;-;-;-;-;8
"292790 Santa Inês";-;-;-;-;1;1;-;2
"292805 Santa Luzia";6;-;-;-;-;-;-;6
"292810 Santa Maria da Vitória";4;34;-;-;-;-;-;38
"292840 Santa Rita de Cássia";-;1;-;-;-;-;-;1
"292800 Santaluz";1;-;-;-;-;-;-;1
"292820 Santana";6;-;-;-;-;-;-;6
"292860 Santo Amaro";5;-;-;-;-;-;-;5
"292870 Santo Antônio de Jesus";2;-;-;-;-;-;-;2
"292890 São Desidério";-;4;-;-;-;-;-;4
"292895 São Domingos";1;-;-;-;-;-;-;1
"292905 São Félix do Coribe";12;13;-;1;-;-;1;27
"292930 São Gonçalo dos Campos";3;-;-;-;-;1;-;4
"292935 São José da Vitória";-;5;-;-;-;-;1;6
"292940 São Miguel das Matas";2;1;-;-;-;-;-;3
"292950 São Sebastião do Passé";-;1;-;-;-;-;-;1
"292970 Sátiro Dias";2;-;-;-;-;-;-;2
"292980 Saúde";6;1;-;-;-;-;-;7
"292990 Seabra";2;7;-;-;-;1;-;10
"293010 Senhor do Bonfim";4;8;2;-;-;-;-;14
"293015 Serra do Ramalho";2;1;-;-;-;-;-;3
"293030 Serra Dourada";2;1;-;-;-;-;-;3
"293075 Sítio do Mato";1;-;-;-;-;-;-;1
"293080 Souto Soares";2;-;-;-;-;-;-;2
"293090 Tabocas do Brejo Velho";2;-;-;-;-;-;-;2
"293100 Tanhaçu";1;1;-;-;-;-;-;2
"293105 Tanque Novo";1;-;-;-;-;-;-;1
"293120 Taperoá";130;16;-;-;1;-;-;147
"293135 Teixeira de Freitas";2;1;-;-;-;-;-;3
"293160 Teolândia";19;36;-;-;-;-;-;55
"293180 Tremedal";2;-;-;-;-;-;-;2
"293190 Tucano";-;1;-;-;-;-;-;1
"293200 Uauá";1;-;-;-;-;-;-;1
"293210 Ubaíra";22;-;-;-;-;-;-;22
"293220 Ubaitaba";1;5;-;-;1;-;-;7
"293230 Ubatã";1;4;1;-;-;-;-;6
"293240 Uibaí";-;1;-;-;-;-;-;1
"293250 Una";4;23;-;-;-;-;1;28
"293260 Urandi";1;-;-;-;-;-;-;1
"293270 Uruçuca";3;9;1;-;-;-;-;13
"293280 Utinga";1;3;-;-;-;-;-;4
"293290 Valença";34;90;8;-;-;2;-;134
"293305 Várzea da Roça";-;1;-;-;-;-;-;1
"293310 Várzea do Poço";-;1;-;-;-;-;-;1
"293320 Vera Cruz";-;1;-;-;-;-;-;1
"293330 Vitória da Conquista";1;5;-;1;-;-;-;7
"293340 Wagner";3;6;-;-;-;-;-;9
"293345 Wanderley";4;-;-;-;-;-;-;4
"293350 Wenceslau Guimarães";20;46;-;-;-;-;-;66
"293360 Xique-Xique";-;-;1;-;-;-;-;1
"Total";740;1038;54;4;10;13;51;1910
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
