Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2020
"Município Resid";"Ignorado";"Masculino";"Feminino";"Total"
"291690 Itiruçu";-;1;-;1
"291700 Itiúba";-;1;-;1
"291710 Itororó";-;1;-;1
"291720 Ituaçu";-;2;4;6
"291730 Ituberá";-;6;5;11
"291735 Jaborandi";-;1;2;3
"291740 Jacaraci";-;1;1;2
"291750 Jacobina";-;5;2;7
"291760 Jaguaquara";-;2;3;5
"291770 Jaguarari";-;2;2;4
"291800 Jequié";-;7;3;10
"291820 Jiquiriçá";-;14;5;19
"291830 Jitaúna";-;5;3;8
"291855 Jussari";-;2;-;2
"291880 Laje";-;-;4;4
"291920 Lauro de Freitas";-;1;3;4
"291930 Lençóis";-;1;2;3
"291940 Licínio de Almeida";-;1;3;4
"291970 Macarani";-;2;2;4
"292060 Maragogipe";-;1;-;1
"292070 Maraú";-;17;8;25
"292090 Mascote";-;1;1;2
"292120 Miguel Calmon";-;2;3;5
"292170 Morro do Chapéu";-;2;1;3
"292190 Mucugê";-;1;1;2
"292200 Mucuri";-;-;1;1
"292225 Muquém de São Francisco";-;-;1;1
"292240 Mutuípe";-;42;29;71
"292250 Nazaré";-;-;2;2
"292260 Nilo Peçanha";-;8;5;13
"292265 Nordestina";-;-;1;1
"292270 Nova Canaã";-;1;2;3
"292275 Nova Ibiá";-;5;1;6
"292285 Nova Redenção";-;1;3;4
"292320 Oliveira dos Brejinhos";-;1;-;1
"292350 Palmeiras";-;-;1;1
"292390 Pau Brasil";-;2;-;2
"292460 Pindobaçu";-;6;5;11
"292467 Piraí do Norte";-;25;11;36
"292480 Piritiba";-;1;-;1
"292500 Planalto";-;7;3;10
"292510 Poções";-;1;1;2
"292530 Porto Seguro";-;4;2;6
"292550 Prado";-;1;-;1
"292575 Presidente Tancredo Neves";-;22;15;37
"292620 Riachão das Neves";-;1;1;2
"292720 Ruy Barbosa";-;1;-;1
"292740 Salvador";-;3;1;4
"292770 Santa Cruz Cabrália";-;2;2;4
"292805 Santa Luzia";-;3;2;5
"292810 Santa Maria da Vitória";-;17;14;31
"292840 Santa Rita de Cássia";-;1;-;1
"292800 Santaluz";-;-;1;1
"292820 Santana";-;3;2;5
"292870 Santo Antônio de Jesus";-;-;1;1
"292890 São Desidério";-;3;-;3
"292895 São Domingos";-;1;-;1
"292905 São Félix do Coribe";-;11;10;21
"292930 São Gonçalo dos Campos";-;2;1;3
"292935 São José da Vitória";-;-;1;1
"292940 São Miguel das Matas";-;2;1;3
"292950 São Sebastião do Passé";-;1;-;1
"292970 Sátiro Dias";-;2;-;2
"292980 Saúde";-;2;1;3
"292990 Seabra";-;3;1;4
"293010 Senhor do Bonfim";-;3;1;4
"293015 Serra do Ramalho";-;1;1;2
"293030 Serra Dourada";-;1;-;1
"293075 Sítio do Mato";-;1;-;1
"293120 Taperoá";-;80;61;141
"293160 Teolândia";-;27;26;53
"293190 Tucano";-;-;1;1
"293210 Ubaíra";-;8;11;19
"293220 Ubaitaba";-;2;3;5
"293230 Ubatã";-;3;2;5
"293250 Una";1;13;12;26
"293270 Uruçuca";-;5;6;11
"293280 Utinga";-;1;-;1
"293290 Valença";-;72;49;121
"293330 Vitória da Conquista";-;2;2;4
"293340 Wagner";-;3;1;4
"293350 Wenceslau Guimarães";-;35;22;57
"Total";1;780;564;1345
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
