Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária SINAN
Período:2020
"Município Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"291000 Dário Meira";-;-;-;1;2;1;3;1;1;-;9
"291005 Dias d'Ávila";-;-;-;-;-;1;-;-;-;-;1
"291050 Entre Rios";-;-;-;-;-;-;2;-;-;-;2
"291072 Eunápolis";-;-;1;1;-;-;-;-;-;1;3
"291077 Feira da Mata";-;-;-;1;-;1;-;1;-;-;3
"291080 Feira de Santana";-;-;-;-;-;-;-;1;-;-;1
"291100 Floresta Azul";-;-;-;-;-;-;1;-;-;-;1
"291120 Gandu";-;-;2;2;1;3;5;4;3;-;20
"291150 Gongogi";-;-;-;-;1;-;-;-;-;-;1
"291170 Guanambi";-;-;-;-;-;2;-;1;-;-;3
"291180 Guaratinga";-;-;-;-;-;-;1;1;-;-;2
"291210 Ibicaraí";-;-;-;-;-;-;1;-;-;-;1
"291220 Ibicoara";-;1;-;1;2;7;4;6;3;-;24
"291230 Ibicuí";-;-;-;2;-;-;-;-;-;-;2
"291270 Ibirapitanga";-;-;-;-;1;-;6;3;2;-;12
"291290 Ibirataia";-;-;-;-;-;1;1;-;-;-;2
"291310 Ibititá";-;-;-;-;-;1;-;-;-;-;1
"291345 Igrapiúna";-;-;-;-;3;1;3;3;3;1;14
"291350 Iguaí";-;-;-;1;-;2;3;1;3;-;10
"291360 Ilhéus";-;2;-;1;4;2;7;4;2;-;22
"291370 Inhambupe";-;-;-;-;-;1;-;-;-;-;1
"291390 Ipiaú";-;-;-;-;1;2;-;2;4;1;10
"291440 Iraquara";-;-;-;-;-;1;1;-;-;-;2
"291450 Irará";-;1;-;-;-;1;-;-;-;-;2
"291465 Itabela";-;-;-;-;-;1;-;-;-;-;1
"291480 Itabuna";-;-;-;-;-;-;-;1;-;-;1
"291490 Itacaré";-;-;-;-;1;1;2;4;1;-;9
"291510 Itagi";-;-;-;-;1;-;-;-;-;-;1
"291520 Itagibá";-;-;1;-;-;-;-;-;-;-;1
"291540 Itaju do Colônia";-;-;-;-;-;-;1;-;-;-;1
"291550 Itajuípe";-;-;-;-;1;1;-;-;-;-;2
"291560 Itamaraju";-;-;-;-;1;-;-;1;-;-;2
"291570 Itamari";-;1;-;-;-;3;7;2;-;-;13
"291580 Itambé";-;-;-;-;1;-;-;-;-;1;2
"291640 Itapetinga";-;-;-;-;-;-;-;1;1;-;2
"291660 Itapitanga";-;-;-;-;-;-;-;1;-;-;1
"291670 Itaquara";-;-;-;-;-;2;1;-;-;-;3
"291685 Itatim";-;-;-;-;-;-;-;-;1;-;1
"291690 Itiruçu";-;-;-;-;-;1;-;-;-;-;1
"291700 Itiúba";-;-;-;-;-;-;-;1;-;-;1
"291710 Itororó";-;-;-;-;-;-;-;-;1;-;1
"291720 Ituaçu";-;-;-;-;-;1;2;1;2;-;6
"291730 Ituberá";-;-;-;-;1;4;4;1;1;-;11
"291735 Jaborandi";-;-;-;-;-;1;-;-;1;1;3
"291740 Jacaraci";-;-;-;-;-;1;-;-;1;-;2
"291750 Jacobina";-;-;1;-;-;3;1;1;-;1;7
"291760 Jaguaquara";-;-;1;-;-;-;1;2;1;-;5
"291770 Jaguarari";-;-;-;1;-;1;-;1;1;-;4
"291800 Jequié";-;1;1;-;-;5;1;-;2;-;10
"291820 Jiquiriçá";1;-;2;1;3;5;4;1;2;-;19
"291830 Jitaúna";-;-;-;1;1;4;-;1;1;-;8
"291855 Jussari";-;-;-;-;-;-;1;-;1;-;2
"291880 Laje";-;-;1;-;-;-;1;2;-;-;4
"291920 Lauro de Freitas";-;-;-;-;1;1;-;2;-;-;4
"291930 Lençóis";-;-;-;-;-;3;-;-;-;-;3
"291940 Licínio de Almeida";-;-;-;-;-;1;-;1;2;-;4
"291970 Macarani";-;-;-;1;1;-;1;1;-;-;4
"292060 Maragogipe";-;-;-;-;-;1;-;-;-;-;1
"292070 Maraú";-;-;1;3;3;8;5;2;2;1;25
"292090 Mascote";-;-;-;-;-;1;-;-;1;-;2
"292120 Miguel Calmon";-;-;-;-;-;1;-;1;1;2;5
"292170 Morro do Chapéu";-;-;-;-;-;1;1;1;-;-;3
"292190 Mucugê";-;-;-;-;-;-;1;1;-;-;2
"292200 Mucuri";-;-;-;-;1;-;-;-;-;-;1
"292225 Muquém de São Francisco";-;-;-;1;-;-;-;-;-;-;1
"292240 Mutuípe";4;-;1;5;5;12;20;16;7;1;71
"292250 Nazaré";-;-;-;1;-;-;-;-;1;-;2
"292260 Nilo Peçanha";1;-;1;3;1;1;2;3;1;-;13
"292265 Nordestina";-;-;-;-;1;-;-;-;-;-;1
"292270 Nova Canaã";-;-;-;-;-;-;1;2;-;-;3
"292275 Nova Ibiá";1;-;-;1;-;1;3;-;-;-;6
"292285 Nova Redenção";-;-;1;-;1;1;1;-;-;-;4
"292320 Oliveira dos Brejinhos";-;-;-;-;-;-;-;1;-;-;1
"292350 Palmeiras";-;-;-;-;-;1;-;-;-;-;1
"292390 Pau Brasil";-;-;-;1;-;-;-;1;-;-;2
"292460 Pindobaçu";-;-;-;-;-;1;-;6;1;3;11
"292467 Piraí do Norte";1;3;2;2;8;6;8;5;1;-;36
"292480 Piritiba";-;-;-;-;-;-;1;-;-;-;1
"292500 Planalto";-;-;-;-;3;2;2;3;-;-;10
"292510 Poções";-;-;-;-;-;1;-;-;1;-;2
"292530 Porto Seguro";-;-;-;-;2;1;1;2;-;-;6
"292550 Prado";-;-;-;-;-;-;-;-;-;1;1
"292575 Presidente Tancredo Neves";-;-;4;3;8;11;7;3;-;1;37
"292620 Riachão das Neves";-;1;-;-;-;-;-;1;-;-;2
"292720 Ruy Barbosa";-;-;-;-;-;-;-;-;-;1;1
"292740 Salvador";-;-;1;-;1;-;1;1;-;-;4
"292770 Santa Cruz Cabrália";-;-;1;-;-;-;1;1;1;-;4
"292805 Santa Luzia";-;-;-;1;-;-;-;1;2;1;5
"292810 Santa Maria da Vitória";-;-;3;1;5;11;3;6;1;1;31
"292840 Santa Rita de Cássia";-;-;-;-;-;-;1;-;-;-;1
"292800 Santaluz";-;-;-;-;-;-;1;-;-;-;1
"292820 Santana";-;-;-;-;-;1;2;2;-;-;5
"292870 Santo Antônio de Jesus";-;1;-;-;-;-;-;-;-;-;1
"292890 São Desidério";-;-;-;-;1;1;1;-;-;-;3
"292895 São Domingos";-;-;1;-;-;-;-;-;-;-;1
"292905 São Félix do Coribe";-;-;1;-;1;4;7;5;3;-;21
"292930 São Gonçalo dos Campos";-;1;-;2;-;-;-;-;-;-;3
"292935 São José da Vitória";-;-;-;1;-;-;-;-;-;-;1
"292940 São Miguel das Matas";-;-;-;-;-;1;-;1;1;-;3
"292950 São Sebastião do Passé";-;-;-;-;-;1;-;-;-;-;1
"292970 Sátiro Dias";-;-;-;1;-;-;-;1;-;-;2
"292980 Saúde";-;-;-;-;-;-;-;3;-;-;3
"292990 Seabra";-;-;-;1;1;1;-;1;-;-;4
"293010 Senhor do Bonfim";-;-;-;-;-;1;1;1;1;-;4
"293015 Serra do Ramalho";-;-;-;-;-;1;-;1;-;-;2
"293030 Serra Dourada";-;-;-;-;-;-;-;-;1;-;1
"293075 Sítio do Mato";-;-;-;-;-;-;1;-;-;-;1
"293120 Taperoá";-;6;9;20;19;25;40;10;11;1;141
"293160 Teolândia";1;2;8;4;5;22;8;2;1;-;53
"293190 Tucano";-;-;-;-;-;-;-;-;-;1;1
"293210 Ubaíra";-;-;-;-;2;-;8;4;4;1;19
"293220 Ubaitaba";-;-;-;-;-;-;1;4;-;-;5
"293230 Ubatã";-;-;-;-;-;1;1;2;1;-;5
"293250 Una";-;-;-;3;2;8;2;6;4;1;26
"293270 Uruçuca";-;1;-;-;-;2;3;1;3;1;11
"293280 Utinga";-;-;-;-;-;1;-;-;-;-;1
"293290 Valença";-;4;13;12;16;30;23;17;6;-;121
"293330 Vitória da Conquista";-;-;-;-;-;-;2;1;1;-;4
"293340 Wagner";-;-;-;-;-;2;-;-;2;-;4
"293350 Wenceslau Guimarães";-;3;3;8;10;12;10;7;4;-;57
"Total";15;36;73;101;146;287;296;233;130;28;1345
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
