Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Raça
Período:2020
"Município Resid";"Ign/Branco";"Branca";"Preta";"Amarela";"Parda";"Indigena";"Total"
"291310 Ibititá";-;-;-;-;1;-;1
"291345 Igrapiúna";-;1;7;-;6;-;14
"291350 Iguaí";4;2;-;-;4;-;10
"291360 Ilhéus";3;2;1;-;13;3;22
"291370 Inhambupe";-;-;-;-;1;-;1
"291390 Ipiaú";-;1;4;-;5;-;10
"291440 Iraquara";-;-;-;-;2;-;2
"291450 Irará";-;-;-;-;2;-;2
"291465 Itabela";-;-;-;-;1;-;1
"291480 Itabuna";-;-;-;-;1;-;1
"291490 Itacaré";2;1;2;-;4;-;9
"291510 Itagi";-;-;1;-;-;-;1
"291520 Itagibá";-;-;1;-;-;-;1
"291540 Itaju do Colônia";1;-;-;-;-;-;1
"291550 Itajuípe";-;-;-;-;2;-;2
"291560 Itamaraju";-;-;-;-;2;-;2
"291570 Itamari";-;-;-;-;13;-;13
"291580 Itambé";-;1;1;-;-;-;2
"291640 Itapetinga";-;-;1;-;1;-;2
"291660 Itapitanga";-;-;1;-;-;-;1
"291670 Itaquara";1;-;-;-;2;-;3
"291685 Itatim";-;-;-;-;1;-;1
"291690 Itiruçu";-;-;-;-;1;-;1
"291700 Itiúba";-;1;-;-;-;-;1
"291710 Itororó";1;-;-;-;-;-;1
"291720 Ituaçu";-;1;2;-;3;-;6
"291730 Ituberá";-;-;10;-;1;-;11
"291735 Jaborandi";-;-;-;-;3;-;3
"291740 Jacaraci";-;2;-;-;-;-;2
"291750 Jacobina";3;-;-;-;4;-;7
"291760 Jaguaquara";1;1;1;-;2;-;5
"291770 Jaguarari";-;-;-;-;4;-;4
"291800 Jequié";-;3;1;-;6;-;10
"291820 Jiquiriçá";2;1;9;-;7;-;19
"291830 Jitaúna";-;-;-;-;8;-;8
"291855 Jussari";-;-;1;-;1;-;2
"291880 Laje";-;-;1;-;3;-;4
"291920 Lauro de Freitas";1;-;1;-;2;-;4
"291930 Lençóis";1;-;1;-;1;-;3
"291940 Licínio de Almeida";-;1;-;-;3;-;4
"291970 Macarani";-;-;-;-;4;-;4
"292060 Maragogipe";-;-;-;-;1;-;1
"292070 Maraú";1;-;11;-;13;-;25
"292090 Mascote";-;1;1;-;-;-;2
"292120 Miguel Calmon";-;1;1;-;3;-;5
"292170 Morro do Chapéu";-;-;1;-;2;-;3
"292190 Mucugê";-;-;-;-;2;-;2
"292200 Mucuri";-;-;-;-;1;-;1
"292225 Muquém de São Francisco";-;-;1;-;-;-;1
"292240 Mutuípe";4;12;24;-;31;-;71
"292250 Nazaré";-;-;-;-;2;-;2
"292260 Nilo Peçanha";-;-;4;1;8;-;13
"292265 Nordestina";-;-;-;-;1;-;1
"292270 Nova Canaã";-;-;-;-;3;-;3
"292275 Nova Ibiá";-;-;-;-;6;-;6
"292285 Nova Redenção";1;1;-;-;2;-;4
"292320 Oliveira dos Brejinhos";-;-;-;-;1;-;1
"292350 Palmeiras";-;-;-;-;1;-;1
"292390 Pau Brasil";-;-;-;-;1;1;2
"292460 Pindobaçu";1;1;1;-;8;-;11
"292467 Piraí do Norte";2;2;6;2;22;2;36
"292480 Piritiba";-;-;-;-;1;-;1
"292500 Planalto";-;-;2;-;8;-;10
"292510 Poções";1;-;1;-;-;-;2
"292530 Porto Seguro";-;1;1;-;4;-;6
"292550 Prado";-;-;1;-;-;-;1
"292575 Presidente Tancredo Neves";-;-;-;-;37;-;37
"292620 Riachão das Neves";-;1;-;-;1;-;2
"292720 Ruy Barbosa";-;1;-;-;-;-;1
"292740 Salvador";-;-;-;-;4;-;4
"292770 Santa Cruz Cabrália";-;2;-;-;2;-;4
"292805 Santa Luzia";-;1;-;-;4;-;5
"292810 Santa Maria da Vitória";-;7;2;-;22;-;31
"292840 Santa Rita de Cássia";-;-;1;-;-;-;1
"292800 Santaluz";-;-;-;-;1;-;1
"292820 Santana";-;1;1;1;2;-;5
"292870 Santo Antônio de Jesus";-;-;-;-;1;-;1
"292890 São Desidério";-;-;1;-;2;-;3
"292895 São Domingos";-;-;-;-;1;-;1
"292905 São Félix do Coribe";3;3;3;-;12;-;21
"292930 São Gonçalo dos Campos";1;-;-;-;2;-;3
"292935 São José da Vitória";-;-;-;-;1;-;1
"292940 São Miguel das Matas";-;-;-;-;3;-;3
"292950 São Sebastião do Passé";1;-;-;-;-;-;1
"292970 Sátiro Dias";1;-;-;-;1;-;2
"292980 Saúde";1;1;-;-;1;-;3
"292990 Seabra";-;-;-;-;4;-;4
"293010 Senhor do Bonfim";-;-;-;-;4;-;4
"293015 Serra do Ramalho";1;-;-;-;1;-;2
"293030 Serra Dourada";-;-;-;-;1;-;1
"293075 Sítio do Mato";-;-;-;-;1;-;1
"293120 Taperoá";1;1;75;-;64;-;141
"293160 Teolândia";-;-;-;-;52;1;53
"293190 Tucano";-;-;-;-;1;-;1
"293210 Ubaíra";-;1;7;-;11;-;19
"293220 Ubaitaba";-;1;2;-;2;-;5
"293230 Ubatã";1;-;3;-;1;-;5
"293250 Una";2;-;5;1;18;-;26
"293270 Uruçuca";-;3;1;-;7;-;11
"293280 Utinga";-;-;-;-;1;-;1
"293290 Valença";-;4;64;-;53;-;121
"293330 Vitória da Conquista";-;-;1;-;3;-;4
"293340 Wagner";-;-;1;-;3;-;4
"293350 Wenceslau Guimarães";1;1;-;-;54;1;57
"Total";86;97;313;6;833;10;1345
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
