Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Trim.Diagnóstico
Período:2020
"Município Resid";"1 Trimestre";"2 Trimestre";"3 Trimestre";"4 Trimestre";"Total"
"291520 Itagibá";-;-;-;1;1
"291540 Itaju do Colônia";-;1;-;-;1
"291550 Itajuípe";-;-;2;-;2
"291560 Itamaraju";-;2;-;-;2
"291570 Itamari";1;-;5;7;13
"291580 Itambé";-;2;-;-;2
"291640 Itapetinga";-;-;1;1;2
"291660 Itapitanga";1;-;-;-;1
"291670 Itaquara";1;-;-;2;3
"291685 Itatim";-;1;-;-;1
"291690 Itiruçu";-;1;-;-;1
"291700 Itiúba";-;-;1;-;1
"291710 Itororó";-;1;-;-;1
"291720 Ituaçu";2;1;2;1;6
"291730 Ituberá";1;3;3;4;11
"291735 Jaborandi";-;1;1;1;3
"291740 Jacaraci";2;-;-;-;2
"291750 Jacobina";2;2;2;1;7
"291760 Jaguaquara";-;2;2;1;5
"291770 Jaguarari";-;4;-;-;4
"291800 Jequié";4;3;2;1;10
"291820 Jiquiriçá";8;3;5;3;19
"291830 Jitaúna";-;-;4;4;8
"291855 Jussari";-;-;1;1;2
"291880 Laje";2;-;1;1;4
"291920 Lauro de Freitas";1;1;1;1;4
"291930 Lençóis";-;-;-;3;3
"291940 Licínio de Almeida";1;-;2;1;4
"291970 Macarani";3;-;-;1;4
"292060 Maragogipe";1;-;-;-;1
"292070 Maraú";7;10;3;5;25
"292090 Mascote";-;-;-;2;2
"292120 Miguel Calmon";2;1;1;1;5
"292170 Morro do Chapéu";1;1;-;1;3
"292190 Mucugê";-;-;1;1;2
"292200 Mucuri";-;-;1;-;1
"292225 Muquém de São Francisco";-;-;-;1;1
"292240 Mutuípe";11;22;24;14;71
"292250 Nazaré";-;-;2;-;2
"292260 Nilo Peçanha";2;5;2;4;13
"292265 Nordestina";-;1;-;-;1
"292270 Nova Canaã";1;-;1;1;3
"292275 Nova Ibiá";-;2;3;1;6
"292285 Nova Redenção";1;-;-;3;4
"292320 Oliveira dos Brejinhos";-;-;1;-;1
"292350 Palmeiras";1;-;-;-;1
"292390 Pau Brasil";-;1;-;1;2
"292460 Pindobaçu";6;1;1;3;11
"292467 Piraí do Norte";11;6;11;8;36
"292480 Piritiba";-;-;-;1;1
"292500 Planalto";3;2;-;5;10
"292510 Poções";1;-;1;-;2
"292530 Porto Seguro";2;1;1;2;6
"292550 Prado";1;-;-;-;1
"292575 Presidente Tancredo Neves";14;13;7;3;37
"292620 Riachão das Neves";1;-;1;-;2
"292720 Ruy Barbosa";-;1;-;-;1
"292740 Salvador";1;-;1;2;4
"292770 Santa Cruz Cabrália";1;1;1;1;4
"292805 Santa Luzia";-;-;2;3;5
"292810 Santa Maria da Vitória";13;2;4;12;31
"292840 Santa Rita de Cássia";-;-;1;-;1
"292800 Santaluz";-;1;-;-;1
"292820 Santana";4;-;-;1;5
"292870 Santo Antônio de Jesus";1;-;-;-;1
"292890 São Desidério";-;2;1;-;3
"292895 São Domingos";-;-;1;-;1
"292905 São Félix do Coribe";7;4;5;5;21
"292930 São Gonçalo dos Campos";-;2;1;-;3
"292935 São José da Vitória";-;-;-;1;1
"292940 São Miguel das Matas";-;-;2;1;3
"292950 São Sebastião do Passé";-;1;-;-;1
"292970 Sátiro Dias";-;2;-;-;2
"292980 Saúde";3;-;-;-;3
"292990 Seabra";-;1;1;2;4
"293010 Senhor do Bonfim";-;1;1;2;4
"293015 Serra do Ramalho";1;1;-;-;2
"293030 Serra Dourada";-;-;1;-;1
"293075 Sítio do Mato";-;-;1;-;1
"293120 Taperoá";36;41;49;15;141
"293160 Teolândia";11;21;18;3;53
"293190 Tucano";-;-;1;-;1
"293210 Ubaíra";4;4;7;4;19
"293220 Ubaitaba";1;3;1;-;5
"293230 Ubatã";3;1;1;-;5
"293250 Una";10;6;4;6;26
"293270 Uruçuca";2;2;5;2;11
"293280 Utinga";-;-;-;1;1
"293290 Valença";60;18;23;20;121
"293330 Vitória da Conquista";2;1;-;1;4
"293340 Wagner";-;-;-;4;4
"293350 Wenceslau Guimarães";28;4;16;9;57
"Total";408;326;334;277;1345
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
