Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária SINAN
Período:2023
"Município Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"291110 Formosa do Rio Preto";-;-;-;-;-;2;1;-;-;-;3
"291120 Gandu";1;-;-;-;1;2;3;5;1;1;14
"291130 Gentio do Ouro";-;-;-;-;-;-;2;-;-;-;2
"291160 Governador Mangabeira";-;-;-;1;-;-;-;-;-;-;1
"291180 Guaratinga";-;-;-;2;-;1;-;-;-;-;3
"291200 Ibiassucê";-;-;-;1;-;-;-;-;-;-;1
"291210 Ibicaraí";-;-;-;-;-;-;-;1;-;-;1
"291220 Ibicoara";1;-;-;4;2;3;6;3;2;-;21
"291230 Ibicuí";-;-;-;-;-;-;-;1;-;-;1
"291270 Ibirapitanga";-;-;1;-;-;-;1;-;1;-;3
"291290 Ibirataia";-;-;1;-;1;1;1;2;-;1;7
"291340 Igaporã";-;-;-;-;-;-;-;1;1;-;2
"291345 Igrapiúna";-;-;-;-;-;1;-;-;1;-;2
"291350 Iguaí";-;1;-;-;-;4;3;2;1;2;13
"291360 Ilhéus";-;-;-;-;1;1;4;4;4;2;16
"291370 Inhambupe";-;-;1;2;-;-;-;-;-;-;3
"291390 Ipiaú";-;-;-;-;-;-;3;3;1;-;7
"291420 Irajuba";-;-;-;-;-;2;-;-;1;-;3
"291440 Iraquara";-;-;-;-;-;3;1;2;2;-;8
"291480 Itabuna";-;1;-;-;-;-;-;-;-;-;1
"291490 Itacaré";-;-;1;-;3;4;3;-;2;1;14
"291500 Itaeté";-;-;-;-;-;-;1;1;1;-;3
"291520 Itagibá";-;-;-;-;-;-;1;-;-;-;1
"291550 Itajuípe";-;-;-;-;-;-;1;-;-;-;1
"291560 Itamaraju";-;-;-;2;-;-;-;-;-;-;2
"291570 Itamari";-;-;-;-;1;2;2;3;-;-;8
"291580 Itambé";-;-;2;1;1;-;-;2;-;-;6
"291640 Itapetinga";-;-;-;-;-;-;1;1;2;-;4
"291670 Itaquara";1;-;-;-;-;-;2;-;1;-;4
"291720 Ituaçu";-;-;-;-;-;-;1;-;1;-;2
"291730 Ituberá";-;1;-;-;-;1;1;1;-;-;4
"291733 Iuiú";-;-;-;-;-;1;-;-;-;-;1
"291735 Jaborandi";-;-;-;-;-;-;1;-;-;-;1
"291740 Jacaraci";-;1;-;-;1;-;-;-;-;-;2
"291750 Jacobina";-;-;1;-;3;-;2;1;1;-;8
"291760 Jaguaquara";-;-;-;2;-;1;3;-;-;-;6
"291770 Jaguarari";-;-;-;2;1;-;2;1;-;-;6
"291780 Jaguaripe";-;-;-;-;-;-;1;-;-;-;1
"291800 Jequié";1;-;-;-;1;1;2;-;-;-;5
"291810 Jeremoabo";-;-;-;-;-;-;-;1;-;-;1
"291820 Jiquiriçá";-;-;-;4;-;2;2;5;2;-;15
"291830 Jitaúna";-;-;1;-;1;1;4;1;2;-;10
"291835 João Dourado";-;-;-;-;-;-;-;1;-;-;1
"291840 Juazeiro";-;-;-;-;1;1;-;-;-;-;2
"291845 Jucuruçu";1;-;-;2;-;-;-;-;-;-;3
"291880 Laje";-;1;-;-;2;1;6;2;-;-;12
"291920 Lauro de Freitas";-;-;-;1;-;-;1;1;-;-;3
"291930 Lençóis";-;-;1;2;-;1;5;3;-;-;12
"291950 Livramento de Nossa Senhora";-;-;-;1;-;-;-;-;1;-;2
"291980 Macaúbas";-;-;-;-;-;-;1;-;-;-;1
"291995 Maetinga";-;-;-;-;-;-;1;-;-;-;1
"292070 Maraú";-;2;-;2;-;1;3;5;5;-;18
"292090 Mascote";-;-;-;-;-;1;-;-;2;-;3
"292100 Mata de São João";-;-;-;-;-;2;1;-;-;-;3
"292120 Miguel Calmon";-;-;-;-;-;-;7;2;-;1;10
"292130 Milagres";-;-;-;-;-;-;-;-;1;-;1
"292140 Mirangaba";-;-;-;-;-;-;1;1;-;-;2
"292170 Morro do Chapéu";-;-;-;-;-;-;2;-;-;-;2
"292190 Mucugê";-;-;-;-;2;1;-;-;1;-;4
"292220 Muniz Ferreira";-;-;-;-;-;-;1;-;-;-;1
"292225 Muquém de São Francisco";-;-;-;-;-;-;1;-;-;-;1
"292240 Mutuípe";-;2;2;3;-;11;14;14;8;2;56
"292260 Nilo Peçanha";-;-;1;1;-;6;4;1;-;-;13
"292270 Nova Canaã";-;-;-;-;-;-;-;2;-;1;3
"292275 Nova Ibiá";-;-;-;-;-;1;2;2;-;-;5
"292285 Nova Redenção";-;-;-;-;-;-;1;-;-;-;1
"292303 Novo Horizonte";-;-;-;-;-;1;-;-;-;-;1
"292320 Oliveira dos Brejinhos";-;-;-;-;-;-;1;-;-;-;1
"292350 Palmeiras";-;-;1;-;7;1;9;2;2;-;22
"292390 Pau Brasil";-;-;-;1;-;1;1;2;1;-;6
"292410 Pedrão";-;1;-;-;-;-;-;-;-;-;1
"292460 Pindobaçu";1;-;-;-;-;3;4;1;2;1;12
"292467 Piraí do Norte";-;1;-;-;1;1;1;-;-;-;4
"292470 Piripá";-;-;-;-;-;-;1;3;-;-;4
"292480 Piritiba";-;-;-;-;-;1;-;-;-;-;1
"292510 Poções";-;-;-;-;1;-;-;1;2;-;4
"292520 Pojuca";-;-;2;-;-;3;1;-;1;-;7
"292525 Ponto Novo";-;-;-;-;-;-;-;1;-;-;1
"292530 Porto Seguro";-;1;-;2;3;10;12;11;4;2;45
"292550 Prado";-;-;-;-;-;1;-;1;-;-;2
"292575 Presidente Tancredo Neves";-;-;-;-;1;1;2;-;1;-;5
"292590 Quijingue";-;-;-;-;-;-;-;1;-;-;1
"292593 Quixabeira";-;-;-;-;-;-;1;-;1;-;2
"292620 Riachão das Neves";-;-;-;-;-;-;-;-;1;-;1
"292665 Ribeirão do Largo";-;-;-;-;-;-;-;1;-;-;1
"292680 Rio do Antônio";-;-;-;1;-;-;-;-;-;-;1
"292720 Ruy Barbosa";-;-;-;-;-;-;1;-;-;-;1
"292740 Salvador";-;-;2;1;-;3;6;2;2;1;17
"292770 Santa Cruz Cabrália";-;-;-;-;1;-;3;-;1;-;5
"292805 Santa Luzia";-;1;-;1;-;-;-;1;3;-;6
"292810 Santa Maria da Vitória";-;-;3;2;3;1;2;2;2;-;15
"292840 Santa Rita de Cássia";-;-;-;-;-;-;-;1;-;-;1
"292850 Santa Teresinha";-;-;-;-;-;-;1;-;-;-;1
"292860 Santo Amaro";-;-;-;-;-;1;-;-;-;-;1
"292870 Santo Antônio de Jesus";-;-;-;-;-;-;1;-;-;-;1
"292890 São Desidério";-;-;-;-;-;-;1;-;1;-;2
"292900 São Félix";-;-;-;-;-;-;-;1;-;-;1
"292905 São Félix do Coribe";-;-;1;-;-;2;4;-;3;1;11
"292935 São José da Vitória";-;-;-;-;1;-;3;1;1;-;6
"292940 São Miguel das Matas";-;1;-;-;-;-;-;1;-;-;2
"292960 Sapeaçu";-;-;-;-;-;-;1;-;-;-;1
"292980 Saúde";-;-;-;2;1;1;2;2;1;-;9
"292990 Seabra";-;1;1;-;-;1;-;-;-;-;3
"293010 Senhor do Bonfim";-;-;-;-;-;1;2;-;-;-;3
"293015 Serra do Ramalho";1;-;-;-;-;1;-;1;-;-;3
"293030 Serra Dourada";-;-;-;-;-;-;2;-;-;-;2
"293050 Serrinha";-;-;-;-;-;2;-;-;1;1;4
"293090 Tabocas do Brejo Velho";-;1;-;-;1;-;2;2;-;-;6
"293100 Tanhaçu";-;-;-;1;-;-;-;-;-;-;1
"293120 Taperoá";-;-;-;2;-;3;5;-;2;1;13
"293135 Teixeira de Freitas";-;-;-;-;-;-;-;2;-;-;2
"293160 Teolândia";-;-;-;-;-;3;4;1;-;-;8
"293180 Tremedal";-;-;-;-;-;-;-;2;-;-;2
"293210 Ubaíra";-;-;-;-;1;3;3;-;-;-;7
"293220 Ubaitaba";-;-;-;-;-;-;-;2;1;-;3
"293230 Ubatã";-;-;-;-;1;1;2;-;1;-;5
"293250 Una";1;1;1;1;3;8;4;2;4;1;26
"293270 Uruçuca";-;-;1;-;1;2;4;-;3;-;11
"293280 Utinga";-;-;-;-;2;2;4;1;2;-;11
"293290 Valença";-;-;4;3;8;9;7;11;1;-;43
"293330 Vitória da Conquista";-;-;-;-;-;1;2;1;2;1;7
"293340 Wagner";-;-;-;-;1;2;-;-;-;-;3
"293350 Wenceslau Guimarães";-;1;3;3;3;7;9;3;2;-;31
"293360 Xique-Xique";-;1;-;-;-;-;-;-;-;-;1
"Total";10;21;35;65;75;173;276;173;127;27;982
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
