Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Mes Diagnóstico
Período:2023
"Município Resid";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"291130 Gentio do Ouro";-;1;-;-;-;-;1;-;-;-;-;-;2
"291160 Governador Mangabeira";-;1;-;-;-;-;-;-;-;-;-;-;1
"291180 Guaratinga";-;1;-;-;1;-;-;-;-;-;1;-;3
"291200 Ibiassucê";-;-;-;-;1;-;-;-;-;-;-;-;1
"291210 Ibicaraí";-;-;-;-;-;-;-;-;-;-;1;-;1
"291220 Ibicoara";4;3;5;2;2;-;-;2;1;2;-;-;21
"291230 Ibicuí";-;-;-;-;-;-;-;-;-;-;-;1;1
"291270 Ibirapitanga";-;-;-;-;-;1;-;1;-;-;1;-;3
"291290 Ibirataia";1;-;2;-;1;2;-;-;-;-;-;1;7
"291340 Igaporã";-;-;-;-;-;1;-;-;-;1;-;-;2
"291345 Igrapiúna";-;1;-;-;-;-;-;-;-;1;-;-;2
"291350 Iguaí";2;-;1;-;-;1;2;1;1;1;4;-;13
"291360 Ilhéus";1;-;-;1;1;2;4;1;1;4;-;1;16
"291370 Inhambupe";-;3;-;-;-;-;-;-;-;-;-;-;3
"291390 Ipiaú";-;1;-;2;-;-;1;1;1;-;1;-;7
"291420 Irajuba";-;-;-;-;-;-;-;-;-;1;-;2;3
"291440 Iraquara";2;-;2;-;2;-;1;1;-;-;-;-;8
"291480 Itabuna";-;-;-;-;-;-;-;-;-;-;1;-;1
"291490 Itacaré";1;-;-;2;2;1;2;2;-;2;2;-;14
"291500 Itaeté";-;-;-;1;-;-;-;-;2;-;-;-;3
"291520 Itagibá";-;1;-;-;-;-;-;-;-;-;-;-;1
"291550 Itajuípe";-;-;-;-;-;-;-;-;1;-;-;-;1
"291560 Itamaraju";-;-;-;-;-;-;-;-;-;-;2;-;2
"291570 Itamari";-;1;-;-;-;-;-;-;2;-;4;1;8
"291580 Itambé";1;-;-;-;-;-;-;-;-;2;1;2;6
"291640 Itapetinga";-;1;-;-;-;2;-;1;-;-;-;-;4
"291670 Itaquara";-;-;1;-;-;1;-;1;-;-;1;-;4
"291720 Ituaçu";-;-;-;1;-;1;-;-;-;-;-;-;2
"291730 Ituberá";-;-;-;-;-;-;-;1;1;1;1;-;4
"291733 Iuiú";-;-;-;-;-;-;-;-;-;1;-;-;1
"291735 Jaborandi";-;-;-;1;-;-;-;-;-;-;-;-;1
"291740 Jacaraci";-;-;-;1;1;-;-;-;-;-;-;-;2
"291750 Jacobina";1;-;1;2;-;-;-;1;1;1;-;1;8
"291760 Jaguaquara";-;-;1;-;-;1;-;1;-;1;2;-;6
"291770 Jaguarari";-;-;-;-;1;-;1;2;1;-;1;-;6
"291780 Jaguaripe";-;-;-;-;-;-;-;-;-;1;-;-;1
"291800 Jequié";-;-;-;-;-;1;-;-;-;1;2;1;5
"291810 Jeremoabo";-;-;-;-;-;-;1;-;-;-;-;-;1
"291820 Jiquiriçá";-;2;3;1;2;-;1;2;2;-;-;2;15
"291830 Jitaúna";-;1;1;-;2;1;-;1;1;2;1;-;10
"291835 João Dourado";-;-;-;-;-;-;1;-;-;-;-;-;1
"291840 Juazeiro";-;-;1;-;-;-;-;-;-;-;-;1;2
"291845 Jucuruçu";-;2;-;-;-;-;-;-;-;-;1;-;3
"291880 Laje";1;1;3;-;4;-;1;-;-;1;-;1;12
"291920 Lauro de Freitas";-;-;-;-;-;-;-;1;-;1;1;-;3
"291930 Lençóis";3;2;1;-;1;1;2;-;1;1;-;-;12
"291950 Livramento de Nossa Senhora";-;1;-;-;-;-;-;-;-;-;-;1;2
"291980 Macaúbas";-;-;-;-;-;-;-;1;-;-;-;-;1
"291995 Maetinga";-;-;-;-;-;-;-;1;-;-;-;-;1
"292070 Maraú";5;2;2;-;1;1;2;1;2;1;-;1;18
"292090 Mascote";-;-;-;2;-;-;-;-;1;-;-;-;3
"292100 Mata de São João";-;-;-;-;-;-;1;1;-;-;-;1;3
"292120 Miguel Calmon";2;2;2;1;-;-;-;-;1;1;1;-;10
"292130 Milagres";-;-;-;-;-;1;-;-;-;-;-;-;1
"292140 Mirangaba";1;-;-;-;-;-;-;-;1;-;-;-;2
"292170 Morro do Chapéu";-;-;1;-;-;-;-;-;-;1;-;-;2
"292190 Mucugê";-;-;1;-;-;1;-;-;1;-;-;1;4
"292220 Muniz Ferreira";-;-;-;-;-;-;-;-;-;-;-;1;1
"292225 Muquém de São Francisco";-;-;-;-;-;-;-;-;-;1;-;-;1
"292240 Mutuípe";6;4;6;4;8;-;4;5;4;5;8;2;56
"292260 Nilo Peçanha";1;-;2;2;1;2;-;-;-;2;1;2;13
"292270 Nova Canaã";-;-;-;-;-;-;-;-;2;-;1;-;3
"292275 Nova Ibiá";-;-;1;-;1;-;-;-;1;2;-;-;5
"292285 Nova Redenção";-;-;1;-;-;-;-;-;-;-;-;-;1
"292303 Novo Horizonte";-;-;-;1;-;-;-;-;-;-;-;-;1
"292320 Oliveira dos Brejinhos";-;-;-;-;-;-;-;-;-;-;-;1;1
"292350 Palmeiras";-;-;-;2;-;2;-;4;-;3;5;6;22
"292390 Pau Brasil";-;-;1;1;-;1;-;1;1;-;1;-;6
"292410 Pedrão";-;-;-;-;-;-;-;-;-;-;1;-;1
"292460 Pindobaçu";3;1;1;-;-;1;-;-;1;-;3;2;12
"292467 Piraí do Norte";-;1;-;-;-;-;-;1;-;-;1;1;4
"292470 Piripá";2;-;-;-;-;-;-;-;-;-;1;1;4
"292480 Piritiba";-;-;-;-;-;-;-;-;1;-;-;-;1
"292510 Poções";-;-;-;-;-;-;-;2;1;1;-;-;4
"292520 Pojuca";1;-;4;1;-;-;1;-;-;-;-;-;7
"292525 Ponto Novo";-;-;-;-;-;-;-;-;-;-;1;-;1
"292530 Porto Seguro";5;3;2;3;7;5;3;2;-;4;7;4;45
"292550 Prado";-;-;-;1;1;-;-;-;-;-;-;-;2
"292575 Presidente Tancredo Neves";3;-;-;-;1;1;-;-;-;-;-;-;5
"292590 Quijingue";-;-;-;-;-;-;-;-;-;1;-;-;1
"292593 Quixabeira";-;-;-;-;-;-;-;-;-;2;-;-;2
"292620 Riachão das Neves";-;-;-;-;-;-;1;-;-;-;-;-;1
"292665 Ribeirão do Largo";-;-;-;-;-;-;-;1;-;-;-;-;1
"292680 Rio do Antônio";-;-;-;-;-;-;-;-;-;1;-;-;1
"292720 Ruy Barbosa";-;-;1;-;-;-;-;-;-;-;-;-;1
"292740 Salvador";1;1;1;-;3;1;2;3;2;2;-;1;17
"292770 Santa Cruz Cabrália";-;-;-;1;-;-;-;1;-;-;2;1;5
"292805 Santa Luzia";-;-;-;1;1;1;-;1;1;-;1;-;6
"292810 Santa Maria da Vitória";4;1;3;1;2;-;-;1;2;-;1;-;15
"292840 Santa Rita de Cássia";-;-;-;-;-;-;-;-;-;-;1;-;1
"292850 Santa Teresinha";-;-;1;-;-;-;-;-;-;-;-;-;1
"292860 Santo Amaro";-;1;-;-;-;-;-;-;-;-;-;-;1
"292870 Santo Antônio de Jesus";-;-;-;-;-;-;-;-;1;-;-;-;1
"292890 São Desidério";-;-;-;1;-;-;1;-;-;-;-;-;2
"292900 São Félix";-;-;-;-;-;-;-;-;-;-;1;-;1
"292905 São Félix do Coribe";2;-;1;1;-;2;1;3;1;-;-;-;11
"292935 São José da Vitória";2;-;2;1;-;1;-;-;-;-;-;-;6
"292940 São Miguel das Matas";1;-;-;-;-;-;-;1;-;-;-;-;2
"292960 Sapeaçu";-;-;-;-;1;-;-;-;-;-;-;-;1
"292980 Saúde";1;-;-;2;-;-;1;2;-;-;1;2;9
"292990 Seabra";-;-;-;-;-;-;-;-;-;-;3;-;3
"293010 Senhor do Bonfim";-;-;-;-;1;-;1;-;-;1;-;-;3
"293015 Serra do Ramalho";1;-;-;-;-;-;1;1;-;-;-;-;3
"293030 Serra Dourada";1;-;-;-;-;-;-;-;-;-;1;-;2
"293050 Serrinha";-;2;-;1;-;-;-;-;1;-;-;-;4
"293090 Tabocas do Brejo Velho";1;-;-;1;1;1;-;-;-;2;-;-;6
"293100 Tanhaçu";-;-;-;-;-;-;-;-;-;-;-;1;1
"293120 Taperoá";2;1;3;1;-;1;1;2;-;-;1;1;13
"293135 Teixeira de Freitas";-;1;-;1;-;-;-;-;-;-;-;-;2
"293160 Teolândia";1;1;1;1;-;-;-;2;1;1;-;-;8
"293180 Tremedal";-;-;1;-;-;-;-;-;1;-;-;-;2
"293210 Ubaíra";1;1;-;-;2;-;-;1;1;1;-;-;7
"293220 Ubaitaba";-;-;-;-;-;1;-;-;-;-;1;1;3
"293230 Ubatã";-;-;-;-;-;2;-;-;1;1;-;1;5
"293250 Una";3;6;1;3;4;3;-;2;1;2;1;-;26
"293270 Uruçuca";2;5;3;-;1;-;-;-;-;-;-;-;11
"293280 Utinga";1;-;3;1;-;1;1;2;-;1;-;1;11
"293290 Valença";6;3;-;6;1;3;6;3;7;5;1;2;43
"293330 Vitória da Conquista";3;-;1;-;-;-;-;-;1;2;-;-;7
"293340 Wagner";-;-;-;1;1;-;-;1;-;-;-;-;3
"293350 Wenceslau Guimarães";7;3;-;2;1;1;-;7;2;2;6;-;31
"293360 Xique-Xique";-;-;-;-;-;-;-;1;-;-;-;-;1
"Total";114;78;86;80;74;68;60;91;71;91;102;67;982
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
