Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Escolaridade
Período:2023
"Município Resid";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"290680 Cansanção";-;-;-;-;-;-;-;1;-;-;-;1
"290687 Capim Grosso";-;-;-;-;-;-;-;-;-;-;1;1
"290710 Carinhanha";-;-;-;-;1;-;-;-;-;-;-;1
"290730 Castro Alves";-;-;-;-;1;-;-;1;-;-;-;2
"290740 Catolândia";-;1;-;-;-;-;-;-;-;-;-;1
"290750 Catu";1;-;-;-;-;-;-;1;-;-;-;2
"290800 Coaraci";3;1;1;1;-;-;-;-;-;-;-;6
"290810 Cocos";13;-;1;-;2;1;-;1;-;-;1;19
"290870 Condeúba";2;-;1;-;3;1;1;1;-;-;1;10
"290890 Coração de Maria";1;-;-;-;-;-;-;-;-;-;-;1
"290900 Cordeiros";1;1;-;-;-;-;-;-;-;-;-;2
"290910 Coribe";-;-;1;1;1;-;1;4;-;-;-;8
"290930 Correntina";2;-;2;-;-;-;-;-;-;-;-;4
"290940 Cotegipe";-;-;1;-;-;-;-;-;-;-;1;2
"290960 Crisópolis";-;-;1;-;-;-;-;-;-;-;-;1
"291000 Dário Meira";-;-;1;1;-;-;-;-;-;-;-;2
"291030 Elísio Medrado";1;-;-;-;-;-;-;-;-;-;-;1
"291040 Encruzilhada";3;-;-;1;-;-;-;-;-;-;-;4
"291060 Esplanada";1;-;-;-;-;-;-;-;-;-;-;1
"291072 Eunápolis";3;-;1;-;1;-;2;1;-;-;-;8
"291080 Feira de Santana";2;-;-;-;-;-;-;-;-;-;-;2
"291085 Filadélfia";1;-;-;-;-;-;-;-;-;-;-;1
"291090 Firmino Alves";1;-;-;-;-;-;-;-;-;-;-;1
"291110 Formosa do Rio Preto";-;-;1;-;-;-;1;-;-;1;-;3
"291120 Gandu";1;2;4;-;2;2;2;-;-;-;1;14
"291130 Gentio do Ouro";1;-;-;-;-;-;1;-;-;-;-;2
"291160 Governador Mangabeira";-;-;-;-;1;-;-;-;-;-;-;1
"291180 Guaratinga";-;-;-;-;2;-;-;1;-;-;-;3
"291200 Ibiassucê";1;-;-;-;-;-;-;-;-;-;-;1
"291210 Ibicaraí";-;-;1;-;-;-;-;-;-;-;-;1
"291220 Ibicoara";15;-;-;-;3;1;-;1;-;-;1;21
"291230 Ibicuí";1;-;-;-;-;-;-;-;-;-;-;1
"291270 Ibirapitanga";-;1;1;-;-;-;-;-;-;-;1;3
"291290 Ibirataia";6;-;-;-;-;-;-;-;-;-;1;7
"291340 Igaporã";-;1;1;-;-;-;-;-;-;-;-;2
"291345 Igrapiúna";1;-;-;-;-;1;-;-;-;-;-;2
"291350 Iguaí";1;1;3;-;4;-;2;1;-;-;1;13
"291360 Ilhéus";4;2;3;1;3;-;-;-;1;2;-;16
"291370 Inhambupe";3;-;-;-;-;-;-;-;-;-;-;3
"291390 Ipiaú";2;1;1;-;1;-;-;2;-;-;-;7
"291420 Irajuba";2;-;1;-;-;-;-;-;-;-;-;3
"291440 Iraquara";5;-;3;-;-;-;-;-;-;-;-;8
"291480 Itabuna";-;-;-;-;-;-;-;-;-;-;1;1
"291490 Itacaré";8;-;1;-;-;-;2;2;-;1;-;14
"291500 Itaeté";1;-;-;1;-;-;-;1;-;-;-;3
"291520 Itagibá";-;-;-;-;-;-;-;1;-;-;-;1
"291550 Itajuípe";-;-;-;-;-;-;-;1;-;-;-;1
"291560 Itamaraju";-;-;2;-;-;-;-;-;-;-;-;2
"291570 Itamari";2;-;4;-;-;-;-;2;-;-;-;8
"291580 Itambé";1;-;3;-;1;-;1;-;-;-;-;6
"291640 Itapetinga";1;1;1;-;-;-;1;-;-;-;-;4
"291670 Itaquara";2;-;1;-;-;-;-;-;-;-;1;4
"291720 Ituaçu";1;-;1;-;-;-;-;-;-;-;-;2
"291730 Ituberá";1;-;1;-;-;-;1;-;-;-;1;4
"291733 Iuiú";-;-;-;-;-;1;-;-;-;-;-;1
"291735 Jaborandi";-;-;-;-;-;-;-;1;-;-;-;1
"291740 Jacaraci";1;-;-;-;-;-;-;-;-;-;1;2
"291750 Jacobina";-;-;3;1;2;1;-;-;-;1;-;8
"291760 Jaguaquara";-;-;-;-;3;1;1;1;-;-;-;6
"291770 Jaguarari";4;-;-;-;1;-;-;1;-;-;-;6
"291780 Jaguaripe";-;-;1;-;-;-;-;-;-;-;-;1
"291800 Jequié";1;-;-;-;1;-;1;1;-;-;1;5
"291810 Jeremoabo";-;-;-;-;1;-;-;-;-;-;-;1
"291820 Jiquiriçá";3;3;4;-;3;-;1;1;-;-;-;15
"291830 Jitaúna";8;-;-;-;-;1;-;-;-;-;1;10
"291835 João Dourado";-;-;-;1;-;-;-;-;-;-;-;1
"291840 Juazeiro";-;-;-;-;-;-;2;-;-;-;-;2
"291845 Jucuruçu";-;-;-;1;1;-;-;-;-;-;1;3
"291880 Laje";5;1;4;-;-;1;-;-;-;-;1;12
"291920 Lauro de Freitas";2;1;-;-;-;-;-;-;-;-;-;3
"291930 Lençóis";6;-;1;-;1;1;-;2;-;1;-;12
"291950 Livramento de Nossa Senhora";1;-;-;-;-;-;1;-;-;-;-;2
"291980 Macaúbas";1;-;-;-;-;-;-;-;-;-;-;1
"291995 Maetinga";1;-;-;-;-;-;-;-;-;-;-;1
"292070 Maraú";-;1;11;1;-;-;2;1;-;-;2;18
"292090 Mascote";1;-;1;-;-;-;1;-;-;-;-;3
"292100 Mata de São João";2;-;-;-;-;-;-;-;-;1;-;3
"292120 Miguel Calmon";6;-;1;-;-;-;-;2;1;-;-;10
"292130 Milagres";1;-;-;-;-;-;-;-;-;-;-;1
"292140 Mirangaba";-;-;2;-;-;-;-;-;-;-;-;2
"292170 Morro do Chapéu";-;-;-;-;2;-;-;-;-;-;-;2
"292190 Mucugê";-;-;2;-;-;1;-;1;-;-;-;4
"292220 Muniz Ferreira";1;-;-;-;-;-;-;-;-;-;-;1
"292225 Muquém de São Francisco";-;-;-;-;-;1;-;-;-;-;-;1
"292240 Mutuípe";2;4;10;10;11;4;2;6;1;3;3;56
"292260 Nilo Peçanha";1;1;-;-;-;-;-;-;8;2;1;13
"292270 Nova Canaã";-;1;2;-;-;-;-;-;-;-;-;3
"292275 Nova Ibiá";-;2;2;-;1;-;-;-;-;-;-;5
"292285 Nova Redenção";1;-;-;-;-;-;-;-;-;-;-;1
"292303 Novo Horizonte";-;-;-;-;-;-;-;1;-;-;-;1
"292320 Oliveira dos Brejinhos";1;-;-;-;-;-;-;-;-;-;-;1
"292350 Palmeiras";9;-;2;2;1;1;2;2;1;2;-;22
"292390 Pau Brasil";-;-;4;1;1;-;-;-;-;-;-;6
"292410 Pedrão";-;-;-;-;-;-;-;-;-;-;1;1
"292460 Pindobaçu";10;-;1;-;-;-;-;-;-;-;1;12
"292467 Piraí do Norte";-;-;1;1;-;1;-;-;-;-;1;4
"292470 Piripá";4;-;-;-;-;-;-;-;-;-;-;4
"292480 Piritiba";-;-;1;-;-;-;-;-;-;-;-;1
"292510 Poções";1;-;1;-;-;-;1;-;-;1;-;4
"292520 Pojuca";1;-;1;1;-;-;1;3;-;-;-;7
"292525 Ponto Novo";-;-;-;1;-;-;-;-;-;-;-;1
"292530 Porto Seguro";27;2;5;1;-;1;4;3;-;1;1;45
"292550 Prado";-;-;-;-;1;-;-;1;-;-;-;2
"292575 Presidente Tancredo Neves";-;2;1;-;-;2;-;-;-;-;-;5
"292590 Quijingue";1;-;-;-;-;-;-;-;-;-;-;1
"292593 Quixabeira";-;-;-;1;-;-;1;-;-;-;-;2
"292620 Riachão das Neves";-;1;-;-;-;-;-;-;-;-;-;1
"292665 Ribeirão do Largo";-;1;-;-;-;-;-;-;-;-;-;1
"292680 Rio do Antônio";1;-;-;-;-;-;-;-;-;-;-;1
"292720 Ruy Barbosa";1;-;-;-;-;-;-;-;-;-;-;1
"292740 Salvador";8;-;1;-;1;2;1;-;-;2;2;17
"292770 Santa Cruz Cabrália";4;1;-;-;-;-;-;-;-;-;-;5
"292805 Santa Luzia";2;-;3;-;-;-;-;-;-;-;1;6
"292810 Santa Maria da Vitória";1;1;5;1;3;1;2;-;-;-;1;15
"292840 Santa Rita de Cássia";-;-;-;-;-;-;-;-;-;1;-;1
"292850 Santa Teresinha";-;-;-;-;-;-;-;1;-;-;-;1
"292860 Santo Amaro";1;-;-;-;-;-;-;-;-;-;-;1
"292870 Santo Antônio de Jesus";-;-;-;-;-;-;-;1;-;-;-;1
"292890 São Desidério";-;1;1;-;-;-;-;-;-;-;-;2
"292900 São Félix";-;-;-;-;-;1;-;-;-;-;-;1
"292905 São Félix do Coribe";9;-;1;-;-;-;1;-;-;-;-;11
"292935 São José da Vitória";5;-;-;-;-;-;-;1;-;-;-;6
"292940 São Miguel das Matas";-;-;-;-;-;-;-;1;-;-;1;2
"292960 Sapeaçu";-;-;-;1;-;-;-;-;-;-;-;1
"292980 Saúde";-;-;1;-;2;2;1;2;-;1;-;9
"292990 Seabra";-;-;-;1;-;-;-;-;-;-;2;3
"293010 Senhor do Bonfim";2;-;-;-;-;-;-;1;-;-;-;3
"293015 Serra do Ramalho";1;-;-;-;1;-;-;-;-;-;1;3
"293030 Serra Dourada";1;-;-;-;-;1;-;-;-;-;-;2
"293050 Serrinha";3;-;-;-;-;-;-;1;-;-;-;4
"293090 Tabocas do Brejo Velho";4;-;-;-;-;-;1;-;-;-;1;6
"293100 Tanhaçu";-;-;1;-;-;-;-;-;-;-;-;1
"293120 Taperoá";8;-;-;-;3;-;1;-;1;-;-;13
"293135 Teixeira de Freitas";1;-;-;1;-;-;-;-;-;-;-;2
"293160 Teolândia";-;-;4;1;2;1;-;-;-;-;-;8
"293180 Tremedal";2;-;-;-;-;-;-;-;-;-;-;2
"293210 Ubaíra";3;1;-;-;1;-;2;-;-;-;-;7
"293220 Ubaitaba";-;-;-;2;-;-;-;1;-;-;-;3
"293230 Ubatã";2;-;-;1;-;-;-;1;1;-;-;5
"293250 Una";5;3;4;4;2;3;3;-;-;-;2;26
"293270 Uruçuca";4;1;2;1;-;-;1;2;-;-;-;11
"293280 Utinga";8;-;1;1;-;-;-;-;-;1;-;11
"293290 Valença";2;2;12;1;15;2;3;3;-;-;3;43
"293330 Vitória da Conquista";2;2;-;-;-;-;-;3;-;-;-;7
"293340 Wagner";3;-;-;-;-;-;-;-;-;-;-;3
"293350 Wenceslau Guimarães";2;2;10;-;10;3;1;1;-;-;2;31
"293360 Xique-Xique";-;-;-;-;-;-;-;-;-;-;1;1
"Total";331;53;176;47;108;46;55;85;14;21;46;982
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
