Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Trim.Diagnóstico
Período:2023
"Município Resid";"1 Trimestre";"2 Trimestre";"3 Trimestre";"4 Trimestre";"Total"
"292220 Muniz Ferreira";-;-;-;1;1
"292225 Muquém de São Francisco";-;-;-;1;1
"292240 Mutuípe";16;12;13;15;56
"292260 Nilo Peçanha";3;5;-;5;13
"292270 Nova Canaã";-;-;2;1;3
"292275 Nova Ibiá";1;1;1;2;5
"292285 Nova Redenção";1;-;-;-;1
"292303 Novo Horizonte";-;1;-;-;1
"292320 Oliveira dos Brejinhos";-;-;-;1;1
"292350 Palmeiras";-;4;4;14;22
"292390 Pau Brasil";1;2;2;1;6
"292410 Pedrão";-;-;-;1;1
"292460 Pindobaçu";5;1;1;5;12
"292467 Piraí do Norte";1;-;1;2;4
"292470 Piripá";2;-;-;2;4
"292480 Piritiba";-;-;1;-;1
"292510 Poções";-;-;3;1;4
"292520 Pojuca";5;1;1;-;7
"292525 Ponto Novo";-;-;-;1;1
"292530 Porto Seguro";10;15;5;15;45
"292550 Prado";-;2;-;-;2
"292575 Presidente Tancredo Neves";3;2;-;-;5
"292590 Quijingue";-;-;-;1;1
"292593 Quixabeira";-;-;-;2;2
"292620 Riachão das Neves";-;-;1;-;1
"292665 Ribeirão do Largo";-;-;1;-;1
"292680 Rio do Antônio";-;-;-;1;1
"292720 Ruy Barbosa";1;-;-;-;1
"292740 Salvador";3;4;7;3;17
"292770 Santa Cruz Cabrália";-;1;1;3;5
"292805 Santa Luzia";-;3;2;1;6
"292810 Santa Maria da Vitória";8;3;3;1;15
"292840 Santa Rita de Cássia";-;-;-;1;1
"292850 Santa Teresinha";1;-;-;-;1
"292860 Santo Amaro";1;-;-;-;1
"292870 Santo Antônio de Jesus";-;-;1;-;1
"292890 São Desidério";-;1;1;-;2
"292900 São Félix";-;-;-;1;1
"292905 São Félix do Coribe";3;3;5;-;11
"292935 São José da Vitória";4;2;-;-;6
"292940 São Miguel das Matas";1;-;1;-;2
"292960 Sapeaçu";-;1;-;-;1
"292980 Saúde";1;2;3;3;9
"292990 Seabra";-;-;-;3;3
"293010 Senhor do Bonfim";-;1;1;1;3
"293015 Serra do Ramalho";1;-;2;-;3
"293030 Serra Dourada";1;-;-;1;2
"293050 Serrinha";2;1;1;-;4
"293090 Tabocas do Brejo Velho";1;3;-;2;6
"293100 Tanhaçu";-;-;-;1;1
"293120 Taperoá";6;2;3;2;13
"293135 Teixeira de Freitas";1;1;-;-;2
"293160 Teolândia";3;1;3;1;8
"293180 Tremedal";1;-;1;-;2
"293210 Ubaíra";2;2;2;1;7
"293220 Ubaitaba";-;1;-;2;3
"293230 Ubatã";-;2;1;2;5
"293250 Una";10;10;3;3;26
"293270 Uruçuca";10;1;-;-;11
"293280 Utinga";4;2;3;2;11
"293290 Valença";9;10;16;8;43
"293330 Vitória da Conquista";4;-;1;2;7
"293340 Wagner";-;2;1;-;3
"293350 Wenceslau Guimarães";10;4;9;8;31
"293360 Xique-Xique";-;-;1;-;1
"Total";278;222;222;260;982
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
