Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Raça
Período:2023
"Município Resid";"Ign/Branco";"Branca";"Preta";"Amarela";"Parda";"Indigena";"Total"
"292275 Nova Ibiá";-;-;1;-;4;-;5
"292285 Nova Redenção";-;1;-;-;-;-;1
"292303 Novo Horizonte";-;-;-;-;1;-;1
"292320 Oliveira dos Brejinhos";-;-;1;-;-;-;1
"292350 Palmeiras";6;3;2;-;11;-;22
"292390 Pau Brasil";-;1;-;-;4;1;6
"292410 Pedrão";-;-;-;-;1;-;1
"292460 Pindobaçu";-;-;-;-;12;-;12
"292467 Piraí do Norte";-;1;-;-;3;-;4
"292470 Piripá";-;-;-;-;4;-;4
"292480 Piritiba";-;-;-;-;1;-;1
"292510 Poções";-;1;1;-;2;-;4
"292520 Pojuca";-;-;3;-;4;-;7
"292525 Ponto Novo";-;-;-;-;1;-;1
"292530 Porto Seguro";9;6;5;-;14;11;45
"292550 Prado";-;-;-;-;1;1;2
"292575 Presidente Tancredo Neves";-;-;-;-;5;-;5
"292590 Quijingue";1;-;-;-;-;-;1
"292593 Quixabeira";-;1;-;-;1;-;2
"292620 Riachão das Neves";-;-;-;-;1;-;1
"292665 Ribeirão do Largo";-;-;-;-;1;-;1
"292680 Rio do Antônio";-;1;-;-;-;-;1
"292720 Ruy Barbosa";-;-;-;-;1;-;1
"292740 Salvador";1;1;-;-;15;-;17
"292770 Santa Cruz Cabrália";2;-;-;-;2;1;5
"292805 Santa Luzia";-;-;1;-;5;-;6
"292810 Santa Maria da Vitória";-;5;-;-;10;-;15
"292840 Santa Rita de Cássia";-;1;-;-;-;-;1
"292850 Santa Teresinha";-;1;-;-;-;-;1
"292860 Santo Amaro";-;-;-;-;1;-;1
"292870 Santo Antônio de Jesus";-;-;-;-;1;-;1
"292890 São Desidério";-;-;-;-;2;-;2
"292900 São Félix";-;-;-;-;1;-;1
"292905 São Félix do Coribe";3;1;1;-;6;-;11
"292935 São José da Vitória";1;-;2;-;3;-;6
"292940 São Miguel das Matas";-;-;-;-;2;-;2
"292960 Sapeaçu";-;-;-;-;1;-;1
"292980 Saúde";-;-;2;1;6;-;9
"292990 Seabra";-;-;-;-;3;-;3
"293010 Senhor do Bonfim";-;-;-;-;3;-;3
"293015 Serra do Ramalho";-;1;-;-;2;-;3
"293030 Serra Dourada";-;-;-;-;2;-;2
"293050 Serrinha";2;-;-;-;2;-;4
"293090 Tabocas do Brejo Velho";-;-;-;-;6;-;6
"293100 Tanhaçu";-;-;1;-;-;-;1
"293120 Taperoá";6;-;6;-;1;-;13
"293135 Teixeira de Freitas";1;-;-;-;1;-;2
"293160 Teolândia";-;-;-;-;8;-;8
"293180 Tremedal";-;-;-;-;2;-;2
"293210 Ubaíra";-;1;1;-;5;-;7
"293220 Ubaitaba";-;-;1;-;2;-;3
"293230 Ubatã";-;-;1;-;4;-;5
"293250 Una";3;-;-;-;23;-;26
"293270 Uruçuca";-;2;4;-;5;-;11
"293280 Utinga";-;1;2;-;8;-;11
"293290 Valença";-;3;21;-;19;-;43
"293330 Vitória da Conquista";1;2;-;-;4;-;7
"293340 Wagner";-;-;1;-;2;-;3
"293350 Wenceslau Guimarães";-;1;-;-;30;-;31
"293360 Xique-Xique";-;-;1;-;-;-;1
"Total";63;105;183;7;606;18;982
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
