Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Tipo de entrada
Período:2021
"Município Resid";"Ign/Branco";"Caso novo";"Recidiva";"Transferência";"Total"
"291580 Itambé";-;2;-;1;3
"291630 Itapebi";-;1;-;-;1
"291640 Itapetinga";-;3;-;-;3
"291660 Itapitanga";-;-;1;-;1
"291680 Itarantim";-;1;1;-;2
"291710 Itororó";-;1;-;-;1
"291720 Ituaçu";-;4;-;-;4
"291730 Ituberá";-;17;2;-;19
"291735 Jaborandi";-;5;-;-;5
"291740 Jacaraci";-;4;-;-;4
"291750 Jacobina";1;11;1;-;13
"291760 Jaguaquara";-;10;1;-;11
"291770 Jaguarari";-;2;-;-;2
"291800 Jequié";-;8;1;-;9
"291820 Jiquiriçá";1;47;6;-;54
"291830 Jitaúna";-;8;-;-;8
"291845 Jucuruçu";-;1;-;-;1
"291850 Jussara";-;2;-;-;2
"291880 Laje";-;18;2;-;20
"291900 Lajedinho";-;6;-;-;6
"291920 Lauro de Freitas";-;1;-;-;1
"291930 Lençóis";2;43;3;-;48
"291940 Licínio de Almeida";-;1;-;-;1
"291955 Luís Eduardo Magalhães";-;2;-;-;2
"291980 Macaúbas";-;2;-;-;2
"292000 Maiquinique";-;1;1;-;2
"292050 Maracás";-;1;-;-;1
"292070 Maraú";-;22;-;-;22
"292090 Mascote";-;1;1;-;2
"292100 Mata de São João";-;1;-;-;1
"292120 Miguel Calmon";-;1;1;-;2
"292130 Milagres";-;1;-;-;1
"292140 Mirangaba";1;-;-;-;1
"292170 Morro do Chapéu";-;2;-;-;2
"292190 Mucugê";-;8;-;-;8
"292220 Muniz Ferreira";-;9;-;-;9
"292240 Mutuípe";-;83;2;-;85
"292260 Nilo Peçanha";-;9;-;1;10
"292265 Nordestina";-;1;-;-;1
"292270 Nova Canaã";-;1;-;-;1
"292275 Nova Ibiá";-;17;-;-;17
"292290 Nova Soure";-;3;-;-;3
"292300 Nova Viçosa";1;1;-;-;2
"292350 Palmeiras";-;12;-;-;12
"292370 Paratinga";-;1;-;-;1
"292390 Pau Brasil";-;2;-;-;2
"292460 Pindobaçu";-;9;1;-;10
"292467 Piraí do Norte";-;26;2;1;29
"292500 Planalto";1;2;-;-;3
"292510 Poções";-;3;-;-;3
"292520 Pojuca";-;4;-;-;4
"292530 Porto Seguro";2;14;1;-;17
"292570 Presidente Jânio Quadros";-;1;-;-;1
"292575 Presidente Tancredo Neves";-;18;1;-;19
"292620 Riachão das Neves";-;2;-;-;2
"292720 Ruy Barbosa";-;-;1;-;1
"292740 Salvador";1;11;-;-;12
"292760 Santa Brígida";-;1;-;-;1
"292770 Santa Cruz Cabrália";-;6;-;1;7
"292805 Santa Luzia";3;3;-;-;6
"292810 Santa Maria da Vitória";-;32;-;-;32
"292840 Santa Rita de Cássia";1;2;-;-;3
"292820 Santana";-;2;-;-;2
"292870 Santo Antônio de Jesus";-;7;-;-;7
"292890 São Desidério";-;7;-;-;7
"292905 São Félix do Coribe";-;17;-;-;17
"292925 São Gabriel";-;2;-;-;2
"292935 São José da Vitória";-;11;-;-;11
"292940 São Miguel das Matas";-;2;-;1;3
"293010 Senhor do Bonfim";-;5;1;-;6
"293020 Sento Sé";1;-;-;-;1
"293015 Serra do Ramalho";-;2;-;-;2
"293030 Serra Dourada";2;1;1;-;4
"293070 Simões Filho";-;1;-;-;1
"293080 Souto Soares";-;1;-;-;1
"293090 Tabocas do Brejo Velho";-;8;-;-;8
"293100 Tanhaçu";-;3;-;-;3
"293120 Taperoá";3;67;4;-;74
"293135 Teixeira de Freitas";-;1;-;-;1
"293160 Teolândia";-;15;-;-;15
"293210 Ubaíra";-;6;2;-;8
"293220 Ubaitaba";-;4;-;-;4
"293230 Ubatã";-;5;-;-;5
"293250 Una";-;29;-;1;30
"293270 Uruçuca";-;20;-;-;20
"293280 Utinga";-;24;1;-;25
"293290 Valença";-;104;2;-;106
"293305 Várzea da Roça";1;-;-;-;1
"293315 Várzea Nova";-;1;-;-;1
"293317 Varzedo";-;2;-;-;2
"293330 Vitória da Conquista";-;2;-;-;2
"293340 Wagner";-;25;-;-;25
"293350 Wenceslau Guimarães";1;217;1;1;220
"Total";34;1481;76;11;1602
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
