Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Trim.Diagnóstico
Período:2021
"Município Resid";"1 Trimestre";"2 Trimestre";"3 Trimestre";"4 Trimestre";"Total"
"291580 Itambé";1;-;2;-;3
"291630 Itapebi";-;-;-;1;1
"291640 Itapetinga";1;-;-;2;3
"291660 Itapitanga";1;-;-;-;1
"291680 Itarantim";-;1;-;1;2
"291710 Itororó";1;-;-;-;1
"291720 Ituaçu";-;1;2;1;4
"291730 Ituberá";4;2;6;7;19
"291735 Jaborandi";2;-;1;2;5
"291740 Jacaraci";2;2;-;-;4
"291750 Jacobina";4;4;2;3;13
"291760 Jaguaquara";3;3;3;2;11
"291770 Jaguarari";-;2;-;-;2
"291800 Jequié";1;2;6;-;9
"291820 Jiquiriçá";20;19;11;4;54
"291830 Jitaúna";3;1;2;2;8
"291845 Jucuruçu";-;1;-;-;1
"291850 Jussara";1;1;-;-;2
"291880 Laje";3;6;9;2;20
"291900 Lajedinho";1;2;2;1;6
"291920 Lauro de Freitas";-;-;-;1;1
"291930 Lençóis";24;10;11;3;48
"291940 Licínio de Almeida";1;-;-;-;1
"291955 Luís Eduardo Magalhães";1;-;1;-;2
"291980 Macaúbas";1;1;-;-;2
"292000 Maiquinique";-;2;-;-;2
"292050 Maracás";-;1;-;-;1
"292070 Maraú";9;3;5;5;22
"292090 Mascote";-;1;-;1;2
"292100 Mata de São João";-;1;-;-;1
"292120 Miguel Calmon";-;1;1;-;2
"292130 Milagres";-;-;-;1;1
"292140 Mirangaba";-;1;-;-;1
"292170 Morro do Chapéu";-;-;-;2;2
"292190 Mucugê";1;2;4;1;8
"292220 Muniz Ferreira";2;2;1;4;9
"292240 Mutuípe";28;24;13;20;85
"292260 Nilo Peçanha";2;4;3;1;10
"292265 Nordestina";-;-;-;1;1
"292270 Nova Canaã";-;-;1;-;1
"292275 Nova Ibiá";1;4;6;6;17
"292290 Nova Soure";-;-;3;-;3
"292300 Nova Viçosa";-;-;-;2;2
"292350 Palmeiras";4;3;2;3;12
"292370 Paratinga";-;-;-;1;1
"292390 Pau Brasil";-;-;1;1;2
"292460 Pindobaçu";2;3;4;1;10
"292467 Piraí do Norte";9;5;7;8;29
"292500 Planalto";1;-;-;2;3
"292510 Poções";2;-;1;-;3
"292520 Pojuca";-;-;2;2;4
"292530 Porto Seguro";5;2;6;4;17
"292570 Presidente Jânio Quadros";1;-;-;-;1
"292575 Presidente Tancredo Neves";5;4;5;5;19
"292620 Riachão das Neves";1;-;1;-;2
"292720 Ruy Barbosa";-;1;-;-;1
"292740 Salvador";4;5;2;1;12
"292760 Santa Brígida";1;-;-;-;1
"292770 Santa Cruz Cabrália";-;4;2;1;7
"292805 Santa Luzia";1;1;4;-;6
"292810 Santa Maria da Vitória";9;6;12;5;32
"292840 Santa Rita de Cássia";1;1;1;-;3
"292820 Santana";1;-;1;-;2
"292870 Santo Antônio de Jesus";3;3;1;-;7
"292890 São Desidério";2;1;1;3;7
"292905 São Félix do Coribe";8;5;2;2;17
"292925 São Gabriel";-;-;2;-;2
"292935 São José da Vitória";2;3;3;3;11
"292940 São Miguel das Matas";-;-;1;2;3
"293010 Senhor do Bonfim";1;2;2;1;6
"293020 Sento Sé";-;-;1;-;1
"293015 Serra do Ramalho";1;-;1;-;2
"293030 Serra Dourada";1;-;2;1;4
"293070 Simões Filho";-;-;1;-;1
"293080 Souto Soares";-;-;-;1;1
"293090 Tabocas do Brejo Velho";2;1;3;2;8
"293100 Tanhaçu";-;-;-;3;3
"293120 Taperoá";31;20;13;10;74
"293135 Teixeira de Freitas";-;-;-;1;1
"293160 Teolândia";2;4;2;7;15
"293210 Ubaíra";2;3;1;2;8
"293220 Ubaitaba";1;-;2;1;4
"293230 Ubatã";-;-;-;5;5
"293250 Una";7;5;8;10;30
"293270 Uruçuca";5;11;4;-;20
"293280 Utinga";6;12;5;2;25
"293290 Valença";30;26;31;19;106
"293305 Várzea da Roça";-;1;-;-;1
"293315 Várzea Nova";-;-;-;1;1
"293317 Varzedo";1;1;-;-;2
"293330 Vitória da Conquista";-;1;1;-;2
"293340 Wagner";2;7;10;6;25
"293350 Wenceslau Guimarães";60;51;53;56;220
"Total";453;394;407;348;1602
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
