Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Mês da Notificação
Período:2021
"Município Resid";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"290900 Cordeiros";-;-;-;-;-;-;-;1;-;-;-;-;1
"290910 Coribe";3;1;1;4;-;1;-;-;1;1;2;-;14
"290930 Correntina";6;7;5;-;1;1;-;1;-;-;3;-;24
"290940 Cotegipe";-;-;-;-;-;-;1;-;-;-;-;-;1
"290950 Cravolândia";-;-;-;1;1;-;-;1;-;-;-;-;3
"290960 Crisópolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"291000 Dário Meira";1;-;-;-;-;-;1;-;-;3;-;1;6
"291020 Dom Macedo Costa";-;1;-;-;-;-;-;-;-;1;-;-;2
"291050 Entre Rios";-;-;-;-;-;-;-;-;-;-;1;-;1
"290050 Érico Cardoso";-;-;-;1;-;-;-;-;-;-;-;-;1
"291072 Eunápolis";-;-;1;-;1;-;-;1;2;-;-;-;5
"291075 Fátima";-;-;-;-;-;-;-;1;-;-;-;-;1
"291077 Feira da Mata";1;-;1;1;1;-;-;1;-;-;-;1;6
"291080 Feira de Santana";1;-;-;-;-;-;-;-;-;-;-;-;1
"291090 Firmino Alves";-;-;-;-;1;-;-;-;-;1;-;-;2
"291110 Formosa do Rio Preto";1;-;1;-;-;-;-;-;-;-;-;1;3
"291120 Gandu";-;2;5;8;1;5;7;2;1;-;4;1;36
"291170 Guanambi";-;-;1;-;-;-;-;-;-;-;-;-;1
"291180 Guaratinga";-;-;-;-;-;-;3;-;-;-;-;-;3
"291200 Ibiassucê";1;-;-;-;-;-;-;-;-;-;-;-;1
"291210 Ibicaraí";-;-;-;-;-;1;-;-;-;-;-;-;1
"291220 Ibicoara";1;3;-;1;-;-;-;2;1;-;2;-;10
"291230 Ibicuí";2;-;-;-;-;-;1;-;-;-;-;-;3
"291270 Ibirapitanga";-;-;-;1;2;1;2;2;1;1;-;2;12
"291290 Ibirataia";-;-;1;-;-;1;1;2;1;-;2;2;10
"291340 Igaporã";-;-;-;-;-;1;-;-;-;-;-;-;1
"291345 Igrapiúna";-;-;-;1;1;-;1;1;3;-;2;1;10
"291350 Iguaí";1;1;1;-;-;-;-;-;-;1;-;1;5
"291360 Ilhéus";-;-;-;-;1;-;2;-;2;2;1;-;8
"291390 Ipiaú";-;-;-;1;1;-;-;-;-;1;-;1;4
"291440 Iraquara";1;-;-;1;-;1;-;1;-;-;-;-;4
"291465 Itabela";-;-;1;1;1;-;1;-;-;-;-;-;4
"291480 Itabuna";-;-;1;-;-;-;-;-;-;1;-;-;2
"291490 Itacaré";2;4;2;-;3;-;1;3;1;3;-;-;19
"291500 Itaeté";-;-;-;-;-;1;-;-;-;-;-;-;1
"291510 Itagi";-;-;-;-;2;-;-;-;-;-;-;-;2
"291520 Itagibá";-;-;1;-;-;-;-;-;-;-;-;-;1
"291530 Itagimirim";-;-;-;-;1;-;-;-;-;-;-;-;1
"291540 Itaju do Colônia";-;-;-;-;-;-;-;-;1;-;-;-;1
"291550 Itajuípe";1;2;2;-;-;-;-;-;3;-;2;-;10
"291560 Itamaraju";-;-;1;-;-;-;-;1;-;-;-;1;3
"291570 Itamari";-;-;-;-;2;1;1;5;1;1;-;-;11
"291580 Itambé";-;-;-;-;-;1;-;1;1;-;-;-;3
"291630 Itapebi";-;-;-;-;-;-;-;-;-;-;-;1;1
"291640 Itapetinga";-;-;1;-;-;-;-;-;-;-;-;2;3
"291660 Itapitanga";-;-;1;-;-;-;-;-;-;-;-;-;1
"291680 Itarantim";-;-;-;-;1;-;-;-;-;1;-;-;2
"291710 Itororó";-;-;-;1;-;-;-;-;-;-;-;-;1
"291720 Ituaçu";-;-;-;1;-;1;-;2;-;-;-;-;4
"291730 Ituberá";3;1;1;1;1;-;3;1;3;1;1;3;19
"291735 Jaborandi";-;1;-;1;-;-;-;-;-;3;-;-;5
"291740 Jacaraci";1;-;1;1;1;-;-;-;-;-;-;-;4
"291750 Jacobina";2;1;1;2;1;-;-;2;1;1;1;1;13
"291760 Jaguaquara";-;1;1;3;1;-;-;-;3;-;1;1;11
"291770 Jaguarari";-;-;-;-;1;1;-;-;-;-;-;-;2
"291800 Jequié";-;-;1;1;1;-;1;1;3;-;1;-;9
"291820 Jiquiriçá";2;8;10;14;3;1;5;4;3;4;-;-;54
"291830 Jitaúna";1;-;2;-;-;1;-;2;-;-;2;-;8
"291845 Jucuruçu";-;-;-;-;1;-;-;-;-;-;-;-;1
"291850 Jussara";-;-;1;-;1;-;-;-;-;-;-;-;2
"291880 Laje";2;-;1;1;1;3;6;1;3;-;1;1;20
"291900 Lajedinho";1;-;-;2;-;-;3;-;-;-;-;-;6
"291920 Lauro de Freitas";-;-;-;-;-;-;-;-;-;-;1;-;1
"291930 Lençóis";9;4;10;1;6;4;6;1;4;2;1;-;48
"291940 Licínio de Almeida";1;-;-;-;-;-;-;-;-;-;-;-;1
"291955 Luís Eduardo Magalhães";-;-;1;-;-;-;-;-;-;-;1;-;2
"291980 Macaúbas";-;-;-;2;-;-;-;-;-;-;-;-;2
"292000 Maiquinique";-;-;-;-;1;1;-;-;-;-;-;-;2
"292050 Maracás";-;-;-;1;-;-;-;-;-;-;-;-;1
"292070 Maraú";1;5;2;2;2;-;-;3;2;2;-;3;22
"292090 Mascote";1;-;-;-;1;-;-;-;-;-;-;-;2
"292100 Mata de São João";-;-;-;-;1;-;-;-;-;-;-;-;1
"292120 Miguel Calmon";-;-;-;-;-;-;2;-;-;-;-;-;2
"292130 Milagres";-;-;-;-;-;-;-;-;-;-;1;-;1
"292140 Mirangaba";-;-;-;1;-;-;-;-;-;-;-;-;1
"292170 Morro do Chapéu";-;-;-;-;-;-;-;-;-;1;1;-;2
"292190 Mucugê";-;-;1;-;1;1;2;1;1;1;-;-;8
"292220 Muniz Ferreira";-;4;1;1;1;-;1;-;-;-;-;1;9
"292240 Mutuípe";7;8;13;8;5;11;5;4;4;9;8;3;85
"292260 Nilo Peçanha";-;2;-;1;1;2;-;1;2;-;1;-;10
"292265 Nordestina";-;-;-;-;-;-;-;-;-;1;-;-;1
"292270 Nova Canaã";-;-;-;-;-;-;-;-;1;-;-;-;1
"292275 Nova Ibiá";-;1;-;-;2;2;2;2;2;2;4;-;17
"292290 Nova Soure";-;-;-;-;-;-;1;1;1;-;-;-;3
"292300 Nova Viçosa";-;-;-;-;-;-;-;-;-;-;2;-;2
"292350 Palmeiras";-;2;2;2;-;1;2;-;-;1;1;1;12
"292370 Paratinga";-;-;-;-;-;-;-;-;-;-;1;-;1
"292390 Pau Brasil";-;-;-;-;-;-;1;-;-;1;-;-;2
"292460 Pindobaçu";-;2;-;3;-;-;1;2;-;1;1;-;10
"292467 Piraí do Norte";5;-;4;1;2;2;2;4;1;-;5;3;29
"292500 Planalto";1;-;-;-;-;-;-;-;-;-;2;-;3
"292510 Poções";1;-;-;-;-;-;-;-;1;-;-;1;3
"292520 Pojuca";-;1;-;-;-;-;-;1;1;1;-;-;4
"292530 Porto Seguro";1;2;1;-;3;-;3;-;3;1;1;2;17
"292570 Presidente Jânio Quadros";-;-;1;-;-;-;-;-;-;-;-;-;1
"292575 Presidente Tancredo Neves";-;3;2;3;1;-;2;2;1;1;3;1;19
"292620 Riachão das Neves";-;1;-;-;-;-;1;-;-;-;-;-;2
"292720 Ruy Barbosa";-;-;-;-;-;-;-;-;-;-;1;-;1
"292740 Salvador";3;-;1;2;1;1;1;1;-;2;-;-;12
"292760 Santa Brígida";-;1;-;-;-;-;-;-;-;-;-;-;1
"292770 Santa Cruz Cabrália";-;-;-;2;1;1;-;1;1;-;-;1;7
"292805 Santa Luzia";1;-;-;-;1;-;-;1;3;-;-;-;6
"292810 Santa Maria da Vitória";6;1;2;3;1;2;5;5;2;1;4;-;32
"292840 Santa Rita de Cássia";-;-;1;-;1;-;-;1;-;-;-;-;3
"292820 Santana";1;-;-;-;-;-;1;-;-;-;-;-;2
"292870 Santo Antônio de Jesus";-;2;-;3;1;-;1;-;-;-;-;-;7
"292890 São Desidério";3;-;-;1;-;-;-;1;-;-;1;1;7
"292905 São Félix do Coribe";2;6;1;1;2;2;1;1;-;-;-;1;17
"292925 São Gabriel";-;-;-;-;-;-;1;-;1;-;-;-;2
"292935 São José da Vitória";1;-;1;1;2;-;2;-;1;2;-;1;11
"292940 São Miguel das Matas";-;-;-;-;-;-;-;1;-;1;1;-;3
"293010 Senhor do Bonfim";1;-;-;2;-;-;2;-;-;-;-;1;6
"293020 Sento Sé";-;-;-;-;-;-;1;-;-;-;-;-;1
"293015 Serra do Ramalho";1;-;-;-;-;-;1;-;-;-;-;-;2
"293030 Serra Dourada";-;-;-;-;-;-;1;-;2;1;-;-;4
"293070 Simões Filho";-;-;-;-;-;-;-;-;-;1;-;-;1
"293080 Souto Soares";-;-;-;-;-;-;-;-;-;-;-;1;1
"293090 Tabocas do Brejo Velho";-;2;-;-;-;1;-;1;2;2;-;-;8
"293100 Tanhaçu";-;-;-;-;-;-;-;-;-;1;2;-;3
"293120 Taperoá";19;7;5;13;1;6;4;6;3;5;4;1;74
"293135 Teixeira de Freitas";-;-;-;-;-;-;-;-;-;-;1;-;1
"293160 Teolândia";-;1;1;1;1;2;1;-;1;1;1;5;15
"293210 Ubaíra";-;2;-;1;1;-;2;-;-;1;1;-;8
"293220 Ubaitaba";-;-;-;1;-;-;1;1;-;-;-;1;4
"293230 Ubatã";-;-;-;-;-;-;-;-;-;2;2;1;5
"293250 Una";4;4;-;2;2;-;2;3;2;5;6;-;30
"293270 Uruçuca";1;2;2;5;3;2;2;-;2;1;-;-;20
"293280 Utinga";2;1;3;2;5;5;3;-;2;-;-;2;25
"293290 Valença";10;11;5;12;10;5;13;7;12;6;12;3;106
"293305 Várzea da Roça";-;-;-;-;1;-;-;-;-;-;-;-;1
"293315 Várzea Nova";-;-;-;-;-;-;-;-;-;1;-;-;1
"293317 Varzedo";-;-;1;-;1;-;-;-;-;-;-;-;2
"293330 Vitória da Conquista";-;-;-;-;-;1;-;1;-;-;-;-;2
"293340 Wagner";1;-;-;3;3;1;5;2;4;3;2;1;25
"293350 Wenceslau Guimarães";12;32;16;27;17;7;23;18;12;10;22;24;220
"Total";150;161;137;174;123;99;156;130;127;113;133;99;1602
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
