Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Evolução do caso
Período:2021
"Município Resid";"Ign/Branco";"Cura";"Abandono";"Óbito por LTA";"Óbito por outra causa";"Tranferência";"Mudança de Diagnóstico";"Total"
"291210 Ibicaraí";-;1;-;-;-;-;-;1
"291220 Ibicoara";-;9;-;-;-;-;1;10
"291230 Ibicuí";3;-;-;-;-;-;-;3
"291270 Ibirapitanga";-;11;-;-;-;-;1;12
"291290 Ibirataia";3;7;-;-;-;-;-;10
"291340 Igaporã";-;1;-;-;-;-;-;1
"291345 Igrapiúna";9;1;-;-;-;-;-;10
"291350 Iguaí";-;5;-;-;-;-;-;5
"291360 Ilhéus";-;8;-;-;-;-;-;8
"291390 Ipiaú";4;-;-;-;-;-;-;4
"291440 Iraquara";-;3;-;-;-;1;-;4
"291465 Itabela";-;3;1;-;-;-;-;4
"291480 Itabuna";-;2;-;-;-;-;-;2
"291490 Itacaré";16;2;-;-;-;1;-;19
"291500 Itaeté";-;1;-;-;-;-;-;1
"291510 Itagi";-;1;1;-;-;-;-;2
"291520 Itagibá";-;-;-;-;-;1;-;1
"291530 Itagimirim";-;-;-;-;-;-;1;1
"291540 Itaju do Colônia";-;-;-;-;-;1;-;1
"291550 Itajuípe";1;4;1;-;-;1;3;10
"291560 Itamaraju";-;3;-;-;-;-;-;3
"291570 Itamari";-;11;-;-;-;-;-;11
"291580 Itambé";-;3;-;-;-;-;-;3
"291630 Itapebi";1;-;-;-;-;-;-;1
"291640 Itapetinga";3;-;-;-;-;-;-;3
"291660 Itapitanga";-;1;-;-;-;-;-;1
"291680 Itarantim";2;-;-;-;-;-;-;2
"291710 Itororó";-;-;-;1;-;-;-;1
"291720 Ituaçu";-;4;-;-;-;-;-;4
"291730 Ituberá";-;18;-;-;-;-;1;19
"291735 Jaborandi";-;5;-;-;-;-;-;5
"291740 Jacaraci";-;4;-;-;-;-;-;4
"291750 Jacobina";7;6;-;-;-;-;-;13
"291760 Jaguaquara";1;10;-;-;-;-;-;11
"291770 Jaguarari";2;-;-;-;-;-;-;2
"291800 Jequié";4;5;-;-;-;-;-;9
"291820 Jiquiriçá";20;33;-;-;-;-;1;54
"291830 Jitaúna";4;4;-;-;-;-;-;8
"291845 Jucuruçu";-;-;-;-;-;1;-;1
"291850 Jussara";-;2;-;-;-;-;-;2
"291880 Laje";8;10;-;-;2;-;-;20
"291900 Lajedinho";4;1;-;-;1;-;-;6
"291920 Lauro de Freitas";-;-;-;-;-;-;1;1
"291930 Lençóis";2;37;-;-;1;-;8;48
"291940 Licínio de Almeida";1;-;-;-;-;-;-;1
"291955 Luís Eduardo Magalhães";-;2;-;-;-;-;-;2
"291980 Macaúbas";-;-;-;-;-;-;2;2
"292000 Maiquinique";1;1;-;-;-;-;-;2
"292050 Maracás";1;-;-;-;-;-;-;1
"292070 Maraú";1;21;-;-;-;-;-;22
"292090 Mascote";2;-;-;-;-;-;-;2
"292100 Mata de São João";-;1;-;-;-;-;-;1
"292120 Miguel Calmon";-;2;-;-;-;-;-;2
"292130 Milagres";1;-;-;-;-;-;-;1
"292140 Mirangaba";1;-;-;-;-;-;-;1
"292170 Morro do Chapéu";-;1;-;1;-;-;-;2
"292190 Mucugê";-;8;-;-;-;-;-;8
"292220 Muniz Ferreira";1;8;-;-;-;-;-;9
"292240 Mutuípe";13;69;1;-;-;-;2;85
"292260 Nilo Peçanha";3;5;-;1;-;1;-;10
"292265 Nordestina";1;-;-;-;-;-;-;1
"292270 Nova Canaã";-;1;-;-;-;-;-;1
"292275 Nova Ibiá";-;17;-;-;-;-;-;17
"292290 Nova Soure";3;-;-;-;-;-;-;3
"292300 Nova Viçosa";-;-;-;-;-;-;2;2
"292350 Palmeiras";8;3;-;-;-;-;1;12
"292370 Paratinga";1;-;-;-;-;-;-;1
"292390 Pau Brasil";1;1;-;-;-;-;-;2
"292460 Pindobaçu";1;9;-;-;-;-;-;10
"292467 Piraí do Norte";8;21;-;-;-;-;-;29
"292500 Planalto";2;1;-;-;-;-;-;3
"292510 Poções";2;-;-;1;-;-;-;3
"292520 Pojuca";2;2;-;-;-;-;-;4
"292530 Porto Seguro";1;7;7;-;1;-;1;17
"292570 Presidente Jânio Quadros";1;-;-;-;-;-;-;1
"292575 Presidente Tancredo Neves";-;13;6;-;-;-;-;19
"292620 Riachão das Neves";1;1;-;-;-;-;-;2
"292720 Ruy Barbosa";1;-;-;-;-;-;-;1
"292740 Salvador";2;7;-;-;-;1;2;12
"292760 Santa Brígida";1;-;-;-;-;-;-;1
"292770 Santa Cruz Cabrália";5;-;-;-;-;1;1;7
"292805 Santa Luzia";6;-;-;-;-;-;-;6
"292810 Santa Maria da Vitória";-;31;-;-;1;-;-;32
"292840 Santa Rita de Cássia";3;-;-;-;-;-;-;3
"292820 Santana";-;1;1;-;-;-;-;2
"292870 Santo Antônio de Jesus";-;6;-;-;-;-;1;7
"292890 São Desidério";2;5;-;-;-;-;-;7
"292905 São Félix do Coribe";1;15;1;-;-;-;-;17
"292925 São Gabriel";-;2;-;-;-;-;-;2
"292935 São José da Vitória";-;9;2;-;-;-;-;11
"292940 São Miguel das Matas";2;1;-;-;-;-;-;3
"293010 Senhor do Bonfim";-;4;-;-;-;-;2;6
"293020 Sento Sé";1;-;-;-;-;-;-;1
"293015 Serra do Ramalho";-;2;-;-;-;-;-;2
"293030 Serra Dourada";3;1;-;-;-;-;-;4
"293070 Simões Filho";-;1;-;-;-;-;-;1
"293080 Souto Soares";1;-;-;-;-;-;-;1
"293090 Tabocas do Brejo Velho";2;5;-;-;-;1;-;8
"293100 Tanhaçu";-;-;-;-;-;-;3;3
"293120 Taperoá";60;12;1;-;-;1;-;74
"293135 Teixeira de Freitas";1;-;-;-;-;-;-;1
"293160 Teolândia";6;9;-;-;-;-;-;15
"293210 Ubaíra";8;-;-;-;-;-;-;8
"293220 Ubaitaba";-;1;1;-;-;-;2;4
"293230 Ubatã";1;4;-;-;-;-;-;5
"293250 Una";-;26;-;-;-;1;3;30
"293270 Uruçuca";3;16;-;-;-;-;1;20
"293280 Utinga";-;24;-;-;-;1;-;25
"293290 Valença";29;74;2;-;-;1;-;106
"293305 Várzea da Roça";1;-;-;-;-;-;-;1
"293315 Várzea Nova";-;-;-;1;-;-;-;1
"293317 Varzedo";1;1;-;-;-;-;-;2
"293330 Vitória da Conquista";-;2;-;-;-;-;-;2
"293340 Wagner";1;23;-;-;-;1;-;25
"293350 Wenceslau Guimarães";18;202;-;-;-;-;-;220
"Total";390;1094;33;5;9;16;55;1602
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
