Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2021
"Município Resid";"Ignorado";"Masculino";"Feminino";"Total"
"291760 Jaguaquara";-;6;5;11
"291770 Jaguarari";-;1;1;2
"291800 Jequié";-;5;4;9
"291820 Jiquiriçá";-;32;22;54
"291830 Jitaúna";-;6;2;8
"291845 Jucuruçu";-;1;-;1
"291850 Jussara";-;2;-;2
"291880 Laje";-;12;8;20
"291900 Lajedinho";-;5;1;6
"291920 Lauro de Freitas";-;1;-;1
"291930 Lençóis";-;28;20;48
"291940 Licínio de Almeida";-;1;-;1
"291955 Luís Eduardo Magalhães";-;-;2;2
"291980 Macaúbas";-;2;-;2
"292000 Maiquinique";-;-;2;2
"292050 Maracás";-;1;-;1
"292070 Maraú";-;14;8;22
"292090 Mascote";-;2;-;2
"292100 Mata de São João";-;1;-;1
"292120 Miguel Calmon";-;1;1;2
"292130 Milagres";-;-;1;1
"292140 Mirangaba";-;1;-;1
"292170 Morro do Chapéu";-;1;1;2
"292190 Mucugê";-;4;4;8
"292220 Muniz Ferreira";-;6;3;9
"292240 Mutuípe";-;44;41;85
"292260 Nilo Peçanha";-;7;3;10
"292265 Nordestina";-;1;-;1
"292270 Nova Canaã";-;1;-;1
"292275 Nova Ibiá";-;9;8;17
"292290 Nova Soure";-;2;1;3
"292300 Nova Viçosa";-;2;-;2
"292350 Palmeiras";-;8;4;12
"292370 Paratinga";-;1;-;1
"292390 Pau Brasil";-;-;2;2
"292460 Pindobaçu";-;6;4;10
"292467 Piraí do Norte";-;11;18;29
"292500 Planalto";1;1;1;3
"292510 Poções";-;1;2;3
"292520 Pojuca";-;2;2;4
"292530 Porto Seguro";-;10;7;17
"292570 Presidente Jânio Quadros";-;-;1;1
"292575 Presidente Tancredo Neves";-;7;12;19
"292620 Riachão das Neves";-;1;1;2
"292720 Ruy Barbosa";-;1;-;1
"292740 Salvador";-;4;8;12
"292760 Santa Brígida";-;-;1;1
"292770 Santa Cruz Cabrália";-;1;6;7
"292805 Santa Luzia";-;2;4;6
"292810 Santa Maria da Vitória";-;19;13;32
"292840 Santa Rita de Cássia";-;3;-;3
"292820 Santana";-;2;-;2
"292870 Santo Antônio de Jesus";-;4;3;7
"292890 São Desidério";-;5;2;7
"292905 São Félix do Coribe";-;13;4;17
"292925 São Gabriel";-;2;-;2
"292935 São José da Vitória";-;7;4;11
"292940 São Miguel das Matas";-;2;1;3
"293010 Senhor do Bonfim";-;1;5;6
"293020 Sento Sé";-;-;1;1
"293015 Serra do Ramalho";-;2;-;2
"293030 Serra Dourada";-;4;-;4
"293070 Simões Filho";-;1;-;1
"293080 Souto Soares";-;1;-;1
"293090 Tabocas do Brejo Velho";-;6;2;8
"293100 Tanhaçu";-;2;1;3
"293120 Taperoá";12;27;35;74
"293135 Teixeira de Freitas";-;1;-;1
"293160 Teolândia";-;8;7;15
"293210 Ubaíra";-;4;4;8
"293220 Ubaitaba";-;2;2;4
"293230 Ubatã";-;2;3;5
"293250 Una";-;21;9;30
"293270 Uruçuca";-;11;9;20
"293280 Utinga";-;16;9;25
"293290 Valença";-;55;51;106
"293305 Várzea da Roça";-;-;1;1
"293315 Várzea Nova";-;1;-;1
"293317 Varzedo";-;2;-;2
"293330 Vitória da Conquista";-;2;-;2
"293340 Wagner";-;16;9;25
"293350 Wenceslau Guimarães";-;131;89;220
"Total";13;900;689;1602
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
