Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Crit.Confirm/Descarte
Período:2021
"Município Resid";"Clínico-Laboratorial";"Clínico-epidemiológico";"Total"
"291955 Luís Eduardo Magalhães";-;2;2
"291980 Macaúbas";-;2;2
"292000 Maiquinique";-;2;2
"292050 Maracás";-;1;1
"292070 Maraú";-;22;22
"292090 Mascote";-;2;2
"292100 Mata de São João";-;1;1
"292120 Miguel Calmon";1;1;2
"292130 Milagres";-;1;1
"292140 Mirangaba";-;1;1
"292170 Morro do Chapéu";1;1;2
"292190 Mucugê";6;2;8
"292220 Muniz Ferreira";7;2;9
"292240 Mutuípe";9;76;85
"292260 Nilo Peçanha";3;7;10
"292265 Nordestina";-;1;1
"292270 Nova Canaã";1;-;1
"292275 Nova Ibiá";16;1;17
"292290 Nova Soure";-;3;3
"292300 Nova Viçosa";-;2;2
"292350 Palmeiras";-;12;12
"292370 Paratinga";-;1;1
"292390 Pau Brasil";1;1;2
"292460 Pindobaçu";2;8;10
"292467 Piraí do Norte";7;22;29
"292500 Planalto";-;3;3
"292510 Poções";3;-;3
"292520 Pojuca";2;2;4
"292530 Porto Seguro";3;14;17
"292570 Presidente Jânio Quadros";-;1;1
"292575 Presidente Tancredo Neves";17;2;19
"292620 Riachão das Neves";1;1;2
"292720 Ruy Barbosa";1;-;1
"292740 Salvador";4;8;12
"292760 Santa Brígida";-;1;1
"292770 Santa Cruz Cabrália";1;6;7
"292805 Santa Luzia";1;5;6
"292810 Santa Maria da Vitória";24;8;32
"292840 Santa Rita de Cássia";1;2;3
"292820 Santana";2;-;2
"292870 Santo Antônio de Jesus";7;-;7
"292890 São Desidério";7;-;7
"292905 São Félix do Coribe";16;1;17
"292925 São Gabriel";2;-;2
"292935 São José da Vitória";-;11;11
"292940 São Miguel das Matas";3;-;3
"293010 Senhor do Bonfim";-;6;6
"293020 Sento Sé";-;1;1
"293015 Serra do Ramalho";-;2;2
"293030 Serra Dourada";2;2;4
"293070 Simões Filho";-;1;1
"293080 Souto Soares";-;1;1
"293090 Tabocas do Brejo Velho";3;5;8
"293100 Tanhaçu";-;3;3
"293120 Taperoá";9;65;74
"293135 Teixeira de Freitas";-;1;1
"293160 Teolândia";14;1;15
"293210 Ubaíra";7;1;8
"293220 Ubaitaba";-;4;4
"293230 Ubatã";1;4;5
"293250 Una";2;28;30
"293270 Uruçuca";-;20;20
"293280 Utinga";4;21;25
"293290 Valença";46;60;106
"293305 Várzea da Roça";-;1;1
"293315 Várzea Nova";1;-;1
"293317 Varzedo";2;-;2
"293330 Vitória da Conquista";1;1;2
"293340 Wagner";5;20;25
"293350 Wenceslau Guimarães";204;16;220
"Total";706;896;1602
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
