Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária SINAN
Período:2021
"Município Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"291020 Dom Macedo Costa";-;-;-;-;-;-;-;1;1;-;2
"291050 Entre Rios";-;-;-;-;-;-;-;1;-;-;1
"290050 Érico Cardoso";-;-;-;-;-;1;-;-;-;-;1
"291072 Eunápolis";-;-;-;1;-;1;1;1;1;-;5
"291075 Fátima";-;-;-;-;-;-;-;1;-;-;1
"291077 Feira da Mata";-;-;-;1;1;3;-;1;-;-;6
"291080 Feira de Santana";-;-;1;-;-;-;-;-;-;-;1
"291090 Firmino Alves";-;-;-;-;-;-;-;2;-;-;2
"291110 Formosa do Rio Preto";-;-;-;-;-;1;2;-;-;-;3
"291120 Gandu";3;2;1;-;2;8;14;6;-;-;36
"291170 Guanambi";-;-;-;-;-;1;-;-;-;-;1
"291180 Guaratinga";-;-;-;-;-;-;1;1;1;-;3
"291200 Ibiassucê";-;-;-;-;-;-;-;-;1;-;1
"291210 Ibicaraí";-;-;-;-;-;-;-;-;1;-;1
"291220 Ibicoara";-;-;-;-;-;5;3;1;-;1;10
"291230 Ibicuí";-;1;-;-;-;-;1;-;-;1;3
"291270 Ibirapitanga";-;-;1;-;1;2;3;3;1;1;12
"291290 Ibirataia";-;-;-;1;1;3;4;1;-;-;10
"291340 Igaporã";-;-;-;-;-;-;-;-;1;-;1
"291345 Igrapiúna";-;1;-;2;-;-;5;1;1;-;10
"291350 Iguaí";-;-;-;-;-;-;-;2;3;-;5
"291360 Ilhéus";-;-;1;1;-;1;3;2;-;-;8
"291390 Ipiaú";-;-;1;-;-;-;2;-;-;1;4
"291440 Iraquara";-;1;-;-;1;-;-;-;2;-;4
"291465 Itabela";-;-;-;-;-;1;1;2;-;-;4
"291480 Itabuna";-;-;-;-;-;-;-;2;-;-;2
"291490 Itacaré";-;-;1;2;-;4;5;4;3;-;19
"291500 Itaeté";-;-;-;-;-;-;1;-;-;-;1
"291510 Itagi";-;-;-;-;-;-;1;1;-;-;2
"291520 Itagibá";-;-;-;-;-;-;1;-;-;-;1
"291530 Itagimirim";-;-;-;-;-;-;-;-;1;-;1
"291540 Itaju do Colônia";-;-;-;1;-;-;-;-;-;-;1
"291550 Itajuípe";-;-;-;-;2;3;1;1;3;-;10
"291560 Itamaraju";-;-;-;-;1;-;1;1;-;-;3
"291570 Itamari";-;-;1;-;2;4;4;-;-;-;11
"291580 Itambé";-;-;-;-;-;1;1;1;-;-;3
"291630 Itapebi";-;-;-;-;-;-;-;-;1;-;1
"291640 Itapetinga";-;-;1;1;-;1;-;-;-;-;3
"291660 Itapitanga";-;-;-;-;-;-;-;1;-;-;1
"291680 Itarantim";-;-;-;-;-;-;-;1;1;-;2
"291710 Itororó";-;-;-;-;-;-;-;-;1;-;1
"291720 Ituaçu";-;-;-;-;-;1;1;2;-;-;4
"291730 Ituberá";-;3;2;3;2;4;2;2;1;-;19
"291735 Jaborandi";-;-;1;-;-;2;1;-;-;1;5
"291740 Jacaraci";-;-;-;-;-;-;2;2;-;-;4
"291750 Jacobina";-;-;-;-;3;5;2;2;-;1;13
"291760 Jaguaquara";-;-;-;-;2;1;3;2;3;-;11
"291770 Jaguarari";-;-;-;1;-;-;1;-;-;-;2
"291800 Jequié";-;-;-;-;-;3;1;2;3;-;9
"291820 Jiquiriçá";2;2;4;4;6;15;9;10;2;-;54
"291830 Jitaúna";-;-;-;-;-;1;3;1;3;-;8
"291845 Jucuruçu";-;-;-;-;-;-;-;-;1;-;1
"291850 Jussara";-;-;-;-;-;-;1;-;1;-;2
"291880 Laje";-;-;1;1;3;3;5;6;-;1;20
"291900 Lajedinho";-;-;1;1;1;1;-;1;-;1;6
"291920 Lauro de Freitas";-;-;-;-;1;-;-;-;-;-;1
"291930 Lençóis";1;1;5;3;5;8;11;10;4;-;48
"291940 Licínio de Almeida";-;-;-;-;-;-;-;1;-;-;1
"291955 Luís Eduardo Magalhães";-;-;-;-;-;1;-;1;-;-;2
"291980 Macaúbas";-;-;-;-;-;-;-;1;1;-;2
"292000 Maiquinique";-;-;-;-;-;-;-;-;1;1;2
"292050 Maracás";-;-;-;-;-;-;1;-;-;-;1
"292070 Maraú";-;1;1;4;4;8;3;-;-;1;22
"292090 Mascote";-;-;-;1;-;1;-;-;-;-;2
"292100 Mata de São João";-;-;-;-;-;-;-;1;-;-;1
"292120 Miguel Calmon";-;-;-;1;-;1;-;-;-;-;2
"292130 Milagres";-;-;-;-;-;-;1;-;-;-;1
"292140 Mirangaba";-;-;-;-;-;-;1;-;-;-;1
"292170 Morro do Chapéu";-;-;-;1;-;-;-;-;1;-;2
"292190 Mucugê";-;-;-;-;1;2;3;2;-;-;8
"292220 Muniz Ferreira";-;1;-;-;1;-;6;1;-;-;9
"292240 Mutuípe";2;1;3;4;12;19;21;21;2;-;85
"292260 Nilo Peçanha";-;1;1;1;1;2;2;-;1;1;10
"292265 Nordestina";-;-;-;-;-;1;-;-;-;-;1
"292270 Nova Canaã";-;-;-;-;-;-;1;-;-;-;1
"292275 Nova Ibiá";3;-;1;-;1;4;2;3;3;-;17
"292290 Nova Soure";-;-;-;-;-;1;1;-;-;1;3
"292300 Nova Viçosa";-;-;-;-;-;-;1;-;1;-;2
"292350 Palmeiras";-;-;-;1;2;7;1;-;1;-;12
"292370 Paratinga";-;-;-;-;-;-;-;-;1;-;1
"292390 Pau Brasil";-;-;-;-;-;-;2;-;-;-;2
"292460 Pindobaçu";-;-;-;-;-;1;3;1;2;3;10
"292467 Piraí do Norte";1;-;1;2;3;7;7;4;3;1;29
"292500 Planalto";-;-;-;1;-;-;-;2;-;-;3
"292510 Poções";-;-;-;-;-;-;-;-;2;1;3
"292520 Pojuca";-;-;-;-;1;-;1;2;-;-;4
"292530 Porto Seguro";2;-;-;-;-;5;3;4;2;1;17
"292570 Presidente Jânio Quadros";-;-;-;-;-;-;1;-;-;-;1
"292575 Presidente Tancredo Neves";-;2;1;-;5;2;1;5;2;1;19
"292620 Riachão das Neves";-;1;-;-;-;-;-;1;-;-;2
"292720 Ruy Barbosa";-;-;-;-;-;-;-;-;-;1;1
"292740 Salvador";-;-;2;1;-;2;2;2;3;-;12
"292760 Santa Brígida";-;-;-;-;-;-;-;1;-;-;1
"292770 Santa Cruz Cabrália";-;1;-;-;-;2;1;3;-;-;7
"292805 Santa Luzia";1;-;-;-;-;-;1;4;-;-;6
"292810 Santa Maria da Vitória";2;-;1;1;1;4;9;10;4;-;32
"292840 Santa Rita de Cássia";1;-;-;-;-;-;1;1;-;-;3
"292820 Santana";-;-;1;-;-;-;-;1;-;-;2
"292870 Santo Antônio de Jesus";-;-;-;-;1;3;2;-;1;-;7
"292890 São Desidério";-;-;-;-;-;2;-;3;2;-;7
"292905 São Félix do Coribe";-;-;2;2;2;4;5;1;1;-;17
"292925 São Gabriel";-;1;-;-;-;1;-;-;-;-;2
"292935 São José da Vitória";-;-;-;-;1;2;3;3;1;1;11
"292940 São Miguel das Matas";-;-;-;-;1;-;1;1;-;-;3
"293010 Senhor do Bonfim";-;-;-;-;-;1;4;1;-;-;6
"293020 Sento Sé";-;-;-;-;-;-;1;-;-;-;1
"293015 Serra do Ramalho";-;-;-;-;-;-;2;-;-;-;2
"293030 Serra Dourada";1;-;-;-;-;-;2;1;-;-;4
"293070 Simões Filho";-;-;-;-;-;1;-;-;-;-;1
"293080 Souto Soares";-;-;-;-;1;-;-;-;-;-;1
"293090 Tabocas do Brejo Velho";1;-;1;-;2;1;-;1;-;2;8
"293100 Tanhaçu";-;-;-;-;-;-;2;-;1;-;3
"293120 Taperoá";-;5;5;10;12;19;17;3;3;-;74
"293135 Teixeira de Freitas";-;-;-;-;-;-;-;1;-;-;1
"293160 Teolândia";-;1;2;1;1;2;6;1;1;-;15
"293210 Ubaíra";-;-;-;-;-;1;3;1;1;2;8
"293220 Ubaitaba";-;-;-;-;-;-;1;3;-;-;4
"293230 Ubatã";-;-;-;-;-;1;1;3;-;-;5
"293250 Una";1;-;-;-;3;3;8;13;1;1;30
"293270 Uruçuca";1;-;1;1;3;3;5;3;3;-;20
"293280 Utinga";-;1;-;1;3;7;5;4;3;1;25
"293290 Valença";1;3;8;9;4;21;30;19;10;1;106
"293305 Várzea da Roça";-;1;-;-;-;-;-;-;-;-;1
"293315 Várzea Nova";-;-;-;-;-;-;-;-;1;-;1
"293317 Varzedo";-;-;-;-;-;-;1;1;-;-;2
"293330 Vitória da Conquista";-;-;-;-;-;-;-;1;1;-;2
"293340 Wagner";-;1;1;3;5;5;5;3;1;1;25
"293350 Wenceslau Guimarães";9;10;21;21;30;63;38;14;10;4;220
"Total";32;48;81;101;153;347;381;263;147;49;1602
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
