Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano da Notificação
Período:2017-2024
"Município Resid";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"291220 Ibicoara";-;2;-;-;-;-;1;-;3
"291240 Ibipeba";4;2;1;2;3;1;-;-;13
"291250 Ibipitanga";2;-;1;2;-;-;1;1;7
"291260 Ibiquera";-;-;-;-;-;-;1;-;1
"291290 Ibirataia";-;-;1;1;-;-;-;-;2
"291300 Ibitiara";-;1;1;1;-;1;-;-;4
"291310 Ibititá";3;6;9;1;1;2;2;1;25
"291320 Ibotirama";3;10;3;-;1;1;-;1;19
"291330 Ichu";-;1;1;-;1;-;-;-;3
"291340 Igaporã";-;1;2;-;1;1;-;-;5
"291350 Iguaí";-;-;1;-;-;-;1;1;3
"291360 Ilhéus";-;-;-;1;-;1;4;4;10
"291370 Inhambupe";-;1;-;4;5;-;2;-;12
"291380 Ipecaetá";2;2;1;3;1;3;-;-;12
"291390 Ipiaú";-;1;-;1;-;1;1;1;5
"291400 Ipirá";7;1;2;6;3;3;-;1;23
"291410 Ipupiara";2;-;-;-;-;3;3;1;9
"291430 Iramaia";-;1;2;-;-;-;2;-;5
"291440 Iraquara";5;7;3;1;3;6;6;4;35
"291450 Irará";1;1;1;-;-;1;1;-;5
"291460 Irecê";30;9;16;2;7;9;6;6;85
"291465 Itabela";-;-;-;-;1;-;-;-;1
"291470 Itaberaba";2;2;-;4;1;1;2;1;13
"291480 Itabuna";-;-;-;-;1;1;2;-;4
"291490 Itacaré";-;-;-;-;-;-;1;-;1
"291500 Itaeté";1;1;-;-;1;-;-;-;3
"291510 Itagi";1;-;-;-;-;-;-;-;1
"291535 Itaguaçu da Bahia";-;2;1;3;3;2;3;1;15
"291560 Itamaraju";-;-;1;1;-;2;1;1;6
"291570 Itamari";-;-;-;1;-;-;-;-;1
"291610 Itaparica";1;2;2;2;-;-;-;-;7
"291640 Itapetinga";-;2;-;-;3;2;-;-;7
"291650 Itapicuru";1;2;-;3;4;-;2;-;12
"291660 Itapitanga";1;-;-;-;-;-;-;-;1
"291670 Itaquara";1;-;-;-;-;-;1;-;2
"291685 Itatim";-;-;2;1;2;3;1;1;10
"291690 Itiruçu";-;-;-;-;-;1;-;-;1
"291700 Itiúba";1;-;1;1;3;2;2;1;11
"291710 Itororó";1;-;-;-;-;-;-;-;1
"291720 Ituaçu";2;1;-;1;3;-;1;1;9
"291730 Ituberá";-;-;2;-;-;-;-;-;2
"291733 Iuiú";-;3;-;1;4;1;9;-;18
"291735 Jaborandi";-;-;-;1;-;-;-;-;1
"291740 Jacaraci";1;3;13;4;-;-;1;-;22
"291750 Jacobina";3;2;-;3;5;3;-;2;18
"291760 Jaguaquara";1;-;2;1;2;-;1;3;10
"291770 Jaguarari";-;1;-;1;-;-;2;1;5
"291780 Jaguaripe";1;-;1;2;1;-;-;1;6
"291800 Jequié";15;19;4;7;3;2;2;3;55
"291810 Jeremoabo";-;-;1;1;2;-;-;-;4
"291820 Jiquiriçá";-;-;-;-;-;-;1;-;1
"291830 Jitaúna";-;-;-;1;-;-;-;-;1
"291835 João Dourado";4;4;2;1;1;1;1;1;15
"291840 Juazeiro";23;23;31;13;24;17;29;26;186
"291850 Jussara";9;9;1;5;3;17;17;7;68
"291870 Lafaiete Coutinho";-;-;-;-;1;-;-;-;1
"291875 Lagoa Real";2;1;1;1;-;-;-;-;5
"291880 Laje";1;1;-;-;-;-;1;-;3
"291900 Lajedinho";1;-;-;-;-;-;-;-;1
"291905 Lajedo do Tabocal";-;-;-;-;-;-;1;-;1
"291910 Lamarão";1;1;-;1;-;-;-;1;4
"291915 Lapão";4;3;15;8;1;2;2;2;37
"291920 Lauro de Freitas";-;1;6;2;3;2;4;1;19
"291930 Lençóis";1;1;-;-;2;-;-;-;4
"291940 Licínio de Almeida";-;-;2;-;-;-;-;-;2
"291950 Livramento de Nossa Senhora";-;5;2;1;1;2;2;-;13
"291955 Luís Eduardo Magalhães";3;2;-;-;1;1;-;1;8
"291960 Macajuba";1;1;4;1;2;-;-;-;9
"291970 Macarani";-;-;-;-;-;1;1;-;2
"291980 Macaúbas";9;4;1;11;1;-;-;-;26
"291990 Macururé";-;1;-;-;-;-;-;-;1
"291992 Madre de Deus";-;-;-;-;1;-;-;-;1
"291995 Maetinga";2;-;-;2;-;-;-;-;4
"292010 Mairi";-;-;-;2;1;-;2;-;5
"292020 Malhada";3;5;3;2;2;2;2;-;19
"292030 Malhada de Pedras";1;-;-;2;1;1;-;-;5
"292040 Manoel Vitorino";3;2;1;-;1;1;1;-;9
"292045 Mansidão";1;-;-;-;2;-;1;-;4
"292050 Maracás";2;-;2;1;1;4;1;-;11
"292060 Maragogipe";1;3;3;2;1;-;1;-;11
"292080 Marcionílio Souza";5;2;2;2;2;-;1;-;14
"292100 Mata de São João";-;2;-;1;1;2;1;1;8
"292105 Matina";1;1;2;-;1;-;-;-;5
"292110 Medeiros Neto";-;-;-;-;-;-;1;1;2
"292120 Miguel Calmon";16;6;22;4;3;4;1;-;56
"292130 Milagres";-;-;1;-;-;-;-;-;1
"292140 Mirangaba";-;1;1;1;-;-;2;2;7
"292145 Mirante";1;-;4;1;1;3;-;-;10
"292150 Monte Santo";-;-;-;1;2;1;2;-;6
"292160 Morpará";1;1;1;1;1;3;1;-;9
"292170 Morro do Chapéu";5;6;3;1;1;2;2;-;20
"292180 Mortugaba";1;-;1;-;-;-;-;-;2
"292190 Mucugê";1;-;2;-;-;1;2;-;6
"292200 Mucuri";-;1;-;-;-;1;-;-;2
"292205 Mulungu do Morro";1;1;1;-;-;1;3;1;8
"292210 Mundo Novo";-;-;-;-;-;-;1;1;2
"292220 Muniz Ferreira";1;-;-;-;-;-;1;-;2
"292225 Muquém de São Francisco";4;1;1;1;1;-;-;1;9
"292230 Muritiba";-;1;-;-;-;1;-;1;3
"292240 Mutuípe";1;1;-;-;-;-;-;-;2
"292250 Nazaré";-;-;1;-;1;-;-;-;2
"292265 Nordestina";-;2;1;1;1;-;1;1;7
"292273 Nova Fátima";-;-;-;-;-;-;1;-;1
"292280 Nova Itarana";-;2;-;-;-;-;-;-;2
"292285 Nova Redenção";-;-;-;4;-;-;-;-;4
"292290 Nova Soure";-;1;-;1;1;-;-;-;3
"292303 Novo Horizonte";6;5;2;-;-;2;3;-;18
"292310 Olindina";1;3;3;-;2;1;-;-;10
"292320 Oliveira dos Brejinhos";3;3;3;-;1;-;-;3;13
"292335 Ourolândia";-;1;-;-;1;-;-;1;3
"292340 Palmas de Monte Alto";4;2;5;3;5;3;3;-;25
"292350 Palmeiras";-;5;3;1;1;1;-;-;11
"292360 Paramirim";-;1;1;-;1;3;-;1;7
"292370 Paratinga";1;1;-;-;1;-;1;1;5
"292400 Paulo Afonso";3;1;-;-;1;-;-;2;7
"292405 Pé de Serra";-;2;-;2;-;-;-;-;4
"292410 Pedrão";-;1;-;-;-;-;-;-;1
"292420 Pedro Alexandre";-;2;-;-;-;-;-;-;2
"292430 Piatã";1;1;4;-;-;-;1;1;8
"292440 Pilão Arcado";1;-;-;1;-;-;-;-;2
"292450 Pindaí";1;-;-;1;-;-;1;1;4
"292460 Pindobaçu";-;-;-;-;1;1;1;2;5
"292465 Pintadas";-;1;-;1;-;-;-;-;2
"292470 Piripá";-;-;-;-;3;-;-;-;3
"292480 Piritiba";3;-;-;1;3;1;-;-;8
"292500 Planalto";-;-;-;-;-;1;-;-;1
"292510 Poções";-;-;-;1;-;-;-;-;1
"292525 Ponto Novo";-;-;-;-;-;-;2;-;2
"292530 Porto Seguro";1;1;3;3;1;-;-;-;9
"292550 Prado";-;1;-;-;-;-;-;-;1
"292560 Presidente Dutra";3;5;1;3;2;4;1;1;20
"292570 Presidente Jânio Quadros";1;-;-;1;-;1;-;-;3
"292575 Presidente Tancredo Neves";-;-;1;-;-;-;-;-;1
"292580 Queimadas";5;2;5;1;3;4;1;-;21
"292590 Quijingue";-;2;1;-;1;2;1;-;7
"292593 Quixabeira";-;-;-;-;-;-;1;-;1
"292595 Rafael Jambeiro";2;-;2;7;5;1;1;1;19
"292600 Remanso";1;-;-;1;-;1;1;1;5
"292610 Retirolândia";2;-;3;-;2;-;-;-;7
"292620 Riachão das Neves";2;4;-;-;-;-;1;-;7
"292630 Riachão do Jacuípe";2;2;2;-;5;-;1;-;12
"292640 Riacho de Santana";4;1;5;3;-;1;-;-;14
"292650 Ribeira do Amparo";-;-;-;-;-;-;1;-;1
"292660 Ribeira do Pombal";-;1;2;1;1;1;2;-;8
"292665 Ribeirão do Largo";-;-;-;1;1;-;-;-;2
"292670 Rio de Contas";-;1;2;2;1;-;-;-;6
"292680 Rio do Antônio";1;-;1;1;-;1;-;-;4
"292690 Rio do Pires";-;-;-;5;-;-;-;1;6
"292700 Rio Real";-;-;4;-;-;2;1;1;8
"292710 Rodelas";-;-;-;-;-;1;-;-;1
"292720 Ruy Barbosa";2;1;2;-;-;1;1;-;7
"292730 Salinas da Margarida";8;2;4;1;-;-;3;-;18
"292740 Salvador";19;18;20;3;21;22;19;22;144
"292750 Santa Bárbara";4;4;8;5;1;3;2;-;27
"292790 Santa Inês";-;-;-;1;-;-;-;-;1
"292805 Santa Luzia";-;1;-;-;-;-;-;-;1
"292810 Santa Maria da Vitória";-;5;1;1;-;1;2;-;10
"292840 Santa Rita de Cássia";6;1;2;2;2;1;3;-;17
"292850 Santa Teresinha";1;-;2;-;-;-;-;-;3
"292800 Santaluz";1;2;4;2;3;3;1;-;16
"292820 Santana";1;4;1;3;-;2;5;6;22
"292830 Santanópolis";2;-;-;-;-;4;-;-;6
"292860 Santo Amaro";1;2;4;1;4;1;1;1;15
"292870 Santo Antônio de Jesus";1;-;-;-;1;1;-;-;3
"292880 Santo Estêvão";8;9;2;1;4;-;1;-;25
"292890 São Desidério";2;1;-;-;-;-;-;-;3
"292910 São Felipe";-;-;-;-;-;3;-;-;3
"292900 São Félix";-;-;1;-;-;-;-;-;1
"292905 São Félix do Coribe";8;44;6;3;1;1;-;-;63
"292920 São Francisco do Conde";-;2;-;-;-;-;2;-;4
"292925 São Gabriel";18;11;5;2;2;9;4;4;55
"292930 São Gonçalo dos Campos";1;2;1;1;1;2;1;-;9
"292950 São Sebastião do Passé";1;-;1;-;-;-;-;-;2
"292960 Sapeaçu";-;-;1;-;-;-;-;-;1
"292970 Sátiro Dias";2;3;-;3;5;-;-;-;13
"292975 Saubara";3;-;-;1;-;-;-;-;4
"292980 Saúde";1;1;-;-;5;-;-;-;7
"292990 Seabra";1;2;10;-;1;6;1;1;22
"293000 Sebastião Laranjeiras";1;2;-;-;-;-;-;-;3
"293010 Senhor do Bonfim";-;-;3;3;1;-;1;1;9
"293020 Sento Sé";5;5;3;2;2;5;1;1;24
"293015 Serra do Ramalho";2;2;-;-;2;-;-;-;6
"293030 Serra Dourada";-;-;2;-;-;-;2;-;4
"293040 Serra Preta";-;1;1;-;2;-;-;-;4
"293050 Serrinha";2;8;11;5;1;1;1;2;31
"293060 Serrolândia";-;-;-;-;-;-;1;-;1
"293070 Simões Filho";-;2;3;2;-;2;2;1;12
"293075 Sítio do Mato";1;2;2;-;-;-;5;-;10
"293077 Sobradinho";1;3;-;-;1;2;-;-;7
"293080 Souto Soares";-;1;2;5;5;-;3;6;22
"293090 Tabocas do Brejo Velho";1;-;-;-;-;-;1;-;2
"293100 Tanhaçu";4;1;2;2;-;-;-;-;9
"293105 Tanque Novo";3;8;-;1;2;-;2;-;16
"293110 Tanquinho";-;1;2;-;-;-;2;-;5
"293120 Taperoá";-;-;-;-;1;-;1;-;2
"293130 Tapiramutá";-;-;-;-;-;-;2;1;3
"293140 Teodoro Sampaio";-;-;-;-;1;-;-;-;1
"293150 Teofilândia";2;5;7;4;2;1;-;-;21
"293160 Teolândia";-;-;-;-;-;-;1;-;1
"293170 Terra Nova";-;-;-;1;-;1;1;-;3
"293180 Tremedal";7;-;-;1;-;-;-;-;8
"293190 Tucano";3;8;7;2;1;1;1;-;23
"293200 Uauá";1;1;-;-;-;-;-;1;3
"293210 Ubaíra";-;-;-;-;1;-;1;1;3
"293220 Ubaitaba";-;-;1;-;-;-;1;-;2
"293240 Uibaí";5;4;-;1;-;-;2;1;13
"293245 Umburanas";-;1;1;-;-;-;-;-;2
"293250 Una";-;-;-;-;-;-;-;2;2
"293260 Urandi";1;1;-;1;3;-;-;-;6
"293270 Uruçuca";-;-;-;-;-;-;1;-;1
"293280 Utinga";1;-;1;1;-;-;-;-;3
"293290 Valença";1;-;-;-;-;1;-;1;3
"293300 Valente";-;-;1;-;1;1;-;-;3
"293305 Várzea da Roça";-;-;-;-;2;-;-;-;2
"293315 Várzea Nova";-;-;-;1;-;-;-;-;1
"293317 Varzedo";-;-;-;-;-;1;-;-;1
"293320 Vera Cruz";1;-;-;-;-;1;1;2;5
"293330 Vitória da Conquista";1;2;4;3;3;2;-;3;18
"293340 Wagner";-;1;1;-;-;-;1;-;3
"293345 Wanderley";1;-;-;-;-;-;-;1;2
"293360 Xique-Xique";10;9;11;18;6;6;5;4;69
"Total";636;686;613;460;409;392;381;243;3820
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
