Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano da Notificação
Período:2014-2024
"Município Resid";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"290520 Caetité";1;1;1;1;3;3;4;1;4;1;-;20
"290530 Cafarnaum";4;15;16;4;4;2;4;6;-;4;3;62
"290540 Cairu";1;1;-;-;-;-;-;-;-;-;-;2
"290550 Caldeirão Grande";-;-;-;-;1;-;1;-;1;2;-;5
"290570 Camaçari";8;9;2;8;4;3;1;4;4;3;2;48
"290590 Campo Alegre de Lourdes";5;3;1;5;4;1;2;2;6;4;1;34
"290600 Campo Formoso";9;8;2;1;7;2;2;1;4;3;7;46
"290610 Canápolis";1;-;-;4;-;-;1;1;-;-;2;9
"290620 Canarana";36;15;7;7;3;4;-;-;1;-;2;75
"290630 Canavieiras";-;-;-;-;-;1;-;-;-;-;-;1
"290640 Candeal";1;-;1;-;3;3;-;1;-;1;-;10
"290650 Candeias";-;1;-;-;2;2;1;-;-;1;-;7
"290660 Candiba";1;-;1;-;1;-;2;-;2;-;-;7
"290670 Cândido Sales";-;-;-;-;1;-;-;-;-;-;-;1
"290680 Cansanção";-;1;-;-;1;-;-;1;1;-;-;4
"290682 Canudos";2;-;1;-;-;-;-;-;-;-;1;4
"290687 Capim Grosso";-;-;-;-;-;2;1;4;1;-;1;9
"290689 Caraíbas";1;1;1;1;-;-;-;-;-;1;-;5
"290690 Caravelas";-;-;-;-;-;-;-;-;2;-;-;2
"290700 Cardeal da Silva";-;-;-;-;-;-;-;-;-;1;-;1
"290710 Carinhanha";3;5;9;2;11;7;5;2;7;5;1;57
"290720 Casa Nova";7;4;1;3;2;4;1;8;3;3;1;37
"290730 Castro Alves";2;-;-;2;-;1;1;1;3;-;-;10
"290740 Catolândia";-;1;-;-;-;-;-;-;-;-;-;1
"290750 Catu";-;-;-;1;-;-;2;-;2;2;-;7
"290755 Caturama";-;1;2;-;-;-;1;-;-;-;1;5
"290760 Central";11;18;3;5;4;7;2;-;5;2;-;57
"290780 Cícero Dantas";-;-;1;1;-;1;1;1;1;-;1;7
"290790 Cipó";10;-;1;-;1;1;4;-;2;1;-;20
"290800 Coaraci";-;-;-;-;-;-;1;-;-;-;-;1
"290810 Cocos";-;-;3;11;5;2;1;1;3;1;-;27
"290820 Conceição da Feira";-;-;-;-;1;-;1;-;-;-;1;3
"290830 Conceição do Almeida";-;-;-;-;-;1;2;-;-;-;-;3
"290840 Conceição do Coité";-;-;-;3;4;2;-;1;-;-;-;10
"290850 Conceição do Jacuípe";3;-;-;1;-;2;1;1;1;-;-;9
"290860 Conde";-;-;-;4;5;3;1;1;-;2;-;16
"290870 Condeúba";-;1;-;2;-;-;1;-;-;-;-;4
"290880 Contendas do Sincorá";-;-;-;2;-;1;-;-;-;3;-;6
"290890 Coração de Maria";-;-;-;-;-;1;1;-;-;1;3;6
"290900 Cordeiros";-;-;1;-;-;-;-;2;-;-;-;3
"290910 Coribe";-;3;-;2;2;-;1;-;-;-;2;10
"290920 Coronel João Sá";-;-;-;-;-;-;-;1;-;-;-;1
"290930 Correntina";-;-;-;2;-;1;1;2;-;-;1;7
"290940 Cotegipe";1;-;1;-;-;-;1;-;1;1;-;5
"290960 Crisópolis";1;-;1;-;-;-;1;-;-;-;-;3
"290980 Cruz das Almas";-;-;-;-;1;2;-;-;-;-;-;3
"290990 Curaçá";2;2;3;3;3;4;5;5;2;-;2;31
"291000 Dário Meira";-;-;-;-;-;-;-;-;-;-;1;1
"291005 Dias d'Ávila";-;-;4;4;6;8;2;1;2;1;-;28
"291010 Dom Basílio";-;1;-;-;-;-;-;-;-;-;-;1
"291020 Dom Macedo Costa";-;-;-;-;1;-;-;-;-;-;-;1
"291040 Encruzilhada";-;-;1;-;-;-;-;1;1;1;-;4
"291050 Entre Rios";4;-;1;-;-;1;-;1;-;3;-;10
"290050 Érico Cardoso";-;1;3;3;-;1;1;-;1;-;-;10
"291060 Esplanada";1;-;4;1;-;-;-;-;-;2;-;8
"291070 Euclides da Cunha";3;3;1;2;5;2;8;2;1;2;-;29
"291072 Eunápolis";-;-;2;1;3;3;1;1;-;1;-;12
"291075 Fátima";-;-;1;-;-;-;-;3;1;-;-;5
"291077 Feira da Mata";-;-;-;1;1;1;1;1;-;-;-;5
"291080 Feira de Santana";20;16;20;24;69;51;36;13;26;16;3;294
"291085 Filadélfia";-;2;2;2;-;-;-;2;1;1;-;10
"291100 Floresta Azul";-;-;-;-;-;-;-;-;-;1;-;1
"291110 Formosa do Rio Preto";3;15;7;8;3;2;2;1;2;1;-;44
"291120 Gandu";-;1;-;-;-;-;-;-;-;-;-;1
"291130 Gentio do Ouro";2;3;3;1;-;1;2;4;-;-;3;19
"291140 Glória";-;-;-;-;-;-;-;-;-;-;2;2
"291160 Governador Mangabeira";2;-;-;1;1;-;1;-;-;-;-;5
"291165 Guajeru";-;-;-;2;-;-;-;-;1;-;-;3
"291170 Guanambi";14;18;26;15;19;18;14;20;15;3;4;166
"291190 Iaçu";11;6;-;3;1;4;3;1;-;-;-;29
"291200 Ibiassucê";3;2;-;5;1;-;1;-;-;-;-;12
"291220 Ibicoara";1;2;-;-;2;-;-;-;-;1;-;6
"291240 Ibipeba";3;14;3;4;2;1;2;3;1;-;-;33
"291250 Ibipitanga";-;1;1;2;-;1;2;-;-;1;1;9
"291260 Ibiquera";-;-;-;-;-;-;-;-;-;1;-;1
"291290 Ibirataia";-;-;-;-;-;1;1;-;-;-;-;2
"291300 Ibitiara";5;8;-;-;1;1;1;-;1;-;-;17
"291310 Ibititá";10;4;-;3;6;9;1;1;2;2;1;39
"291320 Ibotirama";4;5;8;3;10;3;-;1;1;-;1;36
"291330 Ichu";1;1;1;-;1;1;-;1;-;-;-;6
"291340 Igaporã";2;2;3;-;1;2;-;1;1;-;-;12
"291350 Iguaí";-;1;-;-;-;1;-;-;-;1;1;4
"291360 Ilhéus";-;-;-;-;-;-;1;-;1;4;4;10
"291370 Inhambupe";9;2;3;-;1;-;4;5;-;2;-;26
"291380 Ipecaetá";-;1;-;2;2;1;3;1;3;-;-;13
"291390 Ipiaú";-;-;1;-;1;-;1;-;1;1;1;6
"291400 Ipirá";4;4;1;7;1;2;6;3;3;-;1;32
"291410 Ipupiara";1;-;-;2;-;-;-;-;3;3;1;10
"291430 Iramaia";2;-;-;-;1;2;-;-;-;2;-;7
"291440 Iraquara";12;11;4;5;7;3;1;3;6;6;4;62
"291450 Irará";-;-;-;1;1;1;-;-;1;1;-;5
"291460 Irecê";36;29;29;30;9;16;2;7;9;6;6;179
"291465 Itabela";1;-;-;-;-;-;-;1;-;-;-;2
"291470 Itaberaba";20;9;3;2;2;-;4;1;1;2;1;45
"291480 Itabuna";-;1;-;-;-;-;-;1;1;2;-;5
"291490 Itacaré";-;-;-;-;-;-;-;-;-;1;-;1
"291500 Itaeté";7;1;1;1;1;-;-;1;-;-;-;12
"291510 Itagi";-;-;-;1;-;-;-;-;-;-;-;1
"291535 Itaguaçu da Bahia";5;7;1;-;2;1;3;3;2;3;1;28
"291560 Itamaraju";-;1;-;-;-;1;1;-;2;1;1;7
"291570 Itamari";1;-;-;-;-;-;1;-;-;-;-;2
"291590 Itanagra";-;1;-;-;-;-;-;-;-;-;-;1
"291610 Itaparica";-;-;1;1;2;2;2;-;-;-;-;8
"291640 Itapetinga";-;-;-;-;2;-;-;3;2;-;-;7
"291650 Itapicuru";1;3;-;1;2;-;3;4;-;2;-;16
"291660 Itapitanga";-;-;-;1;-;-;-;-;-;-;-;1
"291670 Itaquara";-;-;-;1;-;-;-;-;-;1;-;2
"291685 Itatim";5;2;1;-;-;2;1;2;3;1;1;18
"291690 Itiruçu";-;-;-;-;-;-;-;-;1;-;-;1
"291700 Itiúba";1;-;1;1;-;1;1;3;2;2;1;13
"291710 Itororó";-;-;-;1;-;-;-;-;-;-;-;1
"291720 Ituaçu";12;6;1;2;1;-;1;3;-;1;1;28
"291730 Ituberá";-;-;-;-;-;2;-;-;-;-;-;2
"291733 Iuiú";-;1;2;-;3;-;1;4;1;9;-;21
"291735 Jaborandi";-;-;-;-;-;-;1;-;-;-;-;1
"291740 Jacaraci";-;2;2;1;3;13;4;-;-;1;-;26
"291750 Jacobina";15;3;7;3;2;-;3;5;3;-;2;43
"291760 Jaguaquara";-;-;-;1;-;2;1;2;-;1;3;10
"291770 Jaguarari";-;3;-;-;1;-;1;-;-;2;1;8
"291780 Jaguaripe";-;-;1;1;-;1;2;1;-;-;1;7
"291800 Jequié";20;17;12;15;19;4;7;3;2;2;3;104
"291810 Jeremoabo";-;-;-;-;-;1;1;2;-;-;-;4
"291820 Jiquiriçá";-;1;-;-;-;-;-;-;-;1;-;2
"291830 Jitaúna";-;-;-;-;-;-;1;-;-;-;-;1
"291835 João Dourado";13;8;6;4;4;2;1;1;1;1;1;42
"291840 Juazeiro";22;24;15;23;23;31;13;24;17;29;26;247
"291850 Jussara";12;5;8;9;9;1;5;3;17;17;7;93
"291860 Jussiape";1;1;-;-;-;-;-;-;-;-;-;2
"291870 Lafaiete Coutinho";-;-;-;-;-;-;-;1;-;-;-;1
"291875 Lagoa Real";1;2;-;2;1;1;1;-;-;-;-;8
"291880 Laje";1;-;-;1;1;-;-;-;-;1;-;4
"291900 Lajedinho";3;1;-;1;-;-;-;-;-;-;-;5
"291905 Lajedo do Tabocal";-;-;-;-;-;-;-;-;-;1;-;1
"291910 Lamarão";-;-;-;1;1;-;1;-;-;-;1;4
"291915 Lapão";15;10;16;4;3;15;8;1;2;2;2;78
"291920 Lauro de Freitas";2;2;3;-;1;6;2;3;2;4;1;26
"291930 Lençóis";5;-;-;1;1;-;-;2;-;-;-;9
"291940 Licínio de Almeida";2;-;2;-;-;2;-;-;-;-;-;6
"291950 Livramento de Nossa Senhora";24;13;11;-;5;2;1;1;2;2;-;61
"291955 Luís Eduardo Magalhães";10;1;-;3;2;-;-;1;1;-;1;19
"291960 Macajuba";-;3;1;1;1;4;1;2;-;-;-;13
"291970 Macarani";-;-;1;-;-;-;-;-;1;1;-;3
"291980 Macaúbas";3;5;2;9;4;1;11;1;-;-;-;36
"291990 Macururé";-;-;-;-;1;-;-;-;-;-;-;1
"291992 Madre de Deus";-;-;-;-;-;-;-;1;-;-;-;1
"291995 Maetinga";-;-;-;2;-;-;2;-;-;-;-;4
"292010 Mairi";3;-;-;-;-;-;2;1;-;2;-;8
"292020 Malhada";1;4;2;3;5;3;2;2;2;2;-;26
"292030 Malhada de Pedras";1;-;-;1;-;-;2;1;1;-;-;6
"292040 Manoel Vitorino";3;3;3;3;2;1;-;1;1;1;-;18
"292045 Mansidão";3;-;-;1;-;-;-;2;-;1;-;7
"292050 Maracás";2;4;-;2;-;2;1;1;4;1;-;17
"292060 Maragogipe";2;-;1;1;3;3;2;1;-;1;-;14
"292070 Maraú";-;1;-;-;-;-;-;-;-;-;-;1
"292080 Marcionílio Souza";20;4;3;5;2;2;2;2;-;1;-;41
"292100 Mata de São João";1;-;-;-;2;-;1;1;2;1;1;9
"292105 Matina";2;-;-;1;1;2;-;1;-;-;-;7
"292110 Medeiros Neto";-;-;-;-;-;-;-;-;-;1;1;2
"292120 Miguel Calmon";2;3;7;16;6;22;4;3;4;1;-;68
"292130 Milagres";-;-;-;-;-;1;-;-;-;-;-;1
"292140 Mirangaba";-;2;1;-;1;1;1;-;-;2;2;10
"292145 Mirante";3;-;-;1;-;4;1;1;3;-;-;13
"292150 Monte Santo";3;2;-;-;-;-;1;2;1;2;-;11
"292160 Morpará";-;1;4;1;1;1;1;1;3;1;-;14
"292170 Morro do Chapéu";6;13;3;5;6;3;1;1;2;2;-;42
"292180 Mortugaba";-;-;1;1;-;1;-;-;-;-;-;3
"292190 Mucugê";1;-;1;1;-;2;-;-;1;2;-;8
"292200 Mucuri";-;-;-;-;1;-;-;-;1;-;-;2
"292205 Mulungu do Morro";4;4;1;1;1;1;-;-;1;3;1;17
"292210 Mundo Novo";3;2;3;-;-;-;-;-;-;1;1;10
"292220 Muniz Ferreira";-;-;-;1;-;-;-;-;-;1;-;2
"292225 Muquém de São Francisco";1;-;-;4;1;1;1;1;-;-;1;10
"292230 Muritiba";-;-;1;-;1;-;-;-;1;-;1;4
"292240 Mutuípe";-;-;-;1;1;-;-;-;-;-;-;2
"292250 Nazaré";-;-;-;-;-;1;-;1;-;-;-;2
"292265 Nordestina";-;-;-;-;2;1;1;1;-;1;1;7
"292273 Nova Fátima";-;-;-;-;-;-;-;-;-;1;-;1
"292280 Nova Itarana";1;1;-;-;2;-;-;-;-;-;-;4
"292285 Nova Redenção";21;3;1;-;-;-;4;-;-;-;-;29
"292290 Nova Soure";5;3;-;-;1;-;1;1;-;-;-;11
"292303 Novo Horizonte";6;1;1;6;5;2;-;-;2;3;-;26
"292310 Olindina";-;1;-;1;3;3;-;2;1;-;-;11
"292320 Oliveira dos Brejinhos";-;5;2;3;3;3;-;1;-;-;3;20
"292335 Ourolândia";-;5;1;-;1;-;-;1;-;-;1;9
"292340 Palmas de Monte Alto";1;1;3;4;2;5;3;5;3;3;-;30
"292350 Palmeiras";1;-;-;-;5;3;1;1;1;-;-;12
"292360 Paramirim";-;5;3;-;1;1;-;1;3;-;1;15
"292370 Paratinga";-;2;-;1;1;-;-;1;-;1;1;7
"292380 Paripiranga";1;-;-;-;-;-;-;-;-;-;-;1
"292400 Paulo Afonso";2;4;1;3;1;-;-;1;-;-;2;14
"292405 Pé de Serra";1;-;-;-;2;-;2;-;-;-;-;5
"292410 Pedrão";-;-;-;-;1;-;-;-;-;-;-;1
"292420 Pedro Alexandre";-;-;-;-;2;-;-;-;-;-;-;2
"292430 Piatã";1;-;-;1;1;4;-;-;-;1;1;9
"292440 Pilão Arcado";-;-;-;1;-;-;1;-;-;-;-;2
"292450 Pindaí";-;1;-;1;-;-;1;-;-;1;1;5
"292460 Pindobaçu";-;1;-;-;-;-;-;1;1;1;2;6
"292465 Pintadas";1;-;-;-;1;-;1;-;-;-;-;3
"292470 Piripá";-;-;-;-;-;-;-;3;-;-;-;3
"292480 Piritiba";-;-;-;3;-;-;1;3;1;-;-;8
"292500 Planalto";-;-;-;-;-;-;-;-;1;-;-;1
"292510 Poções";-;-;2;-;-;-;1;-;-;-;-;3
"292520 Pojuca";1;-;-;-;-;-;-;-;-;-;-;1
"292525 Ponto Novo";-;1;-;-;-;-;-;-;-;2;-;3
"292530 Porto Seguro";-;-;-;1;1;3;3;1;-;-;-;9
"292550 Prado";-;-;-;-;1;-;-;-;-;-;-;1
"292560 Presidente Dutra";13;8;4;3;5;1;3;2;4;1;1;45
"292570 Presidente Jânio Quadros";-;-;-;1;-;-;1;-;1;-;-;3
"292575 Presidente Tancredo Neves";-;1;-;-;-;1;-;-;-;-;-;2
"292580 Queimadas";1;-;1;5;2;5;1;3;4;1;-;23
"292590 Quijingue";1;-;1;-;2;1;-;1;2;1;-;9
"292593 Quixabeira";-;-;-;-;-;-;-;-;-;1;-;1
"292595 Rafael Jambeiro";5;4;2;2;-;2;7;5;1;1;1;30
"292600 Remanso";-;1;-;1;-;-;1;-;1;1;1;6
"292610 Retirolândia";-;-;-;2;-;3;-;2;-;-;-;7
"292620 Riachão das Neves";2;-;-;2;4;-;-;-;-;1;-;9
"292630 Riachão do Jacuípe";2;-;3;2;2;2;-;5;-;1;-;17
"292640 Riacho de Santana";9;7;2;4;1;5;3;-;1;-;-;32
"292650 Ribeira do Amparo";-;-;1;-;-;-;-;-;-;1;-;2
"292660 Ribeira do Pombal";2;1;2;-;1;2;1;1;1;2;-;13
"292665 Ribeirão do Largo";-;-;-;-;-;-;1;1;-;-;-;2
"292670 Rio de Contas";-;-;-;-;1;2;2;1;-;-;-;6
"292680 Rio do Antônio";-;2;-;1;-;1;1;-;1;-;-;6
"292690 Rio do Pires";-;3;1;-;-;-;5;-;-;-;1;10
"292700 Rio Real";2;-;-;-;-;4;-;-;2;1;1;10
"292710 Rodelas";-;-;-;-;-;-;-;-;1;-;-;1
"292720 Ruy Barbosa";2;4;1;2;1;2;-;-;1;1;-;14
"292730 Salinas da Margarida";11;3;6;8;2;4;1;-;-;3;-;38
"292740 Salvador";11;18;15;19;18;20;3;21;22;19;22;188
"292750 Santa Bárbara";2;3;2;4;4;8;5;1;3;2;-;34
"292790 Santa Inês";-;-;-;-;-;-;1;-;-;-;-;1
"292805 Santa Luzia";-;1;-;-;1;-;-;-;-;-;-;2
"292810 Santa Maria da Vitória";4;1;1;-;5;1;1;-;1;2;-;16
"292840 Santa Rita de Cássia";2;4;6;6;1;2;2;2;1;3;-;29
"292850 Santa Teresinha";-;-;-;1;-;2;-;-;-;-;-;3
"292800 Santaluz";3;2;3;1;2;4;2;3;3;1;-;24
"292820 Santana";4;3;3;1;4;1;3;-;2;5;6;32
"292830 Santanópolis";-;-;1;2;-;-;-;-;4;-;-;7
"292860 Santo Amaro";1;-;1;1;2;4;1;4;1;1;1;17
"292870 Santo Antônio de Jesus";1;1;1;1;-;-;-;1;1;-;-;6
"292880 Santo Estêvão";2;3;4;8;9;2;1;4;-;1;-;34
"292890 São Desidério";-;2;1;2;1;-;-;-;-;-;-;6
"292910 São Felipe";-;-;-;-;-;-;-;-;3;-;-;3
"292900 São Félix";-;-;-;-;-;1;-;-;-;-;-;1
"292905 São Félix do Coribe";8;7;6;8;44;6;3;1;1;-;-;84
"292920 São Francisco do Conde";-;1;-;-;2;-;-;-;-;2;-;5
"292925 São Gabriel";23;21;9;18;11;5;2;2;9;4;4;108
"292930 São Gonçalo dos Campos";-;-;-;1;2;1;1;1;2;1;-;9
"292950 São Sebastião do Passé";-;-;1;1;-;1;-;-;-;-;-;3
"292960 Sapeaçu";1;-;-;-;-;1;-;-;-;-;-;2
"292970 Sátiro Dias";2;3;-;2;3;-;3;5;-;-;-;18
"292975 Saubara";-;-;-;3;-;-;1;-;-;-;-;4
"292980 Saúde";-;1;1;1;1;-;-;5;-;-;-;9
"292990 Seabra";14;7;1;1;2;10;-;1;6;1;1;44
"293000 Sebastião Laranjeiras";1;-;2;1;2;-;-;-;-;-;-;6
"293010 Senhor do Bonfim";1;2;3;-;-;3;3;1;-;1;1;15
"293020 Sento Sé";21;6;3;5;5;3;2;2;5;1;1;54
"293015 Serra do Ramalho";6;-;4;2;2;-;-;2;-;-;-;16
"293030 Serra Dourada";-;2;-;-;-;2;-;-;-;2;-;6
"293040 Serra Preta";-;1;-;-;1;1;-;2;-;-;-;5
"293050 Serrinha";5;-;3;2;8;11;5;1;1;1;2;39
"293060 Serrolândia";-;3;-;-;-;-;-;-;-;1;-;4
"293070 Simões Filho";-;-;2;-;2;3;2;-;2;2;1;14
"293075 Sítio do Mato";-;2;-;1;2;2;-;-;-;5;-;12
"293077 Sobradinho";2;3;-;1;3;-;-;1;2;-;-;12
"293080 Souto Soares";5;5;4;-;1;2;5;5;-;3;6;36
"293090 Tabocas do Brejo Velho";1;-;-;1;-;-;-;-;-;1;-;3
"293100 Tanhaçu";10;5;4;4;1;2;2;-;-;-;-;28
"293105 Tanque Novo";3;2;2;3;8;-;1;2;-;2;-;23
"293110 Tanquinho";1;-;-;-;1;2;-;-;-;2;-;6
"293120 Taperoá";1;-;-;-;-;-;-;1;-;1;-;3
"293130 Tapiramutá";-;-;2;-;-;-;-;-;-;2;1;5
"293135 Teixeira de Freitas";1;-;-;-;-;-;-;-;-;-;-;1
"293140 Teodoro Sampaio";-;-;-;-;-;-;-;1;-;-;-;1
"293150 Teofilândia";5;-;1;2;5;7;4;2;1;-;-;27
"293160 Teolândia";-;1;-;-;-;-;-;-;-;1;-;2
"293170 Terra Nova";-;-;-;-;-;-;1;-;1;1;-;3
"293180 Tremedal";1;-;1;7;-;-;1;-;-;-;-;10
"293190 Tucano";3;1;2;3;8;7;2;1;1;1;-;29
"293200 Uauá";-;-;1;1;1;-;-;-;-;-;1;4
"293210 Ubaíra";1;-;-;-;-;-;-;1;-;1;1;4
"293220 Ubaitaba";-;-;-;-;-;1;-;-;-;1;-;2
"293240 Uibaí";4;10;2;5;4;-;1;-;-;2;1;29
"293245 Umburanas";-;1;-;-;1;1;-;-;-;-;-;3
"293250 Una";-;-;-;-;-;-;-;-;-;-;2;2
"293260 Urandi";-;-;1;1;1;-;1;3;-;-;-;7
"293270 Uruçuca";-;-;-;-;-;-;-;-;-;1;-;1
"293280 Utinga";-;-;-;1;-;1;1;-;-;-;-;3
"293290 Valença";1;1;-;1;-;-;-;-;1;-;1;5
"293300 Valente";-;-;1;-;-;1;-;1;1;-;-;4
"293305 Várzea da Roça";-;-;1;-;-;-;-;2;-;-;-;3
"293310 Várzea do Poço";-;2;-;-;-;-;-;-;-;-;-;2
"293315 Várzea Nova";-;1;-;-;-;-;1;-;-;-;-;2
"293317 Varzedo";-;-;-;-;-;-;-;-;1;-;-;1
"293320 Vera Cruz";-;-;-;1;-;-;-;-;1;1;2;5
"293330 Vitória da Conquista";3;-;1;1;2;4;3;3;2;-;3;22
"293340 Wagner";6;6;3;-;1;1;-;-;-;1;-;18
"293345 Wanderley";1;-;-;1;-;-;-;-;-;-;1;3
"293360 Xique-Xique";8;14;6;10;9;11;18;6;6;5;4;97
"Total";977;751;534;636;686;613;460;409;392;381;243;6082
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
