Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Local de Ocorrência
Período:2018
"Município-BA";"Hospital";"Outros estab de saúde";"Domicílio";"Via pública";"Outros";"Local Ignorado";"Total"
"292210 Mundo Novo";70;1;46;2;7;-;126
"292220 Muniz Ferreira";38;-;21;4;2;-;65
"292225 Muquém de São Francisco";24;10;11;3;2;-;50
"292230 Muritiba";99;9;64;11;6;-;189
"292240 Mutuípe";86;-;45;8;1;-;140
"292250 Nazaré";128;3;49;14;3;1;198
"292260 Nilo Peçanha";29;1;24;2;3;-;59
"292265 Nordestina";38;2;16;2;4;1;63
"292270 Nova Canaã";61;-;40;5;5;-;111
"292273 Nova Fátima";12;1;15;5;1;-;34
"292275 Nova Ibiá";14;-;18;-;-;-;32
"292280 Nova Itarana";24;1;18;1;1;-;45
"292285 Nova Redenção";19;2;30;-;-;-;51
"292290 Nova Soure";91;2;16;8;14;-;131
"292300 Nova Viçosa";139;4;42;14;13;-;212
"292303 Novo Horizonte";28;-;39;5;5;-;77
"292305 Novo Triunfo";22;1;29;-;2;-;54
"292310 Olindina";86;3;39;8;9;1;146
"292320 Oliveira dos Brejinhos";79;1;60;9;6;-;155
"292330 Ouriçangas";25;1;20;2;1;-;49
"292335 Ourolândia";68;1;23;2;5;-;99
"292340 Palmas de Monte Alto";94;1;34;8;2;-;139
"292350 Palmeiras";21;1;25;3;3;-;53
"292360 Paramirim";97;2;45;4;2;-;150
"292370 Paratinga";123;-;61;3;5;-;192
"292380 Paripiranga";87;1;85;12;5;-;190
"292390 Pau Brasil";35;-;17;2;10;-;64
"292400 Paulo Afonso";528;10;173;32;32;2;777
"292405 Pé de Serra";52;-;34;6;4;-;96
"292410 Pedrão";30;1;26;-;1;-;58
"292420 Pedro Alexandre";26;1;25;6;7;-;65
"292430 Piatã";79;2;52;3;2;-;138
"292440 Pilão Arcado";93;-;57;3;5;-;158
"292450 Pindaí";63;-;31;10;2;-;106
"292460 Pindobaçu";69;1;42;1;9;-;122
"292465 Pintadas";23;-;21;2;2;-;48
"292467 Piraí do Norte";16;3;7;8;2;-;36
"292470 Piripá";51;-;19;-;3;-;73
"292480 Piritiba";80;-;37;8;8;-;133
"292490 Planaltino";22;-;23;1;-;-;46
"292500 Planalto";101;-;63;13;4;-;181
"292510 Poções";225;23;121;12;15;-;396
"292520 Pojuca";128;9;39;15;24;-;215
"292525 Ponto Novo";47;1;26;8;9;-;91
"292530 Porto Seguro";465;16;168;98;65;1;813
"292540 Potiraguá";29;4;16;8;2;-;59
"292550 Prado";98;12;47;11;8;-;176
"292560 Presidente Dutra";66;2;24;3;5;-;100
"292570 Presidente Jânio Quadros";18;29;28;1;2;-;78
"292575 Presidente Tancredo Neves";86;-;36;12;3;-;137
"292580 Queimadas";72;4;50;6;3;-;135
"292590 Quijingue";82;3;58;5;4;-;152
"292593 Quixabeira";17;7;27;2;3;-;56
"292595 Rafael Jambeiro";71;1;52;3;7;-;134
"292600 Remanso";117;3;90;2;11;1;224
"292610 Retirolândia";53;2;26;4;-;-;85
"292620 Riachão das Neves";77;-;32;3;12;-;124
"292630 Riachão do Jacuípe";136;3;79;14;7;1;240
"292640 Riacho de Santana";142;-;51;12;2;-;207
"292650 Ribeira do Amparo";42;-;25;-;11;-;78
"292660 Ribeira do Pombal";242;-;101;12;19;-;374
"292665 Ribeirão do Largo";23;2;12;-;3;-;40
"292670 Rio de Contas";48;3;42;1;4;-;98
"292680 Rio do Antônio";27;5;28;3;1;-;64
"292690 Rio do Pires";40;-;24;3;1;-;68
"292700 Rio Real";100;62;54;13;20;-;249
"292710 Rodelas";13;11;13;5;5;-;47
"292720 Ruy Barbosa";151;2;66;15;8;-;242
"292730 Salinas da Margarida";39;1;27;5;3;-;75
"292740 Salvador";11034;1900;2262;767;258;-;16221
"292750 Santa Bárbara";73;6;57;5;17;-;158
"292760 Santa Brígida";45;1;13;2;4;-;65
"292770 Santa Cruz Cabrália";81;-;45;16;15;1;158
"292780 Santa Cruz da Vitória";20;4;13;2;4;-;43
"292790 Santa Inês";54;-;19;7;1;-;81
"292805 Santa Luzia";30;3;40;7;8;-;88
"292810 Santa Maria da Vitória";114;23;64;8;13;-;222
"292840 Santa Rita de Cássia";102;2;38;6;16;-;164
"292850 Santa Teresinha";36;-;24;2;2;-;64
"292800 Santaluz";134;2;66;8;2;2;214
"292820 Santana";100;-;62;3;5;-;170
"292830 Santanópolis";16;11;26;3;-;-;56
"292860 Santo Amaro";238;14;100;14;14;2;382
"292870 Santo Antônio de Jesus";463;-;148;58;10;-;679
"292880 Santo Estêvão";198;8;113;6;26;1;352
"292890 São Desidério";105;-;25;8;14;3;155
"292895 São Domingos";27;-;32;1;3;-;63
"292910 São Felipe";89;1;42;4;8;1;145
"292900 São Félix";60;-;20;11;4;1;96
"292905 São Félix do Coribe";46;2;28;7;6;-;89
"292920 São Francisco do Conde";141;18;26;12;9;-;206
"292925 São Gabriel";61;1;32;8;6;-;108
"292930 São Gonçalo dos Campos";134;11;55;4;14;-;218
"292935 São José da Vitória";30;-;20;8;4;-;62
"292937 São José do Jacuípe";15;13;27;13;3;-;71
"292940 São Miguel das Matas";25;4;24;1;2;-;56
"292950 São Sebastião do Passé";146;12;56;12;8;-;234
"292960 Sapeaçu";71;2;42;3;4;1;123
"292970 Sátiro Dias";64;1;42;14;5;-;126
"292975 Saubara";39;4;21;9;7;-;80
"292980 Saúde";39;-;37;1;5;-;82
"292990 Seabra";167;8;95;13;3;-;286
"293000 Sebastião Laranjeiras";34;-;16;3;2;-;55
"293010 Senhor do Bonfim";294;5;143;13;32;-;487
"293020 Sento Sé";88;-;34;8;17;-;147
"293015 Serra do Ramalho";97;12;45;11;7;-;172
"293030 Serra Dourada";31;1;45;6;8;-;91
"293040 Serra Preta";79;4;38;3;9;-;133
"293050 Serrinha";296;2;136;30;11;3;478
"293060 Serrolândia";51;1;24;10;1;-;87
"293070 Simões Filho";559;49;88;66;22;-;784
"293075 Sítio do Mato";31;5;17;4;1;-;58
"293076 Sítio do Quinto";38;1;19;3;4;-;65
"293077 Sobradinho";75;2;27;5;11;-;120
"293080 Souto Soares";66;-;37;6;3;-;112
"293090 Tabocas do Brejo Velho";30;1;26;-;2;-;59
"293100 Tanhaçu";38;37;39;9;5;-;128
"293105 Tanque Novo";59;-;36;1;2;-;98
"293110 Tanquinho";40;3;20;3;2;-;68
"293120 Taperoá";52;1;29;8;-;-;90
"293130 Tapiramutá";44;-;22;7;3;-;76
"293135 Teixeira de Freitas";528;112;229;92;26;2;989
"293140 Teodoro Sampaio";18;10;15;1;4;-;48
"293150 Teofilândia";63;2;30;5;3;-;103
"293160 Teolândia";59;2;11;3;1;1;77
"293170 Terra Nova";16;16;22;3;3;-;60
"293180 Tremedal";69;-;50;4;4;-;127
"293190 Tucano";144;2;46;20;17;-;229
"293200 Uauá";110;-;45;5;9;-;169
"293210 Ubaíra";74;-;49;5;-;-;128
"293220 Ubaitaba";100;2;36;9;8;-;155
"293230 Ubatã";95;1;42;5;8;-;151
"293240 Uibaí";57;-;28;2;-;-;87
"293245 Umburanas";28;3;13;3;5;2;54
"293250 Una";107;2;38;9;14;2;172
"293260 Urandi";72;-;25;3;1;-;101
"293270 Uruçuca";78;8;47;11;7;-;151
"293280 Utinga";76;2;15;10;4;-;107
"293290 Valença";342;3;141;46;27;-;559
"293300 Valente";72;1;42;9;1;-;125
"293305 Várzea da Roça";44;1;29;4;1;-;79
"293310 Várzea do Poço";30;-;21;7;4;-;62
"293315 Várzea Nova";39;2;27;6;5;-;79
"293317 Varzedo";41;-;16;3;-;-;60
"293320 Vera Cruz";101;42;60;38;11;3;255
"293325 Vereda";37;1;15;7;2;1;63
"293330 Vitória da Conquista";1413;20;494;139;83;6;2155
"293340 Wagner";34;1;17;3;1;1;57
"293345 Wanderley";28;19;16;2;3;-;68
"293350 Wenceslau Guimarães";61;-;38;13;13;-;125
"293360 Xique-Xique";204;5;85;23;14;-;331
"290000 Município ignorado - BA";99;18;11;100;113;9;350
"Total";53362;5199;22696;5099;3845;107;90308
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
