Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Estado Civil
Período:2018
"Município-BA";"Solteiro";"Casado";"Viúvo";"Separado judicialmente";"Outro";"Ignorado";"Total"
"290780 Cícero Dantas";76;48;39;10;8;47;228
"290790 Cipó";27;28;24;2;6;24;111
"290800 Coaraci";106;25;26;3;13;21;194
"290810 Cocos";8;24;16;4;2;26;80
"290820 Conceição da Feira";38;32;29;8;8;22;137
"290830 Conceição do Almeida";48;37;30;3;4;18;140
"290840 Conceição do Coité";97;127;66;12;16;97;415
"290850 Conceição do Jacuípe";87;43;40;9;17;18;214
"290860 Conde";51;28;18;3;4;32;136
"290870 Condeúba";34;40;20;6;3;13;116
"290880 Contendas do Sincorá";4;9;6;-;2;2;23
"290890 Coração de Maria";52;47;36;5;12;20;172
"290900 Cordeiros";4;20;19;2;2;7;54
"290910 Coribe";12;18;24;3;3;11;71
"290920 Coronel João Sá";26;31;16;2;2;14;91
"290930 Correntina";22;30;14;1;5;70;142
"290940 Cotegipe";15;26;15;4;-;10;70
"290950 Cravolândia";8;7;11;2;2;6;36
"290960 Crisópolis";47;41;22;4;7;25;146
"290970 Cristópolis";11;24;15;-;5;9;64
"290980 Cruz das Almas";167;123;81;13;11;23;418
"290990 Curaçá";46;52;45;8;8;22;181
"291000 Dário Meira";24;20;17;1;5;11;78
"291005 Dias d'Ávila";163;90;57;14;20;48;392
"291010 Dom Basílio";15;30;15;1;1;11;73
"291020 Dom Macedo Costa";18;11;9;3;-;3;44
"291030 Elísio Medrado";24;16;13;1;1;1;56
"291040 Encruzilhada";33;31;21;1;12;22;120
"291050 Entre Rios";94;47;47;2;13;55;258
"290050 Érico Cardoso";18;31;15;1;-;11;76
"291060 Esplanada";87;37;44;6;10;25;209
"291070 Euclides da Cunha";138;100;70;10;14;61;393
"291072 Eunápolis";241;139;73;7;31;220;711
"291075 Fátima";40;23;21;2;4;14;104
"291077 Feira da Mata";6;9;3;1;2;7;28
"291080 Feira de Santana";1596;991;624;191;90;233;3725
"291085 Filadélfia";22;37;21;1;10;16;107
"291090 Firmino Alves";15;8;6;2;4;10;45
"291100 Floresta Azul";42;14;15;2;2;7;82
"291110 Formosa do Rio Preto";19;34;25;1;7;23;109
"291120 Gandu";106;36;22;5;11;17;197
"291125 Gavião";2;10;1;-;-;7;20
"291130 Gentio do Ouro";13;29;15;2;2;3;64
"291140 Glória";12;27;11;3;1;44;98
"291150 Gongogi";25;5;10;-;4;8;52
"291160 Governador Mangabeira";40;40;29;4;5;13;131
"291165 Guajeru";19;20;11;-;2;2;54
"291170 Guanambi";114;189;115;22;16;52;508
"291180 Guaratinga";35;32;19;-;8;18;112
"291185 Heliópolis";22;25;8;2;2;8;67
"291190 Iaçu";50;36;37;7;18;27;175
"291200 Ibiassucê";15;22;15;1;1;11;65
"291210 Ibicaraí";121;29;27;3;5;7;192
"291220 Ibicoara";20;28;8;-;3;15;74
"291230 Ibicuí";37;22;25;-;5;21;110
"291240 Ibipeba";22;30;21;2;3;4;82
"291250 Ibipitanga";18;22;6;2;1;32;81
"291260 Ibiquera";2;6;8;-;2;1;19
"291270 Ibirapitanga";81;16;13;2;10;28;150
"291280 Ibirapuã";9;18;4;3;5;7;46
"291290 Ibirataia";72;30;34;3;13;20;172
"291300 Ibitiara";35;34;18;1;6;24;118
"291310 Ibititá";18;29;14;3;5;9;78
"291320 Ibotirama";48;53;44;-;8;36;189
"291330 Ichu";7;11;4;1;2;7;32
"291340 Igaporã";16;40;19;1;3;6;85
"291345 Igrapiúna";31;12;5;1;3;12;64
"291350 Iguaí";62;42;10;1;10;39;164
"291360 Ilhéus";554;238;161;43;40;365;1401
"291370 Inhambupe";73;68;38;12;9;26;226
"291380 Ipecaetá";24;20;19;2;-;16;81
"291390 Ipiaú";117;78;70;13;15;72;365
"291400 Ipirá";219;109;57;16;6;29;436
"291410 Ipupiara";14;28;22;2;2;11;79
"291420 Irajuba";18;13;6;-;7;5;49
"291430 Iramaia";9;14;8;-;3;15;49
"291440 Iraquara";30;22;31;3;25;24;135
"291450 Irará";85;40;37;5;7;45;219
"291460 Irecê";126;134;74;14;30;25;403
"291465 Itabela";84;23;23;8;10;31;179
"291470 Itaberaba";181;104;93;19;34;46;477
"291480 Itabuna";921;328;214;58;17;79;1617
"291490 Itacaré";63;17;12;3;6;20;121
"291500 Itaeté";23;17;14;1;6;10;71
"291510 Itagi";38;13;24;2;10;18;105
"291520 Itagibá";23;30;18;-;4;15;90
"291530 Itagimirim";14;12;7;2;3;12;50
"291535 Itaguaçu da Bahia";26;28;16;-;6;8;84
"291540 Itaju do Colônia";24;10;7;3;3;11;58
"291550 Itajuípe";103;32;21;2;8;14;180
"291560 Itamaraju";183;87;81;10;27;60;448
"291570 Itamari";24;10;11;2;4;6;57
"291580 Itambé";64;33;24;7;5;25;158
"291590 Itanagra";11;8;7;1;1;4;32
"291600 Itanhém";42;30;28;11;17;12;140
"291610 Itaparica";73;25;24;8;7;11;148
"291620 Itapé";41;11;14;-;6;13;85
"291630 Itapebi";32;10;4;1;3;14;64
"291640 Itapetinga";171;103;102;19;25;89;509
"291650 Itapicuru";63;55;33;8;15;27;201
"291660 Itapitanga";30;14;4;1;6;12;67
"291670 Itaquara";11;10;6;1;6;9;43
"291680 Itarantim";17;30;15;4;3;38;107
"291685 Itatim";31;21;25;2;4;17;100
"291690 Itiruçu";36;17;20;1;5;24;103
"291700 Itiúba";55;66;27;5;14;26;193
"291710 Itororó";62;22;23;4;17;21;149
"291720 Ituaçu";29;46;30;2;2;5;114
"291730 Ituberá";59;20;19;1;19;35;153
"291733 Iuiú";12;25;7;2;3;6;55
"291735 Jaborandi";12;22;16;3;1;8;62
"291740 Jacaraci";24;36;20;4;3;6;93
"291750 Jacobina";145;126;105;16;22;134;548
"291760 Jaguaquara";151;80;64;10;16;42;363
"291770 Jaguarari";36;63;29;13;9;24;174
"291780 Jaguaripe";39;17;10;-;6;9;81
"291790 Jandaíra";33;6;12;-;1;9;61
"291800 Jequié";395;268;265;45;54;170;1197
"291810 Jeremoabo";42;63;39;6;22;45;217
"291820 Jiquiriçá";24;27;18;-;4;12;85
"291830 Jitaúna";28;21;10;3;2;32;96
"291835 João Dourado";25;57;18;3;3;38;144
"291840 Juazeiro";312;384;287;57;66;264;1370
"291845 Jucuruçu";11;7;10;-;3;10;41
"291850 Jussara";21;32;29;2;6;12;102
"291855 Jussari";27;5;9;1;3;6;51
"291860 Jussiape";13;12;20;-;-;4;49
"291870 Lafaiete Coutinho";21;8;7;1;3;3;43
"291875 Lagoa Real";12;16;11;-;-;6;45
"291880 Laje";44;22;34;2;8;16;126
"291890 Lajedão";8;8;11;1;3;2;33
"291900 Lajedinho";6;10;4;1;-;7;28
"291905 Lajedo do Tabocal";16;10;13;-;2;13;54
"291910 Lamarão";11;11;15;-;1;6;44
"291915 Lapão";29;55;32;5;10;13;144
"291920 Lauro de Freitas";463;270;152;44;38;133;1100
"291930 Lençóis";10;5;8;-;2;14;39
"291940 Licínio de Almeida";10;27;18;-;2;12;69
"291950 Livramento de Nossa Senhora";41;102;55;10;7;32;247
"291955 Luís Eduardo Magalhães";87;53;26;13;14;76;269
"291960 Macajuba";37;21;14;3;3;3;81
"291970 Macarani";33;34;27;4;5;21;124
"291980 Macaúbas";66;107;87;4;2;30;296
"291990 Macururé";13;15;8;-;1;11;48
"291992 Madre de Deus";24;37;20;3;8;18;110
"291995 Maetinga";15;15;12;1;6;7;56
"292000 Maiquinique";14;15;14;2;4;7;56
"292010 Mairi";48;36;18;4;5;27;138
"292020 Malhada";24;31;19;1;3;11;89
"292030 Malhada de Pedras";11;24;14;-;1;4;54
"292040 Manoel Vitorino";13;20;18;1;1;14;67
"292045 Mansidão";7;20;5;2;-;8;42
"292050 Maracás";55;47;30;3;15;28;178
"292060 Maragogipe";127;70;48;12;21;23;301
"292070 Maraú";38;11;9;3;5;20;86
"292080 Marcionílio Souza";17;12;7;-;5;15;56
"292090 Mascote";62;8;1;5;7;10;93
"292100 Mata de São João";113;46;56;7;12;44;278
"292105 Matina";15;24;14;1;-;5;59
"292110 Medeiros Neto";59;56;41;7;17;11;191
"292120 Miguel Calmon";44;67;42;6;10;40;209
"292130 Milagres";23;20;19;3;6;5;76
"292140 Mirangaba";27;19;9;4;5;22;86
"292145 Mirante";9;10;13;2;-;7;41
"292150 Monte Santo";103;80;53;2;11;53;302
"292160 Morpará";14;20;13;3;2;9;61
"292170 Morro do Chapéu";47;44;48;2;15;35;191
"292180 Mortugaba";13;26;13;2;-;19;73
"292190 Mucugê";16;21;11;1;1;24;74
"292200 Mucuri";49;41;38;8;13;19;168
"292205 Mulungu do Morro";40;19;16;-;9;5;89
"292210 Mundo Novo";49;29;29;3;1;15;126
"292220 Muniz Ferreira";24;20;9;-;7;5;65
"292225 Muquém de São Francisco";11;12;11;-;7;9;50
"292230 Muritiba";59;48;51;10;3;18;189
"292240 Mutuípe";44;31;35;4;8;18;140
"292250 Nazaré";90;37;46;6;7;12;198
"292260 Nilo Peçanha";26;8;10;-;8;7;59
"292265 Nordestina";20;17;13;-;3;10;63
"292270 Nova Canaã";42;33;23;5;-;8;111
"292273 Nova Fátima";12;6;7;1;2;6;34
"292275 Nova Ibiá";17;8;2;-;4;1;32
"292280 Nova Itarana";20;9;9;1;-;6;45
"292285 Nova Redenção";16;12;9;2;8;4;51
"292290 Nova Soure";39;25;18;3;5;41;131
"292300 Nova Viçosa";75;49;40;9;17;22;212
"292303 Novo Horizonte";15;31;19;1;1;10;77
"292305 Novo Triunfo";9;20;9;-;6;10;54
"292310 Olindina";44;33;26;3;7;33;146
"292320 Oliveira dos Brejinhos";38;54;40;4;6;13;155
"292330 Ouriçangas";18;7;14;-;3;7;49
"292335 Ourolândia";22;30;14;-;8;25;99
"292340 Palmas de Monte Alto";29;59;33;4;6;8;139
"292350 Palmeiras";11;12;9;-;2;19;53
"292360 Paramirim";33;51;41;2;4;19;150
"292370 Paratinga";50;59;44;4;10;25;192
"292380 Paripiranga";81;57;32;3;1;16;190
"292390 Pau Brasil";23;18;9;-;4;10;64
"292400 Paulo Afonso";134;200;109;20;14;300;777
"292405 Pé de Serra";30;36;14;1;7;8;96
"292410 Pedrão";24;18;12;-;1;3;58
"292420 Pedro Alexandre";25;19;5;1;6;9;65
"292430 Piatã";14;39;27;1;10;47;138
"292440 Pilão Arcado";25;63;31;5;5;29;158
"292450 Pindaí";22;51;25;1;1;6;106
"292460 Pindobaçu";43;26;24;1;6;22;122
"292465 Pintadas";12;13;10;1;-;12;48
"292467 Piraí do Norte";12;8;6;-;3;7;36
"292470 Piripá";12;26;23;2;1;9;73
"292480 Piritiba";49;32;23;3;3;23;133
"292490 Planaltino";17;9;9;2;-;9;46
"292500 Planalto";51;27;35;5;9;54;181
"292510 Poções";82;83;55;17;16;143;396
"292520 Pojuca";79;49;34;4;12;37;215
"292525 Ponto Novo";23;28;6;3;9;22;91
"292530 Porto Seguro";360;155;79;27;40;152;813
"292540 Potiraguá";19;8;6;-;3;23;59
"292550 Prado";64;39;22;8;8;35;176
"292560 Presidente Dutra";25;27;22;-;7;19;100
"292570 Presidente Jânio Quadros";14;33;21;1;4;5;78
"292575 Presidente Tancredo Neves";39;41;18;1;17;21;137
"292580 Queimadas";31;55;25;1;8;15;135
"292590 Quijingue";43;35;29;1;9;35;152
"292593 Quixabeira";17;18;7;-;5;9;56
"292595 Rafael Jambeiro";61;33;26;2;3;9;134
"292600 Remanso";36;79;45;8;13;43;224
"292610 Retirolândia";12;40;17;3;2;11;85
"292620 Riachão das Neves";39;30;16;2;13;24;124
"292630 Riachão do Jacuípe";83;74;38;6;11;28;240
"292640 Riacho de Santana";37;85;58;4;6;17;207
"292650 Ribeira do Amparo";30;19;16;2;5;6;78
"292660 Ribeira do Pombal";86;103;53;12;27;93;374
"292665 Ribeirão do Largo";8;9;11;1;3;8;40
"292670 Rio de Contas";23;40;23;1;1;10;98
"292680 Rio do Antônio";16;25;15;-;2;6;64
"292690 Rio do Pires";11;26;19;-;-;12;68
"292700 Rio Real";99;69;31;8;11;31;249
"292710 Rodelas";7;15;10;2;3;10;47
"292720 Ruy Barbosa";73;59;52;3;22;33;242
"292730 Salinas da Margarida";23;18;20;1;3;10;75
"292740 Salvador";6096;3937;2873;741;485;2089;16221
"292750 Santa Bárbara";59;35;31;6;8;19;158
"292760 Santa Brígida";5;25;6;-;2;27;65
"292770 Santa Cruz Cabrália";66;24;19;8;12;29;158
"292780 Santa Cruz da Vitória";18;10;7;1;2;5;43
"292790 Santa Inês";39;10;11;2;3;16;81
"292805 Santa Luzia";41;7;13;3;4;20;88
"292810 Santa Maria da Vitória";44;72;52;6;9;39;222
"292840 Santa Rita de Cássia";42;40;44;11;1;26;164
"292850 Santa Teresinha";17;15;18;1;3;10;64
"292800 Santaluz";48;56;44;6;9;51;214
"292820 Santana";25;54;58;4;6;23;170
"292830 Santanópolis";20;15;15;1;1;4;56
"292860 Santo Amaro";151;94;62;5;20;50;382
"292870 Santo Antônio de Jesus";302;175;133;15;15;39;679
"292880 Santo Estêvão";120;108;55;8;3;58;352
"292890 São Desidério";31;50;20;4;13;37;155
"292895 São Domingos";11;28;15;1;2;6;63
"292910 São Felipe";60;38;26;-;6;15;145
"292900 São Félix";40;18;25;3;2;8;96
"292905 São Félix do Coribe";20;19;28;1;6;15;89
"292920 São Francisco do Conde";90;27;34;6;17;32;206
"292925 São Gabriel";33;41;20;1;6;7;108
"292930 São Gonçalo dos Campos";76;48;39;6;6;43;218
"292935 São José da Vitória";34;9;8;1;6;4;62
"292937 São José do Jacuípe";33;20;3;2;3;10;71
"292940 São Miguel das Matas";25;7;10;5;1;8;56
"292950 São Sebastião do Passé";64;46;53;10;15;46;234
"292960 Sapeaçu";42;35;36;1;2;7;123
"292970 Sátiro Dias";41;39;26;1;3;16;126
"292975 Saubara";45;14;9;2;4;6;80
"292980 Saúde";21;30;11;2;6;12;82
"292990 Seabra";76;67;37;11;7;88;286
"293000 Sebastião Laranjeiras";4;15;18;-;2;16;55
"293010 Senhor do Bonfim";114;141;122;18;20;72;487
"293020 Sento Sé";32;56;21;1;4;33;147
"293015 Serra do Ramalho";32;50;44;7;7;32;172
"293030 Serra Dourada";18;38;20;2;2;11;91
"293040 Serra Preta";51;44;23;1;8;6;133
"293050 Serrinha";142;107;86;17;22;104;478
"293060 Serrolândia";17;29;14;4;4;19;87
"293070 Simões Filho";362;176;111;27;38;70;784
"293075 Sítio do Mato";13;15;11;-;7;12;58
"293076 Sítio do Quinto";15;17;16;4;4;9;65
"293077 Sobradinho";33;34;19;4;7;23;120
"293080 Souto Soares";20;20;11;1;11;49;112
"293090 Tabocas do Brejo Velho";16;23;7;3;4;6;59
"293100 Tanhaçu";26;46;33;4;7;12;128
"293105 Tanque Novo";14;44;25;2;4;9;98
"293110 Tanquinho";34;14;13;1;2;4;68
"293120 Taperoá";38;11;12;2;14;13;90
"293130 Tapiramutá";24;16;12;3;5;16;76
"293135 Teixeira de Freitas";313;266;197;42;66;105;989
"293140 Teodoro Sampaio";21;9;7;-;3;8;48
"293150 Teofilândia";32;26;22;5;6;12;103
"293160 Teolândia";49;10;8;2;4;4;77
"293170 Terra Nova";19;10;15;1;5;10;60
"293180 Tremedal";25;45;37;1;6;13;127
"293190 Tucano";84;58;22;8;24;33;229
"293200 Uauá";45;52;38;4;10;20;169
"293210 Ubaíra";40;35;34;3;6;10;128
"293220 Ubaitaba";79;23;23;4;8;18;155
"293230 Ubatã";78;23;21;3;6;20;151
"293240 Uibaí";21;34;16;2;3;11;87
"293245 Umburanas";13;13;7;1;2;18;54
"293250 Una";70;34;14;3;8;43;172
"293260 Urandi";14;26;26;2;3;30;101
"293270 Uruçuca";68;29;24;1;4;25;151
"293280 Utinga";40;28;21;1;7;10;107
"293290 Valença";218;88;73;12;59;109;559
"293300 Valente";29;50;21;3;7;15;125
"293305 Várzea da Roça";34;16;14;2;3;10;79
"293310 Várzea do Poço";13;23;16;1;-;9;62
"293315 Várzea Nova";20;16;19;2;7;15;79
"293317 Varzedo";20;25;8;2;4;1;60
"293320 Vera Cruz";104;46;44;11;17;33;255
"293325 Vereda";12;24;17;-;1;9;63
"293330 Vitória da Conquista";802;652;372;112;49;168;2155
"293340 Wagner";23;17;6;1;2;8;57
"293345 Wanderley";18;24;10;1;3;12;68
"293350 Wenceslau Guimarães";63;18;14;-;13;17;125
"293360 Xique-Xique";98;100;76;7;20;30;331
"290000 Município ignorado - BA";34;11;5;-;2;298;350
"Total";30924;23072;16173;2918;3902;13319;90308
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
