Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Escolaridade
Período:2018
"Município-BA";"Nenhuma";"1-3 anos";"4-7 anos";"8-11 anos";"12e+";"Ignorado";"Total"
"293290 Valença";185;105;100;54;10;105;559
"293300 Valente";27;44;9;13;1;31;125
"293305 Várzea da Roça";22;21;5;3;-;28;79
"293310 Várzea do Poço";7;14;4;2;1;34;62
"293315 Várzea Nova";27;14;14;4;-;20;79
"293317 Varzedo";28;13;11;2;1;5;60
"293320 Vera Cruz";40;61;59;35;10;50;255
"293325 Vereda";22;16;4;5;-;16;63
"293330 Vitória da Conquista";584;645;360;242;45;279;2155
"293340 Wagner";11;22;7;4;-;13;57
"293345 Wanderley";23;16;10;3;-;16;68
"293350 Wenceslau Guimarães";51;32;21;6;-;15;125
"293360 Xique-Xique";110;60;99;28;3;31;331
"290000 Município ignorado - BA";9;13;6;4;2;316;350
"Total";21986;19564;13992;10046;2349;22371;90308
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
