Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Mes Diagnóstico
Período:2019
"Município Resid";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"292510 Poções";1;-;1;-;1;-;-;1;-;-;3;-;7
"292520 Pojuca";-;-;1;-;-;-;-;2;-;-;-;-;3
"292530 Porto Seguro";3;8;2;1;5;-;5;2;-;1;2;1;30
"292550 Prado";-;-;-;-;-;-;1;-;-;-;-;-;1
"292575 Presidente Tancredo Neves";4;3;4;2;4;1;3;1;1;2;2;1;28
"292620 Riachão das Neves";-;-;-;-;-;-;-;-;1;-;-;-;1
"292665 Ribeirão do Largo";-;1;-;-;1;-;-;-;-;-;-;-;2
"292720 Ruy Barbosa";-;-;1;-;1;1;-;-;-;-;-;-;3
"292740 Salvador";-;1;2;1;1;1;3;1;2;-;3;-;15
"292750 Santa Bárbara";-;-;-;-;-;-;-;-;-;-;1;-;1
"292770 Santa Cruz Cabrália";-;1;-;-;1;-;-;-;2;1;1;1;7
"292780 Santa Cruz da Vitória";-;1;-;1;-;-;-;-;-;-;-;-;2
"292790 Santa Inês";-;-;-;-;-;1;-;-;-;-;-;-;1
"292805 Santa Luzia";2;-;-;1;-;-;-;1;1;-;-;-;5
"292810 Santa Maria da Vitória";1;2;-;-;1;1;-;-;1;2;3;3;14
"292820 Santana";-;-;-;-;-;-;-;-;1;-;-;-;1
"292860 Santo Amaro";-;-;-;-;1;-;-;-;-;-;-;-;1
"292870 Santo Antônio de Jesus";-;-;1;-;-;-;-;-;-;-;-;-;1
"292910 São Felipe";-;-;1;-;-;-;-;-;-;-;-;-;1
"292905 São Félix do Coribe";-;-;-;2;-;1;2;1;-;-;1;1;8
"292930 São Gonçalo dos Campos";-;-;-;-;-;-;1;-;-;-;-;-;1
"292935 São José da Vitória";2;4;-;1;-;-;1;1;-;-;-;-;9
"292940 São Miguel das Matas";2;-;1;-;-;-;-;-;-;-;-;-;3
"292980 Saúde";-;-;-;-;-;-;-;-;-;1;-;-;1
"292990 Seabra";-;-;2;4;2;1;2;-;-;2;1;2;16
"293010 Senhor do Bonfim";1;-;-;1;-;-;1;1;-;-;-;-;4
"293015 Serra do Ramalho";-;-;1;1;2;-;-;-;-;-;-;-;4
"293030 Serra Dourada";-;-;1;-;-;-;-;-;-;-;-;-;1
"293075 Sítio do Mato";-;-;-;-;2;-;-;-;-;-;-;-;2
"293077 Sobradinho";-;-;-;-;-;-;-;1;-;-;-;-;1
"293080 Souto Soares";-;-;-;-;-;-;-;-;1;-;-;-;1
"293100 Tanhaçu";-;1;-;-;-;-;-;-;-;-;-;-;1
"293120 Taperoá";12;5;14;11;12;5;5;6;6;7;5;7;95
"293135 Teixeira de Freitas";-;1;-;-;-;-;1;1;-;-;-;-;3
"293160 Teolândia";5;-;3;2;2;2;1;-;6;4;3;1;29
"293210 Ubaíra";2;2;-;2;1;6;5;-;-;1;-;-;19
"293220 Ubaitaba";-;-;-;1;-;-;-;-;-;-;-;-;1
"293230 Ubatã";4;2;2;-;-;-;-;-;2;-;-;-;10
"293250 Una";1;1;1;1;2;1;2;-;4;1;-;2;16
"293270 Uruçuca";2;2;-;1;2;-;1;-;-;5;1;-;14
"293280 Utinga";2;3;1;-;-;1;-;1;-;-;-;1;9
"293290 Valença";25;22;17;14;4;10;6;6;8;5;4;4;125
"293320 Vera Cruz";-;-;-;1;-;-;-;-;1;-;-;-;2
"293330 Vitória da Conquista";-;3;3;1;-;-;-;-;1;1;-;-;9
"293340 Wagner";1;-;1;1;1;-;1;-;-;1;-;1;7
"293345 Wanderley";-;-;-;-;-;-;-;1;-;-;-;-;1
"293350 Wenceslau Guimarães";24;20;15;10;3;5;5;2;7;2;13;5;111
"Total";204;164;148;134;127;83;117;84;129;117;110;82;1499
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
