Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Escolaridade
Período:2019
"Município Resid";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"292620 Riachão das Neves";-;-;-;-;-;1;-;-;-;-;-;1
"292665 Ribeirão do Largo";1;-;-;-;-;-;-;-;-;-;1;2
"292720 Ruy Barbosa";-;-;2;-;1;-;-;-;-;-;-;3
"292740 Salvador";8;-;1;-;2;-;1;2;-;1;-;15
"292750 Santa Bárbara";1;-;-;-;-;-;-;-;-;-;-;1
"292770 Santa Cruz Cabrália";2;-;-;1;1;1;-;1;-;-;1;7
"292780 Santa Cruz da Vitória";1;-;-;1;-;-;-;-;-;-;-;2
"292790 Santa Inês";-;-;1;-;-;-;-;-;-;-;-;1
"292805 Santa Luzia";3;-;1;-;1;-;-;-;-;-;-;5
"292810 Santa Maria da Vitória";-;-;5;-;2;2;2;-;1;-;2;14
"292820 Santana";-;-;1;-;-;-;-;-;-;-;-;1
"292860 Santo Amaro";-;-;-;-;1;-;-;-;-;-;-;1
"292870 Santo Antônio de Jesus";-;-;-;-;1;-;-;-;-;-;-;1
"292910 São Felipe";-;-;1;-;-;-;-;-;-;-;-;1
"292905 São Félix do Coribe";4;-;-;-;-;-;-;3;-;-;1;8
"292930 São Gonçalo dos Campos";1;-;-;-;-;-;-;-;-;-;-;1
"292935 São José da Vitória";3;-;3;-;1;-;1;-;-;-;1;9
"292940 São Miguel das Matas";2;-;-;-;-;-;1;-;-;-;-;3
"292980 Saúde";-;-;1;-;-;-;-;-;-;-;-;1
"292990 Seabra";10;-;5;-;-;1;-;-;-;-;-;16
"293010 Senhor do Bonfim";-;-;1;-;-;-;1;-;-;1;1;4
"293015 Serra do Ramalho";1;-;-;-;-;-;-;3;-;-;-;4
"293030 Serra Dourada";1;-;-;-;-;-;-;-;-;-;-;1
"293075 Sítio do Mato";-;-;1;-;-;1;-;-;-;-;-;2
"293077 Sobradinho";1;-;-;-;-;-;-;-;-;-;-;1
"293080 Souto Soares";-;-;-;-;-;-;-;1;-;-;-;1
"293100 Tanhaçu";1;-;-;-;-;-;-;-;-;-;-;1
"293120 Taperoá";21;11;15;2;22;1;9;4;1;1;8;95
"293135 Teixeira de Freitas";1;-;-;-;2;-;-;-;-;-;-;3
"293160 Teolândia";-;5;7;-;9;1;3;2;-;1;1;29
"293210 Ubaíra";3;3;3;1;3;-;-;2;-;-;4;19
"293220 Ubaitaba";-;-;1;-;-;-;-;-;-;-;-;1
"293230 Ubatã";3;3;2;-;2;-;-;-;-;-;-;10
"293250 Una";3;-;3;3;4;-;2;1;-;-;-;16
"293270 Uruçuca";3;-;6;1;-;-;2;1;-;-;1;14
"293280 Utinga";2;-;1;-;3;1;-;1;-;-;1;9
"293290 Valença";2;-;59;8;29;3;7;2;1;1;13;125
"293320 Vera Cruz";1;-;-;-;-;-;-;1;-;-;-;2
"293330 Vitória da Conquista";2;-;2;-;-;-;-;2;2;1;-;9
"293340 Wagner";2;1;1;1;1;-;-;1;-;-;-;7
"293345 Wanderley";-;1;-;-;-;-;-;-;-;-;-;1
"293350 Wenceslau Guimarães";12;9;20;-;31;3;6;14;1;-;15;111
"Total";423;93;302;78;223;50;79;115;10;16;110;1499
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
