Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária (2)
Período:2019
"Município Resid";"0 a 14 anos";"15 anos e mais";"Total"
"291760 Jaguaquara";4;5;9
"291800 Jequié";-;12;12
"291820 Jiquiriçá";3;12;15
"291830 Jitaúna";1;12;13
"291855 Jussari";-;3;3
"291880 Laje";5;11;16
"291890 Lajedão";-;1;1
"291900 Lajedinho";-;1;1
"291905 Lajedo do Tabocal";-;1;1
"291920 Lauro de Freitas";1;4;5
"291930 Lençóis";-;4;4
"291940 Licínio de Almeida";-;1;1
"291980 Macaúbas";-;2;2
"292000 Maiquinique";-;2;2
"292040 Manoel Vitorino";1;-;1
"292050 Maracás";-;2;2
"292070 Maraú";8;26;34
"292090 Mascote";-;3;3
"292100 Mata de São João";-;1;1
"292105 Matina";1;-;1
"292120 Miguel Calmon";6;10;16
"292150 Monte Santo";-;1;1
"292170 Morro do Chapéu";-;1;1
"292190 Mucugê";-;2;2
"292200 Mucuri";-;1;1
"292240 Mutuípe";7;47;54
"292260 Nilo Peçanha";17;47;64
"292265 Nordestina";-;1;1
"292270 Nova Canaã";7;15;22
"292275 Nova Ibiá";1;1;2
"292285 Nova Redenção";-;2;2
"292350 Palmeiras";1;7;8
"292390 Pau Brasil";-;7;7
"292460 Pindobaçu";1;4;5
"292467 Piraí do Norte";-;7;7
"292470 Piripá";-;1;1
"292500 Planalto";-;5;5
"292510 Poções";1;6;7
"292520 Pojuca";-;3;3
"292530 Porto Seguro";2;28;30
"292550 Prado";-;1;1
"292575 Presidente Tancredo Neves";6;22;28
"292620 Riachão das Neves";-;1;1
"292665 Ribeirão do Largo";1;1;2
"292720 Ruy Barbosa";-;3;3
"292740 Salvador";1;14;15
"292750 Santa Bárbara";-;1;1
"292770 Santa Cruz Cabrália";1;6;7
"292780 Santa Cruz da Vitória";-;2;2
"292790 Santa Inês";1;-;1
"292805 Santa Luzia";-;5;5
"292810 Santa Maria da Vitória";7;7;14
"292820 Santana";-;1;1
"292860 Santo Amaro";-;1;1
"292870 Santo Antônio de Jesus";-;1;1
"292910 São Felipe";-;1;1
"292905 São Félix do Coribe";1;7;8
"292930 São Gonçalo dos Campos";1;-;1
"292935 São José da Vitória";1;8;9
"292940 São Miguel das Matas";-;3;3
"292980 Saúde";-;1;1
"292990 Seabra";3;13;16
"293010 Senhor do Bonfim";1;3;4
"293015 Serra do Ramalho";-;4;4
"293030 Serra Dourada";-;1;1
"293075 Sítio do Mato";-;2;2
"293077 Sobradinho";-;1;1
"293080 Souto Soares";-;1;1
"293100 Tanhaçu";-;1;1
"293120 Taperoá";22;73;95
"293135 Teixeira de Freitas";-;3;3
"293160 Teolândia";4;25;29
"293210 Ubaíra";5;14;19
"293220 Ubaitaba";-;1;1
"293230 Ubatã";3;7;10
"293250 Una";1;15;16
"293270 Uruçuca";1;13;14
"293280 Utinga";3;6;9
"293290 Valença";33;92;125
"293320 Vera Cruz";-;2;2
"293330 Vitória da Conquista";-;9;9
"293340 Wagner";-;7;7
"293345 Wanderley";-;1;1
"293350 Wenceslau Guimarães";19;92;111
"Total";267;1232;1499
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
