Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Evolução do caso
Período:2019
"Município Resid";"Ign/Branco";"Cura";"Abandono";"Óbito por LTA";"Óbito por outra causa";"Tranferência";"Mudança de Diagnóstico";"Total"
"293345 Wanderley";1;-;-;-;-;-;-;1
"293350 Wenceslau Guimarães";70;40;-;-;-;1;-;111
"Total";476;923;30;3;7;12;48;1499
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
