Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Crit.Confirm/Descarte
Período:2019
"Município Resid";"Clínico-Laboratorial";"Clínico-epidemiológico";"Total"
"291750 Jacobina";4;2;6
"291760 Jaguaquara";4;5;9
"291800 Jequié";1;11;12
"291820 Jiquiriçá";1;14;15
"291830 Jitaúna";1;12;13
"291855 Jussari";-;3;3
"291880 Laje";9;7;16
"291890 Lajedão";-;1;1
"291900 Lajedinho";1;-;1
"291905 Lajedo do Tabocal";-;1;1
"291920 Lauro de Freitas";2;3;5
"291930 Lençóis";-;4;4
"291940 Licínio de Almeida";1;-;1
"291980 Macaúbas";1;1;2
"292000 Maiquinique";2;-;2
"292040 Manoel Vitorino";-;1;1
"292050 Maracás";2;-;2
"292070 Maraú";2;32;34
"292090 Mascote";-;3;3
"292100 Mata de São João";-;1;1
"292105 Matina";-;1;1
"292120 Miguel Calmon";1;15;16
"292150 Monte Santo";-;1;1
"292170 Morro do Chapéu";-;1;1
"292190 Mucugê";-;2;2
"292200 Mucuri";-;1;1
"292240 Mutuípe";10;44;54
"292260 Nilo Peçanha";60;4;64
"292265 Nordestina";-;1;1
"292270 Nova Canaã";3;19;22
"292275 Nova Ibiá";-;2;2
"292285 Nova Redenção";1;1;2
"292350 Palmeiras";1;7;8
"292390 Pau Brasil";7;-;7
"292460 Pindobaçu";1;4;5
"292467 Piraí do Norte";7;-;7
"292470 Piripá";1;-;1
"292500 Planalto";1;4;5
"292510 Poções";-;7;7
"292520 Pojuca";-;3;3
"292530 Porto Seguro";4;26;30
"292550 Prado";-;1;1
"292575 Presidente Tancredo Neves";24;4;28
"292620 Riachão das Neves";-;1;1
"292665 Ribeirão do Largo";-;2;2
"292720 Ruy Barbosa";-;3;3
"292740 Salvador";8;7;15
"292750 Santa Bárbara";1;-;1
"292770 Santa Cruz Cabrália";-;7;7
"292780 Santa Cruz da Vitória";1;1;2
"292790 Santa Inês";-;1;1
"292805 Santa Luzia";1;4;5
"292810 Santa Maria da Vitória";12;2;14
"292820 Santana";-;1;1
"292860 Santo Amaro";-;1;1
"292870 Santo Antônio de Jesus";1;-;1
"292910 São Felipe";1;-;1
"292905 São Félix do Coribe";3;5;8
"292930 São Gonçalo dos Campos";1;-;1
"292935 São José da Vitória";1;8;9
"292940 São Miguel das Matas";3;-;3
"292980 Saúde";1;-;1
"292990 Seabra";3;13;16
"293010 Senhor do Bonfim";-;4;4
"293015 Serra do Ramalho";1;3;4
"293030 Serra Dourada";1;-;1
"293075 Sítio do Mato";-;2;2
"293077 Sobradinho";-;1;1
"293080 Souto Soares";-;1;1
"293100 Tanhaçu";-;1;1
"293120 Taperoá";88;7;95
"293135 Teixeira de Freitas";1;2;3
"293160 Teolândia";27;2;29
"293210 Ubaíra";7;12;19
"293220 Ubaitaba";1;-;1
"293230 Ubatã";-;10;10
"293250 Una";2;14;16
"293270 Uruçuca";-;14;14
"293280 Utinga";1;8;9
"293290 Valença";98;27;125
"293320 Vera Cruz";2;-;2
"293330 Vitória da Conquista";4;5;9
"293340 Wagner";1;6;7
"293345 Wanderley";-;1;1
"293350 Wenceslau Guimarães";103;8;111
"Total";664;835;1499
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 21/10/2024.
 
