Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Evolução do caso
Período:2017
"Município Resid";"Ign/Branco";"Cura";"Abandono";"Óbito por outra causa";"Tranferência";"Mudança de Diagnóstico";"Total"
"291510 Itagi";2;3;-;-;-;1;6
"291520 Itagibá";-;1;-;-;-;-;1
"291550 Itajuípe";2;1;1;-;-;-;4
"291560 Itamaraju";1;4;-;1;-;-;6
"291570 Itamari";2;7;-;-;-;1;10
"291580 Itambé";1;-;-;-;-;-;1
"291600 Itanhém";2;-;-;-;-;-;2
"291630 Itapebi";1;1;-;-;-;-;2
"291660 Itapitanga";1;3;-;-;-;1;5
"291670 Itaquara";1;2;-;-;1;-;4
"291710 Itororó";-;1;-;-;-;-;1
"291730 Ituberá";1;130;-;-;-;-;131
"291735 Jaborandi";2;2;-;-;-;-;4
"291750 Jacobina";1;2;-;1;-;-;4
"291760 Jaguaquara";3;18;-;-;-;1;22
"291800 Jequié";5;26;-;1;-;2;34
"291820 Jiquiriçá";14;19;2;-;-;-;35
"291830 Jitaúna";1;30;-;-;-;-;31
"291840 Juazeiro";-;-;-;-;1;-;1
"291845 Jucuruçu";1;-;-;-;-;-;1
"291855 Jussari";1;-;-;-;-;-;1
"291880 Laje";5;7;-;-;-;-;12
"291915 Lapão";-;1;-;-;-;-;1
"291920 Lauro de Freitas";1;-;-;-;-;1;2
"291930 Lençóis";-;3;-;-;-;-;3
"291980 Macaúbas";-;1;-;-;-;-;1
"292050 Maracás";2;1;-;-;-;-;3
"292070 Maraú";15;16;-;-;-;-;31
"292090 Mascote";1;-;-;-;-;-;1
"292100 Mata de São João";-;1;-;-;-;-;1
"292120 Miguel Calmon";-;-;-;1;-;23;24
"292140 Mirangaba";-;1;-;-;-;-;1
"292220 Muniz Ferreira";1;-;-;-;-;-;1
"292240 Mutuípe";55;9;-;-;-;1;65
"292250 Nazaré";-;1;-;-;-;-;1
"292260 Nilo Peçanha";56;65;-;-;-;-;121
"292265 Nordestina";-;-;-;-;-;2;2
"292270 Nova Canaã";1;1;-;-;-;-;2
"292275 Nova Ibiá";1;20;-;-;-;-;21
"292285 Nova Redenção";1;1;-;-;-;-;2
"292350 Palmeiras";17;-;-;-;-;-;17
"292390 Pau Brasil";-;2;-;1;-;-;3
"292460 Pindobaçu";-;6;-;1;1;1;9
"292467 Piraí do Norte";4;13;-;-;-;-;17
"292470 Piripá";1;1;-;-;-;-;2
"292510 Poções";1;-;-;-;-;-;1
"292520 Pojuca";-;1;-;-;-;-;1
"292525 Ponto Novo";1;-;-;-;-;-;1
"292530 Porto Seguro";5;1;-;1;-;-;7
"292550 Prado";1;-;-;-;-;-;1
"292575 Presidente Tancredo Neves";-;139;13;-;-;-;152
"292590 Quijingue";-;1;-;-;-;-;1
"292660 Ribeira do Pombal";-;1;-;-;-;-;1
"292740 Salvador";1;13;2;-;1;-;17
"292750 Santa Bárbara";-;1;-;-;-;-;1
"292770 Santa Cruz Cabrália";3;-;-;-;-;-;3
"292790 Santa Inês";2;-;-;-;-;-;2
"292805 Santa Luzia";-;4;-;-;-;-;4
"292810 Santa Maria da Vitória";-;11;-;-;-;-;11
"292850 Santa Teresinha";-;2;-;-;-;-;2
"292820 Santana";3;1;1;-;-;-;5
"292870 Santo Antônio de Jesus";-;8;-;-;-;-;8
"292880 Santo Estêvão";1;-;-;-;-;-;1
"292905 São Félix do Coribe";8;7;1;-;-;-;16
"292935 São José da Vitória";-;8;-;-;-;1;9
"292940 São Miguel das Matas";1;1;-;-;-;-;2
"292950 São Sebastião do Passé";-;1;-;-;-;-;1
"292980 Saúde";-;2;-;-;-;-;2
"292990 Seabra";-;-;-;-;-;1;1
"293000 Sebastião Laranjeiras";1;-;-;-;-;-;1
"293010 Senhor do Bonfim";-;5;-;1;-;1;7
"293015 Serra do Ramalho";1;1;-;-;-;-;2
"293120 Taperoá";2;146;59;-;-;-;207
"293135 Teixeira de Freitas";-;1;-;-;-;-;1
"293160 Teolândia";15;322;106;-;-;-;443
"293180 Tremedal";2;1;-;-;-;-;3
"293210 Ubaíra";14;4;-;-;-;-;18
"293220 Ubaitaba";5;4;-;-;-;-;9
"293230 Ubatã";-;5;-;-;-;-;5
"293250 Una";1;51;-;-;3;1;56
"293270 Uruçuca";-;24;1;-;-;-;25
"293280 Utinga";3;3;-;-;-;-;6
"293290 Valença";35;434;-;-;1;-;470
"293315 Várzea Nova";1;-;-;-;-;-;1
"293317 Varzedo";1;-;-;-;-;-;1
"293320 Vera Cruz";-;1;-;-;-;-;1
"293330 Vitória da Conquista";-;2;-;-;-;-;2
"293340 Wagner";-;12;-;1;-;-;13
"293350 Wenceslau Guimarães";262;73;-;-;-;-;335
"293360 Xique-Xique";-;1;-;-;-;1;2
"Total";666;2003;191;16;12;52;2940
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
