Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Trim.Diagnóstico
Período:2017
"Município Resid";"1 Trimestre";"2 Trimestre";"3 Trimestre";"4 Trimestre";"Total"
"291750 Jacobina";2;-;1;1;4
"291760 Jaguaquara";7;3;9;3;22
"291800 Jequié";9;7;14;4;34
"291820 Jiquiriçá";3;6;15;11;35
"291830 Jitaúna";16;8;5;2;31
"291840 Juazeiro";-;1;-;-;1
"291845 Jucuruçu";1;-;-;-;1
"291855 Jussari";-;-;-;1;1
"291880 Laje";1;3;4;4;12
"291915 Lapão";1;-;-;-;1
"291920 Lauro de Freitas";-;-;2;-;2
"291930 Lençóis";-;-;-;3;3
"291980 Macaúbas";-;-;-;1;1
"292050 Maracás";1;2;-;-;3
"292070 Maraú";10;5;8;8;31
"292090 Mascote";-;-;-;1;1
"292100 Mata de São João";1;-;-;-;1
"292120 Miguel Calmon";13;5;2;4;24
"292140 Mirangaba";-;1;-;-;1
"292220 Muniz Ferreira";-;-;1;-;1
"292240 Mutuípe";12;15;23;15;65
"292250 Nazaré";-;1;-;-;1
"292260 Nilo Peçanha";51;28;31;11;121
"292265 Nordestina";2;-;-;-;2
"292270 Nova Canaã";-;-;1;1;2
"292275 Nova Ibiá";4;4;5;8;21
"292285 Nova Redenção";-;1;1;-;2
"292350 Palmeiras";5;5;6;1;17
"292390 Pau Brasil";1;2;-;-;3
"292460 Pindobaçu";2;2;3;2;9
"292467 Piraí do Norte";4;3;5;5;17
"292470 Piripá";-;2;-;-;2
"292510 Poções";-;-;-;1;1
"292520 Pojuca";-;1;-;-;1
"292525 Ponto Novo";-;1;-;-;1
"292530 Porto Seguro";2;3;2;-;7
"292550 Prado";1;-;-;-;1
"292575 Presidente Tancredo Neves";41;55;36;20;152
"292590 Quijingue";-;1;-;-;1
"292660 Ribeira do Pombal";-;-;-;1;1
"292740 Salvador";2;6;5;4;17
"292750 Santa Bárbara";-;-;-;1;1
"292770 Santa Cruz Cabrália";1;1;-;1;3
"292790 Santa Inês";-;1;1;-;2
"292805 Santa Luzia";2;2;-;-;4
"292810 Santa Maria da Vitória";3;1;4;3;11
"292850 Santa Teresinha";1;1;-;-;2
"292820 Santana";2;1;-;2;5
"292870 Santo Antônio de Jesus";3;3;2;-;8
"292880 Santo Estêvão";-;-;-;1;1
"292905 São Félix do Coribe";7;2;1;6;16
"292935 São José da Vitória";2;2;5;-;9
"292940 São Miguel das Matas";-;-;2;-;2
"292950 São Sebastião do Passé";1;-;-;-;1
"292980 Saúde";1;1;-;-;2
"292990 Seabra";-;1;-;-;1
"293000 Sebastião Laranjeiras";-;-;-;1;1
"293010 Senhor do Bonfim";2;1;2;2;7
"293015 Serra do Ramalho";-;1;1;-;2
"293120 Taperoá";52;68;58;29;207
"293135 Teixeira de Freitas";-;-;-;1;1
"293160 Teolândia";93;156;122;72;443
"293180 Tremedal";2;1;-;-;3
"293210 Ubaíra";8;5;3;2;18
"293220 Ubaitaba";5;2;1;1;9
"293230 Ubatã";2;1;-;2;5
"293250 Una";15;11;24;6;56
"293270 Uruçuca";3;10;5;7;25
"293280 Utinga";-;-;6;-;6
"293290 Valença";166;114;135;55;470
"293315 Várzea Nova";-;-;-;1;1
"293317 Varzedo";1;-;-;-;1
"293320 Vera Cruz";-;1;-;-;1
"293330 Vitória da Conquista";-;1;-;1;2
"293340 Wagner";-;2;5;6;13
"293350 Wenceslau Guimarães";101;76;119;39;335
"293360 Xique-Xique";-;-;-;2;2
"Total";853;775;837;475;2940
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
