Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Escolaridade
Período:2017
"Município Resid";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Não se aplica";"Total"
"291120 Gandu";-;6;19;1;11;1;-;8;-;-;4;50
"291170 Guanambi";-;-;1;-;-;-;1;-;-;-;-;2
"291210 Ibicaraí";2;1;-;-;-;-;-;-;-;-;-;3
"291220 Ibicoara";-;2;1;-;1;-;-;-;-;-;-;4
"291230 Ibicuí";1;-;-;1;1;-;-;-;-;-;-;3
"291270 Ibirapitanga";3;1;1;1;3;-;-;1;-;-;1;11
"291290 Ibirataia";4;3;1;1;1;-;-;-;-;-;-;10
"291345 Igrapiúna";-;-;2;8;2;4;1;1;-;-;6;24
"291350 Iguaí";-;1;-;-;1;-;-;1;-;-;-;3
"291360 Ilhéus";10;-;6;1;4;-;-;1;1;-;1;24
"291390 Ipiaú";1;3;2;2;4;-;-;-;-;-;1;13
"291410 Ipupiara";-;-;1;-;-;-;-;-;-;-;-;1
"291430 Iramaia";-;-;-;-;1;-;1;-;-;-;-;2
"291440 Iraquara";-;-;-;-;-;-;-;-;-;-;1;1
"291450 Irará";-;-;-;-;-;-;-;-;-;-;1;1
"291460 Irecê";1;-;-;-;-;-;-;-;-;-;-;1
"291465 Itabela";1;3;-;-;-;-;1;-;-;-;-;5
"291470 Itaberaba";-;-;-;-;1;-;-;-;-;-;-;1
"291480 Itabuna";2;-;1;-;-;-;1;-;-;-;-;4
"291490 Itacaré";3;1;1;-;1;-;-;-;-;-;-;6
"291510 Itagi";1;-;-;2;2;-;1;-;-;-;-;6
"291520 Itagibá";-;1;-;-;-;-;-;-;-;-;-;1
"291550 Itajuípe";1;-;2;-;-;-;-;-;-;-;1;4
"291560 Itamaraju";2;-;1;-;-;1;1;-;-;1;-;6
"291570 Itamari";1;4;1;-;2;-;1;-;1;-;-;10
"291580 Itambé";-;1;-;-;-;-;-;-;-;-;-;1
"291600 Itanhém";1;-;-;-;-;1;-;-;-;-;-;2
"291630 Itapebi";1;-;-;-;-;-;1;-;-;-;-;2
"291660 Itapitanga";2;-;1;1;1;-;-;-;-;-;-;5
"291670 Itaquara";1;-;-;1;2;-;-;-;-;-;-;4
"291710 Itororó";-;-;-;-;-;-;-;-;1;-;-;1
"291730 Ituberá";21;-;39;26;20;-;1;2;-;-;22;131
"291735 Jaborandi";3;-;-;-;1;-;-;-;-;-;-;4
"291750 Jacobina";1;-;-;1;1;-;-;-;-;-;1;4
"291760 Jaguaquara";-;6;3;3;4;3;1;-;-;-;2;22
"291800 Jequié";1;5;8;6;10;1;1;1;-;-;1;34
"291820 Jiquiriçá";6;5;8;1;8;1;2;-;-;-;4;35
"291830 Jitaúna";1;5;3;5;11;1;1;-;-;-;4;31
"291840 Juazeiro";1;-;-;-;-;-;-;-;-;-;-;1
"291845 Jucuruçu";-;-;-;-;1;-;-;-;-;-;-;1
"291855 Jussari";-;-;1;-;-;-;-;-;-;-;-;1
"291880 Laje";5;-;3;-;1;-;-;1;-;-;2;12
"291915 Lapão";-;-;-;-;1;-;-;-;-;-;-;1
"291920 Lauro de Freitas";2;-;-;-;-;-;-;-;-;-;-;2
"291930 Lençóis";-;-;2;1;-;-;-;-;-;-;-;3
"291980 Macaúbas";1;-;-;-;-;-;-;-;-;-;-;1
"292050 Maracás";1;-;1;-;-;-;1;-;-;-;-;3
"292070 Maraú";3;3;6;5;6;2;1;1;-;-;4;31
"292090 Mascote";-;-;-;1;-;-;-;-;-;-;-;1
"292100 Mata de São João";1;-;-;-;-;-;-;-;-;-;-;1
"292120 Miguel Calmon";22;-;-;-;-;-;-;-;-;-;2;24
"292140 Mirangaba";1;-;-;-;-;-;-;-;-;-;-;1
"292220 Muniz Ferreira";-;-;-;-;1;-;-;-;-;-;-;1
"292240 Mutuípe";32;2;9;-;12;3;-;-;-;-;7;65
"292250 Nazaré";-;-;-;-;-;-;1;-;-;-;-;1
"292260 Nilo Peçanha";41;14;12;5;19;1;8;11;1;2;7;121
"292265 Nordestina";1;-;-;-;-;-;-;-;-;-;1;2
"292270 Nova Canaã";1;-;1;-;-;-;-;-;-;-;-;2
"292275 Nova Ibiá";1;-;9;-;6;-;1;4;-;-;-;21
"292285 Nova Redenção";-;-;-;-;-;2;-;-;-;-;-;2
"292350 Palmeiras";3;-;2;1;3;1;2;3;1;-;1;17
"292390 Pau Brasil";1;1;-;-;-;-;-;-;-;-;1;3
"292460 Pindobaçu";7;-;1;-;-;-;-;-;-;-;1;9
"292467 Piraí do Norte";1;1;4;-;6;-;1;1;-;-;3;17
"292470 Piripá";-;-;1;1;-;-;-;-;-;-;-;2
"292510 Poções";-;-;1;-;-;-;-;-;-;-;-;1
"292520 Pojuca";-;-;1;-;-;-;-;-;-;-;-;1
"292525 Ponto Novo";-;-;-;-;-;-;1;-;-;-;-;1
"292530 Porto Seguro";6;-;-;-;1;-;-;-;-;-;-;7
"292550 Prado";1;-;-;-;-;-;-;-;-;-;-;1
"292575 Presidente Tancredo Neves";-;11;44;1;61;2;9;19;-;-;5;152
"292590 Quijingue";-;-;-;-;1;-;-;-;-;-;-;1
"292660 Ribeira do Pombal";-;-;-;-;1;-;-;-;-;-;-;1
"292740 Salvador";9;1;-;1;2;1;1;-;-;1;1;17
"292750 Santa Bárbara";-;-;1;-;-;-;-;-;-;-;-;1
"292770 Santa Cruz Cabrália";1;1;1;-;-;-;-;-;-;-;-;3
"292790 Santa Inês";-;-;-;1;1;-;-;-;-;-;-;2
"292805 Santa Luzia";4;-;-;-;-;-;-;-;-;-;-;4
"292810 Santa Maria da Vitória";1;1;2;2;2;-;-;2;1;-;-;11
"292850 Santa Teresinha";-;-;-;-;-;-;-;-;-;-;2;2
"292820 Santana";5;-;-;-;-;-;-;-;-;-;-;5
"292870 Santo Antônio de Jesus";3;-;2;1;-;-;-;1;1;-;-;8
"292880 Santo Estêvão";-;-;-;-;-;-;-;-;-;-;1;1
"292905 São Félix do Coribe";5;-;7;1;1;-;1;-;-;-;1;16
"292935 São José da Vitória";3;1;4;-;-;1;-;-;-;-;-;9
"292940 São Miguel das Matas";2;-;-;-;-;-;-;-;-;-;-;2
"292950 São Sebastião do Passé";-;-;-;-;-;-;-;1;-;-;-;1
"292980 Saúde";1;-;1;-;-;-;-;-;-;-;-;2
"292990 Seabra";-;-;1;-;-;-;-;-;-;-;-;1
"293000 Sebastião Laranjeiras";-;-;-;-;-;-;-;-;-;-;1;1
"293010 Senhor do Bonfim";1;1;1;1;-;1;-;2;-;-;-;7
"293015 Serra do Ramalho";1;-;1;-;-;-;-;-;-;-;-;2
"293120 Taperoá";41;16;50;5;44;1;8;13;-;2;27;207
"293135 Teixeira de Freitas";-;-;-;-;1;-;-;-;-;-;-;1
"293160 Teolândia";11;52;105;3;137;4;22;53;1;2;53;443
"293180 Tremedal";1;-;1;-;-;-;-;1;-;-;-;3
"293210 Ubaíra";-;3;6;4;2;-;1;-;-;1;1;18
"293220 Ubaitaba";1;-;2;3;2;-;1;-;-;-;-;9
"293230 Ubatã";1;-;1;-;1;1;1;-;-;-;-;5
"293250 Una";25;3;10;2;5;1;3;1;-;1;5;56
"293270 Uruçuca";10;2;6;-;4;-;1;1;-;-;1;25
"293280 Utinga";1;-;3;-;-;-;1;-;-;-;1;6
"293290 Valença";3;2;271;7;71;7;8;36;2;2;61;470
"293315 Várzea Nova";-;-;-;-;-;-;-;-;-;1;-;1
"293317 Varzedo";-;-;-;-;1;-;-;-;-;-;-;1
"293320 Vera Cruz";1;-;-;-;-;-;-;-;-;-;-;1
"293330 Vitória da Conquista";-;-;-;-;-;-;1;1;-;-;-;2
"293340 Wagner";5;1;2;-;-;-;2;1;1;-;1;13
"293350 Wenceslau Guimarães";13;29;96;1;103;2;14;38;1;2;36;335
"293360 Xique-Xique";-;-;-;-;-;-;1;-;-;-;1;2
"Total";422;216;832;127;624;49;122;221;13;17;297;2940
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
