Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2017
"Município Resid";"Masculino";"Feminino";"Total"
"292250 Nazaré";-;1;1
"292260 Nilo Peçanha";74;47;121
"292265 Nordestina";-;2;2
"292270 Nova Canaã";2;-;2
"292275 Nova Ibiá";13;8;21
"292285 Nova Redenção";-;2;2
"292350 Palmeiras";11;6;17
"292390 Pau Brasil";3;-;3
"292460 Pindobaçu";6;3;9
"292467 Piraí do Norte";12;5;17
"292470 Piripá";2;-;2
"292510 Poções";1;-;1
"292520 Pojuca";1;-;1
"292525 Ponto Novo";-;1;1
"292530 Porto Seguro";3;4;7
"292550 Prado";-;1;1
"292575 Presidente Tancredo Neves";109;43;152
"292590 Quijingue";-;1;1
"292660 Ribeira do Pombal";-;1;1
"292740 Salvador";8;9;17
"292750 Santa Bárbara";-;1;1
"292770 Santa Cruz Cabrália";2;1;3
"292790 Santa Inês";1;1;2
"292805 Santa Luzia";2;2;4
"292810 Santa Maria da Vitória";5;6;11
"292850 Santa Teresinha";-;2;2
"292820 Santana";1;4;5
"292870 Santo Antônio de Jesus";6;2;8
"292880 Santo Estêvão";-;1;1
"292905 São Félix do Coribe";10;6;16
"292935 São José da Vitória";4;5;9
"292940 São Miguel das Matas";2;-;2
"292950 São Sebastião do Passé";-;1;1
"292980 Saúde";1;1;2
"292990 Seabra";1;-;1
"293000 Sebastião Laranjeiras";1;-;1
"293010 Senhor do Bonfim";4;3;7
"293015 Serra do Ramalho";1;1;2
"293120 Taperoá";110;97;207
"293135 Teixeira de Freitas";1;-;1
"293160 Teolândia";277;166;443
"293180 Tremedal";3;-;3
"293210 Ubaíra";11;7;18
"293220 Ubaitaba";6;3;9
"293230 Ubatã";2;3;5
"293250 Una";43;13;56
"293270 Uruçuca";19;6;25
"293280 Utinga";5;1;6
"293290 Valença";270;200;470
"293315 Várzea Nova";-;1;1
"293317 Varzedo";1;-;1
"293320 Vera Cruz";1;-;1
"293330 Vitória da Conquista";2;-;2
"293340 Wagner";9;4;13
"293350 Wenceslau Guimarães";180;155;335
"293360 Xique-Xique";2;-;2
"Total";1756;1184;2940
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
