Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Tipo de entrada
Período:2017
"Município Resid";"Ign/Branco";"Caso novo";"Recidiva";"Transferência";"Total"
"291760 Jaguaquara";-;17;5;-;22
"291800 Jequié";-;33;1;-;34
"291820 Jiquiriçá";-;28;6;1;35
"291830 Jitaúna";-;26;5;-;31
"291840 Juazeiro";-;1;-;-;1
"291845 Jucuruçu";1;-;-;-;1
"291855 Jussari";-;1;-;-;1
"291880 Laje";-;11;1;-;12
"291915 Lapão";-;1;-;-;1
"291920 Lauro de Freitas";-;2;-;-;2
"291930 Lençóis";-;3;-;-;3
"291980 Macaúbas";-;1;-;-;1
"292050 Maracás";-;3;-;-;3
"292070 Maraú";-;28;2;1;31
"292090 Mascote";-;1;-;-;1
"292100 Mata de São João";-;1;-;-;1
"292120 Miguel Calmon";-;24;-;-;24
"292140 Mirangaba";-;1;-;-;1
"292220 Muniz Ferreira";-;1;-;-;1
"292240 Mutuípe";-;59;6;-;65
"292250 Nazaré";-;1;-;-;1
"292260 Nilo Peçanha";-;115;6;-;121
"292265 Nordestina";2;-;-;-;2
"292270 Nova Canaã";1;1;-;-;2
"292275 Nova Ibiá";-;21;-;-;21
"292285 Nova Redenção";-;1;1;-;2
"292350 Palmeiras";1;15;1;-;17
"292390 Pau Brasil";-;3;-;-;3
"292460 Pindobaçu";-;8;1;-;9
"292467 Piraí do Norte";-;15;2;-;17
"292470 Piripá";-;2;-;-;2
"292510 Poções";-;1;-;-;1
"292520 Pojuca";-;1;-;-;1
"292525 Ponto Novo";-;1;-;-;1
"292530 Porto Seguro";-;6;1;-;7
"292550 Prado";1;-;-;-;1
"292575 Presidente Tancredo Neves";-;147;2;3;152
"292590 Quijingue";-;1;-;-;1
"292660 Ribeira do Pombal";-;1;-;-;1
"292740 Salvador";1;14;2;-;17
"292750 Santa Bárbara";-;1;-;-;1
"292770 Santa Cruz Cabrália";-;3;-;-;3
"292790 Santa Inês";-;2;-;-;2
"292805 Santa Luzia";-;3;1;-;4
"292810 Santa Maria da Vitória";-;11;-;-;11
"292850 Santa Teresinha";-;2;-;-;2
"292820 Santana";-;4;1;-;5
"292870 Santo Antônio de Jesus";-;7;-;1;8
"292880 Santo Estêvão";-;1;-;-;1
"292905 São Félix do Coribe";-;14;2;-;16
"292935 São José da Vitória";-;9;-;-;9
"292940 São Miguel das Matas";-;2;-;-;2
"292950 São Sebastião do Passé";1;-;-;-;1
"292980 Saúde";-;1;1;-;2
"292990 Seabra";-;1;-;-;1
"293000 Sebastião Laranjeiras";-;1;-;-;1
"293010 Senhor do Bonfim";-;7;-;-;7
"293015 Serra do Ramalho";-;2;-;-;2
"293120 Taperoá";-;195;11;1;207
"293135 Teixeira de Freitas";-;1;-;-;1
"293160 Teolândia";-;442;1;-;443
"293180 Tremedal";-;3;-;-;3
"293210 Ubaíra";-;14;4;-;18
"293220 Ubaitaba";-;8;-;1;9
"293230 Ubatã";-;5;-;-;5
"293250 Una";-;50;6;-;56
"293270 Uruçuca";-;20;4;1;25
"293280 Utinga";-;5;1;-;6
"293290 Valença";-;467;-;3;470
"293315 Várzea Nova";-;1;-;-;1
"293317 Varzedo";-;1;-;-;1
"293320 Vera Cruz";-;1;-;-;1
"293330 Vitória da Conquista";-;2;-;-;2
"293340 Wagner";-;13;-;-;13
"293350 Wenceslau Guimarães";1;331;1;2;335
"293360 Xique-Xique";-;2;-;-;2
"Total";22;2769;129;20;2940
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
