Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Mes Diagnóstico
Período:2017
"Município Resid";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"291110 Formosa do Rio Preto";-;1;-;-;1;-;-;-;-;-;-;-;2
"291120 Gandu";13;1;3;3;4;5;6;2;2;3;6;2;50
"291170 Guanambi";1;-;-;-;-;-;-;-;-;-;-;1;2
"291210 Ibicaraí";-;2;-;-;-;-;-;-;-;1;-;-;3
"291220 Ibicoara";-;1;2;-;-;-;-;-;1;-;-;-;4
"291230 Ibicuí";1;-;-;-;1;-;-;-;-;-;-;1;3
"291270 Ibirapitanga";-;2;2;-;3;1;-;-;1;1;-;1;11
"291290 Ibirataia";1;-;1;1;3;-;-;1;-;1;1;1;10
"291345 Igrapiúna";-;1;1;2;6;-;3;5;1;4;-;1;24
"291350 Iguaí";-;-;-;-;1;-;1;1;-;-;-;-;3
"291360 Ilhéus";-;-;2;1;3;1;-;4;3;3;4;3;24
"291390 Ipiaú";-;4;1;-;2;1;-;-;3;1;-;1;13
"291410 Ipupiara";-;-;-;-;1;-;-;-;-;-;-;-;1
"291430 Iramaia";-;-;1;-;-;-;-;1;-;-;-;-;2
"291440 Iraquara";-;1;-;-;-;-;-;-;-;-;-;-;1
"291450 Irará";-;-;-;-;-;-;1;-;-;-;-;-;1
"291460 Irecê";-;-;-;-;-;-;-;-;-;1;-;-;1
"291465 Itabela";-;2;-;1;-;2;-;-;-;-;-;-;5
"291470 Itaberaba";-;-;-;-;-;-;-;-;1;-;-;-;1
"291480 Itabuna";-;-;1;-;-;-;-;-;-;-;2;1;4
"291490 Itacaré";-;-;1;-;-;-;1;-;1;-;1;2;6
"291510 Itagi";-;-;1;-;-;2;-;-;-;-;-;3;6
"291520 Itagibá";-;-;1;-;-;-;-;-;-;-;-;-;1
"291550 Itajuípe";2;-;-;1;1;-;-;-;-;-;-;-;4
"291560 Itamaraju";-;-;1;-;-;-;2;-;1;-;-;2;6
"291570 Itamari";-;2;5;-;-;-;-;1;-;-;-;2;10
"291580 Itambé";-;-;-;-;-;1;-;-;-;-;-;-;1
"291600 Itanhém";-;-;-;1;-;-;-;-;1;-;-;-;2
"291630 Itapebi";-;-;-;-;-;-;-;-;-;-;-;2;2
"291660 Itapitanga";-;-;-;1;1;-;1;-;-;-;-;2;5
"291670 Itaquara";-;1;1;-;-;-;1;-;-;-;-;1;4
"291710 Itororó";-;-;-;1;-;-;-;-;-;-;-;-;1
"291730 Ituberá";16;17;18;13;10;4;10;16;8;4;1;14;131
"291735 Jaborandi";-;-;-;-;1;1;-;-;-;-;2;-;4
"291750 Jacobina";-;2;-;-;-;-;-;-;1;-;1;-;4
"291760 Jaguaquara";-;5;2;-;2;1;6;2;1;3;-;-;22
"291800 Jequié";1;4;4;2;1;4;10;1;3;2;2;-;34
"291820 Jiquiriçá";2;1;-;-;2;4;9;3;3;5;4;2;35
"291830 Jitaúna";2;9;5;3;4;1;4;-;1;1;-;1;31
"291840 Juazeiro";-;-;-;-;1;-;-;-;-;-;-;-;1
"291845 Jucuruçu";-;-;1;-;-;-;-;-;-;-;-;-;1
"291855 Jussari";-;-;-;-;-;-;-;-;-;-;1;-;1
"291880 Laje";-;-;1;2;1;-;2;1;1;1;2;1;12
"291915 Lapão";-;1;-;-;-;-;-;-;-;-;-;-;1
"291920 Lauro de Freitas";-;-;-;-;-;-;-;1;1;-;-;-;2
"291930 Lençóis";-;-;-;-;-;-;-;-;-;1;1;1;3
"291980 Macaúbas";-;-;-;-;-;-;-;-;-;-;1;-;1
"292050 Maracás";-;-;1;2;-;-;-;-;-;-;-;-;3
"292070 Maraú";2;2;6;2;3;-;-;6;2;2;4;2;31
"292090 Mascote";-;-;-;-;-;-;-;-;-;1;-;-;1
"292100 Mata de São João";-;-;1;-;-;-;-;-;-;-;-;-;1
"292120 Miguel Calmon";4;5;4;3;-;2;-;-;2;-;1;3;24
"292140 Mirangaba";-;-;-;1;-;-;-;-;-;-;-;-;1
"292220 Muniz Ferreira";-;-;-;-;-;-;-;1;-;-;-;-;1
"292240 Mutuípe";5;2;5;7;8;-;12;3;8;3;6;6;65
"292250 Nazaré";-;-;-;-;-;1;-;-;-;-;-;-;1
"292260 Nilo Peçanha";27;10;14;5;14;9;12;9;10;-;9;2;121
"292265 Nordestina";-;2;-;-;-;-;-;-;-;-;-;-;2
"292270 Nova Canaã";-;-;-;-;-;-;-;1;-;-;-;1;2
"292275 Nova Ibiá";3;-;1;-;4;-;1;2;2;3;4;1;21
"292285 Nova Redenção";-;-;-;-;1;-;-;-;1;-;-;-;2
"292350 Palmeiras";3;1;1;-;3;2;1;2;3;1;-;-;17
"292390 Pau Brasil";-;-;1;2;-;-;-;-;-;-;-;-;3
"292460 Pindobaçu";-;-;2;-;1;1;1;2;-;-;1;1;9
"292467 Piraí do Norte";2;1;1;1;2;-;-;3;2;2;2;1;17
"292470 Piripá";-;-;-;-;-;2;-;-;-;-;-;-;2
"292510 Poções";-;-;-;-;-;-;-;-;-;1;-;-;1
"292520 Pojuca";-;-;-;1;-;-;-;-;-;-;-;-;1
"292525 Ponto Novo";-;-;-;1;-;-;-;-;-;-;-;-;1
"292530 Porto Seguro";-;1;1;-;1;2;1;1;-;-;-;-;7
"292550 Prado";-;-;1;-;-;-;-;-;-;-;-;-;1
"292575 Presidente Tancredo Neves";18;5;18;19;26;10;19;10;7;11;3;6;152
"292590 Quijingue";-;-;-;1;-;-;-;-;-;-;-;-;1
"292660 Ribeira do Pombal";-;-;-;-;-;-;-;-;-;-;1;-;1
"292740 Salvador";-;-;2;1;1;4;3;2;-;2;2;-;17
"292750 Santa Bárbara";-;-;-;-;-;-;-;-;-;1;-;-;1
"292770 Santa Cruz Cabrália";-;-;1;-;-;1;-;-;-;-;1;-;3
"292790 Santa Inês";-;-;-;-;1;-;-;-;1;-;-;-;2
"292805 Santa Luzia";1;1;-;1;-;1;-;-;-;-;-;-;4
"292810 Santa Maria da Vitória";1;1;1;1;-;-;-;2;2;1;2;-;11
"292850 Santa Teresinha";-;1;-;-;1;-;-;-;-;-;-;-;2
"292820 Santana";2;-;-;1;-;-;-;-;-;-;1;1;5
"292870 Santo Antônio de Jesus";-;2;1;-;2;1;1;1;-;-;-;-;8
"292880 Santo Estêvão";-;-;-;-;-;-;-;-;-;1;-;-;1
"292905 São Félix do Coribe";2;2;3;-;1;1;-;1;-;5;1;-;16
"292935 São José da Vitória";2;-;-;2;-;-;5;-;-;-;-;-;9
"292940 São Miguel das Matas";-;-;-;-;-;-;-;1;1;-;-;-;2
"292950 São Sebastião do Passé";-;1;-;-;-;-;-;-;-;-;-;-;1
"292980 Saúde";-;-;1;-;1;-;-;-;-;-;-;-;2
"292990 Seabra";-;-;-;-;1;-;-;-;-;-;-;-;1
"293000 Sebastião Laranjeiras";-;-;-;-;-;-;-;-;-;1;-;-;1
"293010 Senhor do Bonfim";1;1;-;-;-;1;1;1;-;-;1;1;7
"293015 Serra do Ramalho";-;-;-;1;-;-;-;1;-;-;-;-;2
"293120 Taperoá";22;11;19;23;23;22;26;18;14;11;10;8;207
"293135 Teixeira de Freitas";-;-;-;-;-;-;-;-;-;-;-;1;1
"293160 Teolândia";30;23;40;64;69;23;51;48;23;15;40;17;443
"293180 Tremedal";-;2;-;-;1;-;-;-;-;-;-;-;3
"293210 Ubaíra";1;1;6;-;4;1;2;-;1;2;-;-;18
"293220 Ubaitaba";2;1;2;-;1;1;-;1;-;-;1;-;9
"293230 Ubatã";-;1;1;-;-;1;-;-;-;1;-;1;5
"293250 Una";5;4;6;2;5;4;9;5;10;3;2;1;56
"293270 Uruçuca";2;-;1;5;2;3;1;-;4;1;3;3;25
"293280 Utinga";-;-;-;-;-;-;1;3;2;-;-;-;6
"293290 Valença";63;40;63;32;42;40;47;55;33;25;20;10;470
"293315 Várzea Nova";-;-;-;-;-;-;-;-;-;1;-;-;1
"293317 Varzedo";1;-;-;-;-;-;-;-;-;-;-;-;1
"293320 Vera Cruz";-;-;-;-;1;-;-;-;-;-;-;-;1
"293330 Vitória da Conquista";-;-;-;1;-;-;-;-;-;-;1;-;2
"293340 Wagner";-;-;-;-;-;2;1;1;3;2;2;2;13
"293350 Wenceslau Guimarães";52;12;37;9;34;33;55;42;22;17;14;8;335
"293360 Xique-Xique";-;-;-;-;-;-;-;-;-;1;1;-;2
"Total";313;215;325;243;321;211;337;288;212;162;180;133;2940
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
