Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Fx Etária SINAN
Período:2017
"Município Resid";"<1 Ano";"1-4";"5-9";"10-14";"15-19";"20-34";"35-49";"50-64";"65-79";"80 e+";"Total"
"291230 Ibicuí";-;-;-;-;1;-;2;-;-;-;3
"291270 Ibirapitanga";-;-;1;-;2;3;1;2;1;1;11
"291290 Ibirataia";-;-;-;1;1;-;3;3;1;1;10
"291345 Igrapiúna";1;5;1;3;2;5;5;1;1;-;24
"291350 Iguaí";-;-;-;1;-;1;1;-;-;-;3
"291360 Ilhéus";-;-;1;2;4;5;7;3;2;-;24
"291390 Ipiaú";-;-;1;1;-;1;5;4;1;-;13
"291410 Ipupiara";-;-;-;-;-;-;-;1;-;-;1
"291430 Iramaia";-;-;-;-;1;-;-;1;-;-;2
"291440 Iraquara";-;1;-;-;-;-;-;-;-;-;1
"291450 Irará";-;-;1;-;-;-;-;-;-;-;1
"291460 Irecê";-;-;-;-;-;-;-;-;1;-;1
"291465 Itabela";-;-;-;1;-;-;1;-;2;1;5
"291470 Itaberaba";-;-;-;-;-;-;1;-;-;-;1
"291480 Itabuna";-;-;-;-;-;1;1;-;2;-;4
"291490 Itacaré";-;-;-;-;-;1;2;1;2;-;6
"291510 Itagi";-;-;-;2;-;-;2;-;2;-;6
"291520 Itagibá";-;-;-;-;-;-;-;-;1;-;1
"291550 Itajuípe";1;-;-;-;-;1;1;1;-;-;4
"291560 Itamaraju";-;-;-;-;-;-;3;2;1;-;6
"291570 Itamari";-;-;-;2;-;4;1;1;2;-;10
"291580 Itambé";-;-;-;-;-;-;-;-;-;1;1
"291600 Itanhém";-;-;-;-;-;-;1;-;1;-;2
"291630 Itapebi";-;-;-;-;-;-;-;-;2;-;2
"291660 Itapitanga";-;-;-;1;-;-;1;2;-;1;5
"291670 Itaquara";-;-;1;3;-;-;-;-;-;-;4
"291710 Itororó";-;-;-;-;-;-;-;-;1;-;1
"291730 Ituberá";7;6;19;17;14;33;24;9;2;-;131
"291735 Jaborandi";-;-;-;-;-;-;4;-;-;-;4
"291750 Jacobina";-;1;-;-;-;-;1;1;1;-;4
"291760 Jaguaquara";-;1;1;1;3;4;4;3;4;1;22
"291800 Jequié";-;-;2;3;3;7;5;7;6;1;34
"291820 Jiquiriçá";2;2;2;2;2;4;12;7;2;-;35
"291830 Jitaúna";-;3;3;2;1;12;4;4;2;-;31
"291840 Juazeiro";-;-;-;-;-;1;-;-;-;-;1
"291845 Jucuruçu";-;-;-;-;-;-;1;-;-;-;1
"291855 Jussari";-;-;-;-;-;1;-;-;-;-;1
"291880 Laje";2;-;-;-;1;4;4;-;1;-;12
"291915 Lapão";-;-;-;-;-;-;1;-;-;-;1
"291920 Lauro de Freitas";-;-;-;-;-;1;-;1;-;-;2
"291930 Lençóis";-;-;-;1;1;-;-;1;-;-;3
"291980 Macaúbas";-;-;-;-;-;-;-;-;1;-;1
"292050 Maracás";-;-;-;-;-;-;2;-;1;-;3
"292070 Maraú";-;3;2;6;5;7;5;2;1;-;31
"292090 Mascote";-;-;-;-;-;1;-;-;-;-;1
"292100 Mata de São João";-;-;-;-;-;1;-;-;-;-;1
"292120 Miguel Calmon";-;2;2;1;2;3;5;4;1;4;24
"292140 Mirangaba";-;-;-;-;1;-;-;-;-;-;1
"292220 Muniz Ferreira";-;-;-;-;-;-;-;-;1;-;1
"292240 Mutuípe";5;2;4;4;3;22;12;12;1;-;65
"292250 Nazaré";-;-;-;-;-;1;-;-;-;-;1
"292260 Nilo Peçanha";1;2;11;13;18;35;27;10;4;-;121
"292265 Nordestina";-;1;-;-;-;-;-;-;1;-;2
"292270 Nova Canaã";-;-;-;-;-;-;1;1;-;-;2
"292275 Nova Ibiá";-;-;1;4;2;4;4;5;1;-;21
"292285 Nova Redenção";-;-;-;-;-;-;2;-;-;-;2
"292350 Palmeiras";-;-;1;3;2;6;3;1;-;1;17
"292390 Pau Brasil";1;-;-;-;-;1;-;1;-;-;3
"292460 Pindobaçu";1;-;-;-;-;-;2;1;3;2;9
"292467 Piraí do Norte";1;-;4;3;2;4;1;-;1;1;17
"292470 Piripá";-;-;-;-;-;-;-;2;-;-;2
"292510 Poções";-;-;-;-;-;-;-;-;1;-;1
"292520 Pojuca";-;-;-;-;-;-;-;-;1;-;1
"292525 Ponto Novo";-;-;-;-;-;1;-;-;-;-;1
"292530 Porto Seguro";-;-;-;-;-;4;3;-;-;-;7
"292550 Prado";-;-;-;-;-;-;1;-;-;-;1
"292575 Presidente Tancredo Neves";1;2;7;13;26;61;26;11;4;1;152
"292590 Quijingue";-;-;-;-;-;1;-;-;-;-;1
"292660 Ribeira do Pombal";-;-;-;1;-;-;-;-;-;-;1
"292740 Salvador";-;-;-;1;-;6;7;2;1;-;17
"292750 Santa Bárbara";-;-;-;-;-;1;-;-;-;-;1
"292770 Santa Cruz Cabrália";-;-;-;-;-;-;-;1;2;-;3
"292790 Santa Inês";-;-;-;-;-;-;1;-;1;-;2
"292805 Santa Luzia";-;-;-;-;-;-;1;1;2;-;4
"292810 Santa Maria da Vitória";-;-;1;2;2;1;3;-;2;-;11
"292850 Santa Teresinha";1;1;-;-;-;-;-;-;-;-;2
"292820 Santana";-;-;-;-;-;1;1;2;1;-;5
"292870 Santo Antônio de Jesus";-;-;1;-;-;2;4;1;-;-;8
"292880 Santo Estêvão";1;-;-;-;-;-;-;-;-;-;1
"292905 São Félix do Coribe";1;-;-;1;2;5;3;2;2;-;16
"292935 São José da Vitória";-;-;-;1;-;-;2;5;1;-;9
"292940 São Miguel das Matas";-;-;-;-;1;1;-;-;-;-;2
"292950 São Sebastião do Passé";-;-;-;-;-;1;-;-;-;-;1
"292980 Saúde";-;-;-;-;1;-;-;1;-;-;2
"292990 Seabra";-;-;-;-;-;-;-;-;1;-;1
"293000 Sebastião Laranjeiras";-;1;-;-;-;-;-;-;-;-;1
"293010 Senhor do Bonfim";-;-;-;-;-;-;3;2;2;-;7
"293015 Serra do Ramalho";-;-;-;-;1;-;1;-;-;-;2
"293120 Taperoá";2;16;38;23;36;42;23;22;5;-;207
"293135 Teixeira de Freitas";-;-;-;-;-;-;-;1;-;-;1
"293160 Teolândia";8;26;45;53;62;138;51;40;15;5;443
"293180 Tremedal";-;-;-;-;-;-;3;-;-;-;3
"293210 Ubaíra";-;1;1;2;-;2;8;2;2;-;18
"293220 Ubaitaba";-;-;-;-;3;1;1;4;-;-;9
"293230 Ubatã";-;-;1;1;-;-;3;-;-;-;5
"293250 Una";2;2;1;1;7;14;13;13;2;1;56
"293270 Uruçuca";-;1;1;3;1;5;8;4;2;-;25
"293280 Utinga";-;1;-;-;-;2;2;1;-;-;6
"293290 Valença";8;33;44;49;50;133;72;55;19;7;470
"293315 Várzea Nova";-;-;-;-;-;-;-;1;-;-;1
"293317 Varzedo";-;-;-;-;-;-;1;-;-;-;1
"293320 Vera Cruz";-;-;-;-;-;-;1;-;-;-;1
"293330 Vitória da Conquista";-;-;-;-;1;-;1;-;-;-;2
"293340 Wagner";-;1;-;-;5;2;5;-;-;-;13
"293350 Wenceslau Guimarães";6;15;32;43;33;108;61;24;10;3;335
"293360 Xique-Xique";-;-;1;-;-;1;-;-;-;-;2
"Total";55;144;244;286;339;771;538;353;172;38;2940
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
