Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Sexo
Período:2017
"Município Resid";"Masculino";"Feminino";"Total"
"292580 Queimadas";3;2;5
"292595 Rafael Jambeiro";2;-;2
"292600 Remanso";1;-;1
"292610 Retirolândia";2;-;2
"292620 Riachão das Neves";2;-;2
"292630 Riachão do Jacuípe";2;-;2
"292640 Riacho de Santana";3;1;4
"292680 Rio do Antônio";1;-;1
"292720 Ruy Barbosa";2;-;2
"292730 Salinas da Margarida";6;2;8
"292740 Salvador";12;7;19
"292750 Santa Bárbara";3;1;4
"292840 Santa Rita de Cássia";5;1;6
"292850 Santa Teresinha";1;-;1
"292800 Santaluz";-;1;1
"292820 Santana";1;-;1
"292830 Santanópolis";2;-;2
"292860 Santo Amaro";1;-;1
"292870 Santo Antônio de Jesus";-;1;1
"292880 Santo Estêvão";8;-;8
"292890 São Desidério";2;-;2
"292905 São Félix do Coribe";4;4;8
"292925 São Gabriel";12;6;18
"292930 São Gonçalo dos Campos";1;-;1
"292950 São Sebastião do Passé";1;-;1
"292970 Sátiro Dias";2;-;2
"292975 Saubara";3;-;3
"292980 Saúde";1;-;1
"292990 Seabra";1;-;1
"293000 Sebastião Laranjeiras";1;-;1
"293020 Sento Sé";4;1;5
"293015 Serra do Ramalho";-;2;2
"293050 Serrinha";2;-;2
"293075 Sítio do Mato";-;1;1
"293077 Sobradinho";1;-;1
"293090 Tabocas do Brejo Velho";-;1;1
"293100 Tanhaçu";3;1;4
"293105 Tanque Novo";1;2;3
"293150 Teofilândia";1;1;2
"293180 Tremedal";3;4;7
"293190 Tucano";3;-;3
"293200 Uauá";-;1;1
"293240 Uibaí";3;2;5
"293260 Urandi";-;1;1
"293280 Utinga";1;-;1
"293290 Valença";1;-;1
"293320 Vera Cruz";1;-;1
"293330 Vitória da Conquista";1;-;1
"293345 Wanderley";1;-;1
"293360 Xique-Xique";7;3;10
"Total";417;219;636
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
