Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano da Notificação
Período:2014-2024
"Município Resid";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"290730 Castro Alves";2;-;-;-;1;-;-;-;-;2;-;5
"290740 Catolândia";-;-;1;-;1;1;-;1;-;1;-;5
"290750 Catu";-;-;-;-;-;-;-;-;-;2;1;3
"290760 Central";-;1;-;-;-;-;-;-;1;-;-;2
"290780 Cícero Dantas";-;-;-;-;-;-;-;1;-;-;-;1
"290790 Cipó";-;-;-;-;-;-;-;2;-;-;-;2
"290800 Coaraci";2;6;13;7;6;5;6;3;6;6;7;67
"290810 Cocos";3;3;3;17;14;17;12;10;14;19;9;121
"290820 Conceição da Feira";1;-;-;-;-;-;-;-;-;-;-;1
"290830 Conceição do Almeida";-;1;-;-;-;-;-;1;-;-;-;2
"290840 Conceição do Coité";-;-;-;-;-;-;1;1;-;-;-;2
"290850 Conceição do Jacuípe";-;-;-;-;-;1;-;-;-;-;-;1
"290860 Conde";-;4;2;-;1;1;-;-;-;-;1;9
"290870 Condeúba";-;-;-;1;1;-;2;4;2;10;-;20
"290880 Contendas do Sincorá";-;-;-;3;3;1;-;3;1;-;1;12
"290890 Coração de Maria";-;1;-;-;-;-;-;1;-;1;-;3
"290900 Cordeiros";-;-;-;-;-;-;1;1;1;2;-;5
"290910 Coribe";18;25;18;17;14;22;30;14;5;8;14;185
"290930 Correntina";3;-;1;1;4;1;13;24;6;4;1;58
"290940 Cotegipe";-;-;2;-;-;-;-;1;-;2;-;5
"290950 Cravolândia";3;2;1;-;-;6;1;3;2;-;-;18
"290960 Crisópolis";-;-;-;-;-;-;-;1;-;1;-;2
"290970 Cristópolis";-;-;-;-;-;-;-;-;-;-;1;1
"290980 Cruz das Almas";2;-;-;-;-;1;-;-;-;-;-;3
"290990 Curaçá";-;1;-;-;-;-;2;-;1;-;-;4
"291000 Dário Meira";11;40;6;7;3;5;9;6;3;2;5;97
"291005 Dias d'Ávila";1;-;-;1;3;3;1;-;1;-;-;10
"291010 Dom Basílio";-;-;-;-;-;-;-;-;-;-;1;1
"291020 Dom Macedo Costa";1;-;-;-;1;-;-;2;-;-;-;4
"291030 Elísio Medrado";-;1;-;1;-;-;-;-;-;1;-;3
"291040 Encruzilhada";-;1;-;-;1;1;-;-;7;4;3;17
"291050 Entre Rios";-;1;1;-;-;-;2;1;-;-;-;5
"290050 Érico Cardoso";-;-;-;-;-;-;-;1;-;-;-;1
"291060 Esplanada";2;-;-;-;-;2;-;-;-;1;2;7
"291072 Eunápolis";4;3;4;-;1;8;3;5;2;8;5;43
"291075 Fátima";-;-;-;-;-;-;-;1;-;-;-;1
"291077 Feira da Mata";2;8;5;4;2;6;3;6;-;-;1;37
"291080 Feira de Santana";1;3;-;-;2;1;1;1;1;2;-;12
"291085 Filadélfia";1;-;1;1;2;-;-;-;-;1;-;6
"291090 Firmino Alves";1;-;1;-;1;1;-;2;-;1;-;7
"291100 Floresta Azul";-;5;5;2;2;7;1;-;-;-;2;24
"291110 Formosa do Rio Preto";-;1;-;2;-;-;-;3;-;3;2;11
"291120 Gandu";48;65;45;50;38;19;20;36;19;14;10;364
"291130 Gentio do Ouro";-;-;-;-;-;-;-;-;-;2;-;2
"291150 Gongogi";2;-;1;-;-;1;1;-;-;-;1;6
"291160 Governador Mangabeira";1;-;-;-;-;-;-;-;-;1;1;3
"291165 Guajeru";-;1;-;-;-;-;-;-;1;-;-;2
"291170 Guanambi";-;1;1;2;-;1;3;1;2;-;2;13
"291180 Guaratinga";1;3;2;-;-;5;2;3;1;3;4;24
"291190 Iaçu";3;2;-;-;1;-;-;-;-;-;-;6
"291200 Ibiassucê";-;-;1;-;-;-;-;1;-;1;1;4
"291210 Ibicaraí";2;1;3;3;2;-;1;1;1;1;1;16
"291220 Ibicoara";19;31;12;4;19;43;24;10;18;21;15;216
"291230 Ibicuí";3;6;-;3;2;6;2;3;-;1;3;29
"291240 Ibipeba";1;-;1;-;-;-;-;-;-;-;-;2
"291270 Ibirapitanga";23;28;16;11;13;6;12;12;7;3;3;134
"291280 Ibirapuã";-;-;-;-;1;2;-;-;-;-;-;3
"291290 Ibirataia";20;29;31;10;14;3;2;10;7;7;3;136
"291300 Ibitiara";-;-;1;-;-;-;-;-;-;-;2;3
"291310 Ibititá";1;-;-;-;-;-;1;-;-;-;-;2
"291340 Igaporã";-;-;-;-;1;-;-;1;-;2;-;4
"291345 Igrapiúna";19;21;15;24;26;21;14;10;1;2;2;155
"291350 Iguaí";25;26;2;3;4;4;10;5;11;13;10;113
"291360 Ilhéus";55;33;17;24;31;27;22;8;14;16;3;250
"291370 Inhambupe";-;-;-;-;-;-;1;-;2;3;3;9
"291380 Ipecaetá";-;2;-;-;-;-;-;-;2;-;-;4
"291390 Ipiaú";8;18;9;13;24;7;10;4;3;7;4;107
"291410 Ipupiara";-;-;1;1;-;-;-;-;-;-;-;2
"291420 Irajuba";-;-;-;-;-;-;-;-;1;3;2;6
"291430 Iramaia";-;-;-;2;1;2;-;-;-;-;1;6
"291440 Iraquara";12;11;2;1;5;1;2;4;5;8;3;54
"291450 Irará";3;-;-;1;-;-;2;-;-;-;1;7
"291460 Irecê";-;-;1;1;1;-;-;-;-;-;3;6
"291465 Itabela";6;6;8;5;-;1;1;4;-;-;-;31
"291470 Itaberaba";2;-;-;1;2;1;-;-;1;-;-;7
"291480 Itabuna";15;6;15;4;8;6;1;2;-;1;2;60
"291490 Itacaré";4;6;5;6;13;8;9;19;7;14;2;93
"291500 Itaeté";2;-;-;-;-;-;-;1;1;3;-;7
"291510 Itagi";6;9;3;6;5;3;1;2;-;-;1;36
"291520 Itagibá";3;2;3;1;1;4;1;1;1;1;2;20
"291530 Itagimirim";-;-;-;-;-;-;-;1;-;-;-;1
"291540 Itaju do Colônia";3;1;3;-;1;3;1;1;-;-;-;13
"291550 Itajuípe";3;5;2;4;1;4;2;10;4;1;4;40
"291560 Itamaraju";3;9;3;6;1;2;2;3;4;2;2;37
"291570 Itamari";11;10;3;10;5;8;13;11;14;8;8;101
"291580 Itambé";1;4;2;1;8;12;2;3;4;6;2;45
"291590 Itanagra";-;2;-;-;-;2;-;-;-;-;-;4
"291600 Itanhém";1;-;2;2;-;-;-;-;-;-;-;5
"291620 Itapé";2;-;1;-;-;1;-;-;-;-;-;4
"291630 Itapebi";-;1;-;2;2;-;-;1;-;-;1;7
"291640 Itapetinga";3;2;-;-;3;4;2;3;1;4;1;23
"291650 Itapicuru";-;-;-;-;-;-;-;-;1;-;-;1
"291660 Itapitanga";1;6;4;5;-;2;1;1;1;-;1;22
"291670 Itaquara";2;-;1;4;1;14;3;-;-;4;2;31
"291680 Itarantim";-;2;1;-;2;-;-;2;-;-;-;7
"291685 Itatim";-;-;-;-;-;-;1;-;-;-;-;1
"291690 Itiruçu";-;-;-;-;-;-;1;-;1;-;-;2
"291700 Itiúba";-;-;-;-;-;-;1;-;-;-;-;1
"291710 Itororó";3;5;-;1;3;3;1;1;-;-;-;17
"291720 Ituaçu";14;18;3;-;1;5;6;4;3;2;3;59
"291730 Ituberá";133;106;109;131;55;27;11;19;7;4;10;612
"291733 Iuiú";1;-;-;-;1;1;-;-;-;1;-;4
"291735 Jaborandi";1;2;2;4;1;1;3;5;1;1;-;21
"291740 Jacaraci";1;16;8;-;7;8;2;4;1;2;1;50
"291750 Jacobina";7;13;11;4;1;6;7;13;37;8;1;108
"291760 Jaguaquara";13;33;14;22;34;9;5;11;7;6;4;158
"291770 Jaguarari";1;1;1;-;1;-;4;2;-;6;8;24
"291780 Jaguaripe";6;4;2;-;2;-;-;-;1;1;-;16
"291800 Jequié";41;66;28;34;21;12;10;9;3;5;6;235
"291810 Jeremoabo";-;-;-;-;-;-;-;-;1;1;-;2
"291820 Jiquiriçá";21;19;23;35;19;15;19;54;16;15;5;241
"291830 Jitaúna";15;25;13;31;6;13;8;8;5;10;2;136
"291835 João Dourado";-;-;-;-;1;-;-;-;-;1;1;3
"291840 Juazeiro";1;-;1;1;-;-;-;-;1;2;-;6
"291845 Jucuruçu";-;-;-;1;-;-;-;1;-;3;1;6
"291850 Jussara";-;-;-;-;-;-;-;2;3;-;-;5
"291855 Jussari";1;-;3;1;1;3;2;-;1;-;-;12
"291860 Jussiape";-;-;-;-;1;-;-;-;-;-;-;1
"291870 Lafaiete Coutinho";-;-;-;-;-;-;-;-;-;-;1;1
"291880 Laje";21;32;4;12;22;16;4;20;15;12;1;159
"291890 Lajedão";-;1;-;-;-;1;-;-;-;-;1;3
"291900 Lajedinho";-;-;-;-;-;1;-;6;-;-;1;8
"291905 Lajedo do Tabocal";1;2;-;-;-;1;-;-;2;-;-;6
"291915 Lapão";-;-;-;1;-;-;-;-;-;-;-;1
"291920 Lauro de Freitas";3;2;1;2;1;5;4;1;1;3;-;23
"291930 Lençóis";6;3;2;3;5;4;3;48;10;12;2;98
"291940 Licínio de Almeida";-;-;2;-;-;1;4;1;-;-;-;8
"291950 Livramento de Nossa Senhora";1;-;-;-;-;-;-;-;1;2;-;4
"291955 Luís Eduardo Magalhães";-;2;1;-;1;-;-;2;1;-;-;7
"291970 Macarani";-;-;1;-;3;-;4;-;-;-;1;9
"291980 Macaúbas";-;-;1;1;1;2;-;2;-;1;-;8
"291995 Maetinga";-;-;-;-;-;-;-;-;1;1;-;2
"292000 Maiquinique";-;-;-;-;2;2;-;2;-;-;-;6
"292020 Malhada";-;-;-;-;-;-;-;-;-;-;1;1
"292040 Manoel Vitorino";1;3;-;-;-;1;-;-;-;-;-;5
"292050 Maracás";2;2;3;3;-;2;-;1;-;-;2;15
"292060 Maragogipe";2;5;1;-;1;-;1;-;-;-;-;10
"292070 Maraú";33;22;17;31;36;34;25;22;18;18;10;266
"292080 Marcionílio Souza";1;-;-;-;-;-;-;-;-;-;-;1
"292090 Mascote";1;2;-;1;-;3;2;2;1;3;2;17
"292100 Mata de São João";1;-;1;1;-;1;-;1;1;3;1;10
"292105 Matina";-;-;-;-;-;1;-;-;-;-;-;1
"292120 Miguel Calmon";22;17;17;24;13;16;5;2;8;10;3;137
"292130 Milagres";-;-;-;-;-;-;-;1;-;1;-;2
"292140 Mirangaba";-;-;2;1;1;-;-;1;-;2;-;7
"292145 Mirante";-;-;1;-;-;-;-;-;1;-;-;2
"292150 Monte Santo";-;-;-;-;1;1;-;-;-;-;-;2
"292170 Morro do Chapéu";3;1;2;-;2;1;3;2;2;2;1;19
"292180 Mortugaba";-;-;-;-;-;-;-;-;-;-;1;1
"292190 Mucugê";-;2;1;-;-;2;2;8;4;4;-;23
"292200 Mucuri";-;-;-;-;-;1;1;-;-;-;-;2
"292220 Muniz Ferreira";1;2;2;1;-;-;-;9;3;1;-;19
"292225 Muquém de São Francisco";-;-;-;-;-;-;1;-;-;1;-;2
"292230 Muritiba";1;-;-;-;1;-;-;-;-;-;-;2
"292240 Mutuípe";68;73;47;65;83;54;71;85;49;56;37;688
"292250 Nazaré";2;1;2;1;3;-;2;-;-;-;-;11
"292260 Nilo Peçanha";125;116;93;121;68;64;13;10;6;13;7;636
"292265 Nordestina";-;-;-;2;2;1;1;1;-;-;-;7
"292270 Nova Canaã";2;3;3;2;2;22;3;1;2;3;6;49
"292275 Nova Ibiá";11;17;15;21;16;2;6;17;7;5;2;119
"292280 Nova Itarana";1;1;-;-;-;-;-;-;-;-;-;2
"292285 Nova Redenção";-;1;1;2;-;2;4;-;1;1;2;14
"292290 Nova Soure";-;-;-;-;-;-;-;3;-;-;1;4
"292300 Nova Viçosa";-;-;-;-;-;-;-;2;-;-;-;2
"292303 Novo Horizonte";2;-;-;-;1;-;-;-;-;1;-;4
"292320 Oliveira dos Brejinhos";1;-;1;-;-;-;1;-;-;1;-;4
"292330 Ouriçangas";-;1;-;-;-;-;-;-;2;-;-;3
"292340 Palmas de Monte Alto";-;-;1;-;-;-;-;-;1;-;-;2
"292350 Palmeiras";4;5;9;17;3;8;1;12;10;22;25;116
"292360 Paramirim";-;-;-;-;-;-;-;-;1;-;-;1
"292370 Paratinga";-;1;-;-;-;-;-;1;-;-;-;2
"292380 Paripiranga";1;-;-;-;-;-;-;-;-;-;-;1
"292390 Pau Brasil";-;-;1;3;9;7;2;2;3;6;-;33
"292405 Pé de Serra";-;-;-;-;-;-;-;-;1;-;-;1
"292410 Pedrão";-;1;-;-;1;-;-;-;-;1;-;3
"292430 Piatã";-;-;-;-;-;-;-;-;-;-;1;1
"292450 Pindaí";-;-;1;-;-;-;-;-;-;-;1;2
"292460 Pindobaçu";7;22;11;9;3;5;11;10;6;12;6;102
"292467 Piraí do Norte";32;19;16;17;14;7;36;29;13;4;5;192
"292470 Piripá";-;2;-;2;-;1;-;-;2;4;-;11
"292480 Piritiba";2;-;-;-;-;-;1;-;-;1;-;4
"292500 Planalto";2;7;-;-;4;5;10;3;4;-;-;35
"292510 Poções";5;2;7;1;2;7;2;3;7;4;2;42
"292520 Pojuca";6;9;-;1;4;3;-;4;-;7;-;34
"292525 Ponto Novo";1;-;2;1;-;-;-;-;-;1;-;5
"292530 Porto Seguro";18;19;12;7;9;30;6;17;29;45;20;212
"292540 Potiraguá";-;1;-;-;-;-;-;-;-;-;-;1
"292550 Prado";2;-;1;1;-;1;1;-;4;2;2;14
"292570 Presidente Jânio Quadros";-;-;-;-;-;-;-;1;-;-;-;1
"292575 Presidente Tancredo Neves";58;67;84;152;78;28;37;19;10;5;2;540
"292590 Quijingue";-;-;-;1;-;-;-;-;-;1;-;2
"292593 Quixabeira";1;-;-;-;-;-;-;-;-;2;-;3
"292595 Rafael Jambeiro";-;-;-;-;-;-;-;-;1;-;-;1
"292620 Riachão das Neves";-;1;-;-;-;1;2;2;-;1;-;7
"292640 Riacho de Santana";2;2;1;-;1;-;-;-;-;-;-;6
"292660 Ribeira do Pombal";-;-;-;1;-;-;-;-;1;-;-;2
"292665 Ribeirão do Largo";2;1;-;-;2;2;-;-;-;1;-;8
"292670 Rio de Contas";-;-;-;-;-;-;-;-;-;-;1;1
"292680 Rio do Antônio";-;-;-;-;-;-;-;-;-;1;-;1
"292690 Rio do Pires";-;-;-;-;1;-;-;-;-;-;-;1
"292700 Rio Real";-;1;-;-;6;-;-;-;-;-;-;7
"292720 Ruy Barbosa";-;-;-;-;-;3;1;1;-;1;-;6
"292730 Salinas da Margarida";-;-;2;-;-;-;-;-;-;-;-;2
"292740 Salvador";14;9;14;17;8;15;4;12;13;17;8;131
"292750 Santa Bárbara";-;-;-;1;1;1;-;-;-;-;-;3
"292760 Santa Brígida";-;-;-;-;-;-;-;1;-;-;-;1
"292770 Santa Cruz Cabrália";9;10;2;3;5;7;4;7;3;5;4;59
"292780 Santa Cruz da Vitória";1;-;-;-;-;2;-;-;-;-;-;3
"292790 Santa Inês";1;-;-;2;3;1;-;-;1;-;2;10
"292805 Santa Luzia";3;4;5;4;6;5;5;6;1;6;1;46
"292810 Santa Maria da Vitória";30;34;15;11;19;14;31;32;20;15;7;228
"292840 Santa Rita de Cássia";-;-;1;-;-;-;1;3;2;1;-;8
"292850 Santa Teresinha";-;-;-;2;-;-;-;-;-;1;-;3
"292800 Santaluz";-;-;-;-;-;-;1;-;-;-;-;1
"292820 Santana";2;7;8;5;-;1;5;2;2;-;1;33
"292830 Santanópolis";-;-;1;-;-;-;-;-;-;-;-;1
"292860 Santo Amaro";1;2;5;-;-;1;-;-;-;1;5;15
"292870 Santo Antônio de Jesus";10;14;4;8;7;1;1;7;1;1;1;55
"292880 Santo Estêvão";-;1;-;1;-;-;-;-;-;-;-;2
"292890 São Desidério";1;2;-;-;-;-;3;7;1;2;1;17
"292895 São Domingos";-;-;-;-;-;-;1;-;-;-;-;1
"292910 São Felipe";4;9;2;-;1;1;-;-;-;-;-;17
"292900 São Félix";-;-;1;-;-;-;-;-;-;1;-;2
"292905 São Félix do Coribe";20;22;9;16;10;8;21;17;14;11;6;154
"292920 São Francisco do Conde";-;-;-;-;2;-;-;-;-;-;-;2
"292925 São Gabriel";-;-;-;-;-;-;-;2;1;-;-;3
"292930 São Gonçalo dos Campos";-;-;-;-;-;1;3;-;-;-;1;5
"292935 São José da Vitória";3;5;9;9;10;9;1;11;10;6;5;78
"292940 São Miguel das Matas";6;9;3;2;6;3;3;3;1;2;-;38
"292950 São Sebastião do Passé";-;-;-;1;-;-;1;-;-;-;-;2
"292960 Sapeaçu";-;-;-;-;-;-;-;-;-;1;-;1
"292970 Sátiro Dias";-;1;-;-;-;-;2;-;-;-;-;3
"292980 Saúde";1;8;4;2;-;1;3;-;3;9;4;35
"292990 Seabra";10;1;2;1;-;16;4;-;2;3;7;46
"293000 Sebastião Laranjeiras";-;-;-;1;-;-;-;-;2;-;-;3
"293010 Senhor do Bonfim";9;8;3;7;4;4;4;6;-;3;10;58
"293020 Sento Sé";1;2;1;-;-;-;-;1;-;-;-;5
"293015 Serra do Ramalho";7;9;1;2;3;4;2;2;1;3;1;35
"293030 Serra Dourada";3;4;2;-;4;1;1;4;-;2;2;23
"293050 Serrinha";-;-;-;-;-;-;-;-;1;4;-;5
"293070 Simões Filho";1;1;-;-;-;-;-;1;3;-;-;6
"293075 Sítio do Mato";1;-;-;-;1;2;1;-;-;-;-;5
"293077 Sobradinho";-;-;-;-;-;1;-;-;-;-;-;1
"293080 Souto Soares";2;1;1;-;1;1;-;1;-;-;2;9
"293090 Tabocas do Brejo Velho";12;-;-;-;-;-;-;8;2;6;2;30
"293100 Tanhaçu";1;3;1;-;-;1;-;3;1;1;2;13
"293105 Tanque Novo";-;-;-;-;-;-;-;-;1;-;1;2
"293110 Tanquinho";-;1;-;-;-;-;-;-;-;-;-;1
"293120 Taperoá";266;165;166;207;184;95;141;74;29;13;6;1346
"293130 Tapiramutá";-;1;-;-;-;-;-;-;-;-;-;1
"293135 Teixeira de Freitas";-;1;2;1;-;3;-;1;1;2;3;14
"293150 Teofilândia";-;-;-;-;1;-;-;-;-;-;-;1
"293160 Teolândia";72;71;186;443;141;29;53;15;22;8;2;1042
"293170 Terra Nova";-;1;-;-;-;-;-;-;-;-;-;1
"293180 Tremedal";-;1;-;3;-;-;-;-;3;2;2;11
"293190 Tucano";-;-;-;-;-;-;1;-;2;-;-;3
"293200 Uauá";-;-;-;-;1;-;-;-;-;-;1;2
"293210 Ubaíra";27;83;18;18;28;19;19;8;6;7;3;236
"293220 Ubaitaba";2;4;3;9;-;1;5;4;5;3;2;38
"293230 Ubatã";2;3;3;5;8;10;5;5;3;5;1;50
"293240 Uibaí";-;-;-;-;-;-;-;-;-;-;1;1
"293250 Una";22;20;22;56;44;16;26;30;32;26;2;296
"293260 Urandi";-;-;-;-;-;-;-;-;1;-;1;2
"293270 Uruçuca";18;10;20;25;26;14;11;20;13;11;2;170
"293280 Utinga";2;15;3;6;13;9;1;25;15;11;3;103
"293290 Valença";293;218;215;470;299;125;121;106;97;43;13;2000
"293300 Valente";-;-;-;-;-;-;-;-;-;-;1;1
"293305 Várzea da Roça";-;1;1;-;-;-;-;1;-;-;1;4
"293310 Várzea do Poço";-;-;-;-;-;-;-;-;-;-;1;1
"293315 Várzea Nova";-;-;-;1;-;-;-;1;1;-;-;3
"293317 Varzedo";-;-;1;1;-;-;-;2;1;-;-;5
"293320 Vera Cruz";1;-;-;1;1;2;-;-;-;-;1;6
"293330 Vitória da Conquista";4;5;2;2;9;9;4;2;1;7;3;48
"293340 Wagner";4;10;10;13;27;7;4;25;3;3;5;111
"293345 Wanderley";-;-;-;-;1;1;-;-;-;-;4;6
"293350 Wenceslau Guimarães";130;174;149;335;203;111;57;220;106;31;9;1525
"293360 Xique-Xique";-;-;-;2;-;-;-;-;-;1;1;4
"Total";2315;2480;1940;2940;2102;1499;1345;1602;1045;982;586;18836
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
