Casos de Leishmaniose Tegumentar notificados no SINAN - Bahia
Número de Casos por Município Resid e Ano da Notificação
Período:2017-2024
"Município Resid";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"291000 Dário Meira";7;3;5;9;6;3;2;5;40
"291005 Dias d'Ávila";1;3;3;1;-;1;-;-;9
"291010 Dom Basílio";-;-;-;-;-;-;-;1;1
"291020 Dom Macedo Costa";-;1;-;-;2;-;-;-;3
"291030 Elísio Medrado";1;-;-;-;-;-;1;-;2
"291040 Encruzilhada";-;1;1;-;-;7;4;3;16
"291050 Entre Rios";-;-;-;2;1;-;-;-;3
"290050 Érico Cardoso";-;-;-;-;1;-;-;-;1
"291060 Esplanada";-;-;2;-;-;-;1;2;5
"291072 Eunápolis";-;1;8;3;5;2;8;5;32
"291075 Fátima";-;-;-;-;1;-;-;-;1
"291077 Feira da Mata";4;2;6;3;6;-;-;1;22
"291080 Feira de Santana";-;2;1;1;1;1;2;-;8
"291085 Filadélfia";1;2;-;-;-;-;1;-;4
"291090 Firmino Alves";-;1;1;-;2;-;1;-;5
"291100 Floresta Azul";2;2;7;1;-;-;-;2;14
"291110 Formosa do Rio Preto";2;-;-;-;3;-;3;2;10
"291120 Gandu";50;38;19;20;36;19;14;10;206
"291130 Gentio do Ouro";-;-;-;-;-;-;2;-;2
"291150 Gongogi";-;-;1;1;-;-;-;1;3
"291160 Governador Mangabeira";-;-;-;-;-;-;1;1;2
"291165 Guajeru";-;-;-;-;-;1;-;-;1
"291170 Guanambi";2;-;1;3;1;2;-;2;11
"291180 Guaratinga";-;-;5;2;3;1;3;4;18
"291190 Iaçu";-;1;-;-;-;-;-;-;1
"291200 Ibiassucê";-;-;-;-;1;-;1;1;3
"291210 Ibicaraí";3;2;-;1;1;1;1;1;10
"291220 Ibicoara";4;19;43;24;10;18;21;15;154
"291230 Ibicuí";3;2;6;2;3;-;1;3;20
"291270 Ibirapitanga";11;13;6;12;12;7;3;3;67
"291280 Ibirapuã";-;1;2;-;-;-;-;-;3
"291290 Ibirataia";10;14;3;2;10;7;7;3;56
"291300 Ibitiara";-;-;-;-;-;-;-;2;2
"291310 Ibititá";-;-;-;1;-;-;-;-;1
"291340 Igaporã";-;1;-;-;1;-;2;-;4
"291345 Igrapiúna";24;26;21;14;10;1;2;2;100
"291350 Iguaí";3;4;4;10;5;11;13;10;60
"291360 Ilhéus";24;31;27;22;8;14;16;3;145
"291370 Inhambupe";-;-;-;1;-;2;3;3;9
"291380 Ipecaetá";-;-;-;-;-;2;-;-;2
"291390 Ipiaú";13;24;7;10;4;3;7;4;72
"291410 Ipupiara";1;-;-;-;-;-;-;-;1
"291420 Irajuba";-;-;-;-;-;1;3;2;6
"291430 Iramaia";2;1;2;-;-;-;-;1;6
"291440 Iraquara";1;5;1;2;4;5;8;3;29
"291450 Irará";1;-;-;2;-;-;-;1;4
"291460 Irecê";1;1;-;-;-;-;-;3;5
"291465 Itabela";5;-;1;1;4;-;-;-;11
"291470 Itaberaba";1;2;1;-;-;1;-;-;5
"291480 Itabuna";4;8;6;1;2;-;1;2;24
"291490 Itacaré";6;13;8;9;19;7;14;2;78
"291500 Itaeté";-;-;-;-;1;1;3;-;5
"291510 Itagi";6;5;3;1;2;-;-;1;18
"291520 Itagibá";1;1;4;1;1;1;1;2;12
"291530 Itagimirim";-;-;-;-;1;-;-;-;1
"291540 Itaju do Colônia";-;1;3;1;1;-;-;-;6
"291550 Itajuípe";4;1;4;2;10;4;1;4;30
"291560 Itamaraju";6;1;2;2;3;4;2;2;22
"291570 Itamari";10;5;8;13;11;14;8;8;77
"291580 Itambé";1;8;12;2;3;4;6;2;38
"291590 Itanagra";-;-;2;-;-;-;-;-;2
"291600 Itanhém";2;-;-;-;-;-;-;-;2
"291620 Itapé";-;-;1;-;-;-;-;-;1
"291630 Itapebi";2;2;-;-;1;-;-;1;6
"291640 Itapetinga";-;3;4;2;3;1;4;1;18
"291650 Itapicuru";-;-;-;-;-;1;-;-;1
"291660 Itapitanga";5;-;2;1;1;1;-;1;11
"291670 Itaquara";4;1;14;3;-;-;4;2;28
"291680 Itarantim";-;2;-;-;2;-;-;-;4
"291685 Itatim";-;-;-;1;-;-;-;-;1
"291690 Itiruçu";-;-;-;1;-;1;-;-;2
"291700 Itiúba";-;-;-;1;-;-;-;-;1
"291710 Itororó";1;3;3;1;1;-;-;-;9
"291720 Ituaçu";-;1;5;6;4;3;2;3;24
"291730 Ituberá";131;55;27;11;19;7;4;10;264
"291733 Iuiú";-;1;1;-;-;-;1;-;3
"291735 Jaborandi";4;1;1;3;5;1;1;-;16
"291740 Jacaraci";-;7;8;2;4;1;2;1;25
"291750 Jacobina";4;1;6;7;13;37;8;1;77
"291760 Jaguaquara";22;34;9;5;11;7;6;4;98
"291770 Jaguarari";-;1;-;4;2;-;6;8;21
"291780 Jaguaripe";-;2;-;-;-;1;1;-;4
"291800 Jequié";34;21;12;10;9;3;5;6;100
"291810 Jeremoabo";-;-;-;-;-;1;1;-;2
"291820 Jiquiriçá";35;19;15;19;54;16;15;5;178
"291830 Jitaúna";31;6;13;8;8;5;10;2;83
"291835 João Dourado";-;1;-;-;-;-;1;1;3
"291840 Juazeiro";1;-;-;-;-;1;2;-;4
"291845 Jucuruçu";1;-;-;-;1;-;3;1;6
"291850 Jussara";-;-;-;-;2;3;-;-;5
"291855 Jussari";1;1;3;2;-;1;-;-;8
"291860 Jussiape";-;1;-;-;-;-;-;-;1
"291870 Lafaiete Coutinho";-;-;-;-;-;-;-;1;1
"291880 Laje";12;22;16;4;20;15;12;1;102
"291890 Lajedão";-;-;1;-;-;-;-;1;2
"291900 Lajedinho";-;-;1;-;6;-;-;1;8
"291905 Lajedo do Tabocal";-;-;1;-;-;2;-;-;3
"291915 Lapão";1;-;-;-;-;-;-;-;1
"291920 Lauro de Freitas";2;1;5;4;1;1;3;-;17
"291930 Lençóis";3;5;4;3;48;10;12;2;87
"291940 Licínio de Almeida";-;-;1;4;1;-;-;-;6
"291950 Livramento de Nossa Senhora";-;-;-;-;-;1;2;-;3
"291955 Luís Eduardo Magalhães";-;1;-;-;2;1;-;-;4
"291970 Macarani";-;3;-;4;-;-;-;1;8
"291980 Macaúbas";1;1;2;-;2;-;1;-;7
"291995 Maetinga";-;-;-;-;-;1;1;-;2
"292000 Maiquinique";-;2;2;-;2;-;-;-;6
"292020 Malhada";-;-;-;-;-;-;-;1;1
"292040 Manoel Vitorino";-;-;1;-;-;-;-;-;1
"292050 Maracás";3;-;2;-;1;-;-;2;8
"292060 Maragogipe";-;1;-;1;-;-;-;-;2
"292070 Maraú";31;36;34;25;22;18;18;10;194
"292090 Mascote";1;-;3;2;2;1;3;2;14
"292100 Mata de São João";1;-;1;-;1;1;3;1;8
"292105 Matina";-;-;1;-;-;-;-;-;1
"292120 Miguel Calmon";24;13;16;5;2;8;10;3;81
"292130 Milagres";-;-;-;-;1;-;1;-;2
"292140 Mirangaba";1;1;-;-;1;-;2;-;5
"292145 Mirante";-;-;-;-;-;1;-;-;1
"292150 Monte Santo";-;1;1;-;-;-;-;-;2
"292170 Morro do Chapéu";-;2;1;3;2;2;2;1;13
"292180 Mortugaba";-;-;-;-;-;-;-;1;1
"292190 Mucugê";-;-;2;2;8;4;4;-;20
"292200 Mucuri";-;-;1;1;-;-;-;-;2
"292220 Muniz Ferreira";1;-;-;-;9;3;1;-;14
"292225 Muquém de São Francisco";-;-;-;1;-;-;1;-;2
"292230 Muritiba";-;1;-;-;-;-;-;-;1
"292240 Mutuípe";65;83;54;71;85;49;56;37;500
"292250 Nazaré";1;3;-;2;-;-;-;-;6
"292260 Nilo Peçanha";121;68;64;13;10;6;13;7;302
"292265 Nordestina";2;2;1;1;1;-;-;-;7
"292270 Nova Canaã";2;2;22;3;1;2;3;6;41
"292275 Nova Ibiá";21;16;2;6;17;7;5;2;76
"292285 Nova Redenção";2;-;2;4;-;1;1;2;12
"292290 Nova Soure";-;-;-;-;3;-;-;1;4
"292300 Nova Viçosa";-;-;-;-;2;-;-;-;2
"292303 Novo Horizonte";-;1;-;-;-;-;1;-;2
"292320 Oliveira dos Brejinhos";-;-;-;1;-;-;1;-;2
"292330 Ouriçangas";-;-;-;-;-;2;-;-;2
"292340 Palmas de Monte Alto";-;-;-;-;-;1;-;-;1
"292350 Palmeiras";17;3;8;1;12;10;22;25;98
"292360 Paramirim";-;-;-;-;-;1;-;-;1
"292370 Paratinga";-;-;-;-;1;-;-;-;1
"292390 Pau Brasil";3;9;7;2;2;3;6;-;32
"292405 Pé de Serra";-;-;-;-;-;1;-;-;1
"292410 Pedrão";-;1;-;-;-;-;1;-;2
"292430 Piatã";-;-;-;-;-;-;-;1;1
"292450 Pindaí";-;-;-;-;-;-;-;1;1
"292460 Pindobaçu";9;3;5;11;10;6;12;6;62
"292467 Piraí do Norte";17;14;7;36;29;13;4;5;125
"292470 Piripá";2;-;1;-;-;2;4;-;9
"292480 Piritiba";-;-;-;1;-;-;1;-;2
"292500 Planalto";-;4;5;10;3;4;-;-;26
"292510 Poções";1;2;7;2;3;7;4;2;28
"292520 Pojuca";1;4;3;-;4;-;7;-;19
"292525 Ponto Novo";1;-;-;-;-;-;1;-;2
"292530 Porto Seguro";7;9;30;6;17;29;45;20;163
"292550 Prado";1;-;1;1;-;4;2;2;11
"292570 Presidente Jânio Quadros";-;-;-;-;1;-;-;-;1
"292575 Presidente Tancredo Neves";152;78;28;37;19;10;5;2;331
"292590 Quijingue";1;-;-;-;-;-;1;-;2
"292593 Quixabeira";-;-;-;-;-;-;2;-;2
"292595 Rafael Jambeiro";-;-;-;-;-;1;-;-;1
"292620 Riachão das Neves";-;-;1;2;2;-;1;-;6
"292640 Riacho de Santana";-;1;-;-;-;-;-;-;1
"292660 Ribeira do Pombal";1;-;-;-;-;1;-;-;2
"292665 Ribeirão do Largo";-;2;2;-;-;-;1;-;5
"292670 Rio de Contas";-;-;-;-;-;-;-;1;1
"292680 Rio do Antônio";-;-;-;-;-;-;1;-;1
"292690 Rio do Pires";-;1;-;-;-;-;-;-;1
"292700 Rio Real";-;6;-;-;-;-;-;-;6
"292720 Ruy Barbosa";-;-;3;1;1;-;1;-;6
"292740 Salvador";17;8;15;4;12;13;17;8;94
"292750 Santa Bárbara";1;1;1;-;-;-;-;-;3
"292760 Santa Brígida";-;-;-;-;1;-;-;-;1
"292770 Santa Cruz Cabrália";3;5;7;4;7;3;5;4;38
"292780 Santa Cruz da Vitória";-;-;2;-;-;-;-;-;2
"292790 Santa Inês";2;3;1;-;-;1;-;2;9
"292805 Santa Luzia";4;6;5;5;6;1;6;1;34
"292810 Santa Maria da Vitória";11;19;14;31;32;20;15;7;149
"292840 Santa Rita de Cássia";-;-;-;1;3;2;1;-;7
"292850 Santa Teresinha";2;-;-;-;-;-;1;-;3
"292800 Santaluz";-;-;-;1;-;-;-;-;1
"292820 Santana";5;-;1;5;2;2;-;1;16
"292860 Santo Amaro";-;-;1;-;-;-;1;5;7
"292870 Santo Antônio de Jesus";8;7;1;1;7;1;1;1;27
"292880 Santo Estêvão";1;-;-;-;-;-;-;-;1
"292890 São Desidério";-;-;-;3;7;1;2;1;14
"292895 São Domingos";-;-;-;1;-;-;-;-;1
"292910 São Felipe";-;1;1;-;-;-;-;-;2
"292900 São Félix";-;-;-;-;-;-;1;-;1
"292905 São Félix do Coribe";16;10;8;21;17;14;11;6;103
"292920 São Francisco do Conde";-;2;-;-;-;-;-;-;2
"292925 São Gabriel";-;-;-;-;2;1;-;-;3
"292930 São Gonçalo dos Campos";-;-;1;3;-;-;-;1;5
"292935 São José da Vitória";9;10;9;1;11;10;6;5;61
"292940 São Miguel das Matas";2;6;3;3;3;1;2;-;20
"292950 São Sebastião do Passé";1;-;-;1;-;-;-;-;2
"292960 Sapeaçu";-;-;-;-;-;-;1;-;1
"292970 Sátiro Dias";-;-;-;2;-;-;-;-;2
"292980 Saúde";2;-;1;3;-;3;9;4;22
"292990 Seabra";1;-;16;4;-;2;3;7;33
"293000 Sebastião Laranjeiras";1;-;-;-;-;2;-;-;3
"293010 Senhor do Bonfim";7;4;4;4;6;-;3;10;38
"293020 Sento Sé";-;-;-;-;1;-;-;-;1
"293015 Serra do Ramalho";2;3;4;2;2;1;3;1;18
"293030 Serra Dourada";-;4;1;1;4;-;2;2;14
"293050 Serrinha";-;-;-;-;-;1;4;-;5
"293070 Simões Filho";-;-;-;-;1;3;-;-;4
"293075 Sítio do Mato";-;1;2;1;-;-;-;-;4
"293077 Sobradinho";-;-;1;-;-;-;-;-;1
"293080 Souto Soares";-;1;1;-;1;-;-;2;5
"293090 Tabocas do Brejo Velho";-;-;-;-;8;2;6;2;18
"293100 Tanhaçu";-;-;1;-;3;1;1;2;8
"293105 Tanque Novo";-;-;-;-;-;1;-;1;2
"293120 Taperoá";207;184;95;141;74;29;13;6;749
"293135 Teixeira de Freitas";1;-;3;-;1;1;2;3;11
"293150 Teofilândia";-;1;-;-;-;-;-;-;1
"293160 Teolândia";443;141;29;53;15;22;8;2;713
"293180 Tremedal";3;-;-;-;-;3;2;2;10
"293190 Tucano";-;-;-;1;-;2;-;-;3
"293200 Uauá";-;1;-;-;-;-;-;1;2
"293210 Ubaíra";18;28;19;19;8;6;7;3;108
"293220 Ubaitaba";9;-;1;5;4;5;3;2;29
"293230 Ubatã";5;8;10;5;5;3;5;1;42
"293240 Uibaí";-;-;-;-;-;-;-;1;1
"293250 Una";56;44;16;26;30;32;26;2;232
"293260 Urandi";-;-;-;-;-;1;-;1;2
"293270 Uruçuca";25;26;14;11;20;13;11;2;122
"293280 Utinga";6;13;9;1;25;15;11;3;83
"293290 Valença";470;299;125;121;106;97;43;13;1274
"293300 Valente";-;-;-;-;-;-;-;1;1
"293305 Várzea da Roça";-;-;-;-;1;-;-;1;2
"293310 Várzea do Poço";-;-;-;-;-;-;-;1;1
"293315 Várzea Nova";1;-;-;-;1;1;-;-;3
"293317 Varzedo";1;-;-;-;2;1;-;-;4
"293320 Vera Cruz";1;1;2;-;-;-;-;1;5
"293330 Vitória da Conquista";2;9;9;4;2;1;7;3;37
"293340 Wagner";13;27;7;4;25;3;3;5;87
"293345 Wanderley";-;1;1;-;-;-;-;4;6
"293350 Wenceslau Guimarães";335;203;111;57;220;106;31;9;1072
"293360 Xique-Xique";2;-;-;-;-;-;1;1;4
"Total";2940;2102;1499;1345;1602;1045;982;586;12101
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Tegumentar Americana notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de diagnóstico para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
