Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Mês da Notificação
Período:2021
"Município Resid";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"291040 Encruzilhada";-;-;-;-;-;-;-;-;1;-;-;-;1
"291050 Entre Rios";-;-;-;-;-;-;-;1;-;-;-;-;1
"291070 Euclides da Cunha";2;-;-;-;-;-;-;-;-;-;-;-;2
"291072 Eunápolis";-;-;-;1;-;-;-;-;-;-;-;-;1
"291075 Fátima";-;-;-;-;2;1;-;-;-;-;-;-;3
"291077 Feira da Mata";1;-;-;-;-;-;-;-;-;-;-;-;1
"291080 Feira de Santana";1;-;1;-;2;1;1;-;1;1;4;1;13
"291085 Filadélfia";1;-;-;1;-;-;-;-;-;-;-;-;2
"291110 Formosa do Rio Preto";-;-;-;-;-;-;1;-;-;-;-;-;1
"291130 Gentio do Ouro";-;1;-;-;-;1;-;-;-;-;-;2;4
"291170 Guanambi";4;2;5;1;-;2;1;2;1;2;-;-;20
"291190 Iaçu";-;-;-;-;-;1;-;-;-;-;-;-;1
"291240 Ibipeba";-;1;1;1;-;-;-;-;-;-;-;-;3
"291310 Ibititá";-;-;-;-;-;-;-;-;-;1;-;-;1
"291320 Ibotirama";-;-;-;-;-;-;1;-;-;-;-;-;1
"291330 Ichu";-;-;-;1;-;-;-;-;-;-;-;-;1
"291340 Igaporã";-;-;-;-;1;-;-;-;-;-;-;-;1
"291370 Inhambupe";1;2;-;1;-;-;-;1;-;-;-;-;5
"291380 Ipecaetá";1;-;-;-;-;-;-;-;-;-;-;-;1
"291400 Ipirá";1;-;-;-;-;1;1;-;-;-;-;-;3
"291440 Iraquara";-;-;-;-;1;-;1;1;-;-;-;-;3
"291460 Irecê";-;1;1;1;1;-;-;-;-;-;3;-;7
"291465 Itabela";-;-;-;-;-;1;-;-;-;-;-;-;1
"291470 Itaberaba";-;-;-;-;-;-;-;-;1;-;-;-;1
"291480 Itabuna";1;-;-;-;-;-;-;-;-;-;-;-;1
"291500 Itaeté";-;-;-;-;-;1;-;-;-;-;-;-;1
"291535 Itaguaçu da Bahia";-;-;1;1;-;-;-;-;-;-;-;1;3
"291640 Itapetinga";-;-;1;1;-;-;-;-;-;-;-;1;3
"291650 Itapicuru";1;-;-;-;-;-;-;-;1;-;-;2;4
"291685 Itatim";-;-;1;-;-;1;-;-;-;-;-;-;2
"291700 Itiúba";-;1;-;-;-;-;1;-;-;-;1;-;3
"291720 Ituaçu";-;1;-;1;1;-;-;-;-;-;-;-;3
"291733 Iuiú";-;-;-;-;-;-;-;-;-;-;-;4;4
"291750 Jacobina";-;-;-;2;1;-;-;1;-;-;1;-;5
"291760 Jaguaquara";-;-;-;-;-;-;1;-;-;-;-;1;2
"291780 Jaguaripe";-;-;-;-;-;-;-;-;-;-;1;-;1
"291800 Jequié";-;-;-;-;1;2;-;-;-;-;-;-;3
"291810 Jeremoabo";-;-;-;-;-;-;-;-;-;1;-;1;2
"291835 João Dourado";1;-;-;-;-;-;-;-;-;-;-;-;1
"291840 Juazeiro";4;-;2;3;1;1;2;3;3;2;1;2;24
"291850 Jussara";-;-;-;-;-;-;-;-;-;1;1;1;3
"291870 Lafaiete Coutinho";-;-;-;-;-;-;-;1;-;-;-;-;1
"291915 Lapão";-;-;-;-;-;-;-;-;-;-;-;1;1
"291920 Lauro de Freitas";-;-;-;-;-;-;-;-;1;-;1;1;3
"291930 Lençóis";-;-;-;-;-;-;-;1;-;-;-;1;2
"291950 Livramento de Nossa Senhora";1;-;-;-;-;-;-;-;-;-;-;-;1
"291955 Luís Eduardo Magalhães";-;-;-;-;-;-;1;-;-;-;-;-;1
"291960 Macajuba";-;-;-;-;-;1;-;-;1;-;-;-;2
"291980 Macaúbas";-;1;-;-;-;-;-;-;-;-;-;-;1
"291992 Madre de Deus";1;-;-;-;-;-;-;-;-;-;-;-;1
"292010 Mairi";-;-;1;-;-;-;-;-;-;-;-;-;1
"292020 Malhada";-;-;1;-;-;-;1;-;-;-;-;-;2
"292030 Malhada de Pedras";1;-;-;-;-;-;-;-;-;-;-;-;1
"292040 Manoel Vitorino";-;-;-;-;-;-;-;-;-;-;1;-;1
"292045 Mansidão";-;1;-;-;-;1;-;-;-;-;-;-;2
"292050 Maracás";-;-;-;-;1;-;-;-;-;-;-;-;1
"292060 Maragogipe";1;-;-;-;-;-;-;-;-;-;-;-;1
"292080 Marcionílio Souza";-;-;2;-;-;-;-;-;-;-;-;-;2
"292100 Mata de São João";-;-;1;-;-;-;-;-;-;-;-;-;1
"292105 Matina";-;-;-;-;1;-;-;-;-;-;-;-;1
"292120 Miguel Calmon";-;1;-;-;-;-;-;-;1;1;-;-;3
"292145 Mirante";-;-;-;-;-;-;-;-;-;-;-;1;1
"292150 Monte Santo";-;-;-;-;-;-;-;1;-;-;-;1;2
"292160 Morpará";-;-;-;-;-;-;-;-;1;-;-;-;1
"292170 Morro do Chapéu";-;-;-;-;-;-;-;1;-;-;-;-;1
"292225 Muquém de São Francisco";-;-;1;-;-;-;-;-;-;-;-;-;1
"292250 Nazaré";-;-;-;-;-;-;-;-;-;-;1;-;1
"292265 Nordestina";-;-;-;-;1;-;-;-;-;-;-;-;1
"292290 Nova Soure";-;-;-;1;-;-;-;-;-;-;-;-;1
"292310 Olindina";-;-;-;-;2;-;-;-;-;-;-;-;2
"292320 Oliveira dos Brejinhos";-;-;-;-;-;-;-;1;-;-;-;-;1
"292335 Ourolândia";-;-;-;1;-;-;-;-;-;-;-;-;1
"292340 Palmas de Monte Alto";-;1;-;-;1;-;-;-;1;-;-;2;5
"292350 Palmeiras";-;-;-;-;-;-;-;-;-;-;-;1;1
"292360 Paramirim";-;-;-;-;-;-;-;-;-;-;-;1;1
"292370 Paratinga";1;-;-;-;-;-;-;-;-;-;-;-;1
"292400 Paulo Afonso";-;1;-;-;-;-;-;-;-;-;-;-;1
"292460 Pindobaçu";-;1;-;-;-;-;-;-;-;-;-;-;1
"292470 Piripá";-;2;1;-;-;-;-;-;-;-;-;-;3
"292480 Piritiba";-;-;-;-;3;-;-;-;-;-;-;-;3
"292530 Porto Seguro";-;-;-;-;-;-;-;1;-;-;-;-;1
"292560 Presidente Dutra";2;-;-;-;-;-;-;-;-;-;-;-;2
"292580 Queimadas";1;-;-;-;-;-;-;-;-;-;-;2;3
"292590 Quijingue";-;-;-;-;-;-;-;-;1;-;-;-;1
"292595 Rafael Jambeiro";-;-;-;1;2;1;1;-;-;-;-;-;5
"292610 Retirolândia";-;-;-;-;-;-;-;-;2;-;-;-;2
"292630 Riachão do Jacuípe";-;1;-;1;3;-;-;-;-;-;-;-;5
"292660 Ribeira do Pombal";-;-;1;-;-;-;-;-;-;-;-;-;1
"292665 Ribeirão do Largo";-;1;-;-;-;-;-;-;-;-;-;-;1
"292670 Rio de Contas";-;-;-;1;-;-;-;-;-;-;-;-;1
"292740 Salvador";1;-;1;1;3;-;5;2;3;3;1;1;21
"292750 Santa Bárbara";-;-;-;-;-;-;-;-;-;-;-;1;1
"292840 Santa Rita de Cássia";-;-;-;-;-;1;-;-;-;-;-;1;2
"292800 Santaluz";-;1;1;1;-;-;-;-;-;-;-;-;3
"292860 Santo Amaro";-;-;2;-;-;-;-;1;-;-;-;1;4
"292870 Santo Antônio de Jesus";-;-;-;-;-;-;-;-;-;1;-;-;1
"292880 Santo Estêvão";-;2;-;-;-;-;-;-;-;-;2;-;4
"292905 São Félix do Coribe";1;-;-;-;-;-;-;-;-;-;-;-;1
"292925 São Gabriel";-;-;-;-;-;-;1;-;-;1;-;-;2
"292930 São Gonçalo dos Campos";-;-;-;-;-;-;-;-;-;-;1;-;1
"292970 Sátiro Dias";-;-;-;-;-;-;1;1;1;-;-;2;5
"292980 Saúde";-;-;-;-;-;1;2;2;-;-;-;-;5
"292990 Seabra";-;-;-;-;-;-;-;-;-;-;-;1;1
"293010 Senhor do Bonfim";-;-;-;-;1;-;-;-;-;-;-;-;1
"293020 Sento Sé";-;1;-;-;-;-;-;-;-;-;-;1;2
"293015 Serra do Ramalho";-;-;-;-;1;-;-;-;1;-;-;-;2
"293040 Serra Preta";-;-;-;1;-;-;-;-;-;-;1;-;2
"293050 Serrinha";-;-;-;1;-;-;-;-;-;-;-;-;1
"293077 Sobradinho";-;-;-;1;-;-;-;-;-;-;-;-;1
"293080 Souto Soares";-;-;2;-;-;-;-;-;1;2;-;-;5
"293105 Tanque Novo";-;-;-;1;-;-;-;1;-;-;-;-;2
"293120 Taperoá";-;-;-;-;-;-;-;-;1;-;-;-;1
"293140 Teodoro Sampaio";-;-;-;-;1;-;-;-;-;-;-;-;1
"293150 Teofilândia";-;-;-;-;-;-;-;-;2;-;-;-;2
"293190 Tucano";-;-;-;1;-;-;-;-;-;-;-;-;1
"293210 Ubaíra";-;-;-;-;-;-;-;-;-;-;-;1;1
"293260 Urandi";-;-;-;-;-;-;-;1;-;-;2;-;3
"293300 Valente";-;-;-;-;-;-;-;-;1;-;-;-;1
"293305 Várzea da Roça";-;-;-;-;1;-;1;-;-;-;-;-;2
"293330 Vitória da Conquista";-;1;-;-;-;1;-;1;-;-;-;-;3
"293360 Xique-Xique";1;-;3;-;-;-;-;-;1;1;-;-;6
"Total";37;31;41;34;42;24;33;28;38;26;35;40;409
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
