Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária Detalhada
Período:2017
"Município-BA";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"7 anos";"8 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"290380 Boa Vista do Tupim";2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;1;3;6;5;4;4;4;9;5;3;7;10;44;-;112
"290390 Bom Jesus da Lapa";8;2;6;2;-;-;-;-;-;-;-;-;-;-;3;-;3;1;4;2;8;1;19;16;13;16;16;14;24;21;17;24;34;39;98;-;391
"290395 Bom Jesus da Serra";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;2;2;2;1;5;2;4;12;24;-;57
"290400 Boninal";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;3;3;3;5;8;10;9;43;-;91
"290405 Bonito";2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;2;5;6;3;2;8;2;5;9;18;-;70
"290410 Boquira";5;-;-;-;-;-;1;-;-;-;-;1;-;1;1;-;-;-;-;-;-;1;1;2;1;7;2;5;4;3;11;11;14;19;64;1;155
"290420 Botuporã";1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;1;1;-;1;-;1;1;3;8;10;27;-;57
"290430 Brejões";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;4;-;3;3;3;4;1;5;5;11;3;9;42;-;96
"290440 Brejolândia";1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;2;2;2;1;1;3;2;4;5;-;30
"290450 Brotas de Macaúbas";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;2;1;6;3;4;5;4;11;11;34;-;89
"290460 Brumado";4;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;7;13;10;14;19;23;17;26;23;32;40;51;176;-;460
"290470 Buerarema";2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;5;6;5;7;9;7;9;10;17;14;22;51;-;171
"290475 Buritirama";3;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;4;5;3;1;2;3;3;7;2;4;9;9;24;-;84
"290480 Caatiba";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;3;3;2;3;5;5;5;16;-;47
"290485 Cabaceiras do Paraguaçu";3;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;4;4;2;3;6;6;5;6;7;4;12;12;23;-;101
"290490 Cachoeira";7;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;1;-;-;3;10;8;6;4;11;9;13;16;11;17;20;27;67;-;235
"290500 Caculé";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3;-;1;3;6;6;4;5;7;9;17;62;-;126
"290510 Caém";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;3;1;4;6;6;6;6;21;-;62
"290515 Caetanos";2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;4;3;-;5;3;1;6;7;27;-;61
"290520 Caetité";3;1;1;1;1;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;2;1;8;5;4;6;8;4;12;18;15;18;18;25;139;-;293
"290530 Cafarnaum";2;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;2;5;2;4;3;8;2;5;12;9;6;24;-;93
"290540 Cairu";6;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;3;4;5;-;3;3;6;2;3;4;5;10;-;60
"290550 Caldeirão Grande";1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;2;3;6;3;5;9;10;29;-;76
"290560 Camacan";4;2;3;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;3;1;3;9;3;9;8;7;9;17;14;18;20;21;53;-;208
"290570 Camaçari";36;8;9;1;3;-;2;1;-;1;-;1;-;1;1;2;2;6;16;16;16;21;105;67;63;71;65;74;82;106;113;124;118;111;246;-;1488
"290580 Camamu";8;-;5;4;2;-;-;-;-;1;-;-;-;-;1;-;2;2;-;1;4;3;13;5;12;10;4;4;13;16;12;18;15;17;56;-;228
"290590 Campo Alegre de Lourdes";1;-;1;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;5;2;1;10;5;7;7;4;10;13;13;27;-;114
"290600 Campo Formoso";9;1;4;1;-;-;-;1;-;-;-;-;-;-;-;1;-;1;-;1;2;1;9;11;10;18;12;15;14;31;21;36;37;39;92;-;367
"290610 Canápolis";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;2;2;-;2;2;2;6;3;12;-;38
"290620 Canarana";2;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;2;2;1;5;6;4;3;7;2;8;6;8;8;19;19;44;-;152
"290630 Canavieiras";6;1;3;-;-;1;-;-;-;-;-;1;-;1;1;-;-;1;1;1;1;1;6;8;12;7;5;2;9;23;14;20;13;20;62;-;220
"290640 Candeal";1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;1;-;2;-;1;2;2;4;6;4;3;3;7;9;22;-;70
"290650 Candeias";12;-;4;1;1;-;1;-;1;-;-;-;1;-;2;2;2;2;3;6;4;4;19;21;21;23;22;21;27;37;39;45;47;36;101;-;505
"290660 Candiba";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;2;3;2;4;3;3;2;4;8;9;33;-;80
"290670 Cândido Sales";6;1;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;2;2;5;7;6;7;13;13;14;12;20;23;62;-;199
"290680 Cansanção";6;1;2;-;1;-;-;-;-;-;-;-;-;-;-;1;-;3;1;-;-;1;3;6;7;7;5;12;13;12;17;19;19;25;76;1;238
"290682 Canudos";3;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;2;-;3;1;3;8;8;11;5;8;31;-;90
"290685 Capela do Alto Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;1;2;5;5;4;3;3;7;12;39;-;84
"290687 Capim Grosso";2;1;3;-;2;-;-;-;-;-;-;-;-;-;1;-;1;1;-;2;-;-;7;5;7;7;6;5;9;12;11;17;23;22;64;-;208
"290689 Caraíbas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;2;1;3;5;5;2;5;6;31;-;64
"290690 Caravelas";2;-;1;-;2;-;-;-;-;-;1;2;-;-;-;-;-;-;-;1;-;1;3;1;4;4;4;10;11;7;9;12;12;14;50;-;151
"290700 Cardeal da Silva";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;2;1;1;2;4;2;2;1;6;3;12;-;41
"290710 Carinhanha";4;-;3;1;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;2;4;2;8;8;6;11;8;6;9;14;12;45;-;146
"290720 Casa Nova";17;1;3;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;5;-;8;19;10;15;25;16;14;21;19;34;30;35;112;-;388
"290730 Castro Alves";2;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;2;4;9;8;7;15;17;21;22;28;64;-;209
"290740 Catolândia";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;1;-;-;3;-;8
"290750 Catu";4;1;3;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;1;2;-;1;8;11;6;8;8;12;17;16;33;34;28;34;85;1;317
"290755 Caturama";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;4;2;6;5;4;5;23;-;53
"290760 Central";1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;6;7;-;5;10;7;10;8;11;40;-;110
"290770 Chorrochó";3;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;1;3;4;2;3;2;6;-;7;8;28;-;73
"290780 Cícero Dantas";6;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;2;-;2;4;3;4;5;9;4;10;7;21;23;31;77;1;212
"290790 Cipó";7;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;4;2;4;5;4;2;4;9;11;17;29;-;102
"290800 Coaraci";5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;-;4;5;5;12;9;11;11;22;21;23;71;-;206
"290810 Cocos";3;1;-;1;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;1;1;-;2;3;1;3;2;5;5;7;4;4;9;9;35;-;99
"290820 Conceição da Feira";1;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;7;7;5;4;1;7;7;1;5;6;18;12;44;-;133
"290830 Conceição do Almeida";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;4;3;5;3;6;8;10;8;9;13;59;-;136
"290840 Conceição do Coité";8;2;2;-;1;2;1;-;1;-;-;-;1;-;-;1;1;4;1;4;6;6;11;11;9;10;10;6;17;19;17;28;33;41;112;-;365
"290850 Conceição do Jacuípe";2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;4;9;6;4;9;11;9;9;12;12;19;28;15;53;-;204
"290860 Conde";5;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;2;1;5;7;1;5;4;3;5;6;9;10;14;8;31;-;123
"290870 Condeúba";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;-;1;6;3;10;4;9;15;12;66;-;133
"290880 Contendas do Sincorá";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;4;3;5;1;1;14;-;32
"290890 Coração de Maria";1;-;-;-;-;-;-;-;-;2;-;-;-;1;-;1;-;3;-;1;2;-;5;2;6;9;6;5;7;8;10;15;19;14;54;-;171
"290900 Cordeiros";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;1;-;1;1;3;1;4;9;2;30;-;56
"290910 Coribe";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;3;4;-;1;3;7;6;4;7;11;28;-;79
"290920 Coronel João Sá";-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;1;4;3;2;4;7;6;4;12;12;30;1;92
"290930 Correntina";4;-;4;1;-;1;-;-;-;-;-;-;-;-;2;-;1;1;2;1;1;1;3;7;7;4;10;7;8;6;7;7;6;18;67;-;176
"290940 Cotegipe";1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;4;5;2;4;7;4;3;7;7;7;27;-;86
"290950 Cravolândia";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;4;1;-;1;2;4;7;15;-;40
"290960 Crisópolis";6;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;2;1;2;7;7;6;9;10;11;11;18;40;-;139
"290970 Cristópolis";4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;1;-;1;2;7;3;1;2;4;3;4;3;4;28;-;71
"290980 Cruz das Almas";7;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;9;9;14;12;21;7;26;21;35;37;39;40;125;-;411
"290990 Curaçá";4;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;2;1;-;6;3;4;10;10;6;14;8;11;15;16;26;56;-;197
"291000 Dário Meira";-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;3;2;2;2;2;7;8;3;4;5;4;15;-;62
"291005 Dias d'Ávila";13;1;3;-;-;-;-;-;-;-;1;-;-;-;-;1;2;1;3;2;7;9;15;12;21;20;18;17;28;32;47;47;30;26;66;-;422
"291010 Dom Basílio";2;-;1;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;2;2;3;4;1;2;5;7;7;28;-;70
"291020 Dom Macedo Costa";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;3;-;6;18;-;32
"291030 Elísio Medrado";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;3;-;-;1;2;3;3;3;2;4;4;5;23;-;56
"291040 Encruzilhada";4;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;1;-;1;3;3;2;3;4;10;10;7;7;13;12;22;27;-;133
"291050 Entre Rios";4;1;3;-;-;-;1;-;-;2;-;-;1;-;-;-;-;1;-;3;5;3;10;4;14;12;14;13;16;14;20;14;35;16;71;-;277
"290050 Érico Cardoso";2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;3;3;1;9;3;3;5;10;9;34;-;85
"291060 Esplanada";5;-;2;1;-;-;-;-;-;1;-;2;-;-;-;-;-;1;3;3;3;3;6;5;8;9;11;10;10;11;8;17;21;20;57;-;217
"291070 Euclides da Cunha";11;3;6;-;2;-;-;-;-;1;-;-;2;-;1;-;-;2;1;1;-;2;15;3;9;7;10;10;17;21;20;36;26;50;134;-;390
"291072 Eunápolis";23;3;4;1;-;1;-;-;-;1;-;2;1;1;-;-;2;3;2;11;10;9;27;25;25;22;29;33;43;47;44;70;56;77;206;1;779
"291075 Fátima";1;-;4;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;2;3;2;3;4;4;4;5;5;8;10;14;32;-;105
"291077 Feira da Mata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;2;1;2;1;2;1;2;1;2;8;-;24
"291080 Feira de Santana";98;25;28;7;3;3;3;3;3;2;2;3;4;2;7;2;7;8;20;25;27;28;162;116;133;130;142;171;231;230;300;296;359;325;895;7;3807
"291085 Filadélfia";3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;5;4;4;1;2;7;2;18;9;30;-;91
"291090 Firmino Alves";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;6;-;3;3;2;4;17;-;39
"291100 Floresta Azul";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;4;1;5;2;4;8;5;7;4;6;22;-;71
"291110 Formosa do Rio Preto";3;1;2;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;2;5;5;8;7;8;7;7;8;11;12;8;32;-;131
"291120 Gandu";3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;13;3;10;6;6;10;17;10;14;15;12;21;40;-;186
"291125 Gavião";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;2;1;1;1;1;3;2;2;15;-;32
"291130 Gentio do Ouro";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;3;2;3;5;2;2;7;8;28;-;65
"291140 Glória";5;1;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;-;6;3;3;5;8;3;10;10;5;13;31;-;110
"291150 Gongogi";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;1;2;1;1;1;1;2;3;5;4;2;16;-;46
"291160 Governador Mangabeira";2;1;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;3;8;2;7;8;6;5;8;12;15;12;7;42;-;146
"291165 Guajeru";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;5;5;4;3;7;29;-;56
"291170 Guanambi";7;2;1;2;-;-;-;-;-;-;2;-;-;-;1;1;-;2;1;-;1;4;14;13;14;13;23;27;36;32;22;41;45;52;166;-;522
"291180 Guaratinga";4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;2;3;3;5;3;8;11;6;12;11;14;27;1;116
"291185 Heliópolis";1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;2;2;-;1;1;5;3;4;9;11;8;39;-;92
"291190 Iaçu";4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;1;7;7;5;3;5;11;9;14;7;6;18;14;74;-;190
"291200 Ibiassucê";1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;3;2;1;5;1;6;5;3;33;-;66
"291210 Ibicaraí";3;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;3;1;1;-;8;3;4;3;8;6;12;16;26;19;63;-;180
"291220 Ibicoara";4;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;5;1;2;2;5;5;8;4;8;3;2;6;20;-;79
"291230 Ibicuí";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7;-;2;1;1;5;1;7;4;10;8;12;50;-;111
"291240 Ibipeba";3;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;3;2;3;-;4;8;4;5;6;6;6;16;25;-;96
"291250 Ibipitanga";2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;2;3;2;3;1;2;6;6;5;3;9;4;33;-;83
"291260 Ibiquera";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;1;1;4;-;2;8;-;20
"291270 Ibirapitanga";2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;9;5;10;4;3;6;6;6;13;5;9;17;47;-;150
"291280 Ibirapuã";1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;1;2;4;-;5;4;1;6;3;5;13;-;49
"291290 Ibirataia";4;-;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;4;2;3;2;5;8;13;13;13;15;16;11;47;-;163
