Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Local de Ocorrência
Período:2017
"Município-BA";"Hospital";"Outros estab de saúde";"Domicílio";"Via pública";"Outros";"Local Ignorado";"Total"
"290420 Botuporã";19;7;24;1;6;-;57
"290430 Brejões";50;-;39;6;1;-;96
"290440 Brejolândia";20;-;4;3;3;-;30
"290450 Brotas de Macaúbas";38;-;44;6;1;-;89
"290460 Brumado";293;3;142;16;6;-;460
"290470 Buerarema";95;2;60;3;11;-;171
"290475 Buritirama";46;2;33;3;-;-;84
"290480 Caatiba";30;-;15;-;2;-;47
"290485 Cabaceiras do Paraguaçu";41;7;43;7;3;-;101
"290490 Cachoeira";133;3;61;18;19;1;235
"290500 Caculé";77;-;42;3;4;-;126
"290510 Caém";35;3;21;1;2;-;62
"290515 Caetanos";21;8;29;2;1;-;61
"290520 Caetité";172;10;91;8;11;1;293
"290530 Cafarnaum";53;1;27;6;5;1;93
"290540 Cairu";31;5;13;5;6;-;60
"290550 Caldeirão Grande";49;-;23;4;-;-;76
"290560 Camacan";120;-;55;12;21;-;208
"290570 Camaçari";877;150;267;158;36;-;1488
"290580 Camamu";96;-;79;35;17;1;228
"290590 Campo Alegre de Lourdes";63;-;41;3;7;-;114
"290600 Campo Formoso";205;2;126;6;27;1;367
"290610 Canápolis";27;1;9;-;1;-;38
"290620 Canarana";82;-;53;14;3;-;152
"290630 Canavieiras";134;-;53;11;22;-;220
"290640 Candeal";20;11;31;6;2;-;70
"290650 Candeias";310;56;81;42;16;-;505
"290660 Candiba";44;-;28;4;4;-;80
"290670 Cândido Sales";147;-;35;9;7;1;199
"290680 Cansanção";131;-;88;4;15;-;238
"290682 Canudos";58;-;29;2;1;-;90
"290685 Capela do Alto Alegre";38;5;29;5;6;1;84
"290687 Capim Grosso";72;51;68;9;7;1;208
"290689 Caraíbas";22;9;29;-;4;-;64
"290690 Caravelas";90;1;42;7;11;-;151
"290700 Cardeal da Silva";13;7;14;6;1;-;41
"290710 Carinhanha";78;-;57;6;5;-;146
"290720 Casa Nova";212;7;134;17;18;-;388
"290730 Castro Alves";135;2;62;5;4;1;209
"290740 Catolândia";5;1;2;-;-;-;8
"290750 Catu";206;3;69;18;21;-;317
"290755 Caturama";35;-;17;1;-;-;53
"290760 Central";68;2;32;6;2;-;110
"290770 Chorrochó";35;-;27;6;5;-;73
"290780 Cícero Dantas";112;-;87;6;7;-;212
"290790 Cipó";57;1;37;2;5;-;102
"290800 Coaraci";135;-;54;6;10;1;206
"290810 Cocos";59;-;30;7;3;-;99
"290820 Conceição da Feira";72;4;39;11;7;-;133
"290830 Conceição do Almeida";80;1;38;8;7;2;136
"290840 Conceição do Coité";219;4;108;21;13;-;365
"290850 Conceição do Jacuípe";120;5;54;16;9;-;204
"290860 Conde";71;2;27;7;15;1;123
"290870 Condeúba";75;-;53;3;2;-;133
"290880 Contendas do Sincorá";9;6;14;2;1;-;32
"290890 Coração de Maria";79;6;66;11;9;-;171
"290900 Cordeiros";34;-;20;2;-;-;56
"290910 Coribe";35;3;32;5;4;-;79
"290920 Coronel João Sá";36;9;37;9;1;-;92
"290930 Correntina";76;1;68;21;10;-;176
"290940 Cotegipe";29;13;36;3;5;-;86
"290950 Cravolândia";25;-;11;3;1;-;40
"290960 Crisópolis";74;-;56;8;1;-;139
"290970 Cristópolis";24;17;23;4;3;-;71
"290980 Cruz das Almas";240;43;89;22;16;1;411
"290990 Curaçá";128;1;43;4;21;-;197
"291000 Dário Meira";29;4;23;3;3;-;62
"291005 Dias d'Ávila";126;182;71;29;14;-;422
"291010 Dom Basílio";44;1;21;2;2;-;70
"291020 Dom Macedo Costa";18;1;11;-;2;-;32
"291030 Elísio Medrado";34;-;20;2;-;-;56
"291040 Encruzilhada";79;1;36;8;8;1;133
"291050 Entre Rios";157;6;71;25;18;-;277
"290050 Érico Cardoso";53;-;26;3;3;-;85
"291060 Esplanada";119;4;60;16;18;-;217
"291070 Euclides da Cunha";211;9;142;8;20;-;390
"291072 Eunápolis";458;2;210;62;47;-;779
"291075 Fátima";52;-;43;3;7;-;105
"291077 Feira da Mata";13;-;7;1;3;-;24
"291080 Feira de Santana";2080;555;764;205;203;1;3808
"291085 Filadélfia";46;1;35;4;5;-;91
"291090 Firmino Alves";22;2;14;1;-;-;39
"291100 Floresta Azul";38;-;23;5;5;-;71
"291110 Formosa do Rio Preto";82;-;31;5;12;1;131
"291120 Gandu";99;-;56;20;10;1;186
"291125 Gavião";9;3;16;4;-;-;32
"291130 Gentio do Ouro";20;3;37;4;1;-;65
"291140 Glória";63;2;35;4;6;-;110
"291150 Gongogi";27;-;12;2;5;-;46
"291160 Governador Mangabeira";62;6;52;21;5;-;146
"291165 Guajeru";16;13;22;4;1;-;56
"291170 Guanambi";337;-;132;27;26;-;522
"291180 Guaratinga";56;1;46;6;7;-;116
"291185 Heliópolis";35;6;41;4;6;-;92
"291190 Iaçu";115;1;54;13;6;1;190
"291200 Ibiassucê";37;1;25;3;-;-;66
"291210 Ibicaraí";110;-;52;12;6;-;180
"291220 Ibicoara";46;6;16;4;7;-;79
"291230 Ibicuí";56;1;42;5;7;-;111
"291240 Ibipeba";42;2;40;10;2;-;96
"291250 Ibipitanga";46;-;31;5;1;-;83
"291260 Ibiquera";9;1;9;-;1;-;20
"291270 Ibirapitanga";74;-;46;14;15;1;150
"291280 Ibirapuã";25;-;15;8;1;-;49
"291290 Ibirataia";106;1;47;5;4;-;163
"291300 Ibitiara";45;-;45;1;5;-;96
"291310 Ibititá";50;1;50;3;7;1;112
"291320 Ibotirama";122;3;46;14;18;1;204
"291330 Ichu";24;-;7;2;3;-;36
"291340 Igaporã";54;-;33;5;1;-;93
"291345 Igrapiúna";27;1;17;5;5;-;55
"291350 Iguaí";79;-;72;4;16;-;171
"291360 Ilhéus";898;1;295;101;55;-;1350
"291370 Inhambupe";129;4;78;17;20;-;248
"291380 Ipecaetá";66;4;36;2;5;-;113
"291390 Ipiaú";227;-;120;24;8;1;380
"291400 Ipirá";134;66;170;18;21;4;413
"291410 Ipupiara";36;-;41;2;3;-;82
"291420 Irajuba";20;-;12;2;2;-;36
"291430 Iramaia";27;2;21;1;1;-;52
"291440 Iraquara";86;1;58;5;3;-;153
"291450 Irará";136;2;39;8;16;-;201
"291460 Irecê";283;21;87;49;21;-;461
"291465 Itabela";96;-;62;31;16;-;205
"291470 Itaberaba";239;30;122;35;24;1;451
"291480 Itabuna";1114;1;351;68;95;-;1629
"291490 Itacaré";51;-;23;14;20;-;108
"291500 Itaeté";40;-;12;6;8;2;68
"291510 Itagi";58;-;52;1;2;-;113
"291520 Itagibá";45;-;37;7;2;-;91
"291530 Itagimirim";32;1;19;5;6;-;63
"291535 Itaguaçu da Bahia";30;-;21;12;3;-;66
"291540 Itaju do Colônia";20;1;13;3;2;-;39
"291550 Itajuípe";117;-;45;5;9;-;176
"291560 Itamaraju";293;1;130;35;16;-;475
"291570 Itamari";21;-;18;1;2;-;42
"291580 Itambé";116;-;53;10;8;-;187
"291590 Itanagra";16;-;12;1;1;-;30
"291600 Itanhém";67;2;69;4;11;1;154
"291610 Itaparica";79;10;31;18;7;1;146
"291620 Itapé";54;-;29;2;1;-;86
"291630 Itapebi";38;2;22;10;6;-;78
"291640 Itapetinga";369;14;101;19;19;1;523
"291650 Itapicuru";79;3;74;15;9;-;180
"291660 Itapitanga";33;1;16;1;4;-;55
"291670 Itaquara";34;-;25;2;3;-;64
"291680 Itarantim";71;-;22;8;5;3;109
"291685 Itatim";45;-;31;8;6;-;90
"291690 Itiruçu";67;-;28;5;2;-;102
"291700 Itiúba";75;2;96;6;11;-;190
"291710 Itororó";85;1;37;3;3;-;129
"291720 Ituaçu";75;-;43;4;3;-;125
"291730 Ituberá";99;-;40;16;8;-;163
"291733 Iuiú";30;-;11;4;-;-;45
"291735 Jaborandi";32;1;11;2;3;-;49
"291740 Jacaraci";53;1;25;4;2;-;85
"291750 Jacobina";335;7;196;31;24;1;594
"291760 Jaguaquara";207;1;120;25;7;-;360
"291770 Jaguarari";122;3;79;3;10;-;217
"291780 Jaguaripe";52;1;30;8;4;1;96
"291790 Jandaíra";35;3;19;-;4;-;61
"291800 Jequié";719;4;333;71;29;-;1156
"291810 Jeremoabo";129;3;77;11;10;-;230
"291820 Jiquiriçá";60;1;24;2;2;-;89
"291830 Jitaúna";57;-;44;3;1;-;105
"291835 João Dourado";96;-;31;13;8;-;148
"291840 Juazeiro";778;54;339;70;91;-;1332
"291845 Jucuruçu";28;-;19;3;6;1;57
"291850 Jussara";72;-;37;2;3;-;114
"291855 Jussari";30;-;15;5;4;-;54
"291860 Jussiape";17;21;37;3;2;1;81
"291870 Lafaiete Coutinho";12;-;14;1;-;-;27
"291875 Lagoa Real";26;4;25;-;1;-;56
"291880 Laje";78;3;53;12;5;-;151
"291890 Lajedão";19;-;16;2;-;-;37
"291900 Lajedinho";4;1;8;2;1;1;17
"291905 Lajedo do Tabocal";31;-;14;-;-;-;45
"291910 Lamarão";24;-;23;5;1;-;53
"291915 Lapão";98;1;55;10;5;-;169
"291920 Lauro de Freitas";695;159;200;73;37;-;1164
"291930 Lençóis";24;3;17;13;2;-;59
"291940 Licínio de Almeida";56;-;20;1;1;-;78
"291950 Livramento de Nossa Senhora";122;24;81;4;6;-;237
"291955 Luís Eduardo Magalhães";113;45;38;33;38;-;267
"291960 Macajuba";37;-;33;6;3;-;79
"291970 Macarani";74;-;47;2;4;-;127
"291980 Macaúbas";144;2;83;7;4;-;240
"291990 Macururé";13;10;15;3;1;-;42
"291992 Madre de Deus";69;9;15;10;8;-;111
"291995 Maetinga";20;12;23;-;-;-;55
"292000 Maiquinique";41;-;10;-;4;-;55
"292010 Mairi";59;1;47;11;4;-;122
"292020 Malhada";50;-;25;8;3;-;86
"292030 Malhada de Pedras";20;10;26;2;1;-;59
"292040 Manoel Vitorino";35;1;34;2;2;1;75
"292045 Mansidão";13;5;15;1;4;-;38
"292050 Maracás";104;-;56;12;6;-;178
"292060 Maragogipe";88;51;91;24;15;3;272
"292070 Maraú";37;4;24;11;1;-;77
"292080 Marcionílio Souza";22;1;33;3;1;1;61
"292090 Mascote";29;-;34;6;14;-;83
"292100 Mata de São João";203;6;42;28;9;2;290
"292105 Matina";39;-;16;4;4;-;63
"292110 Medeiros Neto";123;3;67;12;12;-;217
"292120 Miguel Calmon";108;1;55;11;6;-;181
"292130 Milagres";35;-;22;6;4;-;67
"292140 Mirangaba";30;-;48;7;-;-;85
"292145 Mirante";18;2;23;2;1;-;46
"292150 Monte Santo";162;-;134;11;16;-;323
"292160 Morpará";28;3;29;3;3;-;66
"292170 Morro do Chapéu";133;3;89;17;13;-;255
"292180 Mortugaba";55;-;26;3;4;-;88
"292190 Mucugê";33;-;20;2;3;-;58
"292200 Mucuri";115;6;48;22;14;-;205
"292205 Mulungu do Morro";43;3;27;13;4;-;90
"292210 Mundo Novo";71;-;59;5;5;-;140
"292220 Muniz Ferreira";29;-;10;5;-;1;45
"292225 Muquém de São Francisco";16;1;9;8;9;-;43
"292230 Muritiba";121;4;72;19;11;-;227
"292240 Mutuípe";93;1;58;7;6;-;165
"292250 Nazaré";153;3;49;17;3;4;229
"292260 Nilo Peçanha";35;6;16;8;5;-;70
"292265 Nordestina";41;1;19;4;6;-;71
"292270 Nova Canaã";36;1;43;2;3;-;85
"292273 Nova Fátima";31;1;22;7;1;-;62
"292275 Nova Ibiá";14;1;10;1;1;-;27
"292280 Nova Itarana";30;1;26;5;2;-;64
"292285 Nova Redenção";10;1;33;8;-;-;52
"292290 Nova Soure";85;3;86;6;6;-;186
"292300 Nova Viçosa";158;6;66;26;21;-;277
"292303 Novo Horizonte";31;-;38;5;1;-;75
"292305 Novo Triunfo";36;-;26;-;6;-;68
"292310 Olindina";81;-;52;13;6;-;152
"292320 Oliveira dos Brejinhos";66;1;52;13;9;-;141
"292330 Ouriçangas";35;-;24;1;1;-;61
"292335 Ourolândia";51;-;39;10;6;-;106
"292340 Palmas de Monte Alto";81;-;37;3;4;-;125
"292350 Palmeiras";30;1;25;2;5;-;63
"292360 Paramirim";70;-;36;4;3;-;113
"292370 Paratinga";93;1;83;7;6;-;190
"292380 Paripiranga";80;-;89;8;3;-;180
"292390 Pau Brasil";50;-;12;3;8;-;73
"292400 Paulo Afonso";504;12;187;35;26;-;764
"292405 Pé de Serra";45;1;27;6;5;1;85
"292410 Pedrão";14;5;24;4;1;-;48
"292420 Pedro Alexandre";26;1;20;5;2;-;54
"292430 Piatã";62;1;58;2;-;-;123
"292440 Pilão Arcado";83;-;51;6;4;-;144
"292450 Pindaí";43;-;39;3;1;-;86
"292460 Pindobaçu";72;1;71;5;3;-;152
"292465 Pintadas";37;1;25;1;4;-;68
"292467 Piraí do Norte";18;2;15;3;3;-;41
"292470 Piripá";49;-;15;4;3;-;71
"292480 Piritiba";69;-;56;3;5;-;133
"292490 Planaltino";26;1;19;2;-;-;48
"292500 Planalto";89;-;49;12;6;-;156
"292510 Poções";180;27;123;18;16;1;365
"292520 Pojuca";123;6;34;18;25;-;206
"292525 Ponto Novo";62;1;31;3;8;-;105
"292530 Porto Seguro";447;26;181;86;71;1;812
"292540 Potiraguá";38;-;21;1;2;1;63
"292550 Prado";87;8;48;20;19;1;183
"292560 Presidente Dutra";49;1;48;2;-;-;100
"292570 Presidente Jânio Quadros";28;29;27;1;-;1;86
"292575 Presidente Tancredo Neves";75;-;39;9;7;-;130
"292580 Queimadas";97;-;63;6;5;2;173
"292590 Quijingue";66;-;69;4;3;-;142
"292593 Quixabeira";16;6;16;4;3;-;45
"292595 Rafael Jambeiro";90;-;60;3;7;-;160
"292600 Remanso";121;3;82;7;12;-;225
"292610 Retirolândia";40;-;17;5;4;1;67
"292620 Riachão das Neves";85;-;32;8;14;-;139
"292630 Riachão do Jacuípe";153;1;65;9;6;1;235
"292640 Riacho de Santana";87;-;75;7;4;-;173
"292650 Ribeira do Amparo";37;3;23;2;7;-;72
"292660 Ribeira do Pombal";227;-;113;20;7;-;367
"292665 Ribeirão do Largo";16;2;22;1;1;-;42
"292670 Rio de Contas";39;6;34;1;-;-;80
"292680 Rio do Antônio";33;8;36;6;1;-;84
"292690 Rio do Pires";36;-;18;3;-;-;57
"292700 Rio Real";158;1;81;15;28;-;283
"292710 Rodelas";24;15;19;6;4;-;68
"292720 Ruy Barbosa";149;-;55;9;8;1;222
"292730 Salinas da Margarida";51;1;27;7;3;1;90
"292740 Salvador";11260;1974;2469;936;243;6;16888
"292750 Santa Bárbara";78;6;64;6;6;1;161
"292760 Santa Brígida";37;5;20;4;1;-;67
"292770 Santa Cruz Cabrália";90;1;30;11;14;2;148
"292780 Santa Cruz da Vitória";17;2;19;-;2;-;40
"292790 Santa Inês";59;1;25;3;3;-;91
"292805 Santa Luzia";39;4;34;4;13;-;94
"292810 Santa Maria da Vitória";110;23;70;20;20;-;243
"292840 Santa Rita de Cássia";108;2;40;5;14;1;170
"292850 Santa Teresinha";38;-;31;6;1;1;77
"292800 Santaluz";116;5;55;6;3;1;186
"292820 Santana";76;1;6;7;3;-;93
"292830 Santanópolis";21;24;20;3;1;-;69
"292860 Santo Amaro";252;11;83;26;7;-;379
"292870 Santo Antônio de Jesus";421;3;158;54;16;-;652
"292880 Santo Estêvão";197;-;118;9;24;-;348
"292890 São Desidério";83;2;22;1;13;1;122
"292895 São Domingos";28;-;20;2;2;1;53
"292910 São Felipe";74;-;43;11;2;3;133
"292900 São Félix";55;4;30;13;10;1;113
"292905 São Félix do Coribe";47;2;28;7;5;-;89
"292920 São Francisco do Conde";138;28;24;13;12;-;215
"292925 São Gabriel";67;2;34;3;3;-;109
"292930 São Gonçalo dos Campos";135;10;62;13;5;-;225
"292935 São José da Vitória";27;-;15;3;5;-;50
"292937 São José do Jacuípe";19;5;29;5;2;-;60
"292940 São Miguel das Matas";28;5;28;4;1;-;66
"292950 São Sebastião do Passé";152;8;66;18;8;-;252
"292960 Sapeaçu";64;1;49;9;4;-;127
"292970 Sátiro Dias";55;-;41;7;8;-;111
"292975 Saubara";45;3;26;12;5;-;91
"292980 Saúde";44;-;25;5;4;-;78
"292990 Seabra";65;63;119;13;6;2;268
"293000 Sebastião Laranjeiras";24;-;20;-;-;-;44
"293010 Senhor do Bonfim";323;5;157;16;34;-;535
"293020 Sento Sé";101;2;24;4;7;-;138
"293015 Serra do Ramalho";87;12;50;17;4;-;170
"293030 Serra Dourada";32;-;46;-;3;-;81
"293040 Serra Preta";71;2;60;5;6;2;146
"293050 Serrinha";288;9;143;33;16;1;490
"293060 Serrolândia";53;2;41;6;3;-;105
"293070 Simões Filho";603;47;87;74;19;-;830
"293075 Sítio do Mato";26;3;15;6;5;-;55
"293076 Sítio do Quinto";29;3;30;2;5;-;69
"293077 Sobradinho";90;1;32;4;6;-;133
"293080 Souto Soares";59;1;46;7;3;-;116
"293090 Tabocas do Brejo Velho";13;1;23;4;-;-;41
"293100 Tanhaçu";52;20;45;3;6;-;126
"293105 Tanque Novo";63;1;33;3;1;-;101
"293110 Tanquinho";33;1;30;4;3;-;71
"293120 Taperoá";67;2;23;6;6;-;104
"293130 Tapiramutá";51;-;28;4;2;-;85
"293135 Teixeira de Freitas";634;50;183;80;22;2;971
"293140 Teodoro Sampaio";19;6;18;8;-;1;52
"293150 Teofilândia";65;2;41;8;9;1;126
"293160 Teolândia";45;-;3;9;3;-;60
"293170 Terra Nova";26;21;19;3;1;-;70
"293180 Tremedal";69;1;30;-;5;-;105
"293190 Tucano";170;2;75;17;12;-;276
"293200 Uauá";88;1;57;2;10;-;158
"293210 Ubaíra";73;2;43;5;5;-;128
"293220 Ubaitaba";87;-;37;14;10;-;148
"293230 Ubatã";91;-;38;5;6;-;140
"293240 Uibaí";54;1;35;7;2;-;99
"293245 Umburanas";27;3;22;4;6;1;63
"293250 Una";88;-;30;12;9;2;141
"293260 Urandi";51;-;31;14;4;-;100
"293270 Uruçuca";69;7;45;10;10;-;141
"293280 Utinga";59;1;32;7;3;1;103
"293290 Valença";342;5;129;50;29;-;555
"293300 Valente";85;2;49;7;6;-;149
"293305 Várzea da Roça";33;-;28;6;6;-;73
"293310 Várzea do Poço";33;2;22;3;2;-;62
"293315 Várzea Nova";37;1;33;3;-;-;74
"293317 Varzedo";38;-;25;1;1;-;65
"293320 Vera Cruz";132;35;76;47;21;-;311
"293325 Vereda";27;-;10;-;2;-;39
"293330 Vitória da Conquista";1512;27;518;143;84;1;2285
"293340 Wagner";31;1;16;3;1;-;52
"293345 Wanderley";29;17;26;4;6;-;82
"293350 Wenceslau Guimarães";75;-;32;14;7;-;128
"293360 Xique-Xique";180;2;80;27;5;-;294
"290000 Município ignorado - BA";70;27;17;106;91;5;316
"Total";53350;4820;24051;5556;3780;112;91669
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
