Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Atestante
Período:2017
"Município-BA";"Sim";"Substituto";"IML";"SVO";"Outros";"Ignorado";"Total"
"290485 Cabaceiras do Paraguaçu";23;20;20;-;25;13;101
"290490 Cachoeira";64;52;37;-;42;40;235
"290500 Caculé";59;8;2;-;18;39;126
"290510 Caém";3;2;6;1;11;39;62
"290515 Caetanos";13;11;3;-;2;32;61
"290520 Caetité";91;29;21;-;37;115;293
"290530 Cafarnaum";53;8;11;-;19;2;93
"290540 Cairu";31;5;15;-;8;1;60
"290550 Caldeirão Grande";33;9;7;-;6;21;76
"290560 Camacan";54;44;29;1;28;52;208
"290570 Camaçari";215;226;506;1;489;51;1488
"290580 Camamu";25;24;48;-;74;57;228
"290590 Campo Alegre de Lourdes";73;6;2;1;11;21;114
"290600 Campo Formoso";36;44;40;-;81;166;367
"290610 Canápolis";13;5;6;-;6;8;38
"290620 Canarana";37;7;24;-;28;56;152
"290630 Canavieiras";45;25;29;-;104;17;220
"290640 Candeal";12;4;9;-;29;16;70
"290650 Candeias";134;62;140;-;140;29;505
"290660 Candiba";61;1;10;-;5;3;80
"290670 Cândido Sales";32;93;20;-;11;43;199
"290680 Cansanção";63;10;24;-;20;121;238
"290682 Canudos";17;2;4;-;32;35;90
"290685 Capela do Alto Alegre";39;5;8;-;24;8;84
"290687 Capim Grosso";48;9;30;-;4;117;208
"290689 Caraíbas";14;6;3;-;5;36;64
"290690 Caravelas";54;10;29;5;27;26;151
"290700 Cardeal da Silva";11;7;7;-;15;1;41
"290710 Carinhanha";68;5;16;-;8;49;146
"290720 Casa Nova";107;31;49;-;54;147;388
"290730 Castro Alves";91;38;14;-;40;26;209
"290740 Catolândia";6;2;-;-;-;-;8
"290750 Catu";85;70;52;-;91;19;317
"290755 Caturama";39;1;2;-;1;10;53
"290760 Central";58;3;14;2;24;9;110
"290770 Chorrochó";45;3;5;-;11;9;73
"290780 Cícero Dantas";46;27;18;-;27;94;212
"290790 Cipó";17;13;7;-;18;47;102
"290800 Coaraci";21;80;10;-;51;44;206
"290810 Cocos";22;8;12;-;18;39;99
"290820 Conceição da Feira";31;21;29;-;29;23;133
"290830 Conceição do Almeida";56;24;12;1;26;17;136
"290840 Conceição do Coité";128;82;52;-;102;1;365
"290850 Conceição do Jacuípe";37;38;28;-;97;4;204
"290860 Conde";26;28;25;-;37;7;123
"290870 Condeúba";30;9;9;1;16;68;133
"290880 Contendas do Sincorá";12;1;4;-;2;13;32
"290890 Coração de Maria";26;21;26;-;75;23;171
"290900 Cordeiros";22;12;4;1;8;9;56
"290910 Coribe";18;6;10;1;12;32;79
"290920 Coronel João Sá";16;24;11;1;14;26;92
"290930 Correntina";17;3;29;-;13;114;176
"290940 Cotegipe";27;6;13;-;14;26;86
"290950 Cravolândia";9;6;6;-;5;14;40
"290960 Crisópolis";17;11;15;-;44;52;139
"290970 Cristópolis";16;8;6;-;17;24;71
"290980 Cruz das Almas";91;80;54;2;111;73;411
"290990 Curaçá";75;28;28;-;48;18;197
"291000 Dário Meira";9;6;15;-;5;27;62
"291005 Dias d'Ávila";76;71;145;1;124;5;422
"291010 Dom Basílio";27;8;8;-;8;19;70
"291020 Dom Macedo Costa";10;10;1;-;2;9;32
"291030 Elísio Medrado";27;14;2;-;5;8;56
"291040 Encruzilhada";35;14;18;-;36;30;133
"291050 Entre Rios";47;32;69;-;104;25;277
"290050 Érico Cardoso";60;7;4;-;7;7;85
"291060 Esplanada";60;27;38;-;55;37;217
"291070 Euclides da Cunha";176;27;37;-;23;127;390
"291072 Eunápolis";171;95;130;193;98;92;779
"291075 Fátima";51;21;10;-;8;15;105
"291077 Feira da Mata";7;3;2;-;5;7;24
"291080 Feira de Santana";456;465;582;179;1973;153;3808
"291085 Filadélfia";44;4;8;-;13;22;91
"291090 Firmino Alves";6;8;2;-;12;11;39
"291100 Floresta Azul";11;15;3;-;14;28;71
"291110 Formosa do Rio Preto";36;16;17;-;15;47;131
"291120 Gandu";40;19;30;-;25;72;186
"291125 Gavião";11;1;6;-;5;9;32
"291130 Gentio do Ouro";17;3;8;-;1;36;65
"291140 Glória";55;8;10;-;29;8;110
"291150 Gongogi";17;4;7;-;6;12;46
"291160 Governador Mangabeira";43;14;27;2;40;20;146
"291165 Guajeru";22;12;2;-;13;7;56
"291170 Guanambi";155;63;72;-;118;114;522
"291180 Guaratinga";25;14;24;2;33;18;116
"291185 Heliópolis";26;18;12;-;22;14;92
"291190 Iaçu";86;20;26;1;30;27;190
"291200 Ibiassucê";24;6;1;2;20;13;66
"291210 Ibicaraí";12;40;15;-;38;75;180
"291220 Ibicoara";32;8;10;-;11;18;79
"291230 Ibicuí";41;29;10;-;6;25;111
"291240 Ibipeba";43;2;12;-;7;32;96
"291250 Ibipitanga";40;3;3;1;20;16;83
"291260 Ibiquera";5;1;2;-;4;8;20
"291270 Ibirapitanga";23;19;29;-;25;54;150
"291280 Ibirapuã";15;6;12;-;5;11;49
"291290 Ibirataia";44;29;16;-;27;47;163
"291300 Ibitiara";13;5;6;-;17;55;96
"291310 Ibititá";34;5;10;-;7;56;112
"291320 Ibotirama";89;35;41;-;39;-;204
"291330 Ichu";13;3;4;-;11;5;36
"291340 Igaporã";20;15;5;-;34;19;93
"291345 Igrapiúna";14;12;11;-;10;8;55
"291350 Iguaí";17;4;21;-;22;107;171
"291360 Ilhéus";212;275;177;1;204;481;1350
"291370 Inhambupe";45;56;57;-;50;40;248
"291380 Ipecaetá";25;12;9;-;51;16;113
"291390 Ipiaú";51;52;54;1;61;161;380
"291400 Ipirá";118;34;51;-;91;119;413
"291410 Ipupiara";56;7;5;-;11;3;82
"291420 Irajuba";9;6;5;-;3;13;36
"291430 Iramaia";10;5;3;-;15;19;52
"291440 Iraquara";52;4;10;-;71;16;153
"291450 Irará";53;34;22;-;60;32;201
"291460 Irecê";278;31;82;-;46;24;461
"291465 Itabela";48;22;58;1;67;9;205
"291470 Itaberaba";121;48;68;-;108;106;451
"291480 Itabuna";136;660;182;192;182;277;1629
"291490 Itacaré";18;13;26;-;27;24;108
"291500 Itaeté";16;11;19;-;20;2;68
"291510 Itagi";21;11;8;-;19;54;113
"291520 Itagibá";9;15;10;-;19;38;91
"291530 Itagimirim";16;8;11;-;10;18;63
"291535 Itaguaçu da Bahia";26;2;12;1;3;22;66
"291540 Itaju do Colônia";13;9;5;-;1;11;39
"291550 Itajuípe";16;73;20;-;37;30;176
"291560 Itamaraju";132;85;77;53;44;84;475
"291570 Itamari";7;2;7;-;7;19;42
"291580 Itambé";35;22;26;1;23;80;187
"291590 Itanagra";6;11;3;-;8;2;30
"291600 Itanhém";51;15;22;2;7;57;154
"291610 Itaparica";29;21;47;-;42;7;146
"291620 Itapé";6;38;9;1;19;13;86
"291630 Itapebi";25;13;17;2;10;11;78
"291640 Itapetinga";75;50;61;1;56;280;523
"291650 Itapicuru";52;23;36;1;31;37;180
"291660 Itapitanga";20;16;3;-;8;8;55
"291670 Itaquara";17;2;6;-;5;34;64
"291680 Itarantim";46;13;8;1;4;37;109
"291685 Itatim";18;4;23;-;18;27;90
"291690 Itiruçu";14;2;10;-;28;48;102
"291700 Itiúba";27;4;23;-;19;117;190
"291710 Itororó";19;16;10;-;17;67;129
"291720 Ituaçu";55;7;12;-;26;25;125
"291730 Ituberá";33;37;21;-;38;34;163
"291733 Iuiú";26;2;1;-;4;12;45
"291735 Jaborandi";26;1;7;-;4;11;49
"291740 Jacaraci";45;13;3;1;4;19;85
"291750 Jacobina";116;52;81;-;202;143;594
"291760 Jaguaquara";28;18;41;-;25;248;360
"291770 Jaguarari";78;8;19;-;19;93;217
"291780 Jaguaripe";36;14;16;-;20;10;96
"291790 Jandaíra";10;13;8;-;23;7;61
"291800 Jequié";107;136;177;-;493;243;1156
"291810 Jeremoabo";96;26;26;-;28;54;230
"291820 Jiquiriçá";23;4;8;-;17;37;89
"291830 Jitaúna";15;15;5;-;29;41;105
"291835 João Dourado";88;8;27;-;7;18;148
"291840 Juazeiro";235;177;214;2;480;224;1332
"291845 Jucuruçu";7;19;5;4;-;22;57
"291850 Jussara";59;9;10;-;14;22;114
"291855 Jussari";13;10;8;-;15;8;54
"291860 Jussiape";43;8;2;-;14;14;81
"291870 Lafaiete Coutinho";2;2;4;-;4;15;27
"291875 Lagoa Real";23;4;2;-;14;13;56
"291880 Laje";48;26;22;-;31;24;151
"291890 Lajedão";22;4;4;-;2;5;37
"291900 Lajedinho";3;1;4;-;2;7;17
"291905 Lajedo do Tabocal";11;6;2;-;10;16;45
"291910 Lamarão";12;6;8;-;8;19;53
"291915 Lapão";93;11;22;-;16;27;169
"291920 Lauro de Freitas";151;188;393;2;297;133;1164
"291930 Lençóis";13;4;14;-;7;21;59
"291940 Licínio de Almeida";42;3;2;-;7;24;78
"291950 Livramento de Nossa Senhora";80;32;10;1;37;77;237
"291955 Luís Eduardo Magalhães";54;24;89;1;62;37;267
"291960 Macajuba";19;5;7;-;7;41;79
"291970 Macarani";12;36;7;1;7;64;127
"291980 Macaúbas";109;14;16;-;16;85;240
"291990 Macururé";24;1;4;-;9;4;42
"291992 Madre de Deus";25;29;25;1;30;1;111
"291995 Maetinga";26;4;-;-;14;11;55
"292000 Maiquinique";10;3;5;-;4;33;55
"292010 Mairi";30;5;19;-;9;59;122
"292020 Malhada";37;4;11;-;6;28;86
"292030 Malhada de Pedras";14;11;8;-;20;6;59
"292040 Manoel Vitorino";6;7;8;-;18;36;75
"292045 Mansidão";11;3;6;1;6;11;38
"292050 Maracás";54;15;24;-;25;60;178
"292060 Maragogipe";41;45;50;-;78;58;272
"292070 Maraú";17;17;11;-;12;20;77
"292080 Marcionílio Souza";25;6;4;6;4;16;61
"292090 Mascote";13;9;19;-;4;38;83
"292100 Mata de São João";82;48;72;-;69;19;290
"292105 Matina";28;3;10;-;6;16;63
"292110 Medeiros Neto";154;16;25;-;11;11;217
"292120 Miguel Calmon";42;33;16;-;47;43;181
"292130 Milagres";13;15;11;-;20;8;67
"292140 Mirangaba";12;3;6;-;26;38;85
"292145 Mirante";25;4;1;-;7;9;46
"292150 Monte Santo";31;44;36;-;22;190;323
"292160 Morpará";21;7;7;-;8;23;66
"292170 Morro do Chapéu";121;66;29;-;25;14;255
"292180 Mortugaba";19;19;5;-;18;27;88
"292190 Mucugê";23;4;7;-;4;20;58
"292200 Mucuri";91;21;47;3;29;14;205
"292205 Mulungu do Morro";42;11;18;-;4;15;90
"292210 Mundo Novo";34;25;9;-;12;60;140
"292220 Muniz Ferreira";17;14;4;-;3;7;45
"292225 Muquém de São Francisco";24;2;10;-;6;1;43
"292230 Muritiba";37;42;33;-;63;52;227
"292240 Mutuípe";48;33;27;-;23;34;165
"292250 Nazaré";105;43;30;-;23;28;229
"292260 Nilo Peçanha";18;21;11;-;7;13;70
"292265 Nordestina";14;7;10;-;21;19;71
"292270 Nova Canaã";8;5;5;-;4;63;85
"292273 Nova Fátima";18;4;11;-;22;7;62
"292275 Nova Ibiá";6;3;1;-;3;14;27
"292280 Nova Itarana";23;6;11;-;12;12;64
"292285 Nova Redenção";13;8;4;-;9;18;52
"292290 Nova Soure";46;10;17;-;24;89;186
"292300 Nova Viçosa";86;38;55;4;65;29;277
"292303 Novo Horizonte";21;2;10;-;12;30;75
"292305 Novo Triunfo";19;8;7;-;13;21;68
"292310 Olindina";16;13;31;-;27;65;152
"292320 Oliveira dos Brejinhos";57;21;19;-;16;28;141
"292330 Ouriçangas";16;6;2;-;24;13;61
"292335 Ourolândia";23;8;21;-;31;23;106
"292340 Palmas de Monte Alto";66;7;11;-;5;36;125
"292350 Palmeiras";17;5;8;-;11;22;63
"292360 Paramirim";90;5;8;-;7;3;113
"292370 Paratinga";53;21;16;1;13;86;190
"292380 Paripiranga";30;29;14;-;15;92;180
"292390 Pau Brasil";15;16;8;-;12;22;73
"292400 Paulo Afonso";242;103;100;4;249;66;764
"292405 Pé de Serra";44;8;9;-;20;4;85
"292410 Pedrão";7;13;6;-;17;5;48
"292420 Pedro Alexandre";8;17;6;1;5;17;54
"292430 Piatã";48;2;3;-;13;57;123
"292440 Pilão Arcado";45;9;12;5;12;61;144
"292450 Pindaí";63;5;4;-;6;8;86
"292460 Pindobaçu";23;13;12;-;15;89;152
"292465 Pintadas";10;13;4;-;22;19;68
"292467 Piraí do Norte";6;14;8;-;5;8;41
"292470 Piripá";27;7;6;-;13;18;71
"292480 Piritiba";18;16;8;-;15;76;133
"292490 Planaltino";14;5;5;-;9;15;48
"292500 Planalto";38;14;18;-;20;66;156
"292510 Poções";114;66;45;-;28;112;365
"292520 Pojuca";58;31;60;-;52;5;206
"292525 Ponto Novo";8;6;14;-;11;66;105
"292530 Porto Seguro";219;146;208;8;173;58;812
"292540 Potiraguá";19;6;5;2;14;17;63
"292550 Prado";57;26;45;17;12;26;183
"292560 Presidente Dutra";45;8;6;-;12;29;100
"292570 Presidente Jânio Quadros";22;15;1;-;30;18;86
"292575 Presidente Tancredo Neves";23;27;24;-;41;15;130
"292580 Queimadas";30;8;18;-;25;92;173
"292590 Quijingue";31;15;9;-;30;57;142
"292593 Quixabeira";10;-;10;-;10;15;45
"292595 Rafael Jambeiro";29;7;13;-;39;72;160
"292600 Remanso";62;10;32;-;23;98;225
"292610 Retirolândia";22;4;11;-;10;20;67
"292620 Riachão das Neves";27;13;25;-;24;50;139
"292630 Riachão do Jacuípe";61;38;26;-;93;17;235
"292640 Riacho de Santana";70;2;15;-;11;75;173
"292650 Ribeira do Amparo";27;12;11;-;10;12;72
"292660 Ribeira do Pombal";79;87;38;1;27;135;367
"292665 Ribeirão do Largo";5;6;3;-;4;24;42
"292670 Rio de Contas";45;9;2;-;5;19;80
"292680 Rio do Antônio";34;12;5;-;12;21;84
"292690 Rio do Pires";32;4;3;-;8;10;57
"292700 Rio Real";72;61;54;-;55;41;283
"292710 Rodelas";11;4;16;-;21;16;68
"292720 Ruy Barbosa";64;33;20;-;17;88;222
"292730 Salinas da Margarida";27;24;15;-;19;5;90
"292740 Salvador";2486;3570;4462;5;5758;607;16888
"292750 Santa Bárbara";25;24;14;-;93;5;161
"292760 Santa Brígida";25;17;9;-;8;8;67
"292770 Santa Cruz Cabrália";44;44;32;-;22;6;148
"292780 Santa Cruz da Vitória";7;8;4;-;7;14;40
"292790 Santa Inês";42;4;7;-;12;26;91
"292805 Santa Luzia";11;24;14;-;8;37;94
"292810 Santa Maria da Vitória";93;10;46;1;18;75;243
"292840 Santa Rita de Cássia";53;16;23;-;19;59;170
"292850 Santa Teresinha";39;11;8;-;15;4;77
"292800 Santaluz";92;11;22;-;31;30;186
"292820 Santana";11;11;11;1;3;56;93
"292830 Santanópolis";26;1;3;-;25;14;69
"292860 Santo Amaro";78;94;50;-;133;24;379
"292870 Santo Antônio de Jesus";142;161;118;3;123;105;652
"292880 Santo Estêvão";34;24;50;-;62;178;348
"292890 São Desidério";35;13;20;-;23;31;122
"292895 São Domingos";30;2;7;-;9;5;53
"292910 São Felipe";58;25;18;1;12;19;133
"292900 São Félix";19;19;23;-;24;28;113
"292905 São Félix do Coribe";22;2;14;-;6;45;89
"292920 São Francisco do Conde";60;33;35;-;57;30;215
"292925 São Gabriel";74;7;9;-;8;11;109
"292930 São Gonçalo dos Campos";63;44;32;-;73;13;225
"292935 São José da Vitória";7;13;6;-;8;16;50
"292937 São José do Jacuípe";9;1;9;-;5;36;60
"292940 São Miguel das Matas";16;10;3;-;16;21;66
"292950 São Sebastião do Passé";49;46;72;-;65;20;252
"292960 Sapeaçu";42;18;15;-;20;32;127
"292970 Sátiro Dias";31;4;17;-;37;22;111
"292975 Saubara";14;11;19;-;22;25;91
"292980 Saúde";12;4;8;1;19;34;78
"292990 Seabra";95;5;22;-;21;125;268
"293000 Sebastião Laranjeiras";38;2;1;-;1;2;44
"293010 Senhor do Bonfim";138;65;57;-;52;223;535
"293020 Sento Sé";53;4;17;-;20;44;138
"293015 Serra do Ramalho";40;9;31;-;10;80;170
"293030 Serra Dourada";44;25;7;-;2;3;81
"293040 Serra Preta";28;11;16;-;66;25;146
"293050 Serrinha";117;81;62;-;97;133;490
"293060 Serrolândia";24;11;11;-;20;39;105
"293070 Simões Filho";138;130;317;-;183;62;830
"293075 Sítio do Mato";30;-;11;-;6;8;55
"293076 Sítio do Quinto";28;10;6;-;11;14;69
"293077 Sobradinho";32;17;13;-;36;35;133
"293080 Souto Soares";50;4;11;-;8;43;116
"293090 Tabocas do Brejo Velho";6;5;6;-;6;18;41
"293100 Tanhaçu";47;12;8;-;19;40;126
"293105 Tanque Novo";45;15;7;1;12;21;101
"293110 Tanquinho";6;6;9;-;34;16;71
"293120 Taperoá";41;15;16;-;21;11;104
"293130 Tapiramutá";25;2;8;-;17;33;85
"293135 Teixeira de Freitas";211;144;280;25;62;249;971
"293140 Teodoro Sampaio";11;8;13;-;15;5;52
"293150 Teofilândia";31;8;19;-;17;51;126
"293160 Teolândia";9;9;14;-;6;22;60
"293170 Terra Nova";7;8;12;-;28;15;70
"293180 Tremedal";18;21;8;-;8;50;105
"293190 Tucano";72;30;37;-;30;107;276
"293200 Uauá";18;24;16;1;32;67;158
"293210 Ubaíra";30;39;15;-;33;11;128
"293220 Ubaitaba";11;46;20;-;12;59;148
"293230 Ubatã";19;24;14;-;14;69;140
"293240 Uibaí";38;14;10;-;30;7;99
"293245 Umburanas";16;6;10;-;16;15;63
"293250 Una";36;39;20;-;25;21;141
"293260 Urandi";73;4;11;-;5;7;100
"293270 Uruçuca";17;56;13;-;26;29;141
"293280 Utinga";31;10;16;-;14;32;103
"293290 Valença";311;57;95;-;68;24;555
"293300 Valente";81;8;23;-;23;14;149
"293305 Várzea da Roça";18;6;14;-;15;20;73
"293310 Várzea do Poço";11;4;9;-;23;15;62
"293315 Várzea Nova";21;6;7;-;15;25;74
"293317 Varzedo";22;24;-;-;9;10;65
"293320 Vera Cruz";32;41;92;-;141;5;311
"293325 Vereda";18;4;2;-;2;13;39
"293330 Vitória da Conquista";339;387;356;1;441;761;2285
"293340 Wagner";22;7;3;-;4;16;52
"293345 Wanderley";19;9;13;-;10;31;82
"293350 Wenceslau Guimarães";15;8;28;-;35;42;128
"293360 Xique-Xique";120;20;35;3;17;99;294
"290000 Município ignorado - BA";1;17;276;-;11;11;316
"Total";21086;14070;16022;778;21596;18117;91669
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
