Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária
Período:2017
"Município-BA";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"290290 Barra do Choça";5;-;3;2;12;13;12;15;24;26;53;55;1;221
"290300 Barra do Mendes";1;1;1;2;1;3;5;7;12;7;17;42;-;99
"290310 Barra do Rocha";-;-;-;-;1;3;3;4;4;9;10;8;-;42
"290320 Barreiras";41;6;4;3;14;50;63;79;98;104;108;190;-;760
"290323 Barro Alto";4;1;-;-;2;4;9;7;9;7;27;22;-;92
"290330 Barro Preto";2;-;1;-;-;3;2;6;9;6;8;10;-;47
"290327 Barrocas";1;-;-;-;1;3;5;9;8;10;13;15;-;65
"290340 Belmonte";2;1;1;1;7;12;7;15;27;23;40;57;1;194
"290350 Belo Campo";7;-;-;1;4;4;9;16;12;15;32;54;-;154
"290360 Biritinga";2;-;-;1;-;6;5;9;8;12;25;36;-;104
"290370 Boa Nova";3;-;-;1;2;5;4;9;9;7;26;45;-;111
"290380 Boa Vista do Tupim";4;-;-;2;1;4;11;8;13;8;17;44;-;112
"290390 Bom Jesus da Lapa";16;2;-;6;16;35;29;30;45;41;73;98;-;391
"290395 Bom Jesus da Serra";-;-;-;-;-;-;3;4;3;7;16;24;-;57
"290400 Boninal";2;-;-;-;-;1;3;4;6;13;19;43;-;91
"290405 Bonito";4;-;-;-;-;3;5;11;5;10;14;18;-;70
"290410 Boquira";5;1;1;2;1;3;8;7;7;22;33;64;1;155
"290420 Botuporã";1;-;-;1;-;2;2;1;1;4;18;27;-;57
"290430 Brejões";2;-;-;-;1;4;6;7;6;16;12;42;-;96
"290440 Brejolândia";3;-;-;-;-;3;2;4;3;4;6;5;-;30
"290450 Brotas de Macaúbas";4;-;-;-;1;2;3;7;7;9;22;34;-;89
"290460 Brumado";6;-;-;1;2;20;24;42;43;55;91;176;-;460
"290470 Buerarema";5;-;-;-;3;6;11;16;16;27;36;51;-;171
"290475 Buritirama";5;-;1;-;2;9;4;5;10;6;18;24;-;84
"290480 Caatiba";1;-;-;-;-;2;-;5;5;8;10;16;-;47
"290485 Cabaceiras do Paraguaçu";3;2;-;1;1;8;5;12;11;11;24;23;-;101
"290490 Cachoeira";9;-;1;1;5;18;10;20;29;28;47;67;-;235
"290500 Caculé";1;-;-;-;1;4;1;9;10;12;26;62;-;126
"290510 Caém";3;-;-;-;-;2;2;5;5;12;12;21;-;62
"290515 Caetanos";3;-;-;-;-;-;2;7;5;4;13;27;-;61
"290520 Caetité";5;2;2;-;4;13;10;12;30;33;43;139;-;293
"290530 Cafarnaum";3;2;-;-;2;6;7;7;10;17;15;24;-;93
"290540 Cairu";8;-;-;-;-;7;9;3;9;5;9;10;-;60
"290550 Caldeirão Grande";1;1;1;-;-;2;3;3;9;8;19;29;-;76
"290560 Camacan";9;1;-;1;6;12;12;15;26;32;41;53;-;208
"290570 Camaçari";53;6;3;6;75;172;134;139;188;237;229;246;-;1488
"290580 Camamu";13;6;1;3;10;18;22;8;29;30;32;56;-;228
"290590 Campo Alegre de Lourdes";2;4;-;-;1;8;3;15;14;14;26;27;-;114
"290600 Campo Formoso";14;1;1;1;5;20;28;27;45;57;76;92;-;367
"290610 Canápolis";1;1;-;-;-;1;4;4;2;4;9;12;-;38
"290620 Canarana";5;1;-;-;7;11;7;9;14;16;38;44;-;152
"290630 Canavieiras";10;1;1;2;5;14;19;7;32;34;33;62;-;220
"290640 Candeal";1;-;1;1;2;2;3;6;10;6;16;22;-;70
"290650 Candeias";16;3;1;7;19;40;44;43;64;84;83;101;-;505
"290660 Candiba";2;-;-;-;-;5;5;6;6;6;17;33;-;80
"290670 Cândido Sales";8;1;-;1;3;4;12;13;26;26;43;62;-;199
"290680 Cansanção";9;1;-;1;5;9;14;17;25;36;44;76;1;238
"290682 Canudos";6;-;1;1;-;2;2;4;11;19;13;31;-;90
"290685 Capela do Alto Alegre";-;-;-;1;-;2;1;7;9;6;19;39;-;84
"290687 Capim Grosso";6;2;-;2;3;12;14;11;21;28;45;64;-;208
"290689 Caraíbas";-;-;-;-;-;2;2;3;8;7;11;31;-;64
"290690 Caravelas";3;2;3;-;2;4;8;14;18;21;26;50;-;151
"290700 Cardeal da Silva";2;-;-;-;1;2;3;3;6;3;9;12;-;41
"290710 Carinhanha";7;2;1;-;1;6;10;14;19;15;26;45;-;146
"290720 Casa Nova";21;1;-;3;5;27;25;41;35;53;65;112;-;388
"290730 Castro Alves";7;-;-;-;1;4;6;17;22;38;50;64;-;209
"290740 Catolândia";1;-;-;-;-;-;-;-;3;1;-;3;-;8
"290750 Catu";8;-;1;3;4;19;14;20;33;67;62;85;1;317
"290755 Caturama";1;-;-;-;-;-;2;1;6;11;9;23;-;53
"290760 Central";1;-;1;-;-;1;9;7;15;17;19;40;-;110
"290770 Chorrochó";5;-;1;-;2;1;4;6;5;6;15;28;-;73
"290780 Cícero Dantas";6;-;1;1;3;6;7;14;14;28;54;77;1;212
"290790 Cipó";7;1;-;1;-;2;6;9;6;13;28;29;-;102
"290800 Coaraci";7;-;-;-;2;3;9;17;20;33;44;71;-;206
"290810 Cocos";4;1;1;2;2;5;4;7;12;8;18;35;-;99
"290820 Conceição da Feira";5;-;1;-;3;14;9;8;8;11;30;44;-;133
"290830 Conceição do Almeida";2;-;-;-;-;6;7;8;14;18;22;59;-;136
"290840 Conceição do Coité";12;4;1;3;21;22;19;16;36;45;74;112;-;365
"290850 Conceição do Jacuípe";2;-;-;1;5;15;13;20;21;31;43;53;-;204
"290860 Conde";7;2;-;-;6;12;6;7;11;19;22;31;-;123
"290870 Condeúba";2;-;-;-;-;2;3;7;13;13;27;66;-;133
"290880 Contendas do Sincorá";1;-;-;-;-;1;2;-;4;8;2;14;-;32
"290890 Coração de Maria";1;-;2;2;6;7;15;11;15;25;33;54;-;171
"290900 Cordeiros";1;-;-;1;-;2;1;1;4;5;11;30;-;56
"290910 Coribe";1;-;-;-;2;2;7;1;10;10;18;28;-;79
"290920 Coronel João Sá";1;1;-;2;-;2;5;5;11;10;24;30;1;92
"290930 Correntina";8;2;-;3;6;10;11;17;14;14;24;67;-;176
"290940 Cotegipe";3;-;1;-;-;5;9;6;11;10;14;27;-;86
"290950 Cravolândia";2;-;-;-;-;2;1;5;1;3;11;15;-;40
"290960 Crisópolis";8;2;-;-;1;6;3;14;15;21;29;40;-;139
"290970 Cristópolis";5;-;-;-;4;1;9;4;6;7;7;28;-;71
"290980 Cruz das Almas";9;1;-;-;6;18;26;28;47;72;79;125;-;411
"290990 Curaçá";6;-;-;1;5;9;14;16;22;26;42;56;-;197
"291000 Dário Meira";1;1;-;-;1;5;4;4;15;7;9;15;-;62
"291005 Dias d'Ávila";17;-;1;3;22;27;41;35;60;94;56;66;-;422
"291010 Dom Basílio";3;2;1;-;2;1;2;5;5;7;14;28;-;70
"291020 Dom Macedo Costa";-;-;-;1;-;1;-;1;-;5;6;18;-;32
"291030 Elísio Medrado";1;-;-;1;1;3;1;5;6;6;9;23;-;56
"291040 Encruzilhada";5;-;1;1;3;6;5;14;17;20;34;27;-;133
"291050 Entre Rios";8;1;2;1;12;14;26;27;30;34;51;71;-;277
"290050 Érico Cardoso";4;-;-;-;-;1;3;4;12;8;19;34;-;85
"291060 Esplanada";7;1;3;-;13;11;17;21;21;25;41;57;-;217
"291070 Euclides da Cunha";20;2;1;3;6;18;16;20;38;56;76;134;-;390
"291072 Eunápolis";30;2;3;4;35;52;47;62;90;114;133;206;1;779
"291075 Fátima";5;1;-;1;2;5;5;8;9;13;24;32;-;105
"291077 Feira da Mata";-;-;-;-;1;1;2;3;3;3;3;8;-;24
"291080 Feira de Santana";151;16;13;22;108;278;263;313;461;596;684;895;7;3807
"291085 Filadélfia";4;-;-;-;-;4;6;8;3;9;27;30;-;91
"291090 Firmino Alves";1;-;-;-;-;-;2;1;6;6;6;17;-;39
"291100 Floresta Azul";1;-;-;1;-;1;5;7;12;12;10;22;-;71
"291110 Formosa do Rio Preto";6;2;1;-;2;7;13;15;14;19;20;32;-;131
"291120 Gandu";5;-;-;-;4;16;16;16;27;29;33;40;-;186
"291125 Gavião";1;-;-;-;-;3;-;3;2;4;4;15;-;32
"291130 Gentio do Ouro";2;-;-;-;1;1;1;5;8;4;15;28;-;65
"291140 Glória";6;2;1;-;1;3;9;8;11;20;18;31;-;110
"291150 Gongogi";3;-;-;-;1;4;3;2;3;8;6;16;-;46
"291160 Governador Mangabeira";4;2;-;-;5;11;9;14;13;27;19;42;-;146
"291165 Guajeru";-;-;-;-;1;-;1;-;6;9;10;29;-;56
"291170 Guanambi";10;2;2;2;8;27;27;50;68;63;97;166;-;522
"291180 Guaratinga";6;-;-;1;2;3;6;8;19;18;25;27;1;116
"291185 Heliópolis";1;1;-;-;2;5;2;2;8;13;19;39;-;92
"291190 Iaçu";5;-;-;1;4;14;8;16;23;13;32;74;-;190
"291200 Ibiassucê";2;1;-;-;-;2;2;5;6;7;8;33;-;66
"291210 Ibicaraí";4;1;-;-;6;1;11;7;14;28;45;63;-;180
"291220 Ibicoara";6;-;1;1;-;6;4;10;12;11;8;20;-;79
"291230 Ibicuí";2;-;-;-;1;7;3;6;8;14;20;50;-;111
"291240 Ibipeba";6;-;-;-;2;5;3;12;9;12;22;25;-;96
"291250 Ibipitanga";2;-;2;-;-;5;5;3;12;8;13;33;-;83
"291260 Ibiquera";1;-;-;-;-;1;1;1;1;5;2;8;-;20
"291270 Ibirapitanga";5;-;-;-;5;14;14;9;12;18;26;47;-;150
"291280 Ibirapuã";2;-;-;1;1;1;3;4;9;7;8;13;-;49
"291290 Ibirataia";8;-;-;1;2;6;5;13;26;28;27;47;-;163
"291300 Ibitiara";3;-;-;2;-;2;3;7;7;12;19;41;-;96
"291310 Ibititá";4;-;2;1;1;3;6;10;9;18;30;28;-;112
"291320 Ibotirama";12;6;-;-;10;18;14;21;20;25;32;45;1;204
"291330 Ichu";-;1;-;-;1;4;1;-;1;5;13;10;-;36
"291340 Igaporã";5;-;-;-;1;4;5;9;8;7;12;42;-;93
"291345 Igrapiúna";1;-;1;2;4;2;5;4;12;11;4;9;-;55
"291350 Iguaí";3;1;-;1;4;11;5;9;12;30;36;58;1;171
"291360 Ilhéus";47;7;2;6;30;89;77;87;174;192;275;363;1;1350
"291370 Inhambupe";10;1;3;-;10;17;26;19;21;27;44;70;-;248
"291380 Ipecaetá";4;-;-;1;3;2;4;7;10;18;20;44;-;113
"291390 Ipiaú";18;-;-;-;11;31;14;25;44;51;81;105;-;380
"291400 Ipirá";11;2;1;-;7;25;17;27;48;44;79;152;-;413
"291410 Ipupiara";-;1;-;1;1;2;2;3;12;11;17;32;-;82
"291420 Irajuba";-;-;-;-;-;2;3;3;4;4;9;11;-;36
"291430 Iramaia";3;-;-;1;-;2;1;5;2;7;9;22;-;52
"291440 Iraquara";3;1;1;-;2;5;5;10;20;26;29;51;-;153
"291450 Irará";4;-;-;-;5;13;8;15;20;34;31;71;-;201
"291460 Irecê";13;3;1;2;12;43;35;39;46;74;93;100;-;461
"291465 Itabela";9;-;-;5;15;20;16;18;17;36;30;39;-;205
"291470 Itaberaba";10;2;-;3;10;19;27;30;51;70;75;154;-;451
"291480 Itabuna";56;8;9;5;40;80;101;122;199;287;322;398;2;1629
"291490 Itacaré";7;1;1;-;3;14;13;8;14;13;21;13;-;108
"291500 Itaeté";-;-;1;1;2;4;5;7;9;10;13;16;-;68
"291510 Itagi";-;-;-;1;1;4;4;6;15;23;20;39;-;113
"291520 Itagibá";3;-;-;-;1;6;1;7;11;14;16;32;-;91
"291530 Itagimirim";2;1;-;-;1;5;2;5;3;5;17;22;-;63
"291535 Itaguaçu da Bahia";3;-;1;-;2;4;4;7;7;5;14;19;-;66
"291540 Itaju do Colônia";-;1;1;-;2;2;2;2;3;5;15;6;-;39
"291550 Itajuípe";6;-;2;3;7;3;8;21;15;27;32;52;-;176
"291560 Itamaraju";11;4;3;5;25;36;32;25;65;87;87;95;-;475
"291570 Itamari";2;-;-;-;1;2;1;2;4;6;8;16;-;42
"291580 Itambé";5;1;-;3;2;10;10;15;16;29;38;56;2;187
"291590 Itanagra";3;-;-;-;-;1;-;2;5;6;6;7;-;30
"291600 Itanhém";1;2;1;-;1;8;8;13;15;18;36;50;1;154
"291610 Itaparica";7;1;2;2;6;14;11;13;19;23;28;20;-;146
"291620 Itapé";4;-;-;-;-;4;4;7;14;9;18;26;-;86
"291630 Itapebi";2;-;-;-;5;8;7;3;13;11;14;15;-;78
"291640 Itapetinga";17;2;-;3;11;31;24;45;64;84;104;137;1;523
"291650 Itapicuru";11;2;1;-;4;7;11;17;21;20;37;49;-;180
"291660 Itapitanga";4;-;1;-;1;1;2;5;5;6;12;18;-;55
"291670 Itaquara";4;-;-;-;-;3;2;4;10;4;14;23;-;64
"291680 Itarantim";5;-;-;-;4;6;3;6;13;17;21;34;-;109
"291685 Itatim";2;1;-;1;6;6;10;10;7;8;7;32;-;90
"291690 Itiruçu";4;-;1;-;-;7;2;6;13;17;24;28;-;102
"291700 Itiúba";12;1;1;1;5;7;9;16;12;24;30;72;-;190
"291710 Itororó";4;2;-;-;2;4;6;5;8;17;39;42;-;129
"291720 Ituaçu";3;-;-;2;-;3;5;13;10;20;23;46;-;125
"291730 Ituberá";6;-;-;3;3;6;7;16;27;24;29;42;-;163
"291733 Iuiú";1;-;-;-;-;1;3;6;5;6;12;11;-;45
"291735 Jaborandi";2;1;-;-;-;3;6;2;8;6;10;11;-;49
"291740 Jacaraci";3;-;-;-;3;1;2;3;11;8;16;38;-;85
"291750 Jacobina";15;5;2;1;16;20;33;40;65;91;137;168;1;594
"291760 Jaguaquara";10;2;-;1;7;13;22;25;38;54;63;125;-;360
"291770 Jaguarari";10;2;1;-;5;9;3;17;25;15;50;80;-;217
"291780 Jaguaripe";3;-;-;1;2;6;8;9;3;20;24;20;-;96
"291790 Jandaíra";1;-;1;-;-;4;2;4;7;10;13;19;-;61
"291800 Jequié";33;6;-;4;25;73;66;82;143;178;200;346;-;1156
"291810 Jeremoabo";6;-;1;-;4;12;12;16;23;30;47;78;1;230
"291820 Jiquiriçá";1;-;-;-;1;2;3;2;10;15;21;34;-;89
"291830 Jitaúna";4;-;-;-;-;2;1;4;17;17;22;38;-;105
"291835 João Dourado";5;3;-;1;3;13;12;4;19;18;28;42;-;148
"291840 Juazeiro";78;10;4;10;28;74;100;118;171;183;231;323;2;1332
"291845 Jucuruçu";3;2;-;-;1;2;-;10;5;3;14;17;-;57
"291850 Jussara";5;-;-;-;1;4;7;7;13;20;29;28;-;114
"291855 Jussari";3;-;-;-;1;5;6;3;6;7;7;16;-;54
"291860 Jussiape";1;1;-;-;-;1;5;2;2;13;15;41;-;81
"291870 Lafaiete Coutinho";-;-;-;-;-;1;-;2;2;3;4;15;-;27
"291875 Lagoa Real";-;1;-;-;-;-;2;5;7;8;6;27;-;56
"291880 Laje";2;-;-;-;1;7;16;12;13;24;20;56;-;151
"291890 Lajedão";-;1;-;-;-;1;1;-;5;5;5;19;-;37
"291900 Lajedinho";1;-;-;-;-;1;-;1;3;2;5;4;-;17
"291905 Lajedo do Tabocal";-;-;-;-;-;2;1;3;5;5;9;20;-;45
"291910 Lamarão";1;-;-;-;1;4;3;6;4;7;4;23;-;53
"291915 Lapão";5;-;1;-;3;12;15;16;20;26;25;46;-;169
"291920 Lauro de Freitas";41;2;1;6;59;103;97;102;131;200;175;247;-;1164
"291930 Lençóis";2;-;-;-;-;5;8;6;5;11;7;15;-;59
"291940 Licínio de Almeida";4;-;-;-;-;2;5;4;12;9;14;28;-;78
"291950 Livramento de Nossa Senhora";4;1;1;1;1;3;10;11;24;30;53;98;-;237
"291955 Luís Eduardo Magalhães";23;7;1;1;14;36;36;28;33;34;29;23;1;266
"291960 Macajuba";2;-;-;-;2;2;5;7;12;12;11;26;-;79
"291970 Macarani";8;2;1;2;1;1;9;6;10;24;27;36;-;127
"291980 Macaúbas";11;1;1;1;1;7;11;10;25;29;48;95;-;240
"291990 Macururé";3;-;-;-;-;1;3;3;1;8;8;15;-;42
"291992 Madre de Deus";6;-;1;-;9;10;7;4;17;15;17;25;-;111
"291995 Maetinga";1;-;-;-;-;1;1;1;3;14;5;29;-;55
"292000 Maiquinique";2;-;-;-;-;4;1;5;4;17;9;13;-;55
"292010 Mairi";4;-;-;-;-;5;6;9;16;24;17;41;-;122
"292020 Malhada";2;1;1;1;-;-;14;9;9;12;19;18;-;86
"292030 Malhada de Pedras";-;-;-;-;-;5;3;2;2;7;15;25;-;59
"292040 Manoel Vitorino";1;1;1;1;1;3;1;9;3;13;14;27;-;75
"292045 Mansidão";4;-;1;1;2;2;2;2;-;6;6;12;-;38
"292050 Maracás";3;2;2;2;4;12;8;9;10;25;40;61;-;178
"292060 Maragogipe";5;2;-;-;11;21;20;13;30;43;59;68;-;272
"292070 Maraú";2;-;-;-;2;5;8;2;7;13;17;21;-;77
"292080 Marcionílio Souza";1;-;-;-;2;2;2;3;2;12;14;23;-;61
"292090 Mascote";3;-;-;-;8;6;5;5;10;9;14;23;-;83
"292100 Mata de São João";13;1;1;-;4;20;25;23;49;44;53;57;-;290
"292105 Matina";2;2;-;-;-;6;1;7;14;6;8;17;-;63
"292110 Medeiros Neto";2;3;1;-;2;8;15;19;25;30;52;60;-;217
"292120 Miguel Calmon";6;2;1;1;1;4;6;12;17;29;40;62;-;181
"292130 Milagres";2;1;-;-;5;3;5;4;9;6;11;21;-;67
"292140 Mirangaba";5;-;-;-;3;-;3;8;7;13;22;24;-;85
"292145 Mirante";3;-;-;-;-;2;-;1;5;2;10;23;-;46
"292150 Monte Santo";15;1;1;-;2;9;19;22;29;29;59;137;-;323
"292160 Morpará";3;2;-;1;-;2;3;3;4;11;14;23;-;66
"292170 Morro do Chapéu";9;3;-;-;3;14;13;20;29;37;52;75;-;255
"292180 Mortugaba";1;-;-;2;-;3;5;2;6;6;19;44;-;88
"292190 Mucugê";4;-;-;-;-;3;1;7;5;9;5;24;-;58
"292200 Mucuri";7;1;1;1;4;15;17;18;21;39;32;49;-;205
"292205 Mulungu do Morro";3;1;-;-;1;12;7;11;12;13;6;24;-;90
"292210 Mundo Novo";4;-;-;1;1;7;8;12;11;25;24;47;-;140
"292220 Muniz Ferreira";-;-;-;-;-;4;2;-;11;5;12;11;-;45
"292225 Muquém de São Francisco";4;-;-;-;1;2;1;5;6;8;9;7;-;43
"292230 Muritiba";5;-;-;-;7;13;16;17;13;38;56;62;-;227
"292240 Mutuípe";4;1;-;-;2;10;13;9;14;24;27;61;-;165
"292250 Nazaré";3;-;-;-;2;16;8;18;32;42;37;71;-;229
"292260 Nilo Peçanha";3;2;-;1;-;6;4;7;14;14;10;9;-;70
"292265 Nordestina";4;-;-;-;2;5;8;4;1;10;12;25;-;71
"292270 Nova Canaã";5;-;1;-;1;2;3;6;5;8;20;34;-;85
"292273 Nova Fátima";-;1;-;-;1;2;6;4;6;8;12;22;-;62
"292275 Nova Ibiá";2;-;-;-;-;1;-;2;6;2;3;11;-;27
"292280 Nova Itarana";3;2;-;-;-;4;6;3;7;9;9;21;-;64
"292285 Nova Redenção";2;1;-;-;-;1;1;6;1;8;11;21;-;52
"292290 Nova Soure";8;-;2;-;2;7;10;12;30;14;45;56;-;186
"292300 Nova Viçosa";12;4;-;2;14;12;15;13;35;46;55;69;-;277
"292303 Novo Horizonte";4;-;-;1;1;3;4;4;5;8;11;34;-;75
"292305 Novo Triunfo";3;-;-;2;-;2;5;7;5;7;12;25;-;68
"292310 Olindina";5;-;1;-;10;7;13;1;17;24;29;45;-;152
"292320 Oliveira dos Brejinhos";4;1;-;1;1;7;8;15;15;10;24;55;-;141
"292330 Ouriçangas";1;1;-;-;1;1;2;2;8;9;10;26;-;61
"292335 Ourolândia";3;3;-;-;-;6;7;17;12;25;21;12;-;106
"292340 Palmas de Monte Alto";5;-;-;-;-;2;10;18;13;20;15;42;-;125
"292350 Palmeiras";3;-;-;-;2;2;3;4;6;14;11;18;-;63
"292360 Paramirim";2;-;1;-;1;2;1;5;9;9;28;55;-;113
"292370 Paratinga";9;-;2;1;1;12;9;14;10;25;40;67;-;190
"292380 Paripiranga";4;1;-;2;1;6;5;11;15;23;43;69;-;180
"292390 Pau Brasil";5;-;-;1;-;4;6;5;8;15;18;11;-;73
"292400 Paulo Afonso";32;4;3;2;14;33;35;61;89;106;168;215;2;764
"292405 Pé de Serra";2;-;-;-;2;3;6;3;10;6;12;41;-;85
"292410 Pedrão";3;-;-;-;2;2;1;6;2;4;8;20;-;48
"292420 Pedro Alexandre";3;-;-;-;2;5;4;5;4;4;12;15;-;54
"292430 Piatã";4;-;-;-;1;1;5;5;15;20;24;48;-;123
"292440 Pilão Arcado";11;2;1;-;3;5;5;8;14;24;27;44;-;144
"292450 Pindaí";2;-;-;-;-;6;3;10;7;14;14;30;-;86
"292460 Pindobaçu";7;1;1;1;3;5;9;15;11;30;36;33;-;152
"292465 Pintadas";1;-;-;-;-;2;3;13;4;6;14;25;-;68
"292467 Piraí do Norte";2;-;-;-;2;-;3;1;11;9;4;9;-;41
"292470 Piripá";-;2;-;1;-;2;3;-;9;8;10;35;1;71
"292480 Piritiba";2;-;-;1;2;5;4;11;14;18;28;48;-;133
"292490 Planaltino";1;-;-;1;-;1;1;3;5;6;11;19;-;48
"292500 Planalto";4;1;-;-;1;9;10;11;17;19;35;49;-;156
"292510 Poções";10;-;3;2;10;14;28;26;35;43;73;120;1;365
"292520 Pojuca";8;1;1;1;20;14;15;18;12;35;33;48;-;206
"292525 Ponto Novo";5;-;-;-;-;1;12;9;12;18;23;25;-;105
"292530 Porto Seguro";38;7;6;3;49;86;53;76;100;109;136;144;4;811
"292540 Potiraguá";2;1;1;-;1;3;3;2;8;9;13;19;1;63
"292550 Prado";6;1;1;-;9;6;17;15;23;28;32;45;-;183
"292560 Presidente Dutra";4;-;-;-;-;2;2;8;9;16;23;36;-;100
"292570 Presidente Jânio Quadros";2;-;-;1;-;1;4;3;9;5;23;38;-;86
"292575 Presidente Tancredo Neves";6;1;2;1;3;8;6;9;13;20;17;44;-;130
"292580 Queimadas";3;1;2;1;5;7;5;11;7;23;29;79;-;173
"292590 Quijingue";4;-;1;-;2;4;5;4;16;15;32;59;-;142
"292593 Quixabeira";-;-;-;1;2;2;4;2;4;11;5;14;-;45
"292595 Rafael Jambeiro";4;1;1;1;2;3;5;14;18;21;31;59;-;160
"292600 Remanso";5;-;-;1;5;12;15;17;20;39;45;66;-;225
"292610 Retirolândia";1;2;1;-;1;2;4;5;8;6;11;26;-;67
"292620 Riachão das Neves";3;-;-;-;4;7;13;20;15;23;21;33;-;139
"292630 Riachão do Jacuípe";7;-;3;2;3;11;15;18;22;27;46;81;-;235
"292640 Riacho de Santana";3;-;-;1;4;8;7;14;13;20;31;72;-;173
"292650 Ribeira do Amparo";2;1;-;-;2;3;2;5;9;11;12;25;-;72
"292660 Ribeira do Pombal";10;3;-;-;5;14;21;23;33;42;105;111;-;367
"292665 Ribeirão do Largo";1;-;-;-;1;3;2;5;5;2;9;14;-;42
"292670 Rio de Contas";4;-;-;-;1;4;1;3;8;9;11;39;-;80
"292680 Rio do Antônio";2;-;-;-;1;2;3;4;7;10;20;35;-;84
"292690 Rio do Pires";2;-;-;-;-;-;2;2;10;7;6;28;-;57
"292700 Rio Real";8;1;2;3;8;17;17;24;28;47;47;81;-;283
"292710 Rodelas";3;-;1;1;1;7;6;4;8;8;9;20;-;68
"292720 Ruy Barbosa";9;-;1;1;3;9;10;13;19;35;46;76;-;222
"292730 Salinas da Margarida";3;-;-;-;2;6;7;6;9;16;21;20;-;90
"292740 Salvador";518;69;32;59;467;1115;985;1236;2126;2932;2977;4370;2;16888
"292750 Santa Bárbara";7;-;-;-;1;3;7;20;19;20;28;56;-;161
"292760 Santa Brígida";2;1;-;-;4;3;5;8;6;11;10;17;-;67
"292770 Santa Cruz Cabrália";5;2;1;-;12;11;12;12;14;30;22;27;-;148
"292780 Santa Cruz da Vitória";1;-;1;-;-;1;3;3;6;1;8;16;-;40
"292790 Santa Inês";-;-;-;1;1;3;3;4;8;11;16;44;-;91
"292805 Santa Luzia";5;1;1;2;1;7;5;9;7;17;17;22;-;94
"292810 Santa Maria da Vitória";8;2;1;-;1;18;18;23;24;31;44;71;2;243
"292840 Santa Rita de Cássia";10;2;2;-;1;6;14;13;12;17;31;62;-;170
"292850 Santa Teresinha";-;-;-;1;2;6;6;-;6;12;12;32;-;77
"292800 Santaluz";4;2;1;-;4;11;9;12;22;29;38;54;-;186
"292820 Santana";4;-;-;2;3;1;5;8;10;21;14;25;-;93
