Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Sexo
Período:2017
"Município-BA";"Masculino";"Feminino";"Ignorado";"Total"
"290830 Conceição do Almeida";68;68;-;136
"290840 Conceição do Coité";216;149;-;365
"290850 Conceição do Jacuípe";126;78;-;204
"290860 Conde";65;58;-;123
"290870 Condeúba";75;58;-;133
"290880 Contendas do Sincorá";21;11;-;32
"290890 Coração de Maria";92;79;-;171
"290900 Cordeiros";31;25;-;56
"290910 Coribe";37;42;-;79
"290920 Coronel João Sá";61;31;-;92
"290930 Correntina";88;88;-;176
"290940 Cotegipe";55;31;-;86
"290950 Cravolândia";20;20;-;40
"290960 Crisópolis";85;53;1;139
"290970 Cristópolis";35;36;-;71
"290980 Cruz das Almas";210;201;-;411
"290990 Curaçá";125;72;-;197
"291000 Dário Meira";32;30;-;62
"291005 Dias d'Ávila";263;159;-;422
"291010 Dom Basílio";40;30;-;70
"291020 Dom Macedo Costa";20;12;-;32
"291030 Elísio Medrado";30;26;-;56
"291040 Encruzilhada";81;52;-;133
"291050 Entre Rios";155;122;-;277
"290050 Érico Cardoso";45;40;-;85
"291060 Esplanada";125;92;-;217
"291070 Euclides da Cunha";234;156;-;390
"291072 Eunápolis";484;295;-;779
"291075 Fátima";64;41;-;105
"291077 Feira da Mata";14;10;-;24
"291080 Feira de Santana";2169;1636;3;3808
"291085 Filadélfia";59;32;-;91
"291090 Firmino Alves";15;24;-;39
"291100 Floresta Azul";42;29;-;71
"291110 Formosa do Rio Preto";85;46;-;131
"291120 Gandu";115;71;-;186
"291125 Gavião";16;16;-;32
"291130 Gentio do Ouro";37;28;-;65
"291140 Glória";70;39;1;110
"291150 Gongogi";29;17;-;46
"291160 Governador Mangabeira";85;61;-;146
"291165 Guajeru";27;29;-;56
"291170 Guanambi";298;224;-;522
"291180 Guaratinga";78;38;-;116
"291185 Heliópolis";52;40;-;92
"291190 Iaçu";116;74;-;190
"291200 Ibiassucê";37;29;-;66
"291210 Ibicaraí";114;66;-;180
"291220 Ibicoara";48;31;-;79
"291230 Ibicuí";66;45;-;111
"291240 Ibipeba";53;43;-;96
"291250 Ibipitanga";47;36;-;83
"291260 Ibiquera";9;11;-;20
"291270 Ibirapitanga";91;59;-;150
"291280 Ibirapuã";29;20;-;49
"291290 Ibirataia";94;69;-;163
"291300 Ibitiara";47;49;-;96
"291310 Ibititá";70;42;-;112
"291320 Ibotirama";125;78;1;204
"291330 Ichu";18;18;-;36
"291340 Igaporã";47;46;-;93
"291345 Igrapiúna";31;24;-;55
"291350 Iguaí";106;64;1;171
"291360 Ilhéus";793;555;2;1350
"291370 Inhambupe";144;104;-;248
"291380 Ipecaetá";61;52;-;113
"291390 Ipiaú";233;147;-;380
"291400 Ipirá";241;171;1;413
"291410 Ipupiara";48;34;-;82
"291420 Irajuba";21;15;-;36
"291430 Iramaia";34;18;-;52
"291440 Iraquara";89;64;-;153
"291450 Irará";109;92;-;201
"291460 Irecê";292;169;-;461
"291465 Itabela";130;74;1;205
"291470 Itaberaba";269;182;-;451
"291480 Itabuna";942;686;1;1629
"291490 Itacaré";73;35;-;108
"291500 Itaeté";45;23;-;68
"291510 Itagi";64;49;-;113
"291520 Itagibá";62;29;-;91
"291530 Itagimirim";33;30;-;63
"291535 Itaguaçu da Bahia";41;25;-;66
"291540 Itaju do Colônia";23;16;-;39
"291550 Itajuípe";113;63;-;176
"291560 Itamaraju";285;190;-;475
"291570 Itamari";25;17;-;42
"291580 Itambé";119;65;3;187
"291590 Itanagra";15;15;-;30
"291600 Itanhém";95;59;-;154
"291610 Itaparica";96;49;1;146
"291620 Itapé";41;45;-;86
"291630 Itapebi";49;29;-;78
"291640 Itapetinga";296;227;-;523
"291650 Itapicuru";114;66;-;180
"291660 Itapitanga";28;27;-;55
"291670 Itaquara";43;21;-;64
"291680 Itarantim";67;42;-;109
"291685 Itatim";49;41;-;90
"291690 Itiruçu";53;48;1;102
"291700 Itiúba";112;78;-;190
"291710 Itororó";84;45;-;129
"291720 Ituaçu";72;53;-;125
"291730 Ituberá";96;67;-;163
"291733 Iuiú";26;19;-;45
"291735 Jaborandi";34;15;-;49
"291740 Jacaraci";49;36;-;85
"291750 Jacobina";344;250;-;594
"291760 Jaguaquara";188;172;-;360
"291770 Jaguarari";127;90;-;217
"291780 Jaguaripe";59;37;-;96
"291790 Jandaíra";33;28;-;61
"291800 Jequié";673;483;-;1156
"291810 Jeremoabo";135;95;-;230
"291820 Jiquiriçá";52;37;-;89
"291830 Jitaúna";59;46;-;105
"291835 João Dourado";93;55;-;148
"291840 Juazeiro";759;572;1;1332
"291845 Jucuruçu";34;23;-;57
"291850 Jussara";65;49;-;114
"291855 Jussari";32;22;-;54
"291860 Jussiape";41;40;-;81
"291870 Lafaiete Coutinho";14;13;-;27
"291875 Lagoa Real";31;25;-;56
"291880 Laje";98;53;-;151
"291890 Lajedão";22;15;-;37
"291900 Lajedinho";8;9;-;17
"291905 Lajedo do Tabocal";27;18;-;45
"291910 Lamarão";29;24;-;53
"291915 Lapão";102;67;-;169
"291920 Lauro de Freitas";692;472;-;1164
"291930 Lençóis";39;20;-;59
"291940 Licínio de Almeida";43;35;-;78
"291950 Livramento de Nossa Senhora";135;102;-;237
"291955 Luís Eduardo Magalhães";191;76;-;267
"291960 Macajuba";43;36;-;79
"291970 Macarani";71;56;-;127
"291980 Macaúbas";125;115;-;240
"291990 Macururé";26;16;-;42
"291992 Madre de Deus";67;44;-;111
"291995 Maetinga";34;21;-;55
"292000 Maiquinique";35;20;-;55
"292010 Mairi";73;49;-;122
"292020 Malhada";53;33;-;86
"292030 Malhada de Pedras";37;22;-;59
"292040 Manoel Vitorino";40;35;-;75
"292045 Mansidão";23;15;-;38
"292050 Maracás";101;77;-;178
"292060 Maragogipe";170;102;-;272
"292070 Maraú";51;26;-;77
"292080 Marcionílio Souza";34;27;-;61
"292090 Mascote";55;28;-;83
"292100 Mata de São João";169;120;1;290
"292105 Matina";39;24;-;63
"292110 Medeiros Neto";143;74;-;217
"292120 Miguel Calmon";99;82;-;181
"292130 Milagres";47;20;-;67
"292140 Mirangaba";57;28;-;85
"292145 Mirante";31;15;-;46
"292150 Monte Santo";186;136;1;323
"292160 Morpará";41;25;-;66
"292170 Morro do Chapéu";155;100;-;255
"292180 Mortugaba";48;40;-;88
"292190 Mucugê";31;26;1;58
"292200 Mucuri";126;79;-;205
"292205 Mulungu do Morro";56;34;-;90
"292210 Mundo Novo";79;61;-;140
"292220 Muniz Ferreira";21;24;-;45
"292225 Muquém de São Francisco";31;12;-;43
"292230 Muritiba";119;108;-;227
"292240 Mutuípe";93;72;-;165
"292250 Nazaré";131;98;-;229
"292260 Nilo Peçanha";43;27;-;70
"292265 Nordestina";44;27;-;71
"292270 Nova Canaã";50;35;-;85
"292273 Nova Fátima";37;25;-;62
"292275 Nova Ibiá";18;9;-;27
"292280 Nova Itarana";30;34;-;64
"292285 Nova Redenção";27;25;-;52
"292290 Nova Soure";116;70;-;186
"292300 Nova Viçosa";162;115;-;277
"292303 Novo Horizonte";48;27;-;75
"292305 Novo Triunfo";43;25;-;68
"292310 Olindina";89;63;-;152
"292320 Oliveira dos Brejinhos";87;54;-;141
"292330 Ouriçangas";36;25;-;61
"292335 Ourolândia";75;31;-;106
"292340 Palmas de Monte Alto";77;48;-;125
"292350 Palmeiras";36;27;-;63
"292360 Paramirim";60;53;-;113
"292370 Paratinga";114;76;-;190
"292380 Paripiranga";92;87;1;180
"292390 Pau Brasil";46;27;-;73
"292400 Paulo Afonso";445;317;2;764
"292405 Pé de Serra";46;39;-;85
"292410 Pedrão";27;21;-;48
"292420 Pedro Alexandre";34;20;-;54
"292430 Piatã";73;50;-;123
"292440 Pilão Arcado";92;52;-;144
"292450 Pindaí";46;40;-;86
"292460 Pindobaçu";88;64;-;152
"292465 Pintadas";42;26;-;68
"292467 Piraí do Norte";24;17;-;41
"292470 Piripá";42;29;-;71
"292480 Piritiba";63;70;-;133
"292490 Planaltino";24;24;-;48
"292500 Planalto";91;65;-;156
"292510 Poções";205;160;-;365
"292520 Pojuca";120;86;-;206
"292525 Ponto Novo";61;44;-;105
"292530 Porto Seguro";526;282;4;812
"292540 Potiraguá";40;22;1;63
"292550 Prado";118;65;-;183
"292560 Presidente Dutra";55;45;-;100
"292570 Presidente Jânio Quadros";49;37;-;86
"292575 Presidente Tancredo Neves";72;58;-;130
"292580 Queimadas";94;79;-;173
"292590 Quijingue";84;58;-;142
"292593 Quixabeira";28;17;-;45
"292595 Rafael Jambeiro";95;65;-;160
"292600 Remanso";128;97;-;225
"292610 Retirolândia";44;23;-;67
"292620 Riachão das Neves";83;56;-;139
"292630 Riachão do Jacuípe";140;95;-;235
"292640 Riacho de Santana";94;79;-;173
"292650 Ribeira do Amparo";42;30;-;72
"292660 Ribeira do Pombal";219;148;-;367
"292665 Ribeirão do Largo";22;20;-;42
"292670 Rio de Contas";40;40;-;80
"292680 Rio do Antônio";47;36;1;84
"292690 Rio do Pires";32;25;-;57
"292700 Rio Real";179;104;-;283
"292710 Rodelas";44;24;-;68
"292720 Ruy Barbosa";131;90;1;222
"292730 Salinas da Margarida";41;49;-;90
"292740 Salvador";9148;7727;13;16888
"292750 Santa Bárbara";93;68;-;161
"292760 Santa Brígida";42;25;-;67
"292770 Santa Cruz Cabrália";94;54;-;148
"292780 Santa Cruz da Vitória";24;16;-;40
"292790 Santa Inês";48;43;-;91
"292805 Santa Luzia";62;32;-;94
"292810 Santa Maria da Vitória";146;96;1;243
"292840 Santa Rita de Cássia";102;68;-;170
"292850 Santa Teresinha";42;35;-;77
"292800 Santaluz";107;79;-;186
"292820 Santana";52;41;-;93
"292830 Santanópolis";31;38;-;69
"292860 Santo Amaro";214;164;1;379
"292870 Santo Antônio de Jesus";365;287;-;652
"292880 Santo Estêvão";196;152;-;348
"292890 São Desidério";75;47;-;122
"292895 São Domingos";27;26;-;53
"292910 São Felipe";76;57;-;133
"292900 São Félix";60;53;-;113
"292905 São Félix do Coribe";52;37;-;89
"292920 São Francisco do Conde";116;99;-;215
"292925 São Gabriel";66;42;1;109
"292930 São Gonçalo dos Campos";122;103;-;225
"292935 São José da Vitória";31;19;-;50
"292937 São José do Jacuípe";36;24;-;60
"292940 São Miguel das Matas";39;27;-;66
"292950 São Sebastião do Passé";149;103;-;252
"292960 Sapeaçu";78;49;-;127
"292970 Sátiro Dias";65;46;-;111
"292975 Saubara";62;29;-;91
"292980 Saúde";44;34;-;78
"292990 Seabra";155;112;1;268
"293000 Sebastião Laranjeiras";25;19;-;44
"293010 Senhor do Bonfim";310;225;-;535
"293020 Sento Sé";93;45;-;138
"293015 Serra do Ramalho";108;62;-;170
"293030 Serra Dourada";51;30;-;81
"293040 Serra Preta";90;56;-;146
"293050 Serrinha";287;202;1;490
"293060 Serrolândia";58;47;-;105
"293070 Simões Filho";517;312;1;830
"293075 Sítio do Mato";38;17;-;55
"293076 Sítio do Quinto";36;33;-;69
"293077 Sobradinho";88;45;-;133
"293080 Souto Soares";69;47;-;116
"293090 Tabocas do Brejo Velho";24;17;-;41
"293100 Tanhaçu";68;58;-;126
"293105 Tanque Novo";58;43;-;101
"293110 Tanquinho";41;30;-;71
"293120 Taperoá";68;36;-;104
"293130 Tapiramutá";52;33;-;85
"293135 Teixeira de Freitas";591;380;-;971
"293140 Teodoro Sampaio";30;22;-;52
"293150 Teofilândia";75;51;-;126
"293160 Teolândia";39;21;-;60
"293170 Terra Nova";36;34;-;70
"293180 Tremedal";57;48;-;105
"293190 Tucano";175;101;-;276
"293200 Uauá";88;70;-;158
"293210 Ubaíra";73;55;-;128
"293220 Ubaitaba";78;70;-;148
"293230 Ubatã";68;72;-;140
"293240 Uibaí";55;44;-;99
"293245 Umburanas";41;22;-;63
"293250 Una";94;47;-;141
"293260 Urandi";58;42;-;100
"293270 Uruçuca";80;61;-;141
"293280 Utinga";46;57;-;103
"293290 Valença";319;236;-;555
"293300 Valente";77;72;-;149
"293305 Várzea da Roça";49;24;-;73
"293310 Várzea do Poço";38;24;-;62
"293315 Várzea Nova";44;30;-;74
"293317 Varzedo";33;32;-;65
"293320 Vera Cruz";202;109;-;311
"293325 Vereda";22;17;-;39
"293330 Vitória da Conquista";1315;967;3;2285
"293340 Wagner";25;27;-;52
"293345 Wanderley";50;32;-;82
"293350 Wenceslau Guimarães";82;46;-;128
"293360 Xique-Xique";172;122;-;294
"290000 Município ignorado - BA";257;39;20;316
"Total";53167;38422;80;91669
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
