Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Escolaridade
Período:2017
"Município-BA";"Nenhuma";"1-3 anos";"4-7 anos";"8-11 anos";"12e+";"Ignorado";"Total"
"290790 Cipó";24;26;5;5;1;41;102
"290800 Coaraci";66;64;21;9;1;45;206
"290810 Cocos";17;10;5;4;-;63;99
"290820 Conceição da Feira";39;31;22;10;1;30;133
"290830 Conceição do Almeida";40;35;12;8;1;40;136
"290840 Conceição do Coité";9;186;94;36;4;36;365
"290850 Conceição do Jacuípe";48;40;28;30;3;55;204
"290860 Conde";30;22;16;12;2;41;123
"290870 Condeúba";34;38;7;2;-;52;133
"290880 Contendas do Sincorá";14;4;6;1;-;7;32
"290890 Coração de Maria";46;37;27;13;1;47;171
"290900 Cordeiros";22;10;3;1;-;20;56
"290910 Coribe";18;16;3;1;3;38;79
"290920 Coronel João Sá";40;22;6;1;2;21;92
"290930 Correntina";39;15;7;5;2;108;176
"290940 Cotegipe";37;23;5;2;-;19;86
"290950 Cravolândia";18;10;2;-;-;10;40
"290960 Crisópolis";41;28;13;4;-;53;139
"290970 Cristópolis";28;12;6;1;-;24;71
"290980 Cruz das Almas";84;116;69;57;15;70;411
"290990 Curaçá";59;50;36;12;-;40;197
"291000 Dário Meira";23;10;4;1;-;24;62
"291005 Dias d'Ávila";81;109;92;74;6;60;422
"291010 Dom Basílio";38;10;4;3;-;15;70
"291020 Dom Macedo Costa";15;13;3;1;-;-;32
"291030 Elísio Medrado";23;22;2;4;1;4;56
"291040 Encruzilhada";49;34;10;4;1;35;133
"291050 Entre Rios";22;31;46;29;7;142;277
"290050 Érico Cardoso";42;19;3;3;1;17;85
"291060 Esplanada";77;39;38;27;5;31;217
"291070 Euclides da Cunha";112;17;74;18;5;164;390
"291072 Eunápolis";190;205;95;54;14;221;779
"291075 Fátima";43;24;11;5;2;20;105
"291077 Feira da Mata";6;8;-;1;-;9;24
"291080 Feira de Santana";794;320;837;904;103;850;3808
"291085 Filadélfia";33;37;11;1;-;9;91
"291090 Firmino Alves";18;11;2;1;-;7;39
"291100 Floresta Azul";32;27;3;3;-;6;71
"291110 Formosa do Rio Preto";45;24;9;6;6;41;131
"291120 Gandu";64;48;26;30;5;13;186
"291125 Gavião";15;7;7;-;-;3;32
"291130 Gentio do Ouro";6;6;8;1;-;44;65
"291140 Glória";24;12;5;3;1;65;110
"291150 Gongogi";14;17;5;1;-;9;46
"291160 Governador Mangabeira";51;42;19;11;3;20;146
"291165 Guajeru";29;13;1;2;-;11;56
"291170 Guanambi";136;129;60;36;19;142;522
"291180 Guaratinga";42;16;13;1;-;44;116
"291185 Heliópolis";36;25;12;5;1;13;92
"291190 Iaçu";59;49;28;15;1;38;190
"291200 Ibiassucê";25;23;1;3;-;14;66
"291210 Ibicaraí";60;72;27;11;1;9;180
"291220 Ibicoara";19;34;6;1;1;18;79
"291230 Ibicuí";51;24;9;2;1;24;111
"291240 Ibipeba";22;31;25;5;-;13;96
"291250 Ibipitanga";40;14;4;1;-;24;83
"291260 Ibiquera";7;4;2;1;-;6;20
"291270 Ibirapitanga";65;41;17;4;1;22;150
"291280 Ibirapuã";17;13;9;5;-;5;49
"291290 Ibirataia";54;44;12;6;2;45;163
"291300 Ibitiara";27;25;8;3;-;33;96
"291310 Ibititá";10;22;19;5;1;55;112
"291320 Ibotirama";42;50;28;15;1;68;204
"291330 Ichu";7;13;4;4;-;8;36
"291340 Igaporã";30;37;6;5;3;12;93
"291345 Igrapiúna";17;14;3;3;1;17;55
"291350 Iguaí";23;26;6;4;-;112;171
"291360 Ilhéus";40;94;127;49;30;1010;1350
"291370 Inhambupe";87;33;39;28;4;57;248
"291380 Ipecaetá";42;18;14;3;-;36;113
"291390 Ipiaú";83;73;29;33;3;159;380
"291400 Ipirá";167;99;28;18;2;99;413
"291410 Ipupiara";25;33;6;-;1;17;82
"291420 Irajuba";15;10;4;2;1;4;36
"291430 Iramaia";13;6;6;1;-;26;52
"291440 Iraquara";53;65;17;7;-;11;153
"291450 Irará";48;41;29;17;1;65;201
"291460 Irecê";86;40;207;41;6;81;461
"291465 Itabela";81;39;38;11;1;35;205
"291470 Itaberaba";154;132;46;38;9;72;451
"291480 Itabuna";322;592;315;228;64;108;1629
"291490 Itacaré";21;23;20;5;1;38;108
"291500 Itaeté";17;23;9;2;-;17;68
"291510 Itagi";58;16;7;2;1;29;113
"291520 Itagibá";23;9;5;7;-;47;91
"291530 Itagimirim";22;7;7;1;1;25;63
"291535 Itaguaçu da Bahia";18;20;15;2;-;11;66
"291540 Itaju do Colônia";11;13;5;2;1;7;39
"291550 Itajuípe";46;64;21;15;2;28;176
"291560 Itamaraju";146;78;46;23;8;174;475
"291570 Itamari";21;8;2;2;-;9;42
"291580 Itambé";57;29;12;6;-;83;187
"291590 Itanagra";10;7;5;-;-;8;30
"291600 Itanhém";61;31;31;8;1;22;154
"291610 Itaparica";13;31;29;30;7;36;146
"291620 Itapé";26;35;8;4;-;13;86
"291630 Itapebi";29;10;17;8;-;14;78
"291640 Itapetinga";150;128;49;40;3;153;523
"291650 Itapicuru";74;36;26;11;3;30;180
"291660 Itapitanga";28;16;-;1;-;10;55
"291670 Itaquara";26;14;3;2;1;18;64
"291680 Itarantim";24;21;6;7;1;50;109
"291685 Itatim";31;24;15;6;-;14;90
"291690 Itiruçu";39;13;9;4;-;37;102
"291700 Itiúba";78;49;21;7;1;34;190
"291710 Itororó";54;38;8;11;-;18;129
"291720 Ituaçu";51;27;13;2;-;32;125
"291730 Ituberá";55;34;17;12;3;42;163
"291733 Iuiú";15;5;7;1;1;16;45
"291735 Jaborandi";23;8;5;2;1;10;49
"291740 Jacaraci";36;25;6;4;1;13;85
"291750 Jacobina";71;83;39;34;5;362;594
"291760 Jaguaquara";105;44;21;8;5;177;360
"291770 Jaguarari";83;54;22;12;4;42;217
"291780 Jaguaripe";39;15;15;5;1;21;96
"291790 Jandaíra";28;10;6;4;2;11;61
"291800 Jequié";197;174;88;81;25;591;1156
"291810 Jeremoabo";100;33;22;17;3;55;230
"291820 Jiquiriçá";47;19;12;2;1;8;89
"291830 Jitaúna";25;12;4;5;-;59;105
"291835 João Dourado";35;16;34;8;2;53;148
"291840 Juazeiro";257;320;195;106;28;426;1332
"291845 Jucuruçu";26;14;2;1;1;13;57
"291850 Jussara";42;9;46;5;1;11;114
"291855 Jussari";19;16;10;3;1;5;54
"291860 Jussiape";36;26;2;1;-;16;81
"291870 Lafaiete Coutinho";3;4;1;-;1;18;27
"291875 Lagoa Real";19;16;3;3;1;14;56
"291880 Laje";61;40;24;9;1;16;151
"291890 Lajedão";13;10;7;1;-;6;37
"291900 Lajedinho";5;4;-;1;-;7;17
"291905 Lajedo do Tabocal";14;6;1;-;1;23;45
"291910 Lamarão";15;15;7;2;-;14;53
"291915 Lapão";37;47;47;11;1;26;169
"291920 Lauro de Freitas";131;250;278;182;65;258;1164
"291930 Lençóis";17;11;8;6;-;17;59
"291940 Licínio de Almeida";36;20;4;6;1;11;78
"291950 Livramento de Nossa Senhora";102;64;19;20;2;30;237
"291955 Luís Eduardo Magalhães";20;45;51;25;7;119;267
"291960 Macajuba";30;25;6;5;-;13;79
"291970 Macarani";58;36;7;2;1;23;127
"291980 Macaúbas";93;79;13;9;-;46;240
"291990 Macururé";16;9;6;2;-;9;42
"291992 Madre de Deus";15;17;30;21;2;26;111
"291995 Maetinga";30;10;4;2;-;9;55
"292000 Maiquinique";26;19;5;1;-;4;55
"292010 Mairi";18;43;5;2;-;54;122
"292020 Malhada";33;13;12;3;1;24;86
"292030 Malhada de Pedras";23;13;2;3;-;18;59
"292040 Manoel Vitorino";17;7;5;3;-;43;75
"292045 Mansidão";9;11;4;1;-;13;38
"292050 Maracás";61;58;15;9;-;35;178
"292060 Maragogipe";85;82;42;26;2;35;272
"292070 Maraú";18;23;10;3;-;23;77
"292080 Marcionílio Souza";29;15;7;2;-;8;61
"292090 Mascote";32;20;15;8;-;8;83
"292100 Mata de São João";76;59;62;36;6;51;290
"292105 Matina";23;4;11;3;-;22;63
"292110 Medeiros Neto";79;38;62;23;2;13;217
"292120 Miguel Calmon";27;34;8;6;3;103;181
"292130 Milagres";23;22;4;4;-;14;67
"292140 Mirangaba";37;13;3;2;-;30;85
"292145 Mirante";21;9;3;-;-;13;46
"292150 Monte Santo";77;24;34;10;4;174;323
"292160 Morpará";22;25;6;4;-;9;66
"292170 Morro do Chapéu";62;89;38;20;6;40;255
"292180 Mortugaba";34;11;4;2;1;36;88
"292190 Mucugê";23;8;2;2;1;22;58
"292200 Mucuri";73;36;34;28;4;30;205
"292205 Mulungu do Morro";27;20;24;4;-;15;90
"292210 Mundo Novo";18;28;13;5;1;75;140
"292220 Muniz Ferreira";12;15;6;7;-;5;45
"292225 Muquém de São Francisco";12;13;5;4;-;9;43
"292230 Muritiba";64;73;33;16;3;38;227
"292240 Mutuípe";73;48;20;5;1;18;165
"292250 Nazaré";67;35;42;35;6;44;229
"292260 Nilo Peçanha";17;22;8;4;-;19;70
"292265 Nordestina";33;12;7;2;-;17;71
"292270 Nova Canaã";44;21;4;4;-;12;85
"292273 Nova Fátima";28;15;5;4;-;10;62
"292275 Nova Ibiá";13;8;2;-;-;4;27
"292280 Nova Itarana";20;13;2;3;-;26;64
"292285 Nova Redenção";26;10;6;5;-;5;52
"292290 Nova Soure";28;17;17;7;3;114;186
"292300 Nova Viçosa";100;53;34;23;8;59;277
"292303 Novo Horizonte";27;21;9;3;-;15;75
"292305 Novo Triunfo";30;14;3;4;1;16;68
"292310 Olindina";37;21;20;11;-;63;152
"292320 Oliveira dos Brejinhos";50;38;13;10;-;30;141
"292330 Ouriçangas";21;8;8;2;-;22;61
"292335 Ourolândia";23;21;7;5;1;49;106
"292340 Palmas de Monte Alto";41;23;15;6;1;39;125
"292350 Palmeiras";13;12;9;4;1;24;63
"292360 Paramirim";57;19;12;5;-;20;113
"292370 Paratinga";73;36;16;14;1;50;190
"292380 Paripiranga";52;65;9;6;2;46;180
"292390 Pau Brasil";24;25;6;4;1;13;73
"292400 Paulo Afonso";68;97;58;34;13;494;764
"292405 Pé de Serra";44;4;18;5;-;14;85
"292410 Pedrão";16;9;7;7;-;9;48
"292420 Pedro Alexandre";25;12;7;3;1;6;54
"292430 Piatã";36;32;9;5;1;40;123
"292440 Pilão Arcado";22;23;13;4;-;82;144
"292450 Pindaí";37;13;13;5;-;18;86
"292460 Pindobaçu";29;20;15;4;1;83;152
"292465 Pintadas";28;17;5;4;-;14;68
"292467 Piraí do Norte";9;17;5;2;1;7;41
"292470 Piripá";24;17;5;3;-;22;71
"292480 Piritiba";24;23;12;4;-;70;133
"292490 Planaltino";20;10;3;1;-;14;48
"292500 Planalto";34;25;8;2;-;87;156
"292510 Poções";109;49;54;25;3;125;365
"292520 Pojuca";42;40;43;37;6;38;206
"292525 Ponto Novo";21;27;13;5;-;39;105
"292530 Porto Seguro";168;146;193;108;35;162;812
"292540 Potiraguá";21;9;3;5;-;25;63
"292550 Prado";43;32;20;11;1;76;183
"292560 Presidente Dutra";29;25;20;7;1;18;100
"292570 Presidente Jânio Quadros";43;20;2;3;-;18;86
"292575 Presidente Tancredo Neves";65;28;12;7;-;18;130
"292580 Queimadas";51;41;12;5;-;64;173
"292590 Quijingue";68;22;10;4;1;37;142
"292593 Quixabeira";19;13;3;2;-;8;45
"292595 Rafael Jambeiro";45;25;12;10;1;67;160
"292600 Remanso";65;28;65;26;-;41;225
"292610 Retirolândia";26;15;3;6;-;17;67
"292620 Riachão das Neves";41;30;7;4;1;56;139
"292630 Riachão do Jacuípe";82;62;27;18;6;40;235
"292640 Riacho de Santana";49;33;7;3;2;79;173
"292650 Ribeira do Amparo";30;12;11;3;-;16;72
"292660 Ribeira do Pombal";128;81;29;16;4;109;367
"292665 Ribeirão do Largo";14;5;4;-;1;18;42
"292670 Rio de Contas";22;22;6;8;-;22;80
"292680 Rio do Antônio";36;24;2;3;2;17;84
"292690 Rio do Pires";27;13;4;2;-;11;57
"292700 Rio Real";105;71;54;21;1;31;283
"292710 Rodelas";20;10;15;6;-;17;68
"292720 Ruy Barbosa";60;60;26;23;1;52;222
"292730 Salinas da Margarida";19;29;18;7;2;15;90
"292740 Salvador";1279;3625;3482;3374;1126;4002;16888
"292750 Santa Bárbara";39;32;13;9;-;68;161
"292760 Santa Brígida";15;6;7;2;1;36;67
"292770 Santa Cruz Cabrália";42;22;33;13;6;32;148
"292780 Santa Cruz da Vitória";17;11;4;2;-;6;40
"292790 Santa Inês";38;16;7;1;1;28;91
"292805 Santa Luzia";22;23;15;2;-;32;94
"292810 Santa Maria da Vitória";72;38;24;12;2;95;243
"292840 Santa Rita de Cássia";33;34;10;8;1;84;170
"292850 Santa Teresinha";32;12;17;7;-;9;77
"292800 Santaluz";50;46;16;14;1;59;186
"292820 Santana";26;15;15;7;-;30;93
"292830 Santanópolis";29;13;5;2;-;20;69
"292860 Santo Amaro";88;79;66;62;8;76;379
"292870 Santo Antônio de Jesus";176;209;104;55;16;92;652
"292880 Santo Estêvão";105;57;24;28;4;130;348
"292890 São Desidério";46;18;7;6;1;44;122
"292895 São Domingos";29;4;8;2;-;10;53
"292910 São Felipe";48;36;24;8;2;15;133
"292900 São Félix";23;42;20;12;-;16;113
"292905 São Félix do Coribe";39;16;8;3;-;23;89
"292920 São Francisco do Conde";55;55;43;23;1;38;215
"292925 São Gabriel";36;24;24;7;2;16;109
"292930 São Gonçalo dos Campos";47;28;32;23;2;93;225
"292935 São José da Vitória";15;19;4;3;-;9;50
"292937 São José do Jacuípe";17;11;7;3;-;22;60
"292940 São Miguel das Matas";24;20;3;2;-;17;66
"292950 São Sebastião do Passé";46;67;43;32;3;61;252
"292960 Sapeaçu";41;40;14;9;1;22;127
"292970 Sátiro Dias";44;20;15;7;-;25;111
"292975 Saubara";15;35;15;8;1;17;91
"292980 Saúde";15;16;8;5;-;34;78
"292990 Seabra";22;33;23;10;1;179;268
"293000 Sebastião Laranjeiras";17;8;4;-;-;15;44
"293010 Senhor do Bonfim";115;153;81;49;13;124;535
"293020 Sento Sé";30;33;14;8;3;50;138
"293015 Serra do Ramalho";54;29;13;11;-;63;170
"293030 Serra Dourada";30;23;16;3;-;9;81
"293040 Serra Preta";66;29;11;4;-;36;146
"293050 Serrinha";112;118;47;57;10;146;490
"293060 Serrolândia";16;21;9;2;2;55;105
"293070 Simões Filho";107;233;226;114;8;142;830
"293075 Sítio do Mato";14;15;14;6;-;6;55
"293076 Sítio do Quinto";33;23;5;-;-;8;69
"293077 Sobradinho";22;19;13;4;2;73;133
"293080 Souto Soares";18;13;13;4;-;68;116
"293090 Tabocas do Brejo Velho";16;8;3;2;1;11;41
"293100 Tanhaçu";43;36;6;3;1;37;126
"293105 Tanque Novo";32;50;6;3;-;10;101
"293110 Tanquinho";19;16;8;10;1;17;71
"293120 Taperoá";36;29;17;5;1;16;104
"293130 Tapiramutá";21;14;6;2;2;40;85
"293135 Teixeira de Freitas";338;299;123;88;20;103;971
"293140 Teodoro Sampaio";20;11;13;1;-;7;52
"293150 Teofilândia";51;38;6;6;1;24;126
"293160 Teolândia";26;17;4;2;-;11;60
"293170 Terra Nova";21;23;8;6;2;10;70
"293180 Tremedal";31;24;5;3;1;41;105
"293190 Tucano";85;65;35;14;1;76;276
"293200 Uauá";33;30;14;8;-;73;158
"293210 Ubaíra";66;33;10;3;2;14;128
"293220 Ubaitaba";42;52;18;10;3;23;148
"293230 Ubatã";39;33;16;9;3;40;140
"293240 Uibaí";39;21;19;8;2;10;99
"293245 Umburanas";12;7;4;4;-;36;63
"293250 Una";30;25;19;4;3;60;141
"293260 Urandi";42;13;17;3;-;25;100
"293270 Uruçuca";29;26;14;3;1;68;141
"293280 Utinga";26;19;8;13;1;36;103
"293290 Valença";171;75;94;63;16;136;555
"293300 Valente";45;19;17;12;2;54;149
"293305 Várzea da Roça";14;17;5;-;-;37;73
"293310 Várzea do Poço";15;19;4;-;1;23;62
"293315 Várzea Nova";16;16;7;4;-;31;74
"293317 Varzedo";38;12;4;-;1;10;65
"293320 Vera Cruz";45;62;79;42;10;73;311
"293325 Vereda";22;10;1;-;-;6;39
"293330 Vitória da Conquista";610;676;313;212;78;396;2285
"293340 Wagner";18;15;8;3;-;8;52
"293345 Wanderley";35;18;5;1;-;23;82
"293350 Wenceslau Guimarães";47;29;16;4;-;32;128
"293360 Xique-Xique";80;66;84;20;4;40;294
"290000 Município ignorado - BA";2;9;6;5;1;293;316
"Total";21697;19643;13975;9610;2277;24467;91669
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
