Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária OPAS
Período:2017
"Município-BA";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"290590 Campo Alegre de Lourdes";2;4;-;4;7;11;12;11;23;40;-;114
"290600 Campo Formoso";14;1;2;14;21;30;29;52;73;131;-;367
"290610 Canápolis";1;1;-;-;3;4;2;4;8;15;-;38
"290620 Canarana";5;1;-;12;10;10;10;14;27;63;-;152
"290630 Canavieiras";10;1;3;11;20;12;11;37;33;82;-;220
"290640 Candeal";1;-;2;4;1;4;10;7;10;31;-;70
"290650 Candeias";16;3;8;38;42;45;48;76;92;137;-;505
"290660 Candiba";2;-;-;2;5;5;7;5;12;42;-;80
"290670 Cândido Sales";8;1;1;5;7;13;20;27;32;85;-;199
"290680 Cansanção";9;1;1;8;13;12;25;29;38;101;1;238
"290682 Canudos";6;-;2;2;2;3;4;16;16;39;-;90
"290685 Capela do Alto Alegre";-;-;1;1;1;3;10;7;10;51;-;84
"290687 Capim Grosso";6;2;2;10;12;13;14;23;40;86;-;208
"290689 Caraíbas";-;-;-;-;3;3;4;10;7;37;-;64
"290690 Caravelas";3;2;3;5;5;8;21;16;24;64;-;151
"290700 Cardeal da Silva";2;-;-;2;3;2;6;4;7;15;-;41
"290710 Carinhanha";7;2;1;3;6;16;17;14;23;57;-;146
"290720 Casa Nova";21;1;3;13;29;40;30;40;64;147;-;388
"290730 Castro Alves";7;-;-;3;4;13;15;32;43;92;-;209
"290740 Catolândia";1;-;-;-;-;-;3;-;1;3;-;8
"290750 Catu";8;-;4;12;17;16;29;49;62;119;1;317
"290755 Caturama";1;-;-;-;1;1;5;8;9;28;-;53
"290760 Central";1;-;1;1;3;13;5;17;18;51;-;110
"290770 Chorrochó";5;-;1;2;2;7;5;8;7;36;-;73
"290780 Cícero Dantas";6;-;2;5;7;9;13;17;44;108;1;212
"290790 Cipó";7;1;1;1;5;6;9;6;20;46;-;102
"290800 Coaraci";7;-;-;5;4;10;21;22;43;94;-;206
"290810 Cocos";4;1;3;4;4;5;10;11;13;44;-;99
"290820 Conceição da Feira";5;-;1;10;12;5;14;6;24;56;-;133
"290830 Conceição do Almeida";2;-;-;-;10;8;9;18;17;72;-;136
"290840 Conceição do Coité";12;4;4;32;20;20;23;36;61;153;-;365
"290850 Conceição do Jacuípe";2;-;1;14;10;20;18;24;47;68;-;204
"290860 Conde";7;2;-;11;8;9;8;15;24;39;-;123
"290870 Condeúba";2;-;-;-;5;1;9;14;24;78;-;133
"290880 Contendas do Sincorá";1;-;-;-;2;1;-;7;6;15;-;32
"290890 Coração de Maria";1;-;4;11;8;15;12;18;34;68;-;171
"290900 Cordeiros";1;-;1;-;2;1;2;4;13;32;-;56
"290910 Coribe";1;-;-;3;4;4;4;13;11;39;-;79
"290920 Coronel João Sá";1;1;2;-;3;7;6;13;16;42;1;92
"290930 Correntina";8;2;3;9;14;14;15;13;13;85;-;176
"290940 Cotegipe";3;-;1;3;6;7;11;7;14;34;-;86
"290950 Cravolândia";2;-;-;-;2;2;5;1;6;22;-;40
"290960 Crisópolis";8;2;-;5;3;9;13;19;22;58;-;139
"290970 Cristópolis";5;-;-;4;3;10;3;7;7;32;-;71
"290980 Cruz das Almas";9;1;-;15;23;33;33;56;76;165;-;411
"290990 Curaçá";6;-;1;11;7;20;20;19;31;82;-;197
"291000 Dário Meira";1;1;-;3;5;4;9;11;9;19;-;62
"291005 Dias d'Ávila";17;-;4;37;33;38;45;79;77;92;-;422
"291010 Dom Basílio";3;2;1;2;1;4;7;3;12;35;-;70
"291020 Dom Macedo Costa";-;-;1;1;-;1;-;2;3;24;-;32
"291030 Elísio Medrado";1;-;1;4;-;3;6;5;8;28;-;56
"291040 Encruzilhada";5;-;2;6;5;7;20;14;25;49;-;133
"291050 Entre Rios";8;1;3;22;18;26;29;34;49;87;-;277
"290050 Érico Cardoso";4;-;-;-;1;6;10;6;15;43;-;85
"291060 Esplanada";7;1;3;19;13;20;20;19;38;77;-;217
"291070 Euclides da Cunha";20;2;4;21;12;17;27;41;62;184;-;390
"291072 Eunápolis";30;2;7;62;50;51;76;91;126;283;1;779
"291075 Fátima";5;1;1;4;5;7;8;10;18;46;-;105
"291077 Feira da Mata";-;-;-;2;-;3;3;3;3;10;-;24
"291080 Feira de Santana";151;16;35;270;249;272;402;530;655;1220;7;3807
"291085 Filadélfia";4;-;-;3;2;9;5;9;20;39;-;91
"291090 Firmino Alves";1;-;-;-;1;2;6;3;5;21;-;39
"291100 Floresta Azul";1;-;1;-;5;6;6;13;11;28;-;71
"291110 Formosa do Rio Preto";6;2;1;4;10;15;15;15;23;40;-;131
"291120 Gandu";5;-;-;17;13;12;27;24;27;61;-;186
"291125 Gavião";1;-;-;1;2;2;2;2;5;17;-;32
"291130 Gentio do Ouro";2;-;-;2;1;3;5;7;9;36;-;65
"291140 Glória";6;2;1;4;6;6;13;13;15;44;-;110
"291150 Gongogi";3;-;-;4;3;2;2;5;9;18;-;46
"291160 Governador Mangabeira";4;2;-;8;10;15;11;20;27;49;-;146
"291165 Guajeru";-;-;-;1;-;1;1;10;7;36;-;56
"291170 Guanambi";10;2;4;22;27;36;63;54;86;218;-;522
"291180 Guaratinga";6;-;1;3;5;8;11;17;23;41;1;116
"291185 Heliópolis";1;1;-;5;4;1;6;7;20;47;-;92
"291190 Iaçu";5;-;1;11;12;8;20;21;24;88;-;190
"291200 Ibiassucê";2;1;-;1;2;4;3;6;11;36;-;66
"291210 Ibicaraí";4;1;-;7;8;7;11;18;42;82;-;180
"291220 Ibicoara";6;-;2;5;3;7;13;12;5;26;-;79
"291230 Ibicuí";2;-;-;8;2;2;6;11;18;62;-;111
"291240 Ibipeba";6;-;-;5;5;4;12;11;12;41;-;96
"291250 Ibipitanga";2;-;2;2;5;4;8;11;12;37;-;83
"291260 Ibiquera";1;-;-;1;-;1;1;2;4;10;-;20
"291270 Ibirapitanga";5;-;-;14;15;7;12;19;14;64;-;150
"291280 Ibirapuã";2;-;1;2;1;6;5;5;9;18;-;49
"291290 Ibirataia";8;-;1;6;5;7;21;26;31;58;-;163
"291300 Ibitiara";3;-;2;2;2;6;4;9;16;52;-;96
"291310 Ibititá";4;-;3;2;3;11;10;10;25;44;-;112
"291320 Ibotirama";12;6;-;20;16;19;19;18;28;65;1;204
"291330 Ichu";-;1;-;3;2;1;1;2;8;18;-;36
"291340 Igaporã";5;-;-;2;5;8;7;9;8;49;-;93
"291345 Igrapiúna";1;-;3;5;3;5;9;8;9;12;-;55
"291350 Iguaí";3;1;1;7;12;6;11;23;27;79;1;171
"291360 Ilhéus";47;7;8;74;82;82;123;181;247;498;1;1350
"291370 Inhambupe";10;1;3;20;21;20;23;20;39;91;-;248
"291380 Ipecaetá";4;-;1;5;2;3;10;13;18;57;-;113
"291390 Ipiaú";18;-;-;26;20;20;30;59;62;145;-;380
"291400 Ipirá";11;2;1;21;21;17;40;48;60;192;-;413
"291410 Ipupiara";-;1;1;2;2;1;8;12;14;41;-;82
"291420 Irajuba";-;-;-;1;2;3;4;3;11;12;-;36
"291430 Iramaia";3;-;1;-;3;2;5;4;8;26;-;52
"291440 Iraquara";3;1;1;6;3;8;15;26;25;65;-;153
"291450 Irará";4;-;-;11;12;9;21;24;32;88;-;201
"291460 Irecê";13;3;3;38;31;37;45;61;82;148;-;461
"291465 Itabela";9;-;5;28;15;18;16;21;39;54;-;205
"291470 Itaberaba";10;2;3;20;24;28;41;55;71;197;-;451
"291480 Itabuna";56;8;14;85;86;105;155;240;303;575;2;1629
"291490 Itacaré";7;1;1;12;11;12;6;17;18;23;-;108
"291500 Itaeté";-;-;2;4;4;5;7;12;14;20;-;68
"291510 Itagi";-;-;1;3;4;7;8;22;20;48;-;113
"291520 Itagibá";3;-;-;4;3;3;9;17;9;43;-;91
"291530 Itagimirim";2;1;-;4;2;3;5;2;10;34;-;63
"291535 Itaguaçu da Bahia";3;-;1;5;3;6;8;3;10;27;-;66
"291540 Itaju do Colônia";-;1;1;4;1;2;3;3;8;16;-;39
"291550 Itajuípe";6;-;5;8;4;15;18;20;32;68;-;176
"291560 Itamaraju";11;4;8;42;35;28;42;77;89;139;-;475
"291570 Itamari";2;-;-;2;1;2;3;5;7;20;-;42
"291580 Itambé";5;1;3;10;5;14;15;16;38;78;2;187
"291590 Itanagra";3;-;-;1;-;-;7;4;5;10;-;30
"291600 Itanhém";1;2;1;6;8;12;12;13;31;67;1;154
"291610 Itaparica";7;1;4;14;15;6;20;20;19;40;-;146
"291620 Itapé";4;-;-;1;5;8;8;10;12;38;-;86
"291630 Itapebi";2;-;-;9;6;7;7;11;12;24;-;78
"291640 Itapetinga";17;2;3;32;19;41;39;79;99;191;1;523
"291650 Itapicuru";11;2;1;8;7;13;18;22;35;63;-;180
"291660 Itapitanga";4;-;1;1;1;3;7;4;13;21;-;55
"291670 Itaquara";4;-;-;1;2;4;7;5;11;30;-;64
"291680 Itarantim";5;-;-;7;5;4;9;13;17;49;-;109
"291685 Itatim";2;1;1;10;11;5;9;8;8;35;-;90
"291690 Itiruçu";4;-;1;6;2;5;11;13;12;48;-;102
"291700 Itiúba";12;1;2;9;8;11;11;17;27;92;-;190
"291710 Itororó";4;2;-;4;4;6;6;13;27;63;-;129
"291720 Ituaçu";3;-;2;1;3;7;13;15;23;58;-;125
"291730 Ituberá";6;-;3;7;5;10;20;28;28;56;-;163
"291733 Iuiú";1;-;-;-;2;6;4;6;9;17;-;45
"291735 Jaborandi";2;1;-;1;4;4;6;9;7;15;-;49
"291740 Jacaraci";3;-;-;3;2;2;5;11;10;49;-;85
"291750 Jacobina";15;5;3;26;24;41;58;66;123;232;1;594
"291760 Jaguaquara";10;2;1;16;13;25;31;44;63;155;-;360
"291770 Jaguarari";10;2;1;10;5;10;21;18;35;105;-;217
"291780 Jaguaripe";3;-;1;3;8;11;4;12;21;33;-;96
"291790 Jandaíra";1;-;1;3;2;4;3;10;10;27;-;61
"291800 Jequié";33;6;4;58;79;53;122;165;195;441;-;1156
"291810 Jeremoabo";6;-;1;10;9;12;23;30;42;96;1;230
"291820 Jiquiriçá";1;-;-;1;3;2;6;13;17;46;-;89
"291830 Jitaúna";4;-;-;1;2;-;13;15;24;46;-;105
"291835 João Dourado";5;3;1;11;7;10;14;15;30;52;-;148
"291840 Juazeiro";78;10;14;60;85;112;141;168;210;452;2;1332
"291845 Jucuruçu";3;2;-;2;1;8;5;3;7;26;-;57
"291850 Jussara";5;-;-;2;5;8;10;15;26;43;-;114
"291855 Jussari";3;-;-;6;1;6;4;8;6;20;-;54
"291860 Jussiape";1;1;-;-;5;3;-;4;20;47;-;81
"291870 Lafaiete Coutinho";-;-;-;-;1;-;3;3;4;16;-;27
"291875 Lagoa Real";-;1;-;-;2;3;5;9;5;31;-;56
"291880 Laje";2;-;-;6;7;17;15;14;24;66;-;151
"291890 Lajedão";-;1;-;-;2;-;2;5;6;21;-;37
"291900 Lajedinho";1;-;-;1;-;1;2;2;5;5;-;17
"291905 Lajedo do Tabocal";-;-;-;2;-;3;4;2;13;21;-;45
"291910 Lamarão";1;-;-;3;3;4;5;7;4;26;-;53
"291915 Lapão";5;-;1;7;15;15;19;21;25;61;-;169
"291920 Lauro de Freitas";41;2;7;117;96;90;122;166;190;333;-;1164
"291930 Lençóis";2;-;-;1;9;7;3;9;8;20;-;59
"291940 Licínio de Almeida";4;-;-;2;2;5;7;11;9;38;-;78
"291950 Livramento de Nossa Senhora";4;1;2;2;6;11;17;27;39;128;-;237
"291955 Luís Eduardo Magalhães";23;7;2;30;40;30;26;37;34;36;1;266
"291960 Macajuba";2;-;-;3;5;5;10;12;10;32;-;79
"291970 Macarani";8;2;3;1;3;9;6;19;28;48;-;127
"291980 Macaúbas";11;1;2;5;11;10;15;30;33;122;-;240
"291990 Macururé";3;-;-;1;2;2;2;2;11;19;-;42
"291992 Madre de Deus";6;-;1;17;7;4;9;14;22;31;-;111
"291995 Maetinga";1;-;-;1;-;2;2;4;15;30;-;55
"292000 Maiquinique";2;-;-;3;2;1;6;11;12;18;-;55
"292010 Mairi";4;-;-;1;7;7;11;20;19;53;-;122
"292020 Malhada";2;1;2;-;7;11;8;11;14;30;-;86
"292030 Malhada de Pedras";-;-;-;2;5;3;1;5;7;36;-;59
"292040 Manoel Vitorino";1;1;2;4;1;2;9;6;12;37;-;75
"292045 Mansidão";4;-;2;3;2;1;2;4;6;14;-;38
"292050 Maracás";3;2;4;12;8;10;5;18;32;84;-;178
"292060 Maragogipe";5;2;-;24;17;17;15;43;54;95;-;272
"292070 Maraú";2;-;-;5;4;7;4;10;15;30;-;77
"292080 Marcionílio Souza";1;-;-;4;1;1;3;7;13;31;-;61
"292090 Mascote";3;-;-;14;4;3;6;10;15;28;-;83
"292100 Mata de São João";13;1;1;13;26;21;33;47;54;81;-;290
"292105 Matina";2;2;-;3;4;4;11;9;7;21;-;63
"292110 Medeiros Neto";2;3;1;7;11;17;22;24;41;89;-;217
"292120 Miguel Calmon";6;2;2;2;8;6;13;25;29;88;-;181
"292130 Milagres";2;1;-;8;3;4;9;6;10;24;-;67
"292140 Mirangaba";5;-;-;3;1;4;7;14;19;32;-;85
"292145 Mirante";3;-;-;1;1;-;2;4;7;28;-;46
"292150 Monte Santo";15;1;1;4;15;23;22;31;42;169;-;323
"292160 Morpará";3;2;1;-;5;2;2;8;11;32;-;66
"292170 Morro do Chapéu";9;3;-;9;12;20;24;32;47;99;-;255
"292180 Mortugaba";1;-;2;-;7;2;4;5;9;58;-;88
"292190 Mucugê";4;-;-;1;3;3;6;8;6;27;-;58
"292200 Mucuri";7;1;2;8;19;18;15;33;36;66;-;205
"292205 Mulungu do Morro";3;1;-;7;11;7;8;15;11;27;-;90
"292210 Mundo Novo";4;-;1;6;5;11;9;20;21;63;-;140
"292220 Muniz Ferreira";-;-;-;4;1;1;3;9;8;19;-;45
"292225 Muquém de São Francisco";4;-;-;3;1;1;10;3;9;12;-;43
"292230 Muritiba";5;-;-;15;11;19;12;26;41;98;-;227
"292240 Mutuípe";4;1;-;6;10;12;14;13;25;80;-;165
"292250 Nazaré";3;-;-;13;8;11;24;43;38;89;-;229
"292260 Nilo Peçanha";3;2;1;3;6;6;8;14;14;13;-;70
"292265 Nordestina";4;-;-;5;6;5;3;5;13;30;-;71
"292270 Nova Canaã";5;-;1;3;2;4;5;7;16;42;-;85
"292273 Nova Fátima";-;1;-;2;4;5;5;6;12;27;-;62
"292275 Nova Ibiá";2;-;-;1;-;1;5;4;1;13;-;27
"292280 Nova Itarana";3;2;-;4;3;5;6;8;7;26;-;64
"292285 Nova Redenção";2;1;-;1;-;5;3;3;15;22;-;52
"292290 Nova Soure";8;-;2;7;4;14;19;23;36;73;-;186
"292300 Nova Viçosa";12;4;2;20;15;12;26;42;51;93;-;277
"292303 Novo Horizonte";4;-;1;1;4;4;7;7;11;36;-;75
"292305 Novo Triunfo";3;-;2;-;4;7;7;2;10;33;-;68
"292310 Olindina";5;-;1;14;10;7;10;19;22;64;-;152
"292320 Oliveira dos Brejinhos";4;1;1;4;9;11;16;10;21;64;-;141
"292330 Ouriçangas";1;1;-;2;-;3;3;11;6;34;-;61
"292335 Ourolândia";3;3;-;2;8;16;12;14;23;25;-;106
"292340 Palmas de Monte Alto";5;-;-;1;7;9;20;16;21;46;-;125
"292350 Palmeiras";3;-;-;4;2;4;4;7;14;25;-;63
"292360 Paramirim";2;-;1;1;3;3;8;8;16;71;-;113
"292370 Paratinga";9;-;3;9;12;5;14;12;39;87;-;190
"292380 Paripiranga";4;1;2;3;5;10;9;21;36;89;-;180
"292390 Pau Brasil";5;-;1;1;5;5;8;10;19;19;-;73
"292400 Paulo Afonso";32;4;5;33;34;43;78;99;133;301;2;764
"292405 Pé de Serra";2;-;-;4;5;4;5;7;9;49;-;85
"292410 Pedrão";3;-;-;3;2;3;5;2;4;26;-;48
"292420 Pedro Alexandre";3;-;-;6;4;6;1;4;7;23;-;54
"292430 Piatã";4;-;-;1;3;5;9;16;25;60;-;123
"292440 Pilão Arcado";11;2;1;7;2;10;8;17;25;61;-;144
"292450 Pindaí";2;-;-;4;3;8;7;9;15;38;-;86
"292460 Pindobaçu";7;1;2;6;5;12;15;18;35;51;-;152
"292465 Pintadas";1;-;-;2;1;6;11;6;12;29;-;68
"292467 Piraí do Norte";2;-;-;2;2;2;2;13;8;10;-;41
"292470 Piripá";-;2;1;1;3;1;8;5;9;40;1;71
"292480 Piritiba";2;-;1;4;4;7;11;16;29;59;-;133
"292490 Planaltino";1;-;1;-;1;2;3;6;6;28;-;48
"292500 Planalto";4;1;-;6;10;8;14;17;27;69;-;156
"292510 Poções";10;-;5;15;26;21;34;36;55;162;1;365
"292520 Pojuca";8;1;2;28;10;17;20;18;33;69;-;206
"292525 Ponto Novo";5;-;-;1;7;10;10;13;21;38;-;105
"292530 Porto Seguro";38;7;9;105;59;63;83;110;131;202;4;811
"292540 Potiraguá";2;1;1;2;3;3;3;10;14;23;1;63
"292550 Prado";6;1;1;12;14;12;23;27;21;66;-;183
"292560 Presidente Dutra";4;-;-;-;4;2;9;14;19;48;-;100
"292570 Presidente Jânio Quadros";2;-;1;-;1;6;3;8;11;54;-;86
"292575 Presidente Tancredo Neves";6;1;3;9;6;7;9;16;20;53;-;130
"292580 Queimadas";3;1;3;10;4;7;9;12;36;88;-;173
"292590 Quijingue";4;-;1;4;3;5;8;17;23;77;-;142
"292593 Quixabeira";-;-;1;2;2;5;2;7;11;15;-;45
"292595 Rafael Jambeiro";4;1;2;3;6;3;20;20;28;73;-;160
"292600 Remanso";5;-;1;12;8;21;17;29;41;91;-;225
"292610 Retirolândia";1;2;1;2;3;6;6;4;9;33;-;67
"292620 Riachão das Neves";3;-;-;7;12;15;19;20;17;46;-;139
"292630 Riachão do Jacuípe";7;-;5;7;16;13;24;18;36;109;-;235
"292640 Riacho de Santana";3;-;1;8;7;7;14;18;26;89;-;173
"292650 Ribeira do Amparo";2;1;-;3;2;6;6;10;7;35;-;72
"292660 Ribeira do Pombal";10;3;-;12;16;18;40;28;74;166;-;367
"292665 Ribeirão do Largo";1;-;-;4;2;3;6;2;3;21;-;42
"292670 Rio de Contas";4;-;-;4;1;4;4;11;5;47;-;80
"292680 Rio do Antônio";2;-;-;2;1;4;6;8;15;46;-;84
"292690 Rio do Pires";2;-;-;-;1;1;5;10;8;30;-;57
"292700 Rio Real";8;1;5;17;18;24;21;36;47;106;-;283
"292710 Rodelas";3;-;2;6;5;6;7;8;7;24;-;68
"292720 Ruy Barbosa";9;-;2;8;6;15;14;28;40;100;-;222
"292730 Salinas da Margarida";3;-;-;6;5;6;4;14;19;33;-;90
"292740 Salvador";518;69;91;1127;940;1038;1605;2676;2952;5870;2;16888
"292750 Santa Bárbara";7;-;-;2;4;12;25;17;24;70;-;161
"292760 Santa Brígida";2;1;-;6;2;5;11;10;11;19;-;67
"292770 Santa Cruz Cabrália";5;2;1;17;13;7;14;24;28;37;-;148
"292780 Santa Cruz da Vitória";1;-;1;1;2;2;2;6;3;22;-;40
"292790 Santa Inês";-;-;1;3;2;3;7;8;18;49;-;91
"292805 Santa Luzia";5;1;3;3;8;6;10;11;15;32;-;94
"292810 Santa Maria da Vitória";8;2;1;9;15;23;20;28;40;95;2;243
"292840 Santa Rita de Cássia";10;2;2;2;9;20;9;14;26;76;-;170
"292850 Santa Teresinha";-;-;1;5;6;3;4;8;12;38;-;77
"292800 Santaluz";4;2;1;10;9;12;13;30;27;78;-;186
"292820 Santana";4;-;2;4;1;8;10;15;14;35;-;93
"292830 Santanópolis";-;-;-;2;-;6;4;7;11;39;-;69
"292860 Santo Amaro";12;-;-;16;18;26;40;56;72;139;-;379
"292870 Santo Antônio de Jesus";16;4;2;47;37;42;62;101;104;237;-;652
"292880 Santo Estêvão";11;-;3;15;19;18;38;38;60;146;-;348
"292890 São Desidério";8;2;3;6;7;10;11;15;14;46;-;122
"292895 São Domingos";1;-;-;-;3;3;2;3;9;32;-;53
"292910 São Felipe";3;-;-;7;6;5;12;17;23;60;-;133
"292900 São Félix";2;-;3;8;8;6;10;14;19;43;-;113
"292905 São Félix do Coribe";1;-;-;6;4;8;6;10;11;43;-;89
"292920 São Francisco do Conde";6;4;2;13;10;18;21;38;34;69;-;215
"292925 São Gabriel";6;-;-;3;4;8;11;7;24;46;-;109
"292930 São Gonçalo dos Campos";5;-;1;12;11;11;25;22;38;100;-;225
"292935 São José da Vitória";5;-;1;4;3;5;1;7;11;13;-;50
"292937 São José do Jacuípe";2;-;-;2;4;4;4;7;12;25;-;60
"292940 São Miguel das Matas";5;-;2;-;1;5;4;9;10;30;-;66
"292950 São Sebastião do Passé";6;-;3;20;16;21;29;34;38;85;-;252
"292960 Sapeaçu";4;2;-;11;1;4;12;24;24;45;-;127
"292970 Sátiro Dias";1;2;1;4;8;9;9;14;21;42;-;111
"292975 Saubara";1;-;-;10;8;4;7;12;15;34;-;91
"292980 Saúde";3;1;3;2;3;4;3;13;18;28;-;78
"292990 Seabra";13;2;3;9;10;17;23;23;38;130;-;268
"293000 Sebastião Laranjeiras";1;2;-;-;-;1;4;7;5;24;-;44
"293010 Senhor do Bonfim";15;4;3;23;23;35;57;81;91;203;-;535
"293020 Sento Sé";11;3;1;10;5;12;9;20;25;42;-;138
"293015 Serra do Ramalho";8;1;1;9;7;20;9;15;24;74;2;170
"293030 Serra Dourada";3;1;1;-;4;1;4;11;15;41;-;81
"293040 Serra Preta";2;-;-;9;1;6;10;16;19;83;-;146
"293050 Serrinha";16;1;3;21;23;41;49;65;86;185;-;490
"293060 Serrolândia";2;1;-;3;8;6;9;12;19;45;-;105
"293070 Simões Filho";27;4;6;105;68;77;95;126;131;191;-;830
"293075 Sítio do Mato";4;-;-;3;5;6;7;5;12;13;-;55
"293076 Sítio do Quinto";3;-;-;2;4;4;8;7;15;26;-;69
"293077 Sobradinho";10;-;1;2;9;11;7;24;25;44;-;133
"293080 Souto Soares";7;1;-;3;5;8;13;10;23;46;-;116
"293090 Tabocas do Brejo Velho";-;-;-;2;2;1;6;3;7;20;-;41
"293100 Tanhaçu";6;-;-;-;4;3;8;16;29;60;-;126
"293105 Tanque Novo";4;-;-;2;3;10;11;9;13;49;-;101
"293110 Tanquinho";1;-;-;4;5;3;6;11;17;24;-;71
"293120 Taperoá";2;-;2;2;7;8;7;21;15;40;-;104
