Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Mes do óbito
Período:2017
"Município-BA";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"290220 Aramari";3;4;8;5;6;2;8;5;6;6;10;2;65
"290225 Arataca";3;9;7;4;6;7;3;7;5;9;2;7;69
"290230 Aratuípe";5;2;2;9;1;2;4;1;5;4;3;7;45
"290240 Aurelino Leal";8;5;2;4;7;5;12;11;7;10;12;10;93
"290250 Baianópolis";6;4;8;8;8;8;2;6;5;5;6;6;72
"290260 Baixa Grande";16;12;14;8;18;22;12;10;7;8;18;16;161
"290265 Banzaê";3;6;5;3;4;9;7;7;1;10;5;9;69
"290270 Barra";34;20;28;23;21;16;24;20;18;34;22;31;291
"290280 Barra da Estiva";13;5;5;13;9;14;17;18;12;12;11;9;138
"290290 Barra do Choça";17;14;17;15;17;26;16;25;24;13;18;19;221
"290300 Barra do Mendes";13;7;7;11;3;6;13;5;9;10;5;10;99
"290310 Barra do Rocha";6;1;2;3;3;5;4;5;4;-;3;6;42
"290320 Barreiras";54;50;64;78;68;59;72;55;58;67;66;69;760
"290323 Barro Alto";7;8;6;4;5;9;12;9;5;13;2;12;92
"290330 Barro Preto";3;5;2;7;3;3;5;7;2;2;6;2;47
"290327 Barrocas";1;6;6;7;7;6;3;7;6;5;7;4;65
"290340 Belmonte";19;15;20;18;16;16;7;17;19;12;8;27;194
"290350 Belo Campo";11;10;15;13;11;14;17;14;6;16;9;18;154
"290360 Biritinga";6;5;6;11;12;9;13;12;8;9;6;7;104
"290370 Boa Nova";8;5;15;11;12;12;10;9;9;10;4;6;111
"290380 Boa Vista do Tupim";12;7;5;7;9;8;10;11;13;6;16;8;112
"290390 Bom Jesus da Lapa";30;34;34;41;25;30;45;30;21;37;32;32;391
"290395 Bom Jesus da Serra";-;7;1;2;4;9;6;7;5;6;4;6;57
"290400 Boninal";6;7;11;10;8;8;6;15;7;6;1;6;91
"290405 Bonito";4;6;10;3;4;7;9;5;4;7;2;9;70
"290410 Boquira";13;14;13;12;9;11;14;13;15;17;12;12;155
"290420 Botuporã";3;4;1;5;2;7;10;11;6;3;3;2;57
"290430 Brejões";9;6;3;5;8;9;8;9;15;9;4;11;96
"290440 Brejolândia";2;4;2;4;3;2;-;2;2;4;2;3;30
"290450 Brotas de Macaúbas";9;8;7;3;9;10;5;8;6;6;9;9;89
"290460 Brumado";43;31;38;36;44;36;52;38;35;42;31;34;460
"290470 Buerarema";15;10;16;16;8;18;15;19;12;21;10;11;171
"290475 Buritirama";9;4;4;6;6;10;8;5;8;7;8;9;84
"290480 Caatiba";4;8;4;3;1;2;5;4;5;3;6;2;47
"290485 Cabaceiras do Paraguaçu";7;8;3;10;12;9;13;6;11;6;6;10;101
"290490 Cachoeira";23;18;13;24;32;22;15;25;17;17;13;16;235
"290500 Caculé";10;8;12;12;11;15;8;6;7;13;10;14;126
"290510 Caém";6;4;9;3;5;7;3;4;2;8;3;8;62
"290515 Caetanos";5;7;4;7;8;3;4;5;5;4;5;4;61
"290520 Caetité";16;23;18;22;25;27;19;31;26;33;24;29;293
"290530 Cafarnaum";12;10;7;3;6;11;7;8;5;9;7;8;93
"290540 Cairu";3;4;7;1;3;9;3;2;7;7;9;5;60
"290550 Caldeirão Grande";5;8;5;6;4;6;6;15;7;2;5;7;76
"290560 Camacan";21;23;24;13;18;23;16;23;14;14;8;11;208
"290570 Camaçari";132;96;136;143;133;128;144;116;121;113;113;113;1488
"290580 Camamu";21;20;14;28;14;21;21;18;14;20;14;23;228
"290590 Campo Alegre de Lourdes";9;4;18;8;12;7;8;9;9;10;9;11;114
"290600 Campo Formoso";25;25;25;37;27;44;39;39;29;25;20;32;367
"290610 Canápolis";8;1;1;5;2;3;2;2;4;4;2;4;38
"290620 Canarana";16;6;16;12;8;17;13;8;14;15;15;12;152
"290630 Canavieiras";14;18;21;15;22;22;20;24;8;15;25;16;220
"290640 Candeal";3;3;5;1;6;5;8;10;13;6;3;7;70
"290650 Candeias";43;33;29;34;42;56;35;40;57;46;40;50;505
"290660 Candiba";6;2;12;7;5;6;9;7;6;6;6;8;80
"290670 Cândido Sales";11;14;12;14;17;19;24;16;21;18;17;16;199
"290680 Cansanção";20;12;17;18;24;19;28;17;24;24;20;15;238
"290682 Canudos";7;7;6;4;12;10;8;9;3;6;8;10;90
"290685 Capela do Alto Alegre";6;4;2;3;7;12;11;8;8;6;8;9;84
"290687 Capim Grosso";18;9;15;27;16;26;14;13;18;11;12;29;208
"290689 Caraíbas";5;4;5;6;5;4;8;4;2;6;3;12;64
"290690 Caravelas";10;12;20;13;10;16;12;14;10;11;12;11;151
"290700 Cardeal da Silva";3;2;1;4;3;1;3;8;3;2;4;7;41
"290710 Carinhanha";14;5;10;9;12;13;12;11;16;20;10;14;146
"290720 Casa Nova";39;29;27;38;30;37;23;36;26;29;28;46;388
"290730 Castro Alves";13;22;18;15;14;22;21;17;16;25;11;15;209
"290740 Catolândia";1;-;-;1;-;-;1;-;-;2;2;1;8
"290750 Catu";26;20;33;23;31;33;25;31;30;22;20;23;317
"290755 Caturama";4;5;5;3;5;2;7;5;4;6;5;2;53
"290760 Central";8;10;9;5;4;10;10;15;11;7;12;9;110
"290770 Chorrochó";5;2;9;5;4;2;12;11;11;2;3;7;73
"290780 Cícero Dantas";18;9;19;14;25;18;18;16;14;26;21;14;212
"290790 Cipó";11;9;9;2;9;12;11;9;6;7;12;5;102
"290800 Coaraci";22;19;13;15;17;20;17;24;14;15;18;12;206
"290810 Cocos";8;2;2;14;8;6;8;11;8;11;8;13;99
"290820 Conceição da Feira";15;8;17;7;13;13;11;9;9;13;13;5;133
"290830 Conceição do Almeida";3;8;11;11;10;9;19;19;15;10;7;14;136
"290840 Conceição do Coité";28;22;30;41;32;29;32;35;26;30;23;37;365
"290850 Conceição do Jacuípe";21;10;18;19;19;21;23;23;14;10;13;13;204
"290860 Conde";11;4;6;10;10;9;15;9;12;8;13;16;123
"290870 Condeúba";9;14;11;10;18;4;9;13;17;9;8;11;133
"290880 Contendas do Sincorá";2;5;1;4;3;4;2;3;1;-;2;5;32
"290890 Coração de Maria";16;10;19;9;15;12;23;15;14;13;17;8;171
"290900 Cordeiros";3;3;5;1;3;5;9;9;3;6;2;7;56
"290910 Coribe";8;5;5;7;5;7;7;12;6;10;2;5;79
"290920 Coronel João Sá";7;5;5;8;10;10;8;12;10;9;5;3;92
"290930 Correntina";17;12;4;21;18;19;14;16;12;11;14;18;176
"290940 Cotegipe";7;7;11;5;5;1;9;8;4;12;7;10;86
"290950 Cravolândia";1;4;6;1;6;3;4;3;6;2;2;2;40
"290960 Crisópolis";14;14;11;12;15;20;8;5;13;9;6;12;139
"290970 Cristópolis";5;9;11;3;7;4;7;3;7;5;3;7;71
"290980 Cruz das Almas";36;26;36;37;32;34;37;37;35;36;26;39;411
"290990 Curaçá";11;16;8;18;12;10;27;23;19;15;15;23;197
"291000 Dário Meira";8;6;5;5;4;4;3;4;4;-;9;10;62
"291005 Dias d'Ávila";35;34;34;33;36;33;34;35;41;27;42;38;422
"291010 Dom Basílio";6;6;5;4;3;9;5;4;8;10;5;5;70
"291020 Dom Macedo Costa";2;4;2;2;1;2;1;4;-;8;1;5;32
"291030 Elísio Medrado";3;5;3;4;4;8;7;5;3;3;4;7;56
"291040 Encruzilhada";11;11;8;13;15;11;7;6;14;11;13;13;133
"291050 Entre Rios";22;22;22;26;22;17;23;25;23;17;17;41;277
"290050 Érico Cardoso";4;3;8;9;8;7;9;9;7;7;6;8;85
"291060 Esplanada";22;9;17;17;22;18;14;19;17;17;23;22;217
"291070 Euclides da Cunha";25;38;23;19;37;40;49;35;33;37;30;24;390
"291072 Eunápolis";60;54;69;58;68;83;64;63;70;56;77;57;779
"291075 Fátima";11;8;6;8;12;7;6;7;7;12;13;8;105
"291077 Feira da Mata";1;1;2;1;2;1;4;2;-;1;5;4;24
"291080 Feira de Santana";298;272;300;317;343;362;326;344;289;328;310;319;3808
"291085 Filadélfia";7;10;11;6;5;5;9;11;8;7;4;8;91
"291090 Firmino Alves";4;8;1;2;2;3;3;4;4;2;5;1;39
"291100 Floresta Azul";6;6;6;9;5;3;12;5;7;6;2;4;71
"291110 Formosa do Rio Preto";18;6;8;20;13;12;6;12;7;6;12;11;131
"291120 Gandu";14;14;22;19;11;16;24;12;22;8;8;16;186
"291125 Gavião";3;3;1;2;4;1;6;6;3;3;-;-;32
"291130 Gentio do Ouro";3;4;9;7;6;3;4;5;7;9;2;6;65
"291140 Glória";7;10;6;8;12;6;11;6;9;13;11;11;110
"291150 Gongogi";3;8;5;4;1;4;2;2;1;7;6;3;46
"291160 Governador Mangabeira";17;8;13;6;11;13;20;12;9;14;11;12;146
"291165 Guajeru";2;7;2;1;5;5;3;9;4;5;7;6;56
"291170 Guanambi";39;35;44;37;45;46;57;48;40;49;46;36;522
"291180 Guaratinga";14;7;11;9;10;13;11;8;13;7;-;13;116
"291185 Heliópolis";4;5;6;13;7;3;13;11;14;7;3;6;92
"291190 Iaçu";15;12;13;11;22;15;19;18;17;11;16;21;190
"291200 Ibiassucê";5;3;3;-;6;7;11;8;8;8;2;5;66
"291210 Ibicaraí";13;9;14;17;12;13;24;17;13;15;16;17;180
"291220 Ibicoara";5;7;1;8;4;4;9;8;5;11;8;9;79
"291230 Ibicuí";3;5;9;11;9;9;7;17;12;11;9;9;111
"291240 Ibipeba";8;9;10;9;10;8;9;7;3;6;5;12;96
"291250 Ibipitanga";5;4;5;7;13;7;9;11;5;9;5;3;83
"291260 Ibiquera";1;1;3;3;3;1;1;1;2;2;-;2;20
"291270 Ibirapitanga";13;9;13;14;15;14;12;11;13;12;16;8;150
"291280 Ibirapuã";2;6;7;2;3;2;2;3;7;6;1;8;49
"291290 Ibirataia";15;11;11;11;11;11;20;14;19;20;8;12;163
"291300 Ibitiara";12;9;7;11;9;6;7;8;6;3;4;14;96
"291310 Ibititá";11;7;6;5;11;9;12;12;10;6;12;11;112
"291320 Ibotirama";17;19;24;19;11;8;15;18;17;18;24;14;204
"291330 Ichu";2;2;4;4;2;4;3;1;1;2;7;4;36
"291340 Igaporã";6;6;9;11;7;14;5;4;10;4;7;10;93
"291345 Igrapiúna";3;3;7;3;3;5;8;5;4;6;2;6;55
"291350 Iguaí";9;8;17;15;10;13;21;11;19;15;16;17;171
"291360 Ilhéus";140;105;109;106;85;103;125;116;97;123;121;120;1350
"291370 Inhambupe";24;22;20;20;33;20;25;13;19;18;11;23;248
"291380 Ipecaetá";11;9;8;9;8;9;9;16;5;8;9;12;113
"291390 Ipiaú";40;41;29;21;35;43;38;22;23;27;27;34;380
"291400 Ipirá";37;29;30;30;28;46;37;40;37;33;29;37;413
"291410 Ipupiara";12;4;7;6;12;4;10;5;6;4;7;5;82
"291420 Irajuba";4;5;1;2;4;6;4;1;3;3;2;1;36
"291430 Iramaia";2;2;3;6;3;3;7;7;5;6;5;3;52
"291440 Iraquara";12;13;19;13;14;13;16;13;8;17;5;10;153
"291450 Irará";13;15;17;19;10;17;26;12;19;22;16;15;201
"291460 Irecê";50;34;31;35;44;30;48;32;34;39;41;43;461
"291465 Itabela";18;14;16;28;15;20;22;12;20;14;13;13;205
"291470 Itaberaba";34;27;49;31;34;47;34;42;34;40;43;36;451
"291480 Itabuna";146;124;161;111;134;125;173;120;142;153;116;124;1629
"291490 Itacaré";12;8;8;10;12;13;12;10;5;6;6;6;108
"291500 Itaeté";6;5;2;8;7;5;5;7;6;4;5;8;68
"291510 Itagi";10;4;11;8;7;14;9;9;8;11;10;12;113
"291520 Itagibá";7;6;7;6;4;15;7;10;9;5;10;5;91
"291530 Itagimirim";9;1;9;8;2;3;5;5;5;3;5;8;63
"291535 Itaguaçu da Bahia";5;3;6;5;6;7;4;6;4;10;5;5;66
"291540 Itaju do Colônia";6;3;2;2;4;6;3;2;2;5;3;1;39
"291550 Itajuípe";23;15;14;19;11;15;12;15;12;12;12;16;176
"291560 Itamaraju";53;28;53;41;32;38;35;52;45;41;25;32;475
"291570 Itamari";1;2;1;5;4;4;5;2;5;5;4;4;42
"291580 Itambé";13;11;14;12;13;12;19;21;25;17;16;14;187
"291590 Itanagra";3;1;3;3;3;2;4;2;-;4;3;2;30
"291600 Itanhém";7;11;11;19;11;18;10;16;16;12;11;12;154
"291610 Itaparica";17;11;13;8;12;7;17;14;17;13;7;10;146
"291620 Itapé";6;7;2;6;11;9;8;8;8;10;6;5;86
"291630 Itapebi";11;2;7;6;11;1;7;11;5;4;8;5;78
"291640 Itapetinga";46;40;40;49;57;52;48;37;44;39;36;35;523
"291650 Itapicuru";9;13;15;10;9;16;19;14;16;25;20;14;180
"291660 Itapitanga";3;3;10;4;5;7;6;3;1;8;2;3;55
"291670 Itaquara";3;4;4;5;5;4;12;6;7;5;6;3;64
"291680 Itarantim";10;5;13;10;4;9;10;10;9;9;10;10;109
"291685 Itatim";5;10;6;12;7;5;10;9;8;5;8;5;90
"291690 Itiruçu";8;9;3;10;7;7;16;9;8;11;10;4;102
"291700 Itiúba";15;10;21;14;20;16;23;13;12;18;12;16;190
"291710 Itororó";9;9;12;7;10;7;20;11;15;9;13;7;129
"291720 Ituaçu";10;12;9;12;10;8;9;10;9;13;12;11;125
"291730 Ituberá";12;10;7;11;11;19;20;14;19;16;15;9;163
"291733 Iuiú";4;-;1;5;2;6;5;3;3;5;2;9;45
"291735 Jaborandi";2;4;6;2;6;4;6;4;4;6;3;2;49
"291740 Jacaraci";5;5;7;9;7;8;8;10;7;6;3;10;85
"291750 Jacobina";49;45;49;48;47;56;61;64;48;44;40;43;594
"291760 Jaguaquara";28;24;18;24;26;34;52;39;18;29;30;38;360
"291770 Jaguarari";14;15;18;19;11;22;19;24;15;16;26;18;217
"291780 Jaguaripe";7;5;8;2;10;7;9;11;10;10;11;6;96
"291790 Jandaíra";4;4;7;8;7;3;2;7;5;7;4;3;61
"291800 Jequié";85;86;93;94;106;112;117;96;100;87;80;100;1156
"291810 Jeremoabo";25;22;12;21;19;26;16;25;13;16;23;12;230
"291820 Jiquiriçá";6;7;9;6;9;8;8;9;4;4;12;7;89
"291830 Jitaúna";5;5;8;10;7;8;11;11;13;9;7;11;105
"291835 João Dourado";14;9;13;8;8;14;23;14;13;6;12;14;148
"291840 Juazeiro";119;96;102;116;110;121;114;102;113;114;123;102;1332
"291845 Jucuruçu";2;1;2;7;7;6;8;3;8;3;3;7;57
"291850 Jussara";8;8;8;9;15;14;8;13;7;9;10;5;114
"291855 Jussari";4;5;4;7;2;3;5;4;6;6;5;3;54
"291860 Jussiape";6;4;5;8;4;3;8;12;9;6;8;8;81
"291870 Lafaiete Coutinho";3;3;2;6;1;2;2;4;1;-;-;3;27
"291875 Lagoa Real";5;5;4;6;7;3;3;6;5;7;3;2;56
"291880 Laje";11;18;14;12;15;14;13;11;14;12;9;8;151
"291890 Lajedão";1;2;4;2;4;2;5;4;3;4;4;2;37
"291900 Lajedinho";1;-;2;1;2;-;1;2;3;3;1;1;17
"291905 Lajedo do Tabocal";3;1;2;4;3;8;6;4;3;5;5;1;45
"291910 Lamarão";2;7;5;2;4;6;7;4;5;7;1;3;53
"291915 Lapão";12;12;12;20;24;13;16;15;6;15;12;12;169
"291920 Lauro de Freitas";107;79;91;110;95;96;85;105;105;97;99;95;1164
"291930 Lençóis";2;2;5;7;4;7;4;10;4;6;4;4;59
"291940 Licínio de Almeida";6;4;8;7;11;6;5;7;6;6;2;10;78
"291950 Livramento de Nossa Senhora";23;21;20;19;17;22;23;26;16;19;15;16;237
"291955 Luís Eduardo Magalhães";26;21;27;27;31;24;12;24;16;14;20;25;267
"291960 Macajuba";10;4;3;4;2;9;10;11;4;9;5;8;79
"291970 Macarani";13;11;9;13;8;11;16;10;9;12;9;6;127
"291980 Macaúbas";23;19;31;19;15;20;23;14;15;15;22;24;240
"291990 Macururé";5;4;3;5;3;5;5;1;4;3;1;3;42
"291992 Madre de Deus";18;6;12;8;8;7;17;11;6;5;9;4;111
"291995 Maetinga";7;4;5;7;6;3;3;7;1;6;2;4;55
"292000 Maiquinique";9;5;3;2;1;4;7;5;4;4;7;4;55
"292010 Mairi";10;8;11;7;12;8;9;13;9;9;15;11;122
"292020 Malhada";2;7;7;6;8;10;5;11;9;10;5;6;86
"292030 Malhada de Pedras";5;3;7;4;5;6;7;7;7;2;3;3;59
"292040 Manoel Vitorino";5;4;6;7;5;6;8;5;5;10;12;2;75
"292045 Mansidão";2;3;3;4;5;1;-;4;-;5;4;7;38
"292050 Maracás";9;8;17;22;15;16;17;21;11;17;8;17;178
"292060 Maragogipe";23;21;27;24;22;30;16;24;18;25;24;18;272
"292070 Maraú";9;5;4;7;5;6;10;7;9;4;5;6;77
"292080 Marcionílio Souza";2;2;5;5;6;4;7;7;9;3;5;6;61
"292090 Mascote";8;7;9;8;3;8;8;7;2;9;6;8;83
"292100 Mata de São João";28;22;21;29;15;20;27;19;18;32;38;21;290
"292105 Matina";8;6;3;4;5;6;6;8;3;4;2;8;63
"292110 Medeiros Neto";18;9;15;18;25;19;25;19;14;12;19;24;217
"292120 Miguel Calmon";15;20;15;12;14;13;19;15;19;11;13;15;181
"292130 Milagres";5;5;6;9;7;4;6;7;4;3;3;8;67
"292140 Mirangaba";5;5;7;8;11;3;9;5;10;6;5;11;85
"292145 Mirante";4;3;3;3;2;5;1;5;5;6;4;5;46
"292150 Monte Santo";24;21;25;22;33;34;30;27;34;17;29;27;323
"292160 Morpará";11;3;9;2;3;8;7;3;3;3;8;6;66
"292170 Morro do Chapéu";21;14;21;27;28;27;27;13;25;13;23;16;255
"292180 Mortugaba";10;7;8;6;7;5;7;9;7;6;4;12;88
"292190 Mucugê";6;2;6;3;5;5;10;6;-;6;4;5;58
"292200 Mucuri";36;10;24;12;10;23;17;20;14;15;9;15;205
"292205 Mulungu do Morro";7;4;4;7;3;14;10;9;8;7;7;10;90
"292210 Mundo Novo";5;15;14;8;10;21;18;20;8;7;3;11;140
"292220 Muniz Ferreira";5;4;1;7;5;4;5;6;3;2;1;2;45
"292225 Muquém de São Francisco";2;4;3;4;4;6;4;5;2;5;3;1;43
"292230 Muritiba";16;18;19;15;25;27;13;21;12;15;27;19;227
"292240 Mutuípe";10;15;14;11;13;22;18;12;13;10;12;15;165
"292250 Nazaré";17;15;14;19;25;24;24;21;19;13;15;23;229
"292260 Nilo Peçanha";3;9;5;3;6;7;6;8;7;8;4;4;70
"292265 Nordestina";3;4;8;5;13;6;7;4;2;9;3;7;71
"292270 Nova Canaã";7;10;11;4;8;6;7;6;8;5;6;7;85
"292273 Nova Fátima";6;5;4;7;5;6;4;6;2;5;6;6;62
"292275 Nova Ibiá";2;2;5;1;4;1;1;4;2;2;1;2;27
"292280 Nova Itarana";6;7;3;4;7;5;8;4;5;2;9;4;64
"292285 Nova Redenção";5;7;2;3;6;6;5;6;2;2;3;5;52
"292290 Nova Soure";15;17;9;14;13;19;13;13;21;20;14;18;186
"292300 Nova Viçosa";33;24;25;15;15;25;25;29;21;23;24;18;277
"292303 Novo Horizonte";12;3;6;6;7;2;9;9;5;6;3;7;75
"292305 Novo Triunfo";5;3;2;8;8;8;7;5;8;3;5;6;68
"292310 Olindina";11;14;7;14;12;15;15;9;14;17;13;11;152
"292320 Oliveira dos Brejinhos";12;9;10;11;9;14;7;20;8;9;13;19;141
"292330 Ouriçangas";5;1;3;4;7;6;4;7;5;8;6;5;61
"292335 Ourolândia";9;5;14;11;7;12;9;4;10;4;12;9;106
"292340 Palmas de Monte Alto";9;9;10;9;15;6;10;9;12;18;7;11;125
"292350 Palmeiras";4;2;5;8;6;5;8;4;4;7;6;4;63
"292360 Paramirim";5;7;17;7;9;11;10;6;9;9;14;9;113
"292370 Paratinga";18;14;16;16;10;14;16;13;14;18;20;21;190
"292380 Paripiranga";21;9;8;11;17;14;18;21;19;15;15;12;180
"292390 Pau Brasil";6;2;6;10;4;9;6;5;6;9;3;7;73
"292400 Paulo Afonso";48;61;58;54;58;71;70;71;76;65;64;68;764
"292405 Pé de Serra";8;5;9;7;3;7;7;8;7;7;8;9;85
"292410 Pedrão";1;5;5;4;5;-;6;4;5;3;5;5;48
"292420 Pedro Alexandre";4;2;2;5;2;9;3;8;4;9;2;4;54
"292430 Piatã";9;9;10;14;11;10;13;9;9;6;11;12;123
"292440 Pilão Arcado";12;8;18;18;13;10;14;8;10;15;7;11;144
"292450 Pindaí";2;8;9;9;10;9;8;6;6;6;5;8;86
"292460 Pindobaçu";10;17;11;13;12;14;15;9;12;18;10;11;152
"292465 Pintadas";6;4;5;5;9;8;10;4;6;3;4;4;68
"292467 Piraí do Norte";3;2;4;4;3;8;-;4;1;6;3;3;41
"292470 Piripá";6;2;8;4;9;10;9;6;2;2;5;8;71
"292480 Piritiba";8;11;6;9;9;13;17;11;11;13;10;15;133
"292490 Planaltino";5;2;6;-;6;4;4;3;6;4;3;5;48
"292500 Planalto";10;14;10;9;15;12;18;17;15;13;8;15;156
"292510 Poções";37;18;35;31;39;31;28;25;30;36;27;28;365
"292520 Pojuca";19;20;16;20;26;11;17;16;18;21;10;12;206
"292525 Ponto Novo";8;8;5;8;20;7;9;7;9;10;4;10;105
"292530 Porto Seguro";82;67;69;69;54;63;76;70;67;60;65;70;812
"292540 Potiraguá";5;6;4;3;5;3;6;11;6;5;5;4;63
"292550 Prado";17;14;17;18;12;10;23;13;20;11;13;15;183
"292560 Presidente Dutra";3;13;10;10;7;8;14;5;8;5;9;8;100
"292570 Presidente Jânio Quadros";10;6;8;6;5;8;4;9;5;6;7;12;86
"292575 Presidente Tancredo Neves";12;9;6;12;12;13;15;11;14;7;7;12;130
"292580 Queimadas";22;11;13;7;14;25;15;13;13;15;10;15;173
"292590 Quijingue";8;8;8;7;12;10;14;14;20;14;15;12;142
"292593 Quixabeira";5;5;4;6;8;1;3;1;3;2;3;4;45
"292595 Rafael Jambeiro";7;5;9;13;12;16;15;12;14;23;10;24;160
"292600 Remanso";18;15;14;19;19;26;22;18;16;14;21;23;225
"292610 Retirolândia";4;6;6;3;8;6;9;7;7;2;3;6;67
"292620 Riachão das Neves";16;6;13;12;13;12;12;8;14;7;10;16;139
"292630 Riachão do Jacuípe";20;15;18;22;16;12;24;20;22;31;13;22;235
"292640 Riacho de Santana";15;15;12;9;15;24;8;13;12;20;18;12;173
"292650 Ribeira do Amparo";8;3;4;7;6;3;7;10;-;8;5;11;72
"292660 Ribeira do Pombal";24;36;16;23;46;27;39;34;26;32;31;33;367
"292665 Ribeirão do Largo";5;5;2;5;1;4;5;3;4;2;2;4;42
"292670 Rio de Contas";8;9;3;4;6;11;4;10;9;7;2;7;80
"292680 Rio do Antônio";5;8;5;4;10;8;6;6;12;7;6;7;84
"292690 Rio do Pires";6;7;5;8;4;5;5;5;3;2;1;6;57
"292700 Rio Real";23;10;18;28;29;17;32;22;22;29;23;30;283
"292710 Rodelas";8;4;10;9;5;3;5;7;5;5;3;4;68
"292720 Ruy Barbosa";20;16;14;19;18;17;21;20;19;16;24;18;222
"292730 Salinas da Margarida";6;9;8;9;9;5;10;8;6;8;5;7;90
"292740 Salvador";1384;1251;1437;1422;1473;1349;1449;1465;1399;1470;1345;1444;16888
"292750 Santa Bárbara";9;18;10;14;17;19;14;13;9;14;13;11;161
"292760 Santa Brígida";7;5;3;6;6;4;7;8;7;4;3;7;67
"292770 Santa Cruz Cabrália";17;12;11;8;13;15;14;12;10;18;8;10;148
"292780 Santa Cruz da Vitória";5;1;6;1;3;3;5;2;8;4;-;2;40
"292790 Santa Inês";7;9;9;5;9;9;10;4;5;8;8;8;91
"292805 Santa Luzia";9;8;7;7;8;4;11;6;13;4;6;11;94
"292810 Santa Maria da Vitória";16;13;26;24;18;15;11;17;27;24;22;30;243
"292840 Santa Rita de Cássia";10;13;14;15;13;17;11;14;20;8;18;17;170
"292850 Santa Teresinha";4;6;5;7;7;6;4;4;6;6;10;12;77
"292800 Santaluz";17;13;8;16;12;19;17;18;9;17;19;21;186
"292820 Santana";9;11;8;5;11;4;10;8;3;6;9;9;93
"292830 Santanópolis";9;1;3;5;5;6;7;5;5;6;7;10;69
"292860 Santo Amaro";27;22;29;31;41;31;37;35;35;26;31;34;379
"292870 Santo Antônio de Jesus";46;49;48;66;50;63;69;64;52;46;49;50;652
"292880 Santo Estêvão";29;17;18;29;36;36;32;35;27;35;27;27;348
"292890 São Desidério";7;16;11;10;10;7;9;11;3;14;17;7;122
"292895 São Domingos";4;4;5;3;5;4;6;4;8;3;3;4;53
"292910 São Felipe";6;12;7;8;7;14;15;10;11;14;13;16;133
"292900 São Félix";10;6;11;4;12;11;11;13;13;6;9;7;113
"292905 São Félix do Coribe";2;5;8;3;10;11;5;9;12;11;5;8;89
"292920 São Francisco do Conde";16;7;25;14;18;10;25;23;6;30;21;20;215
"292925 São Gabriel";13;4;6;12;14;6;14;5;8;9;5;13;109
"292930 São Gonçalo dos Campos";19;14;17;17;26;17;17;21;17;15;20;25;225
"292935 São José da Vitória";7;3;7;3;4;-;4;6;4;4;5;3;50
"292937 São José do Jacuípe";4;8;4;7;6;5;-;4;10;2;4;6;60
"292940 São Miguel das Matas";9;6;8;6;5;4;6;5;6;4;4;3;66
"292950 São Sebastião do Passé";9;22;20;19;28;18;29;19;26;28;16;18;252
"292960 Sapeaçu";12;8;9;11;4;15;10;11;12;18;6;11;127
"292970 Sátiro Dias";9;7;6;7;8;7;10;10;10;17;9;11;111
"292975 Saubara";11;4;3;10;4;7;9;15;10;8;4;6;91
"292980 Saúde";5;9;6;-;5;10;9;7;6;9;7;5;78
"292990 Seabra";22;20;20;26;14;31;25;24;19;28;16;23;268
