Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Estado Civil
Período:2017
"Município-BA";"Solteiro";"Casado";"Viúvo";"Separado judicialmente";"Outro";"Ignorado";"Total"
"290520 Caetité";54;110;57;9;10;53;293
"290530 Cafarnaum";26;28;19;3;3;14;93
"290540 Cairu";20;7;3;1;7;22;60
"290550 Caldeirão Grande";11;27;19;1;8;10;76
"290560 Camacan";94;37;33;3;7;34;208
"290570 Camaçari";718;316;199;54;67;134;1488
"290580 Camamu";90;41;23;4;19;51;228
"290590 Campo Alegre de Lourdes";11;61;19;-;11;12;114
"290600 Campo Formoso";105;125;77;2;22;36;367
"290610 Canápolis";4;10;5;1;1;17;38
"290620 Canarana";46;44;34;4;10;14;152
"290630 Canavieiras";87;33;28;5;10;57;220
"290640 Candeal";22;20;16;2;5;5;70
"290650 Candeias";186;117;87;14;24;77;505
"290660 Candiba";24;29;17;1;2;7;80
"290670 Cândido Sales";55;62;46;4;7;25;199
"290680 Cansanção";79;61;35;5;13;45;238
"290682 Canudos";25;25;9;-;6;25;90
"290685 Capela do Alto Alegre";20;29;13;1;11;10;84
"290687 Capim Grosso";99;34;24;6;5;40;208
"290689 Caraíbas";17;21;17;-;2;7;64
"290690 Caravelas";44;31;29;13;9;25;151
"290700 Cardeal da Silva";11;5;10;2;3;10;41
"290710 Carinhanha";41;44;20;3;7;31;146
"290720 Casa Nova";75;136;93;5;24;55;388
"290730 Castro Alves";66;53;47;6;5;32;209
"290740 Catolândia";2;4;-;-;-;2;8
"290750 Catu";114;83;54;11;19;36;317
"290755 Caturama";14;20;13;1;1;4;53
"290760 Central";24;38;20;2;11;15;110
"290770 Chorrochó";17;23;12;2;4;15;73
"290780 Cícero Dantas";63;53;33;7;7;49;212
"290790 Cipó";36;27;11;1;1;26;102
"290800 Coaraci";96;30;35;6;15;24;206
"290810 Cocos";17;32;14;1;2;33;99
"290820 Conceição da Feira";53;26;27;2;6;19;133
"290830 Conceição do Almeida";42;31;36;2;3;22;136
"290840 Conceição do Coité";97;109;59;12;18;70;365
"290850 Conceição do Jacuípe";71;46;37;5;15;30;204
"290860 Conde";46;31;14;1;6;25;123
"290870 Condeúba";49;44;23;1;-;16;133
"290880 Contendas do Sincorá";5;13;8;-;2;4;32
"290890 Coração de Maria";69;37;40;3;2;20;171
"290900 Cordeiros";9;18;14;1;3;11;56
"290910 Coribe";21;29;20;2;1;6;79
"290920 Coronel João Sá";30;29;18;2;3;10;92
"290930 Correntina";43;50;23;3;4;53;176
"290940 Cotegipe";29;26;8;1;3;19;86
"290950 Cravolândia";12;6;14;1;-;7;40
"290960 Crisópolis";53;34;18;4;3;27;139
"290970 Cristópolis";13;13;21;-;2;22;71
"290980 Cruz das Almas";143;108;87;18;8;47;411
"290990 Curaçá";46;69;39;4;14;25;197
"291000 Dário Meira";20;10;11;1;6;14;62
"291005 Dias d'Ávila";210;94;46;15;19;38;422
"291010 Dom Basílio";10;32;11;1;-;16;70
"291020 Dom Macedo Costa";9;6;10;4;2;1;32
"291030 Elísio Medrado";20;14;17;1;2;2;56
"291040 Encruzilhada";33;51;21;4;7;17;133
"291050 Entre Rios";95;68;44;4;14;52;277
"290050 Érico Cardoso";21;31;22;2;-;9;85
"291060 Esplanada";90;47;44;5;11;20;217
"291070 Euclides da Cunha";118;75;62;2;19;114;390
"291072 Eunápolis";267;155;110;12;34;201;779
"291075 Fátima";36;26;21;1;6;15;105
"291077 Feira da Mata";6;6;5;2;1;4;24
"291080 Feira de Santana";1684;1000;576;156;78;314;3808
"291085 Filadélfia";28;25;26;4;3;5;91
"291090 Firmino Alves";12;7;6;2;2;10;39
"291100 Floresta Azul";44;10;13;1;1;2;71
"291110 Formosa do Rio Preto";31;43;15;3;7;32;131
"291120 Gandu";109;37;16;3;11;10;186
"291125 Gavião";10;13;5;-;1;3;32
"291130 Gentio do Ouro";18;18;20;-;3;6;65
"291140 Glória";18;31;20;2;4;35;110
"291150 Gongogi";20;4;6;-;6;10;46
"291160 Governador Mangabeira";46;40;27;3;8;22;146
"291165 Guajeru";8;25;18;-;2;3;56
"291170 Guanambi";111;187;112;23;21;68;522
"291180 Guaratinga";38;22;14;2;7;33;116
"291185 Heliópolis";33;22;15;2;3;17;92
"291190 Iaçu";72;42;39;3;9;25;190
"291200 Ibiassucê";10;35;13;1;-;7;66
"291210 Ibicaraí";114;27;23;3;4;9;180
"291220 Ibicoara";27;21;15;1;5;10;79
"291230 Ibicuí";41;24;26;1;4;15;111
"291240 Ibipeba";29;34;18;4;2;9;96
"291250 Ibipitanga";16;31;16;2;-;18;83
"291260 Ibiquera";6;8;4;-;1;1;20
"291270 Ibirapitanga";72;23;14;3;13;25;150
"291280 Ibirapuã";14;20;6;2;4;3;49
"291290 Ibirataia";65;34;22;3;13;26;163
"291300 Ibitiara";29;33;21;1;2;10;96
"291310 Ibititá";38;39;19;1;5;10;112
"291320 Ibotirama";56;42;35;5;10;56;204
"291330 Ichu";12;8;12;2;-;2;36
"291340 Igaporã";14;36;31;2;1;9;93
"291345 Igrapiúna";26;9;4;1;5;10;55
"291350 Iguaí";51;41;14;3;8;54;171
"291360 Ilhéus";364;133;76;24;16;737;1350
"291370 Inhambupe";98;49;52;6;8;35;248
"291380 Ipecaetá";33;27;29;2;3;19;113
"291390 Ipiaú";114;69;74;16;17;90;380
"291400 Ipirá";173;85;61;13;12;69;413
"291410 Ipupiara";18;37;16;-;1;10;82
"291420 Irajuba";16;12;3;-;-;5;36
"291430 Iramaia";15;15;3;-;2;17;52
"291440 Iraquara";47;27;36;1;32;10;153
"291450 Irará";76;47;35;4;4;35;201
"291460 Irecê";155;152;79;15;29;31;461
"291465 Itabela";109;36;13;4;14;29;205
"291470 Itaberaba";164;122;91;13;24;37;451
"291480 Itabuna";893;355;223;47;19;92;1629
"291490 Itacaré";49;8;12;-;10;29;108
"291500 Itaeté";17;22;7;4;4;14;68
"291510 Itagi";34;26;25;3;8;17;113
"291520 Itagibá";21;23;10;4;2;31;91
"291530 Itagimirim";13;10;10;-;7;23;63
"291535 Itaguaçu da Bahia";18;19;17;2;4;6;66
"291540 Itaju do Colônia";21;5;4;2;-;7;39
"291550 Itajuípe";101;30;22;8;2;13;176
"291560 Itamaraju";175;85;77;12;43;83;475
"291570 Itamari";18;4;9;-;4;7;42
"291580 Itambé";77;37;30;5;3;35;187
"291590 Itanagra";12;3;7;-;3;5;30
"291600 Itanhém";31;46;39;5;12;21;154
"291610 Itaparica";54;29;11;5;6;41;146
"291620 Itapé";43;14;10;1;5;13;86
"291630 Itapebi";39;16;4;3;5;11;78
"291640 Itapetinga";177;110;101;18;18;99;523
"291650 Itapicuru";61;40;30;5;14;30;180
"291660 Itapitanga";27;10;5;2;2;9;55
"291670 Itaquara";22;16;9;-;5;12;64
"291680 Itarantim";23;33;19;1;4;29;109
"291685 Itatim";38;15;18;3;3;13;90
"291690 Itiruçu";33;19;23;-;4;23;102
"291700 Itiúba";57;50;46;3;7;27;190
"291710 Itororó";44;31;21;5;9;19;129
"291720 Ituaçu";28;43;34;2;3;15;125
"291730 Ituberá";47;28;17;5;12;54;163
"291733 Iuiú";8;20;8;-;4;5;45
"291735 Jaborandi";11;19;8;1;2;8;49
"291740 Jacaraci";16;36;22;2;1;8;85
"291750 Jacobina";153;127;94;20;20;180;594
"291760 Jaguaquara";140;66;62;12;10;70;360
"291770 Jaguarari";58;68;41;3;12;35;217
"291780 Jaguaripe";38;23;16;2;6;11;96
"291790 Jandaíra";24;9;10;-;9;9;61
"291800 Jequié";398;190;174;33;41;320;1156
"291810 Jeremoabo";50;69;49;4;15;43;230
"291820 Jiquiriçá";34;28;19;1;-;7;89
"291830 Jitaúna";38;16;11;-;6;34;105
"291835 João Dourado";36;42;27;4;11;28;148
"291840 Juazeiro";339;360;236;57;38;302;1332
"291845 Jucuruçu";23;11;9;2;4;8;57
"291850 Jussara";26;39;25;1;13;10;114
"291855 Jussari";29;10;7;3;1;4;54
"291860 Jussiape";19;26;30;1;-;5;81
"291870 Lafaiete Coutinho";14;4;4;1;1;3;27
"291875 Lagoa Real";6;19;18;2;4;7;56
"291880 Laje";60;40;30;2;7;12;151
"291890 Lajedão";5;12;9;4;3;4;37
"291900 Lajedinho";8;4;1;1;-;3;17
"291905 Lajedo do Tabocal";16;7;9;-;2;11;45
"291910 Lamarão";16;11;14;1;-;11;53
"291915 Lapão";52;50;42;-;14;11;169
"291920 Lauro de Freitas";499;252;167;49;33;164;1164
"291930 Lençóis";16;10;9;4;6;14;59
"291940 Licínio de Almeida";12;35;16;4;2;9;78
"291950 Livramento de Nossa Senhora";41;104;56;8;6;22;237
"291955 Luís Eduardo Magalhães";82;73;14;8;14;76;267
"291960 Macajuba";35;20;11;1;2;10;79
"291970 Macarani";39;41;13;6;1;27;127
"291980 Macaúbas";59;84;53;5;9;30;240
"291990 Macururé";7;15;9;2;1;8;42
"291992 Madre de Deus";48;21;21;4;2;15;111
"291995 Maetinga";18;21;11;1;-;4;55
"292000 Maiquinique";14;23;6;2;6;4;55
"292010 Mairi";47;38;18;4;4;11;122
"292020 Malhada";23;27;14;2;5;15;86
"292030 Malhada de Pedras";14;27;10;2;1;5;59
"292040 Manoel Vitorino";44;9;4;-;2;16;75
"292045 Mansidão";5;17;5;-;-;11;38
"292050 Maracás";70;38;31;4;9;26;178
"292060 Maragogipe";100;69;56;8;15;24;272
"292070 Maraú";33;10;9;-;2;23;77
"292080 Marcionílio Souza";15;20;12;1;5;8;61
"292090 Mascote";61;9;2;-;2;9;83
"292100 Mata de São João";120;46;60;5;17;42;290
"292105 Matina";12;21;8;-;5;17;63
"292110 Medeiros Neto";56;65;49;16;19;12;217
"292120 Miguel Calmon";38;64;30;8;4;37;181
"292130 Milagres";28;14;11;1;4;9;67
"292140 Mirangaba";27;20;18;2;-;18;85
"292145 Mirante";9;15;11;-;-;11;46
"292150 Monte Santo";119;75;60;2;20;47;323
"292160 Morpará";12;23;14;2;5;10;66
"292170 Morro do Chapéu";66;78;67;5;9;30;255
"292180 Mortugaba";19;28;20;1;1;19;88
"292190 Mucugê";10;12;15;2;2;17;58
"292200 Mucuri";68;43;37;8;19;30;205
"292205 Mulungu do Morro";43;10;17;2;14;4;90
"292210 Mundo Novo";58;40;25;2;3;12;140
"292220 Muniz Ferreira";15;13;7;3;4;3;45
"292225 Muquém de São Francisco";11;14;4;2;1;11;43
"292230 Muritiba";80;57;55;8;6;21;227
"292240 Mutuípe";56;48;28;5;13;15;165
"292250 Nazaré";89;59;40;2;10;29;229
"292260 Nilo Peçanha";23;13;6;1;8;19;70
"292265 Nordestina";23;17;10;-;4;17;71
"292270 Nova Canaã";26;29;12;2;1;15;85
"292273 Nova Fátima";19;12;19;4;3;5;62
"292275 Nova Ibiá";9;6;3;2;3;4;27
"292280 Nova Itarana";25;7;10;-;1;21;64
"292285 Nova Redenção";18;18;9;-;4;3;52
"292290 Nova Soure";62;50;21;4;8;41;186
"292300 Nova Viçosa";92;61;52;12;14;46;277
"292303 Novo Horizonte";21;25;13;2;1;13;75
"292305 Novo Triunfo";14;23;12;2;3;14;68
"292310 Olindina";55;27;17;4;3;46;152
"292320 Oliveira dos Brejinhos";43;36;39;1;6;16;141
"292330 Ouriçangas";21;16;9;-;3;12;61
"292335 Ourolândia";34;29;4;3;9;27;106
"292340 Palmas de Monte Alto";20;43;23;3;4;32;125
"292350 Palmeiras";17;16;12;1;7;10;63
"292360 Paramirim";23;50;28;4;1;7;113
"292370 Paratinga";45;63;38;5;5;34;190
"292380 Paripiranga";59;55;43;4;-;19;180
"292390 Pau Brasil";32;14;8;-;4;15;73
"292400 Paulo Afonso";123;218;114;22;10;277;764
"292405 Pé de Serra";19;21;17;1;4;23;85
"292410 Pedrão";16;10;15;-;3;4;48
"292420 Pedro Alexandre";18;17;8;-;5;6;54
"292430 Piatã";24;42;22;2;3;30;123
"292440 Pilão Arcado";21;62;22;2;5;32;144
"292450 Pindaí";16;31;20;4;2;13;86
"292460 Pindobaçu";47;48;21;5;4;27;152
"292465 Pintadas";22;20;15;3;4;4;68
"292467 Piraí do Norte";17;8;4;-;6;6;41
"292470 Piripá";12;18;20;4;2;15;71
"292480 Piritiba";37;38;28;1;2;27;133
"292490 Planaltino";19;6;6;1;2;14;48
"292500 Planalto";54;31;23;4;2;42;156
"292510 Poções";131;73;44;9;14;94;365
"292520 Pojuca";85;49;35;5;8;24;206
"292525 Ponto Novo";35;25;15;2;3;25;105
"292530 Porto Seguro";400;170;63;27;34;118;812
"292540 Potiraguá";13;18;8;1;2;21;63
"292550 Prado";68;38;25;9;9;34;183
"292560 Presidente Dutra";19;29;25;1;7;19;100
"292570 Presidente Jânio Quadros";23;32;19;2;-;10;86
"292575 Presidente Tancredo Neves";43;29;23;1;13;21;130
"292580 Queimadas";54;50;32;4;4;29;173
"292590 Quijingue";58;28;21;2;5;28;142
"292593 Quixabeira";22;12;4;-;-;7;45
"292595 Rafael Jambeiro";43;56;31;5;2;23;160
"292600 Remanso";37;96;37;5;18;32;225
"292610 Retirolândia";19;25;9;-;1;13;67
"292620 Riachão das Neves";45;39;12;4;4;35;139
"292630 Riachão do Jacuípe";78;68;45;9;10;25;235
"292640 Riacho de Santana";58;48;41;-;1;25;173
"292650 Ribeira do Amparo";20;16;15;1;4;16;72
"292660 Ribeira do Pombal";97;92;64;6;20;88;367
"292665 Ribeirão do Largo";17;10;5;-;3;7;42
"292670 Rio de Contas";14;26;26;2;-;12;80
"292680 Rio do Antônio";13;38;17;1;1;14;84
"292690 Rio do Pires";12;25;13;-;2;5;57
"292700 Rio Real";122;55;60;8;15;23;283
"292710 Rodelas";17;23;13;4;3;8;68
"292720 Ruy Barbosa";78;53;39;10;9;33;222
"292730 Salinas da Margarida";37;15;19;-;7;12;90
"292740 Salvador";6255;4061;2992;671;497;2412;16888
"292750 Santa Bárbara";51;39;32;4;4;31;161
"292760 Santa Brígida";16;18;13;1;1;18;67
"292770 Santa Cruz Cabrália";70;21;19;4;10;24;148
"292780 Santa Cruz da Vitória";25;3;5;2;-;5;40
"292790 Santa Inês";30;24;20;1;2;14;91
"292805 Santa Luzia";47;15;14;1;3;14;94
"292810 Santa Maria da Vitória";65;83;41;3;6;45;243
"292840 Santa Rita de Cássia";38;54;43;6;5;24;170
"292850 Santa Teresinha";26;26;13;2;-;10;77
"292800 Santaluz";46;55;26;4;10;45;186
"292820 Santana";14;31;21;1;4;22;93
"292830 Santanópolis";15;21;21;-;-;12;69
"292860 Santo Amaro";163;65;59;13;23;56;379
"292870 Santo Antônio de Jesus";260;160;139;25;10;58;652
"292880 Santo Estêvão";120;100;61;6;6;55;348
"292890 São Desidério";24;36;14;5;5;38;122
"292895 São Domingos";13;16;14;4;2;4;53
"292910 São Felipe";52;33;31;7;2;8;133
"292900 São Félix";46;22;25;4;4;12;113
"292905 São Félix do Coribe";17;31;15;3;8;15;89
"292920 São Francisco do Conde";84;45;40;6;14;26;215
"292925 São Gabriel";31;35;20;-;9;14;109
"292930 São Gonçalo dos Campos";67;54;40;2;6;56;225
"292935 São José da Vitória";27;8;6;-;1;8;50
"292937 São José do Jacuípe";28;12;6;1;-;13;60
"292940 São Miguel das Matas";18;18;9;-;4;17;66
"292950 São Sebastião do Passé";100;46;34;2;14;56;252
"292960 Sapeaçu";40;31;31;2;5;18;127
"292970 Sátiro Dias";31;35;18;5;1;21;111
"292975 Saubara";43;12;15;1;9;11;91
"292980 Saúde";25;28;11;1;2;11;78
"292990 Seabra";40;36;11;4;11;166;268
"293000 Sebastião Laranjeiras";5;17;13;-;3;6;44
"293010 Senhor do Bonfim";134;177;94;27;15;88;535
"293020 Sento Sé";31;55;10;2;2;38;138
"293015 Serra do Ramalho";49;50;30;-;3;38;170
"293030 Serra Dourada";21;42;7;1;4;6;81
"293040 Serra Preta";41;46;43;3;2;11;146
"293050 Serrinha";164;136;98;13;12;67;490
"293060 Serrolândia";34;28;19;1;9;14;105
"293070 Simões Filho";383;192;113;30;29;83;830
"293075 Sítio do Mato";15;14;7;2;8;9;55
"293076 Sítio do Quinto";20;20;15;1;7;6;69
"293077 Sobradinho";22;42;16;4;2;47;133
"293080 Souto Soares";21;15;14;1;9;56;116
"293090 Tabocas do Brejo Velho";7;21;6;1;1;5;41
"293100 Tanhaçu";27;50;23;3;6;17;126
"293105 Tanque Novo";15;41;29;2;6;8;101
"293110 Tanquinho";27;21;15;3;2;3;71
"293120 Taperoá";41;22;14;-;6;21;104
"293130 Tapiramutá";25;25;14;-;3;18;85
"293135 Teixeira de Freitas";309;255;193;46;54;114;971
"293140 Teodoro Sampaio";23;8;9;-;1;11;52
"293150 Teofilândia";44;36;20;3;4;19;126
"293160 Teolândia";40;6;4;1;1;8;60
"293170 Terra Nova";18;14;21;3;2;12;70
"293180 Tremedal";20;42;23;2;4;14;105
"293190 Tucano";105;53;37;5;15;61;276
"293200 Uauá";57;44;33;3;2;19;158
"293210 Ubaíra";46;29;31;4;5;13;128
"293220 Ubaitaba";72;25;24;3;4;20;148
"293230 Ubatã";64;27;18;3;4;24;140
"293240 Uibaí";25;34;23;3;7;7;99
"293245 Umburanas";21;15;11;1;5;10;63
"293250 Una";55;17;14;2;8;45;141
"293260 Urandi";14;36;16;-;4;30;100
"293270 Uruçuca";45;11;16;-;5;64;141
"293280 Utinga";41;25;23;2;5;7;103
"293290 Valença";200;94;61;11;45;144;555
"293300 Valente";38;36;29;7;8;31;149
"293305 Várzea da Roça";24;21;6;1;3;18;73
"293310 Várzea do Poço";12;17;14;2;2;15;62
"293315 Várzea Nova";8;20;13;8;8;17;74
"293317 Varzedo";29;12;13;1;1;9;65
"293320 Vera Cruz";115;61;39;11;21;64;311
"293325 Vereda";12;12;10;1;-;4;39
"293330 Vitória da Conquista";819;667;429;117;45;208;2285
"293340 Wagner";21;13;11;-;1;6;52
"293345 Wanderley";23;19;19;2;3;16;82
"293350 Wenceslau Guimarães";72;14;10;-;11;21;128
"293360 Xique-Xique";92;89;66;2;16;29;294
"290000 Município ignorado - BA";26;6;4;1;3;276;316
"Total";31604;23022;15761;2686;3574;15022;91669
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
