Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Raça/Cor
Período:2017
"Município-BA";"Branca";"Preta";"Amarela";"Parda";"Indígena";"Ignorado";"Total"
"290390 Bom Jesus da Lapa";73;72;1;239;-;6;391
"290395 Bom Jesus da Serra";10;4;-;34;-;9;57
"290400 Boninal";17;8;-;60;-;6;91
"290405 Bonito";4;10;-;53;-;3;70
"290410 Boquira";32;2;-;116;-;5;155
"290420 Botuporã";17;8;1;25;1;5;57
"290430 Brejões";14;17;-;45;-;20;96
"290440 Brejolândia";4;-;-;25;-;1;30
"290450 Brotas de Macaúbas";28;13;-;44;-;4;89
"290460 Brumado";173;38;-;213;-;36;460
"290470 Buerarema";28;21;-;111;-;11;171
"290475 Buritirama";9;7;-;65;-;3;84
"290480 Caatiba";7;7;-;33;-;-;47
"290485 Cabaceiras do Paraguaçu";14;30;-;54;-;3;101
"290490 Cachoeira";25;72;-;131;-;7;235
"290500 Caculé";40;19;1;64;-;2;126
"290510 Caém";1;1;-;49;-;11;62
"290515 Caetanos";19;2;-;18;-;22;61
"290520 Caetité";127;47;1;100;1;17;293
"290530 Cafarnaum";18;9;-;66;-;-;93
"290540 Cairu";6;7;1;46;-;-;60
"290550 Caldeirão Grande";13;13;-;46;-;4;76
"290560 Camacan";34;19;-;133;1;21;208
"290570 Camaçari";224;266;1;942;3;52;1488
"290580 Camamu";27;40;-;145;-;16;228
"290590 Campo Alegre de Lourdes";12;4;1;97;-;-;114
"290600 Campo Formoso";41;19;-;295;-;12;367
"290610 Canápolis";7;1;1;29;-;-;38
"290620 Canarana";22;7;2;115;-;6;152
"290630 Canavieiras";42;26;-;122;-;30;220
"290640 Candeal";9;18;1;41;-;1;70
"290650 Candeias";76;109;1;286;-;33;505
"290660 Candiba";17;4;-;58;-;1;80
"290670 Cândido Sales";35;15;-;136;-;13;199
"290680 Cansanção";18;16;-;164;-;40;238
"290682 Canudos";13;3;-;40;-;34;90
"290685 Capela do Alto Alegre";13;2;1;67;-;1;84
"290687 Capim Grosso";30;13;5;148;3;9;208
"290689 Caraíbas";14;3;-;31;-;16;64
"290690 Caravelas";19;41;-;84;-;7;151
"290700 Cardeal da Silva";6;14;-;21;-;-;41
"290710 Carinhanha";19;26;-;97;-;4;146
"290720 Casa Nova";86;42;2;245;-;13;388
"290730 Castro Alves";31;42;-;121;-;15;209
"290740 Catolândia";2;-;-;5;-;1;8
"290750 Catu";56;56;6;184;-;15;317
"290755 Caturama";23;7;-;23;-;-;53
"290760 Central";31;6;-;73;-;-;110
"290770 Chorrochó";8;14;-;44;-;7;73
"290780 Cícero Dantas";66;11;1;115;1;18;212
"290790 Cipó";17;14;1;49;1;20;102
"290800 Coaraci";29;28;-;134;1;14;206
"290810 Cocos";23;7;-;62;-;7;99
"290820 Conceição da Feira";16;49;1;61;-;6;133
"290830 Conceição do Almeida";24;34;-;64;-;14;136
"290840 Conceição do Coité";63;56;1;241;-;4;365
"290850 Conceição do Jacuípe";28;51;2;121;-;2;204
"290860 Conde";24;23;1;69;-;6;123
"290870 Condeúba";22;4;-;98;-;9;133
"290880 Contendas do Sincorá";13;2;-;16;-;1;32
"290890 Coração de Maria";17;31;2;100;-;21;171
"290900 Cordeiros";18;4;-;29;-;5;56
"290910 Coribe";16;7;-;54;-;2;79
"290920 Coronel João Sá";14;4;-;66;-;8;92
"290930 Correntina";20;9;-;118;-;29;176
"290940 Cotegipe";14;10;1;53;-;8;86
"290950 Cravolândia";3;7;-;28;-;2;40
"290960 Crisópolis";25;8;1;87;-;18;139
"290970 Cristópolis";15;6;1;39;2;8;71
"290980 Cruz das Almas";105;116;1;169;1;19;411
"290990 Curaçá";29;29;2;127;-;10;197
"291000 Dário Meira";14;7;-;32;-;9;62
"291005 Dias d'Ávila";82;73;1;255;-;11;422
"291010 Dom Basílio";39;2;-;26;-;3;70
"291020 Dom Macedo Costa";8;4;-;19;-;1;32
"291030 Elísio Medrado";17;14;-;21;-;4;56
"291040 Encruzilhada";15;12;-;102;-;4;133
"291050 Entre Rios";39;56;2;158;-;22;277
"290050 Érico Cardoso";28;10;1;39;-;7;85
"291060 Esplanada";34;39;-;141;-;3;217
"291070 Euclides da Cunha";27;1;-;347;2;13;390
"291072 Eunápolis";173;65;4;500;-;37;779
"291075 Fátima";49;4;-;47;-;5;105
"291077 Feira da Mata";4;1;-;13;-;6;24
"291080 Feira de Santana";643;762;26;2317;11;49;3808
"291085 Filadélfia";16;6;-;69;-;-;91
"291090 Firmino Alves";6;4;-;27;-;2;39
"291100 Floresta Azul";12;15;-;44;-;-;71
"291110 Formosa do Rio Preto";23;17;1;79;-;11;131
"291120 Gandu";21;31;-;128;-;6;186
"291125 Gavião";8;-;-;23;1;-;32
"291130 Gentio do Ouro";31;3;-;30;-;1;65
"291140 Glória";19;2;-;66;7;16;110
"291150 Gongogi";9;5;-;28;-;4;46
"291160 Governador Mangabeira";15;49;-;72;1;9;146
"291165 Guajeru";12;5;-;38;-;1;56
"291170 Guanambi";184;81;11;233;1;12;522
"291180 Guaratinga";25;14;-;66;-;11;116
"291185 Heliópolis";32;3;-;46;-;11;92
"291190 Iaçu";31;22;1;134;-;2;190
"291200 Ibiassucê";28;10;-;26;-;2;66
"291210 Ibicaraí";26;27;-;126;-;1;180
"291220 Ibicoara";8;6;-;61;-;4;79
"291230 Ibicuí";26;20;-;61;-;4;111
"291240 Ibipeba";28;9;-;58;-;1;96
"291250 Ibipitanga";17;1;-;56;-;9;83
"291260 Ibiquera";6;2;-;8;-;4;20
"291270 Ibirapitanga";9;20;-;103;-;18;150
"291280 Ibirapuã";12;4;-;33;-;-;49
"291290 Ibirataia";22;26;1;104;-;10;163
"291300 Ibitiara";4;3;-;61;-;28;96
"291310 Ibititá";24;17;1;69;-;1;112
"291320 Ibotirama";24;21;-;127;2;30;204
"291330 Ichu";15;4;-;16;-;1;36
"291340 Igaporã";36;12;-;44;-;1;93
"291345 Igrapiúna";7;9;-;34;2;3;55
"291350 Iguaí";14;14;-;98;1;44;171
"291360 Ilhéus";103;55;2;484;-;706;1350
"291370 Inhambupe";45;51;-;134;1;17;248
"291380 Ipecaetá";25;28;-;56;-;4;113
"291390 Ipiaú";58;41;-;250;1;30;380
"291400 Ipirá";68;61;5;253;6;20;413
"291410 Ipupiara";27;8;-;47;-;-;82
"291420 Irajuba";8;3;-;24;-;1;36
"291430 Iramaia";15;3;1;21;-;12;52
"291440 Iraquara";4;5;-;139;1;4;153
"291450 Irará";23;37;-;109;1;31;201
"291460 Irecê";142;27;3;285;-;4;461
"291465 Itabela";32;25;-;139;2;7;205
"291470 Itaberaba";81;57;4;298;1;10;451
"291480 Itabuna";303;113;2;1182;2;27;1629
"291490 Itacaré";10;17;-;58;-;23;108
"291500 Itaeté";9;18;-;38;-;3;68
"291510 Itagi";13;20;1;73;-;6;113
"291520 Itagibá";7;9;-;51;-;24;91
"291530 Itagimirim";15;7;-;36;-;5;63
"291535 Itaguaçu da Bahia";15;6;-;44;-;1;66
"291540 Itaju do Colônia";5;4;-;20;2;8;39
"291550 Itajuípe";16;20;-;138;-;2;176
"291560 Itamaraju";64;35;-;358;2;16;475
"291570 Itamari";5;5;1;30;-;1;42
"291580 Itambé";24;19;-;133;-;11;187
"291590 Itanagra";3;6;-;18;-;3;30
"291600 Itanhém";30;16;-;103;-;5;154
"291610 Itaparica";16;28;1;95;-;6;146
"291620 Itapé";9;7;-;65;1;4;86
"291630 Itapebi";12;13;-;48;1;4;78
"291640 Itapetinga";105;46;1;332;-;39;523
"291650 Itapicuru";28;19;-;124;-;9;180
"291660 Itapitanga";5;6;-;40;-;4;55
"291670 Itaquara";8;6;-;25;-;25;64
"291680 Itarantim";22;19;1;50;-;17;109
"291685 Itatim";13;10;-;62;-;5;90
"291690 Itiruçu";10;12;1;64;-;15;102
"291700 Itiúba";8;4;-;174;-;4;190
"291710 Itororó";21;10;1;88;-;9;129
"291720 Ituaçu";51;10;-;53;-;11;125
"291730 Ituberá";25;48;1;79;1;9;163
"291733 Iuiú";14;7;-;21;-;3;45
"291735 Jaborandi";8;7;-;30;-;4;49
"291740 Jacaraci";30;5;1;45;-;4;85
"291750 Jacobina";62;53;6;425;-;48;594
"291760 Jaguaquara";33;19;2;277;2;27;360
"291770 Jaguarari";27;7;1;177;-;5;217
"291780 Jaguaripe";14;24;-;50;-;8;96
"291790 Jandaíra";5;7;-;43;-;6;61
"291800 Jequié";174;111;5;733;-;133;1156
"291810 Jeremoabo";46;22;-;140;-;22;230
"291820 Jiquiriçá";14;22;-;48;-;5;89
"291830 Jitaúna";21;11;1;58;1;13;105
"291835 João Dourado";31;12;-;81;-;24;148
"291840 Juazeiro";291;107;1;833;-;100;1332
"291845 Jucuruçu";3;4;-;49;-;1;57
"291850 Jussara";23;7;-;83;-;1;114
"291855 Jussari";8;7;-;38;-;1;54
"291860 Jussiape";26;8;-;44;-;3;81
"291870 Lafaiete Coutinho";3;-;-;22;-;2;27
"291875 Lagoa Real";22;9;1;22;-;2;56
"291880 Laje";27;45;-;73;-;6;151
"291890 Lajedão";13;3;-;19;-;2;37
"291900 Lajedinho";3;2;-;12;-;-;17
"291905 Lajedo do Tabocal";10;3;-;20;-;12;45
"291910 Lamarão";2;10;-;37;-;4;53
"291915 Lapão";34;19;-;114;-;2;169
"291920 Lauro de Freitas";221;206;2;659;-;76;1164
"291930 Lençóis";4;5;-;46;-;4;59
"291940 Licínio de Almeida";18;9;-;50;-;1;78
"291950 Livramento de Nossa Senhora";68;22;-;141;-;6;237
"291955 Luís Eduardo Magalhães";65;14;1;178;1;8;267
"291960 Macajuba";6;12;2;52;1;6;79
"291970 Macarani";21;10;1;81;-;14;127
"291980 Macaúbas";40;5;1;171;-;23;240
"291990 Macururé";6;2;-;29;-;5;42
"291992 Madre de Deus";22;15;-;70;-;4;111
"291995 Maetinga";18;4;-;31;-;2;55
"292000 Maiquinique";13;4;-;35;-;3;55
"292010 Mairi";38;26;-;53;-;5;122
"292020 Malhada";9;17;-;52;-;8;86
"292030 Malhada de Pedras";17;11;-;29;-;2;59
"292040 Manoel Vitorino";5;3;-;42;-;25;75
"292045 Mansidão";8;6;-;19;-;5;38
"292050 Maracás";27;13;-;125;-;13;178
"292060 Maragogipe";48;41;1;174;-;8;272
"292070 Maraú";7;15;-;40;-;15;77
"292080 Marcionílio Souza";11;13;1;31;-;5;61
"292090 Mascote";7;2;-;66;-;8;83
"292100 Mata de São João";30;65;2;171;1;21;290
"292105 Matina";18;16;-;28;-;1;63
"292110 Medeiros Neto";45;17;4;149;-;2;217
"292120 Miguel Calmon";29;12;1;102;-;37;181
"292130 Milagres";18;11;-;35;-;3;67
"292140 Mirangaba";7;4;-;30;-;44;85
"292145 Mirante";8;2;-;31;-;5;46
"292150 Monte Santo";58;9;-;235;-;21;323
"292160 Morpará";16;9;-;40;-;1;66
"292170 Morro do Chapéu";43;32;-;179;-;1;255
"292180 Mortugaba";21;9;-;54;-;4;88
"292190 Mucugê";14;9;1;29;-;5;58
"292200 Mucuri";36;27;-;131;-;11;205
"292205 Mulungu do Morro";8;3;-;79;-;-;90
"292210 Mundo Novo";7;3;-;89;-;41;140
"292220 Muniz Ferreira";11;11;-;23;-;-;45
"292225 Muquém de São Francisco";5;3;-;35;-;-;43
"292230 Muritiba";28;59;-;128;-;12;227
"292240 Mutuípe";20;37;-;100;-;8;165
"292250 Nazaré";43;56;4;119;-;7;229
"292260 Nilo Peçanha";6;13;-;44;-;7;70
"292265 Nordestina";13;2;1;51;-;4;71
"292270 Nova Canaã";23;4;-;55;-;3;85
"292273 Nova Fátima";13;6;-;41;1;1;62
"292275 Nova Ibiá";1;5;-;21;-;-;27
"292280 Nova Itarana";10;7;2;39;-;6;64
"292285 Nova Redenção";10;6;-;35;-;1;52
"292290 Nova Soure";10;8;3;77;-;88;186
"292300 Nova Viçosa";43;61;-;164;-;9;277
"292303 Novo Horizonte";11;4;-;58;-;2;75
"292305 Novo Triunfo";14;4;-;41;-;9;68
"292310 Olindina";21;8;-;82;-;41;152
"292320 Oliveira dos Brejinhos";25;10;1;102;1;2;141
"292330 Ouriçangas";6;23;-;25;-;7;61
"292335 Ourolândia";16;14;-;71;-;5;106
"292340 Palmas de Monte Alto";21;23;1;67;-;13;125
"292350 Palmeiras";7;5;-;38;-;13;63
"292360 Paramirim";38;17;-;57;-;1;113
"292370 Paratinga";39;34;1;88;-;28;190
"292380 Paripiranga";44;5;-;99;-;32;180
"292390 Pau Brasil";5;5;-;55;4;4;73
"292400 Paulo Afonso";139;24;3;528;2;68;764
"292405 Pé de Serra";7;2;-;75;-;1;85
"292410 Pedrão";8;15;-;22;-;3;48
"292420 Pedro Alexandre";8;3;1;39;-;3;54
"292430 Piatã";28;13;-;52;-;30;123
"292440 Pilão Arcado";12;8;2;75;-;47;144
"292450 Pindaí";27;8;2;49;-;-;86
"292460 Pindobaçu";14;5;-;132;-;1;152
"292465 Pintadas";16;6;-;42;-;4;68
"292467 Piraí do Norte";2;5;-;31;-;3;41
"292470 Piripá";14;4;-;46;-;7;71
"292480 Piritiba";13;11;1;52;-;56;133
"292490 Planaltino";9;2;-;32;-;5;48
"292500 Planalto";11;8;-;116;-;21;156
"292510 Poções";73;30;-;261;-;1;365
"292520 Pojuca";27;43;3;131;-;2;206
"292525 Ponto Novo";8;2;1;90;-;4;105
"292530 Porto Seguro";182;55;10;526;14;25;812
"292540 Potiraguá";10;5;-;34;-;14;63
"292550 Prado";22;27;1;117;4;12;183
"292560 Presidente Dutra";23;6;1;67;-;3;100
"292570 Presidente Jânio Quadros";21;10;-;50;-;5;86
"292575 Presidente Tancredo Neves";19;18;-;89;-;4;130
"292580 Queimadas";21;5;-;86;-;61;173
"292590 Quijingue";16;9;-;101;1;15;142
"292593 Quixabeira";5;-;1;29;-;10;45
"292595 Rafael Jambeiro";42;38;2;70;1;7;160
"292600 Remanso";11;14;-;194;-;6;225
"292610 Retirolândia";16;9;-;35;-;7;67
"292620 Riachão das Neves";12;11;-;89;-;27;139
"292630 Riachão do Jacuípe";64;32;-;130;-;9;235
"292640 Riacho de Santana";63;29;1;78;-;2;173
"292650 Ribeira do Amparo";13;7;-;44;-;8;72
"292660 Ribeira do Pombal";65;19;-;200;-;83;367
"292665 Ribeirão do Largo";9;5;-;28;-;-;42
"292670 Rio de Contas";33;11;-;31;-;5;80
"292680 Rio do Antônio";38;5;1;32;2;6;84
"292690 Rio do Pires";16;10;-;25;-;6;57
"292700 Rio Real";35;14;2;188;-;44;283
"292710 Rodelas";21;3;1;35;5;3;68
"292720 Ruy Barbosa";23;17;-;171;-;11;222
"292730 Salinas da Margarida";4;32;-;46;-;8;90
"292740 Salvador";3579;3132;32;8933;8;1204;16888
"292750 Santa Bárbara";23;13;-;121;-;4;161
"292760 Santa Brígida";15;7;-;43;-;2;67
"292770 Santa Cruz Cabrália";24;13;-;101;7;3;148
"292780 Santa Cruz da Vitória";5;4;-;31;-;-;40
"292790 Santa Inês";25;18;-;46;-;2;91
"292805 Santa Luzia";9;8;1;69;-;7;94
"292810 Santa Maria da Vitória";50;24;1;164;-;4;243
"292840 Santa Rita de Cássia";18;20;1;86;1;44;170
"292850 Santa Teresinha";15;9;-;42;-;11;77
"292800 Santaluz";47;21;-;116;-;2;186
"292820 Santana";15;2;1;43;-;32;93
"292830 Santanópolis";9;16;1;33;-;10;69
"292860 Santo Amaro";27;142;2;185;-;23;379
"292870 Santo Antônio de Jesus";151;154;5;320;-;22;652
"292880 Santo Estêvão";70;71;3;189;1;14;348
"292890 São Desidério";20;10;1;78;-;13;122
"292895 São Domingos";13;3;-;35;-;2;53
"292910 São Felipe";30;33;1;62;-;7;133
"292900 São Félix";6;25;1;76;-;5;113
"292905 São Félix do Coribe";28;7;1;49;-;4;89
"292920 São Francisco do Conde";22;55;-;134;-;4;215
"292925 São Gabriel";34;7;-;68;-;-;109
"292930 São Gonçalo dos Campos";21;64;2;113;2;23;225
"292935 São José da Vitória";3;4;-;31;-;12;50
"292937 São José do Jacuípe";15;5;-;37;-;3;60
"292940 São Miguel das Matas";14;23;-;26;-;3;66
"292950 São Sebastião do Passé";29;50;1;133;-;39;252
"292960 Sapeaçu";19;44;-;51;1;12;127
"292970 Sátiro Dias";22;9;-;59;-;21;111
"292975 Saubara";10;26;-;49;1;5;91
"292980 Saúde";7;6;-;42;-;23;78
"292990 Seabra";26;13;-;154;-;75;268
"293000 Sebastião Laranjeiras";10;7;1;26;-;-;44
"293010 Senhor do Bonfim";107;42;1;362;-;23;535
"293020 Sento Sé";19;5;-;96;-;18;138
"293015 Serra do Ramalho";23;35;-;96;-;16;170
"293030 Serra Dourada";12;1;-;67;-;1;81
"293040 Serra Preta";19;39;1;79;1;7;146
"293050 Serrinha";111;75;3;241;-;60;490
"293060 Serrolândia";21;10;-;70;-;4;105
"293070 Simões Filho";126;153;3;515;-;33;830
"293075 Sítio do Mato";13;18;-;21;1;2;55
"293076 Sítio do Quinto";22;3;-;39;-;5;69
"293077 Sobradinho";24;12;1;92;-;4;133
"293080 Souto Soares";17;5;-;43;-;51;116
"293090 Tabocas do Brejo Velho";8;2;1;22;-;8;41
"293100 Tanhaçu";37;11;-;66;-;12;126
"293105 Tanque Novo";35;13;-;50;-;3;101
"293110 Tanquinho";10;25;1;32;-;3;71
"293120 Taperoá";10;22;-;66;-;6;104
"293130 Tapiramutá";7;3;-;52;-;23;85
"293135 Teixeira de Freitas";204;62;1;655;-;49;971
"293140 Teodoro Sampaio";5;19;1;26;-;1;52
"293150 Teofilândia";12;20;-;56;-;38;126
"293160 Teolândia";4;8;-;43;-;5;60
"293170 Terra Nova";6;24;-;38;-;2;70
"293180 Tremedal";35;14;-;47;-;9;105
"293190 Tucano";56;14;-;145;1;60;276
"293200 Uauá";51;2;-;101;-;4;158
"293210 Ubaíra";10;21;-;94;-;3;128
"293220 Ubaitaba";10;23;-;98;-;17;148
"293230 Ubatã";7;6;-;107;1;19;140
"293240 Uibaí";24;10;-;62;-;3;99
"293245 Umburanas";7;6;-;41;-;9;63
"293250 Una";9;21;1;85;-;25;141
"293260 Urandi";27;13;-;52;-;8;100
"293270 Uruçuca";10;10;-;77;-;44;141
"293280 Utinga";8;6;-;88;-;1;103
"293290 Valença";62;50;-;434;-;9;555
"293300 Valente";45;16;-;83;-;5;149
"293305 Várzea da Roça";21;8;-;38;-;6;73
"293310 Várzea do Poço";16;6;-;33;-;7;62
"293315 Várzea Nova";11;5;-;43;-;15;74
"293317 Varzedo";16;21;-;26;-;2;65
"293320 Vera Cruz";42;50;-;205;-;14;311
"293325 Vereda";4;8;-;26;-;1;39
"293330 Vitória da Conquista";438;152;2;1621;-;72;2285
"293340 Wagner";4;6;-;37;-;5;52
"293345 Wanderley";15;4;-;59;-;4;82
"293350 Wenceslau Guimarães";8;22;-;95;-;3;128
"293360 Xique-Xique";52;30;-;206;-;6;294
"290000 Município ignorado - BA";11;30;-;112;-;163;316
"Total";16650;12510;286;55045;146;7032;91669
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
