Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Ano do Óbito
Período:2014-2024
"Município-BA";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"290900 Cordeiros";38;52;55;56;54;54;68;47;75;67;44;610
"290910 Coribe";84;71;82;79;71;83;72;105;109;103;83;942
"290920 Coronel João Sá";75;87;98;92;91;91;106;101;113;101;83;1038
"290930 Correntina";124;104;141;176;142;120;164;173;154;164;136;1598
"290940 Cotegipe";67;84;73;86;70;88;93;99;79;90;64;893
"290950 Cravolândia";29;28;35;40;36;41;33;32;41;35;37;387
"290960 Crisópolis";107;113;136;139;146;153;141;162;156;130;84;1467
"290970 Cristópolis";52;69;66;71;64;83;80;100;88;93;66;832
"290980 Cruz das Almas";376;384;400;411;418;397;443;457;475;437;327;4525
"290990 Curaçá";182;156;169;197;181;210;232;218;224;236;196;2201
"291000 Dário Meira";56;68;72;62;78;79;98;92;72;94;58;829
"291005 Dias d'Ávila";379;364;368;422;392;404;489;580;463;470;368;4699
"291010 Dom Basílio";80;72;77;70;73;85;83;84;85;99;80;888
"291020 Dom Macedo Costa";29;31;30;32;44;35;34;48;35;44;29;391
"291030 Elísio Medrado";63;68;60;56;56;58;73;64;76;81;43;698
"291040 Encruzilhada";138;133;134;133;120;118;141;154;153;149;125;1498
"291050 Entre Rios";229;232;261;277;258;256;245;283;255;277;203;2776
"290050 Érico Cardoso";73;66;71;85;76;65;85;78;90;76;60;825
"291060 Esplanada";194;196;213;217;209;217;230;207;224;209;177;2293
"291070 Euclides da Cunha";352;351;351;390;393;432;390;439;472;470;338;4378
"291072 Eunápolis";617;655;723;779;711;741;897;955;801;801;635;8315
"291075 Fátima";102;100;120;105;104;126;135;129;133;120;107;1281
"291077 Feira da Mata";18;20;15;24;28;29;32;41;36;36;18;297
"291080 Feira de Santana";3590;3783;3676;3808;3725;3985;4530;4676;4310;4208;3687;43978
"291085 Filadélfia";97;87;110;91;107;86;141;128;137;153;113;1250
"291090 Firmino Alves";28;35;32;39;45;43;52;51;44;43;32;444
"291100 Floresta Azul";82;80;98;71;82;107;77;94;100;81;79;951
"291110 Formosa do Rio Preto";98;83;104;131;109;131;132;136;160;131;99;1314
"291120 Gandu";156;183;199;186;197;195;244;244;237;240;202;2283
"291125 Gavião";28;28;22;32;20;19;42;46;33;21;16;307
"291130 Gentio do Ouro";76;62;71;65;64;71;78;81;87;78;49;782
"291140 Glória";80;89;101;110;98;104;108;127;105;93;84;1099
"291150 Gongogi";35;45;46;46;52;52;56;64;61;38;44;539
"291160 Governador Mangabeira";137;147;123;146;131;136;155;183;159;147;112;1576
"291165 Guajeru";44;43;55;56;54;58;67;61;76;60;48;622
"291170 Guanambi";441;466;477;522;508;565;523;688;635;620;537;5982
"291180 Guaratinga";85;82;78;116;112;110;162;149;147;140;103;1284
"291185 Heliópolis";59;85;70;92;67;66;74;75;108;83;73;852
"291190 Iaçu";178;197;202;190;175;174;230;245;228;221;139;2179
"291200 Ibiassucê";65;71;66;66;65;64;80;85;80;80;68;790
"291210 Ibicaraí";196;246;245;180;192;206;263;242;258;205;186;2419
"291220 Ibicoara";76;68;71;79;74;78;87;83;98;111;97;922
"291230 Ibicuí";97;108;85;111;110;114;134;131;125;131;102;1248
"291240 Ibipeba";86;106;104;96;82;119;140;121;134;108;92;1188
"291250 Ibipitanga";80;89;82;83;81;87;108;104;129;122;82;1047
"291260 Ibiquera";23;18;25;20;19;27;41;29;30;21;16;269
"291270 Ibirapitanga";146;143;151;150;150;145;159;184;167;155;106;1656
"291280 Ibirapuã";46;67;62;49;46;62;85;82;60;66;57;682
"291290 Ibirataia";110;151;186;163;172;202;194;193;204;200;131;1906
"291300 Ibitiara";106;101;102;96;118;119;131;128;142;120;105;1268
"291310 Ibititá";111;105;109;112;78;109;131;120;131;135;95;1236
"291320 Ibotirama";149;180;166;204;189;178;207;234;212;198;167;2084
"291330 Ichu";29;40;28;36;32;44;35;48;34;53;37;416
"291340 Igaporã";76;77;92;93;85;81;107;92;108;102;103;1016
"291345 Igrapiúna";60;44;58;55;64;72;78;64;72;79;56;702
"291350 Iguaí";140;158;150;171;164;180;207;191;180;218;140;1899
"291360 Ilhéus";1354;1336;1510;1350;1401;1456;1704;1742;1518;1499;1073;15943
"291370 Inhambupe";246;230;212;248;226;283;286;270;279;250;229;2759
"291380 Ipecaetá";83;82;82;113;81;105;117;111;114;119;69;1076
"291390 Ipiaú";318;373;354;380;365;353;396;417;377;364;337;4034
"291400 Ipirá";375;461;365;413;436;420;437;493;466;459;332;4657
"291410 Ipupiara";71;80;68;82;79;65;90;87;85;73;43;823
"291420 Irajuba";45;45;43;36;49;48;65;50;44;55;31;511
"291430 Iramaia";47;49;66;52;49;57;72;68;72;74;56;662
"291440 Iraquara";130;149;158;153;135;152;151;196;189;163;133;1709
"291450 Irará";170;206;199;201;219;212;216;225;207;235;178;2268
"291460 Irecê";395;353;370;461;403;458;473;549;505;500;425;4892
"291465 Itabela";218;192;210;205;179;180;228;308;264;228;210;2422
"291470 Itaberaba";387;422;432;451;477;462;552;551;552;545;355;5186
"291480 Itabuna";1685;1588;1907;1629;1617;1648;2099;2024;1861;1760;1367;19185
"291490 Itacaré";107;101;96;108;121;105;163;135;134;127;126;1323
"291500 Itaeté";67;63;71;68;71;82;101;97;121;101;78;920
"291510 Itagi";96;102;108;113;105;108;144;127;146;94;85;1228
"291520 Itagibá";86;84;78;91;90;120;126;133;131;115;96;1150
"291530 Itagimirim";51;57;62;63;50;49;35;71;57;61;47;603
"291535 Itaguaçu da Bahia";53;63;73;66;84;58;58;81;73;64;63;736
"291540 Itaju do Colônia";32;38;41;39;58;46;48;60;43;40;40;485
"291550 Itajuípe";158;197;213;176;180;192;211;238;185;204;152;2106
"291560 Itamaraju";381;421;425;475;448;429;529;596;570;522;418;5214
"291570 Itamari";43;54;46;42;57;61;61;56;64;66;56;606
"291580 Itambé";179;159;194;187;158;181;192;212;212;179;155;2008
"291590 Itanagra";40;33;33;30;32;31;46;36;36;44;34;395
"291600 Itanhém";116;133;148;154;140;145;186;177;182;149;126;1656
"291610 Itaparica";139;132;151;146;148;147;169;190;175;153;135;1685
"291620 Itapé";84;86;104;86;85;78;88;103;86;85;73;958
"291630 Itapebi";51;69;84;78;64;62;72;90;77;74;52;773
"291640 Itapetinga";482;481;542;523;509;526;604;639;632;527;493;5958
"291650 Itapicuru";152;162;180;180;201;189;201;196;208;197;141;2007
"291660 Itapitanga";45;69;69;55;67;64;93;72;62;68;60;724
"291670 Itaquara";57;67;58;64;43;54;60;53;73;70;59;658
"291680 Itarantim";119;103;77;109;107;105;153;141;116;118;90;1238
"291685 Itatim";78;108;88;90;100;94;109;113;102;113;92;1087
"291690 Itiruçu";94;110;109;102;103;94;102;104;114;99;87;1118
"291700 Itiúba";205;243;210;190;193;234;264;291;235;248;211;2524
"291710 Itororó";161;129;162;129;149;176;187;176;193;153;157;1772
"291720 Ituaçu";96;110;116;125;114;131;139;150;163;164;106;1414
"291730 Ituberá";124;148;139;163;153;173;183;179;150;154;144;1710
"291733 Iuiú";47;48;48;45;55;65;67;76;94;80;51;676
"291735 Jaborandi";39;49;47;49;62;64;72;49;71;63;56;621
"291740 Jacaraci";88;100;82;85;93;106;87;119;109;148;94;1111
"291750 Jacobina";557;541;530;594;548;612;663;725;709;651;467;6597
"291760 Jaguaquara";314;312;346;360;363;343;384;450;398;377;323;3970
"291770 Jaguarari";178;218;196;217;174;230;242;265;263;269;168;2420
"291780 Jaguaripe";74;85;91;96;81;111;107;120;113;109;65;1052
"291790 Jandaíra";42;60;62;61;61;58;51;61;58;54;41;609
"291800 Jequié";1053;1136;1105;1156;1197;1187;1385;1404;1418;1318;1114;13473
"291810 Jeremoabo";198;213;240;230;217;242;269;279;249;257;208;2602
"291820 Jiquiriçá";80;88;73;89;85;79;84;116;97;103;76;970
"291830 Jitaúna";104;108;90;105;96;110;134;134;126;112;97;1216
"291835 João Dourado";122;126;129;148;144;153;181;195;157;156;124;1635
"291840 Juazeiro";1241;1269;1304;1332;1370;1453;1586;1758;1668;1579;1317;15877
"291845 Jucuruçu";43;42;57;57;41;54;64;61;73;49;41;582
"291850 Jussara";96;103;92;114;102;130;109;109;113;115;88;1171
"291855 Jussari";31;50;39;54;51;52;65;54;63;69;42;570
"291860 Jussiape";59;76;52;81;49;62;77;79;79;76;47;737
"291870 Lafaiete Coutinho";21;24;35;27;43;30;31;25;38;40;25;339
"291875 Lagoa Real";67;68;56;56;45;77;67;62;83;91;51;723
"291880 Laje";132;137;126;151;126;158;148;192;173;154;135;1632
"291890 Lajedão";14;33;31;37;33;39;46;36;41;49;28;387
"291900 Lajedinho";25;23;24;17;28;21;24;31;19;36;22;270
"291905 Lajedo do Tabocal";49;53;54;45;54;60;51;60;62;69;46;603
"291910 Lamarão";46;47;45;53;44;62;72;66;75;44;47;601
"291915 Lapão";134;170;156;169;144;195;174;231;196;198;149;1916
"291920 Lauro de Freitas";1228;1177;1165;1164;1100;1131;1354;1604;1300;1298;1045;13566
"291930 Lençóis";43;53;49;59;39;55;83;53;68;62;47;611
"291940 Licínio de Almeida";70;75;67;78;69;73;81;95;92;85;62;847
"291950 Livramento de Nossa Senhora";196;217;249;237;247;259;259;338;315;297;242;2856
"291955 Luís Eduardo Magalhães";195;264;294;267;269;309;346;438;399;399;324;3504
"291960 Macajuba";80;68;92;79;81;87;86;93;88;88;80;922
"291970 Macarani";140;96;106;127;124;126;144;137;176;130;108;1414
"291980 Macaúbas";254;246;244;240;296;271;272;320;318;319;220;3000
"291990 Macururé";41;43;39;42;48;50;46;49;47;48;40;493
"291992 Madre de Deus";97;109;107;111;110;90;103;132;102;123;111;1195
"291995 Maetinga";49;43;48;55;56;51;66;66;57;67;35;593
"292000 Maiquinique";48;51;48;55;56;56;50;87;76;60;64;651
"292010 Mairi";114;146;142;122;138;146;150;116;150;143;101;1468
"292020 Malhada";70;80;85;86;89;75;101;109;103;104;55;957
"292030 Malhada de Pedras";38;41;31;59;54;65;47;66;85;53;38;577
"292040 Manoel Vitorino";55;93;85;75;67;82;113;127;100;90;77;964
"292045 Mansidão";16;30;22;38;42;46;38;63;52;45;33;425
"292050 Maracás";168;155;164;178;178;189;191;234;223;194;148;2022
"292060 Maragogipe";275;262;280;272;301;285;319;278;292;285;236;3085
"292070 Maraú";60;45;64;77;86;85;95;114;96;97;83;902
"292080 Marcionílio Souza";55;53;55;61;56;71;84;78;62;65;47;687
"292090 Mascote";73;79;96;83;93;81;102;106;109;103;68;993
"292100 Mata de São João";271;242;279;290;278;282;312;352;305;344;266;3221
"292105 Matina";62;61;43;63;59;57;55;80;74;59;56;669
"292110 Medeiros Neto";146;161;205;217;191;193;245;230;229;218;174;2209
"292120 Miguel Calmon";179;190;176;181;209;192;217;244;237;57;44;1926
"292130 Milagres";55;87;88;67;76;74;101;105;97;106;45;901
"292140 Mirangaba";85;85;61;85;86;91;79;103;112;103;58;948
"292145 Mirante";34;43;43;46;41;53;53;57;71;47;46;534
"292150 Monte Santo";303;320;285;323;302;325;339;397;354;367;283;3598
"292160 Morpará";45;44;69;66;61;57;52;93;73;61;52;673
"292170 Morro do Chapéu";230;212;219;255;191;232;245;234;256;255;183;2512
"292180 Mortugaba";80;93;79;88;73;96;88;111;66;81;94;949
"292190 Mucugê";61;54;56;58;74;67;57;76;67;70;57;697
"292200 Mucuri";152;195;192;205;168;183;231;237;253;234;181;2231
"292205 Mulungu do Morro";77;51;78;90;89;92;85;89;96;83;58;888
"292210 Mundo Novo";142;134;153;140;126;135;169;138;173;134;128;1572
"292220 Muniz Ferreira";45;46;35;45;65;46;57;59;54;44;41;537
"292225 Muquém de São Francisco";40;42;42;43;50;44;50;60;55;67;54;547
"292230 Muritiba";174;190;202;227;189;221;229;263;235;209;178;2317
"292240 Mutuípe";140;133;140;165;140;132;177;205;166;187;114;1699
"292250 Nazaré";160;199;206;229;198;213;221;247;212;220;187;2292
"292260 Nilo Peçanha";57;61;71;70;59;77;88;89;86;84;67;809
"292265 Nordestina";61;63;76;71;63;76;101;131;110;98;87;937
"292270 Nova Canaã";88;97;75;85;111;80;106;124;114;107;77;1064
"292273 Nova Fátima";43;54;42;62;34;49;60;56;67;74;67;608
"292275 Nova Ibiá";40;41;26;27;32;36;59;56;37;44;32;430
"292280 Nova Itarana";57;41;58;64;45;44;51;59;50;46;40;555
"292285 Nova Redenção";44;44;41;52;51;49;50;58;75;60;30;554
"292290 Nova Soure";174;181;198;186;131;140;136;163;189;206;160;1864
"292300 Nova Viçosa";201;222;256;277;212;234;284;283;308;291;226;2794
"292303 Novo Horizonte";60;61;84;75;77;65;80;96;82;74;60;814
"292305 Novo Triunfo";39;50;47;68;54;54;59;63;66;61;50;611
"292310 Olindina";151;176;173;152;146;163;178;205;206;203;126;1879
"292320 Oliveira dos Brejinhos";121;142;146;141;155;166;169;174;191;165;117;1687
"292330 Ouriçangas";53;70;64;61;49;58;64;55;66;67;37;644
"292335 Ourolândia";80;71;79;106;99;125;114;137;126;116;84;1137
"292340 Palmas de Monte Alto";105;130;110;125;139;140;137;177;154;130;124;1471
"292350 Palmeiras";45;57;40;63;53;67;67;74;63;52;43;624
"292360 Paramirim";119;123;120;113;150;125;127;155;158;166;131;1487
"292370 Paratinga";126;144;171;190;192;189;199;196;232;196;168;2003
"292380 Paripiranga";173;162;168;180;190;167;166;213;185;190;140;1934
"292390 Pau Brasil";76;60;88;73;64;63;109;83;79;75;63;833
"292400 Paulo Afonso";707;716;807;764;777;760;836;983;880;849;691;8770
"292405 Pé de Serra";68;83;61;85;96;59;88;105;89;100;83;917
"292410 Pedrão";45;48;53;48;58;41;40;42;60;63;39;537
"292420 Pedro Alexandre";48;46;80;54;65;60;62;76;60;57;42;650
"292430 Piatã";145;146;155;123;138;130;144;163;161;187;133;1625
"292440 Pilão Arcado";122;140;121;144;158;147;175;182;215;227;136;1767
"292450 Pindaí";88;90;79;86;106;97;110;114;111;113;92;1086
"292460 Pindobaçu";86;112;117;152;122;143;145;156;171;153;140;1497
"292465 Pintadas";61;66;50;68;48;76;87;74;80;92;48;750
"292467 Piraí do Norte";50;41;28;41;36;49;50;56;37;50;45;483
"292470 Piripá";54;63;69;71;73;69;69;87;80;66;65;766
"292480 Piritiba";144;132;165;133;133;143;172;154;163;154;113;1606
"292490 Planaltino";42;49;41;48;46;46;47;50;61;58;42;530
"292500 Planalto";155;180;185;156;181;182;197;204;227;201;170;2038
"292510 Poções";334;331;349;365;396;364;440;453;409;450;393;4284
"292520 Pojuca";226;213;211;206;215;218;268;257;252;207;170;2443
"292525 Ponto Novo";87;113;105;105;91;110;123;136;135;125;97;1227
"292530 Porto Seguro";733;673;824;812;813;694;873;1032;953;952;746;9105
"292540 Potiraguá";63;48;51;63;59;65;71;70;77;70;37;674
"292550 Prado";146;148;170;183;176;177;241;304;247;250;199;2241
"292560 Presidente Dutra";90;87;107;100;100;85;118;127;110;128;75;1127
"292570 Presidente Jânio Quadros";84;82;77;86;78;82;96;96;98;95;56;930
"292575 Presidente Tancredo Neves";116;148;152;130;137;157;182;175;187;147;110;1641
"292580 Queimadas";170;134;158;173;135;179;201;225;216;214;131;1936
"292590 Quijingue";132;159;128;142;152;152;169;191;167;159;170;1721
"292593 Quixabeira";47;38;44;45;56;63;54;62;77;62;31;579
"292595 Rafael Jambeiro";120;153;144;160;134;173;149;159;157;173;130;1652
"292600 Remanso";226;209;217;225;224;228;304;307;353;308;248;2849
"292610 Retirolândia";72;67;63;67;85;96;98;135;109;101;66;959
"292620 Riachão das Neves";136;156;149;139;124;145;180;201;156;147;103;1636
"292630 Riachão do Jacuípe";199;242;195;235;240;231;231;321;255;253;225;2627
"292640 Riacho de Santana";149;175;212;173;207;193;194;257;234;254;178;2226
"292650 Ribeira do Amparo";61;78;69;72;78;97;85;110;107;79;76;912
"292660 Ribeira do Pombal";314;320;301;367;374;348;406;375;386;438;330;3959
"292665 Ribeirão do Largo";48;36;39;42;40;47;47;58;53;47;48;505
"292670 Rio de Contas";97;112;88;80;98;96;105;120;101;118;84;1099
"292680 Rio do Antônio";71;79;84;84;64;74;77;110;107;104;70;924
"292690 Rio do Pires";76;66;69;57;68;65;98;72;95;65;66;797
"292700 Rio Real";222;261;260;283;249;254;297;288;286;276;193;2869
"292710 Rodelas";49;53;60;68;47;54;57;67;67;58;52;632
"292720 Ruy Barbosa";220;263;233;222;242;241;221;298;285;261;228;2714
"292730 Salinas da Margarida";73;98;81;90;75;90;89;115;117;94;83;1005
"292740 Salvador";16057;16477;15676;16888;16221;16885;21315;22336;19225;18384;14515;193979
"292750 Santa Bárbara";141;162;136;161;158;170;147;169;174;152;123;1693
"292760 Santa Brígida";82;87;79;67;65;76;92;118;116;93;92;967
"292770 Santa Cruz Cabrália";154;156;116;148;158;177;202;222;193;184;161;1871
"292780 Santa Cruz da Vitória";38;39;42;40;43;52;54;56;50;54;49;517
"292790 Santa Inês";81;91;112;91;81;108;97;123;124;86;79;1073
"292805 Santa Luzia";78;90;102;94;88;88;110;110;106;88;88;1042
"292810 Santa Maria da Vitória";232;220;211;243;222;243;298;332;295;269;199;2764
"292840 Santa Rita de Cássia";123;151;91;170;164;171;162;208;189;199;160;1788
"292850 Santa Teresinha";74;74;79;77;64;67;85;82;90;70;56;818
"292800 Santaluz";166;227;209;186;214;202;251;272;247;291;188;2453
"292820 Santana";83;90;110;93;170;165;171;183;205;194;139;1603
"292830 Santanópolis";49;57;58;69;56;78;67;66;74;98;70;742
"292860 Santo Amaro";396;393;350;379;382;410;506;509;491;483;383;4682
"292870 Santo Antônio de Jesus";586;583;610;652;679;681;755;782;773;739;595;7435
"292880 Santo Estêvão";324;353;353;348;352;377;381;430;381;361;277;3937
"292890 São Desidério";105;99;127;122;155;161;167;212;191;164;108;1611
"292895 São Domingos";48;59;44;53;63;66;78;62;86;59;59;677
"292910 São Felipe";173;131;135;133;145;148;156;169;141;153;144;1628
"292900 São Félix";93;88;65;113;96;82;102;75;90;90;72;966
"292905 São Félix do Coribe";70;74;107;89;89;65;91;120;108;91;65;969
"292920 São Francisco do Conde";174;207;199;215;206;207;238;271;239;225;176;2357
"292925 São Gabriel";87;95;100;109;108;94;126;130;113;134;104;1200
"292930 São Gonçalo dos Campos";200;201;191;225;218;213;242;234;224;216;170;2334
"292935 São José da Vitória";49;53;80;50;62;55;50;66;63;45;35;608
"292937 São José do Jacuípe";56;56;62;60;71;71;63;60;85;76;56;716
"292940 São Miguel das Matas";50;68;61;66;56;72;78;91;64;73;53;732
"292950 São Sebastião do Passé";228;273;240;252;234;257;318;340;275;280;256;2953
"292960 Sapeaçu";127;109;145;127;123;138;147;170;169;133;130;1518
"292970 Sátiro Dias";111;101;119;111;126;112;136;126;116;114;82;1254
"292975 Saubara";63;82;51;91;80;77;101;110;89;77;75;896
"292980 Saúde";94;86;65;78;82;81;70;93;87;91;81;908
"292990 Seabra";270;237;281;268;286;250;280;386;311;317;259;3145
"293000 Sebastião Laranjeiras";49;57;56;44;55;72;60;65;63;68;48;637
"293010 Senhor do Bonfim";503;585;587;535;487;572;648;665;703;642;543;6470
"293020 Sento Sé";121;144;140;138;147;159;189;247;211;194;148;1838
"293015 Serra do Ramalho";172;170;165;170;172;174;178;232;238;217;141;2029
"293030 Serra Dourada";89;74;94;81;91;111;111;125;106;118;85;1085
"293040 Serra Preta";118;136;129;146;133;137;147;144;142;165;118;1515
"293050 Serrinha";455;500;483;490;478;555;628;623;626;546;454;5838
"293060 Serrolândia";84;83;86;105;87;105;120;138;120;61;28;1017
"293070 Simões Filho";742;752;697;830;784;701;903;895;813;832;645;8594
"293075 Sítio do Mato";39;50;60;55;58;64;62;89;70;54;51;652
"293076 Sítio do Quinto";55;59;77;69;65;75;70;76;76;79;54;755
"293077 Sobradinho";125;128;164;133;120;161;195;216;193;198;163;1796
"293080 Souto Soares";103;93;125;116;112;129;115;128;125;118;114;1278
