Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Ano do Óbito
Período:2017-2024
"Município-BA";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"290570 Camaçari";1488;1406;1456;1692;2154;1738;1806;1336;13076
"290580 Camamu";228;216;234;244;272;226;247;131;1798
"290590 Campo Alegre de Lourdes";114;144;154;159;187;173;192;140;1263
"290600 Campo Formoso";367;371;428;479;516;508;466;403;3538
"290610 Canápolis";38;39;39;51;61;58;62;38;386
"290620 Canarana";152;128;165;179;202;211;185;124;1346
"290630 Canavieiras";220;261;244;268;290;255;255;131;1924
"290640 Candeal";70;56;59;61;60;72;73;49;500
"290650 Candeias";505;533;554;630;667;505;556;378;4328
"290660 Candiba";80;112;105;98;117;111;103;55;781
"290670 Cândido Sales";199;186;224;229;228;235;238;180;1719
"290680 Cansanção";238;235;229;279;278;251;287;221;2018
"290682 Canudos";90;73;61;99;99;104;103;86;715
"290685 Capela do Alto Alegre";84;74;89;90;86;110;94;67;694
"290687 Capim Grosso";208;198;169;242;270;224;240;172;1723
"290689 Caraíbas";64;72;71;91;73;83;84;63;601
"290690 Caravelas";151;116;132;152;176;144;122;118;1111
"290700 Cardeal da Silva";41;42;59;52;61;56;55;31;397
"290710 Carinhanha";146;195;160;167;222;181;206;159;1436
"290720 Casa Nova";388;357;401;452;474;507;456;352;3387
"290730 Castro Alves";209;202;195;200;220;203;223;169;1621
"290740 Catolândia";8;27;20;15;18;20;33;14;155
"290750 Catu";317;352;345;340;420;360;339;264;2737
"290755 Caturama";53;44;61;59;88;60;63;36;464
"290760 Central";110;95;102;120;140;136;124;86;913
"290770 Chorrochó";73;66;70;90;67;85;71;65;587
"290780 Cícero Dantas";212;228;231;266;294;257;272;182;1942
"290790 Cipó";102;111;116;115;144;142;126;93;949
"290800 Coaraci";206;194;186;210;219;212;209;165;1601
"290810 Cocos";99;80;98;107;112;140;118;74;828
"290820 Conceição da Feira";133;137;135;148;193;140;152;120;1158
"290830 Conceição do Almeida";136;140;140;154;143;141;147;116;1117
"290840 Conceição do Coité";365;415;400;495;470;517;456;341;3459
"290850 Conceição do Jacuípe";204;214;214;239;222;285;222;195;1795
"290860 Conde";123;136;129;146;148;157;146;117;1102
"290870 Condeúba";133;116;115;123;141;143;152;99;1022
"290880 Contendas do Sincorá";32;23;22;38;42;32;42;27;258
"290890 Coração de Maria";171;172;163;174;182;170;165;147;1344
"290900 Cordeiros";56;54;54;68;47;75;67;41;462
"290910 Coribe";79;71;83;72;105;109;103;80;702
"290920 Coronel João Sá";92;91;91;106;101;113;101;83;778
"290930 Correntina";176;142;120;164;173;154;164;124;1217
"290940 Cotegipe";86;70;88;93;99;79;90;64;669
"290950 Cravolândia";40;36;41;33;32;41;35;37;295
"290960 Crisópolis";139;146;153;141;162;156;130;75;1102
"290970 Cristópolis";71;64;83;80;100;88;93;64;643
"290980 Cruz das Almas";411;418;397;443;457;475;437;305;3343
"290990 Curaçá";197;181;210;232;218;224;236;190;1688
"291000 Dário Meira";62;78;79;98;92;72;94;53;628
"291005 Dias d'Ávila";422;392;404;489;580;463;470;344;3564
"291010 Dom Basílio";70;73;85;83;84;85;99;78;657
"291020 Dom Macedo Costa";32;44;35;34;48;35;44;26;298
"291030 Elísio Medrado";56;56;58;73;64;76;81;43;507
"291040 Encruzilhada";133;120;118;141;154;153;149;119;1087
"291050 Entre Rios";277;258;256;245;283;255;277;201;2052
"290050 Érico Cardoso";85;76;65;85;78;90;76;60;615
"291060 Esplanada";217;209;217;230;207;224;209;172;1685
"291070 Euclides da Cunha";390;393;432;390;439;472;470;298;3284
"291072 Eunápolis";779;711;741;897;955;801;801;617;6302
"291075 Fátima";105;104;126;135;129;133;120;104;956
"291077 Feira da Mata";24;28;29;32;41;36;36;18;244
"291080 Feira de Santana";3808;3725;3985;4530;4676;4310;4208;3464;32706
"291085 Filadélfia";91;107;86;141;128;137;153;105;948
"291090 Firmino Alves";39;45;43;52;51;44;43;31;348
"291100 Floresta Azul";71;82;107;77;94;100;81;75;687
"291110 Formosa do Rio Preto";131;109;131;132;136;160;131;91;1021
"291120 Gandu";186;197;195;244;244;237;240;188;1731
"291125 Gavião";32;20;19;42;46;33;21;16;229
"291130 Gentio do Ouro";65;64;71;78;81;87;78;48;572
"291140 Glória";110;98;104;108;127;105;93;82;827
"291150 Gongogi";46;52;52;56;64;61;38;42;411
"291160 Governador Mangabeira";146;131;136;155;183;159;147;111;1168
"291165 Guajeru";56;54;58;67;61;76;60;42;474
"291170 Guanambi";522;508;565;523;688;635;620;503;4564
"291180 Guaratinga";116;112;110;162;149;147;137;100;1033
"291185 Heliópolis";92;67;66;74;75;108;83;73;638
"291190 Iaçu";190;175;174;230;245;228;221;139;1602
"291200 Ibiassucê";66;65;64;80;85;80;80;65;585
"291210 Ibicaraí";180;192;206;263;242;258;205;171;1717
"291220 Ibicoara";79;74;78;87;83;98;111;92;702
"291230 Ibicuí";111;110;114;134;131;125;131;102;958
"291240 Ibipeba";96;82;119;140;121;134;108;87;887
"291250 Ibipitanga";83;81;87;108;104;129;122;81;795
"291260 Ibiquera";20;19;27;41;29;30;21;16;203
"291270 Ibirapitanga";150;150;145;159;184;167;155;89;1199
"291280 Ibirapuã";49;46;62;85;82;60;66;49;499
"291290 Ibirataia";163;172;202;194;193;204;200;125;1453
"291300 Ibitiara";96;118;119;131;128;142;120;101;955
"291310 Ibititá";112;78;109;131;120;131;135;87;903
"291320 Ibotirama";204;189;178;207;234;212;198;141;1563
"291330 Ichu";36;32;44;35;48;34;53;36;318
"291340 Igaporã";93;85;81;107;92;108;102;100;768
"291345 Igrapiúna";55;64;72;78;64;72;79;55;539
"291350 Iguaí";171;164;180;207;191;177;218;139;1447
"291360 Ilhéus";1350;1401;1456;1704;1742;1518;1499;1018;11688
"291370 Inhambupe";248;226;283;286;270;279;250;222;2064
"291380 Ipecaetá";113;81;105;117;111;114;119;68;828
"291390 Ipiaú";380;365;353;396;417;377;364;313;2965
"291400 Ipirá";413;436;420;437;493;466;459;328;3452
"291410 Ipupiara";82;79;65;90;87;83;73;43;602
"291420 Irajuba";36;49;48;65;50;44;55;31;378
"291430 Iramaia";52;49;57;72;68;72;74;54;498
"291440 Iraquara";153;135;152;151;196;189;163;128;1267
"291450 Irará";201;219;212;216;225;207;235;170;1685
"291460 Irecê";461;403;458;473;549;505;500;400;3749
"291465 Itabela";205;179;180;228;308;264;228;207;1799
"291470 Itaberaba";451;477;462;552;551;552;545;353;3943
"291480 Itabuna";1629;1617;1648;2099;2024;1861;1760;1233;13871
"291490 Itacaré";108;121;105;163;135;134;127;122;1015
"291500 Itaeté";68;71;82;101;97;121;101;78;719
"291510 Itagi";113;105;108;144;127;146;94;85;922
"291520 Itagibá";91;90;120;126;133;131;115;92;898
"291530 Itagimirim";63;50;49;35;71;57;61;44;430
"291535 Itaguaçu da Bahia";66;84;58;58;81;73;64;61;545
"291540 Itaju do Colônia";39;58;46;48;60;43;40;38;372
"291550 Itajuípe";176;180;192;211;238;185;204;144;1530
"291560 Itamaraju";475;448;429;529;596;570;522;386;3955
"291570 Itamari";42;57;61;61;56;64;66;54;461
"291580 Itambé";187;158;181;192;212;212;179;148;1469
"291590 Itanagra";30;32;31;46;36;36;44;34;289
"291600 Itanhém";154;140;145;186;177;182;149;123;1256
"291610 Itaparica";146;148;147;169;190;175;153;131;1259
"291620 Itapé";86;85;78;88;103;86;85;68;679
"291630 Itapebi";78;64;62;72;90;77;74;50;567
"291640 Itapetinga";523;509;526;604;639;632;527;461;4421
"291650 Itapicuru";180;201;189;201;196;208;197;141;1513
"291660 Itapitanga";55;67;64;93;72;62;68;60;541
"291670 Itaquara";64;43;54;60;53;73;70;59;476
"291680 Itarantim";109;107;105;153;141;116;118;87;936
"291685 Itatim";90;100;94;109;113;102;113;92;813
"291690 Itiruçu";102;103;94;102;104;114;99;87;805
"291700 Itiúba";190;193;234;264;291;235;248;211;1866
"291710 Itororó";129;149;176;187;176;193;153;148;1311
"291720 Ituaçu";125;114;131;139;150;163;164;94;1080
"291730 Ituberá";163;153;173;183;179;150;154;134;1289
"291733 Iuiú";45;55;65;67;76;94;80;50;532
"291735 Jaborandi";49;62;64;72;49;71;63;55;485
"291740 Jacaraci";85;93;106;87;119;109;148;88;835
"291750 Jacobina";594;548;612;663;725;709;651;465;4967
"291760 Jaguaquara";360;363;343;384;450;398;377;309;2984
"291770 Jaguarari";217;174;230;242;265;263;269;165;1825
"291780 Jaguaripe";96;81;111;107;120;113;109;61;798
"291790 Jandaíra";61;61;58;51;61;58;54;41;445
"291800 Jequié";1156;1197;1187;1385;1404;1418;1318;1083;10148
"291810 Jeremoabo";230;217;242;269;279;249;257;206;1949
"291820 Jiquiriçá";89;85;79;84;116;97;103;70;723
"291830 Jitaúna";105;96;110;134;134;126;112;96;913
"291835 João Dourado";148;144;153;181;195;157;156;115;1249
"291840 Juazeiro";1332;1370;1453;1586;1758;1668;1579;1265;12011
"291845 Jucuruçu";57;41;54;64;61;73;49;40;439
"291850 Jussara";114;102;130;109;109;113;115;83;875
"291855 Jussari";54;51;52;65;54;63;69;42;450
"291860 Jussiape";81;49;62;77;79;79;76;44;547
"291870 Lafaiete Coutinho";27;43;30;31;25;38;40;25;259
"291875 Lagoa Real";56;45;77;67;62;83;91;50;531
"291880 Laje";151;126;158;148;192;173;154;133;1235
"291890 Lajedão";37;33;39;46;36;41;49;28;309
"291900 Lajedinho";17;28;21;24;31;19;36;22;198
"291905 Lajedo do Tabocal";45;54;60;51;60;62;69;46;447
"291910 Lamarão";53;44;62;72;66;75;44;47;463
"291915 Lapão";169;144;195;174;231;196;198;139;1446
"291920 Lauro de Freitas";1164;1100;1131;1354;1604;1300;1298;994;9945
"291930 Lençóis";59;39;55;83;53;68;62;45;464
"291940 Licínio de Almeida";78;69;73;81;95;92;85;57;630
"291950 Livramento de Nossa Senhora";237;247;259;259;338;315;297;238;2190
"291955 Luís Eduardo Magalhães";267;269;309;346;438;399;399;305;2732
"291960 Macajuba";79;81;87;86;93;88;88;79;681
"291970 Macarani";127;124;126;144;137;176;130;100;1064
"291980 Macaúbas";240;296;271;272;320;318;319;210;2246
"291990 Macururé";42;48;50;46;49;47;48;40;370
"291992 Madre de Deus";111;110;90;103;132;102;123;98;869
"291995 Maetinga";55;56;51;66;66;57;67;32;450
"292000 Maiquinique";55;56;56;50;87;76;60;64;504
"292010 Mairi";122;138;146;150;116;148;143;101;1064
"292020 Malhada";86;89;75;101;109;102;104;55;721
"292030 Malhada de Pedras";59;54;65;47;66;85;53;38;467
"292040 Manoel Vitorino";75;67;82;113;127;100;90;76;730
"292045 Mansidão";38;42;46;38;63;52;45;31;355
"292050 Maracás";178;178;189;191;234;223;194;140;1527
"292060 Maragogipe";272;301;285;319;278;292;285;232;2264
"292070 Maraú";77;86;85;95;114;96;97;78;728
"292080 Marcionílio Souza";61;56;71;84;78;62;65;46;523
"292090 Mascote";83;93;81;102;106;109;103;65;742
"292100 Mata de São João";290;278;282;312;352;305;344;254;2417
"292105 Matina";63;59;57;55;80;74;59;55;502
"292110 Medeiros Neto";217;191;193;245;230;229;218;149;1672
"292120 Miguel Calmon";181;209;192;217;244;237;57;43;1380
"292130 Milagres";67;76;74;101;105;97;106;44;670
"292140 Mirangaba";85;86;91;79;103;112;103;58;717
"292145 Mirante";46;41;53;53;57;71;47;44;412
"292150 Monte Santo";323;302;325;339;397;354;367;264;2671
"292160 Morpará";66;61;57;52;93;73;61;50;513
"292170 Morro do Chapéu";255;191;232;245;234;256;255;179;1847
"292180 Mortugaba";88;73;96;88;111;66;81;89;692
"292190 Mucugê";58;74;67;57;76;67;70;51;520
"292200 Mucuri";205;168;183;231;237;253;234;176;1687
"292205 Mulungu do Morro";90;89;92;85;89;96;83;50;674
"292210 Mundo Novo";140;126;135;169;138;173;134;121;1136
"292220 Muniz Ferreira";45;65;46;57;59;54;44;39;409
"292225 Muquém de São Francisco";43;50;44;50;60;55;67;46;415
"292230 Muritiba";227;189;221;229;263;235;209;173;1746
"292240 Mutuípe";165;140;132;177;205;166;187;109;1281
"292250 Nazaré";229;198;213;221;247;212;220;175;1715
"292260 Nilo Peçanha";70;59;77;88;89;86;84;67;620
"292265 Nordestina";71;63;76;101;131;110;98;85;735
"292270 Nova Canaã";85;111;80;106;124;114;107;72;799
"292273 Nova Fátima";62;34;49;60;56;67;74;66;468
"292275 Nova Ibiá";27;32;36;59;56;37;44;28;319
"292280 Nova Itarana";64;45;44;51;59;50;46;39;398
"292285 Nova Redenção";52;51;49;50;58;75;60;28;423
"292290 Nova Soure";186;131;140;136;163;189;206;158;1309
"292300 Nova Viçosa";277;212;234;284;283;308;291;216;2105
"292303 Novo Horizonte";75;77;65;80;96;82;74;57;606
"292305 Novo Triunfo";68;54;54;59;63;66;61;48;473
"292310 Olindina";152;146;163;178;205;206;203;126;1379
"292320 Oliveira dos Brejinhos";141;155;166;169;174;191;165;114;1275
"292330 Ouriçangas";61;49;58;64;55;66;67;37;457
"292335 Ourolândia";106;99;125;114;137;126;116;83;906
"292340 Palmas de Monte Alto";125;139;140;137;177;154;130;111;1113
"292350 Palmeiras";63;53;67;67;74;63;52;43;482
"292360 Paramirim";113;150;125;127;155;158;166;125;1119
"292370 Paratinga";190;192;189;199;196;232;196;155;1549
"292380 Paripiranga";180;190;167;166;213;185;190;139;1430
"292390 Pau Brasil";73;64;63;109;83;79;75;58;604
"292400 Paulo Afonso";764;777;760;836;983;880;849;664;6513
"292405 Pé de Serra";85;96;59;88;105;89;100;82;704
"292410 Pedrão";48;58;41;40;42;60;63;39;391
"292420 Pedro Alexandre";54;65;60;62;76;60;57;42;476
"292430 Piatã";123;138;130;144;163;161;187;126;1172
"292440 Pilão Arcado";144;158;147;175;182;215;227;135;1383
"292450 Pindaí";86;106;97;110;114;111;113;82;819
"292460 Pindobaçu";152;122;143;145;156;171;153;140;1182
"292465 Pintadas";68;48;76;87;74;80;92;45;570
"292467 Piraí do Norte";41;36;49;50;56;37;50;39;358
"292470 Piripá";71;73;69;69;87;80;66;61;576
"292480 Piritiba";133;133;143;172;154;163;154;110;1162
"292490 Planaltino";48;46;46;47;50;61;58;42;398
"292500 Planalto";156;181;182;197;204;227;201;159;1507
"292510 Poções";365;396;364;440;453;409;450;361;3238
"292520 Pojuca";206;215;218;268;257;251;207;158;1780
"292525 Ponto Novo";105;91;110;123;136;135;125;93;918
"292530 Porto Seguro";812;813;694;873;1032;953;952;739;6868
"292540 Potiraguá";63;59;65;71;70;77;70;36;511
"292550 Prado";183;176;177;241;304;247;250;194;1772
"292560 Presidente Dutra";100;100;85;118;127;110;128;74;842
"292570 Presidente Jânio Quadros";86;78;82;96;96;98;95;56;687
"292575 Presidente Tancredo Neves";130;137;157;182;175;186;147;107;1221
"292580 Queimadas";173;135;179;201;225;216;214;130;1473
"292590 Quijingue";142;152;152;169;191;167;159;156;1288
"292593 Quixabeira";45;56;63;54;62;77;62;31;450
"292595 Rafael Jambeiro";160;134;173;149;159;157;173;125;1230
"292600 Remanso";225;224;228;304;307;353;308;248;2197
"292610 Retirolândia";67;85;96;98;135;110;101;53;745
"292620 Riachão das Neves";139;124;145;180;201;156;147;101;1193
"292630 Riachão do Jacuípe";235;240;231;231;321;255;253;222;1988
"292640 Riacho de Santana";173;207;193;194;257;234;255;169;1682
"292650 Ribeira do Amparo";72;78;97;85;110;107;79;62;690
"292660 Ribeira do Pombal";367;374;348;406;375;386;438;317;3011
"292665 Ribeirão do Largo";42;40;47;47;58;53;47;48;382
"292670 Rio de Contas";80;98;96;105;120;101;118;82;800
"292680 Rio do Antônio";84;64;74;77;110;107;104;66;686
"292690 Rio do Pires";57;68;65;98;72;95;65;65;585
"292700 Rio Real";283;249;254;297;288;286;276;192;2125
"292710 Rodelas";68;47;54;57;67;67;58;49;467
"292720 Ruy Barbosa";222;242;241;221;298;285;261;213;1983
"292730 Salinas da Margarida";90;75;90;89;115;117;94;81;751
"292740 Salvador";16888;16221;16885;21315;22336;19225;18384;13928;145182
"292750 Santa Bárbara";161;158;170;147;169;174;152;111;1242
"292760 Santa Brígida";67;65;76;92;118;116;93;85;712
"292770 Santa Cruz Cabrália";148;158;177;202;222;193;184;158;1442
"292780 Santa Cruz da Vitória";40;43;52;54;56;50;54;46;395
"292790 Santa Inês";91;81;108;97;123;124;86;78;788
"292805 Santa Luzia";94;88;88;110;110;106;88;84;768
"292810 Santa Maria da Vitória";243;222;243;298;332;295;269;195;2097
"292840 Santa Rita de Cássia";170;164;171;162;208;189;199;160;1423
"292850 Santa Teresinha";77;64;67;85;82;90;70;56;591
"292800 Santaluz";186;214;202;251;272;247;291;185;1848
"292820 Santana";93;170;165;171;183;205;194;139;1320
"292830 Santanópolis";69;56;78;67;66;74;93;64;567
"292860 Santo Amaro";379;382;410;506;509;491;483;358;3518
"292870 Santo Antônio de Jesus";652;679;681;755;782;773;739;594;5655
"292880 Santo Estêvão";348;352;377;381;430;381;361;272;2902
"292890 São Desidério";122;155;161;167;212;191;164;105;1277
"292895 São Domingos";53;63;66;78;62;86;59;59;526
"292910 São Felipe";133;145;148;156;169;141;153;143;1188
"292900 São Félix";113;96;82;102;75;90;90;61;709
"292905 São Félix do Coribe";89;89;65;91;120;107;91;64;716
"292920 São Francisco do Conde";215;206;207;238;271;239;225;170;1771
"292925 São Gabriel";109;108;94;126;130;113;134;95;909
"292930 São Gonçalo dos Campos";225;218;213;242;234;224;216;165;1737
"292935 São José da Vitória";50;62;55;50;66;63;45;34;425
"292937 São José do Jacuípe";60;71;71;63;60;85;76;56;542
"292940 São Miguel das Matas";66;56;72;78;91;64;73;53;553
"292950 São Sebastião do Passé";252;234;257;318;340;275;280;254;2210
"292960 Sapeaçu";127;123;138;147;170;169;133;121;1128
"292970 Sátiro Dias";111;126;112;136;126;116;114;54;895
"292975 Saubara";91;80;77;101;110;89;77;73;698
"292980 Saúde";78;82;81;70;93;87;91;79;661
"292990 Seabra";268;286;250;280;386;311;317;251;2349
"293000 Sebastião Laranjeiras";44;55;72;60;65;63;68;47;474
"293010 Senhor do Bonfim";535;487;572;648;665;703;642;521;4773
"293020 Sento Sé";138;147;159;189;247;211;194;131;1416
"293015 Serra do Ramalho";170;172;174;178;232;238;217;118;1499
"293030 Serra Dourada";81;91;111;111;125;106;118;85;828
"293040 Serra Preta";146;133;137;147;144;142;165;117;1131
"293050 Serrinha";490;478;555;628;623;626;546;438;4384
"293060 Serrolândia";105;87;105;120;138;120;61;28;764
"293070 Simões Filho";830;784;701;903;895;813;832;615;6373
"293075 Sítio do Mato";55;58;64;62;89;70;54;44;496
"293076 Sítio do Quinto";69;65;75;70;76;76;79;53;563
"293077 Sobradinho";133;120;161;195;216;193;198;163;1379
"293080 Souto Soares";116;112;129;115;128;125;117;108;950
"293090 Tabocas do Brejo Velho";41;59;55;60;57;82;77;53;484
"293100 Tanhaçu";126;128;137;160;158;168;143;119;1139
"293105 Tanque Novo";101;98;114;99;131;106;134;109;892
"293110 Tanquinho";71;68;66;96;75;83;73;62;594
"293120 Taperoá";104;90;100;109;126;115;103;76;823
"293130 Tapiramutá";85;76;79;77;76;94;97;82;666
"293135 Teixeira de Freitas";971;989;940;1225;1301;1210;1126;971;8733
"293140 Teodoro Sampaio";52;48;43;56;79;63;57;46;444
"293150 Teofilândia";126;103;113;135;135;156;124;78;970
"293160 Teolândia";60;77;78;71;92;108;64;68;618
"293170 Terra Nova";70;60;76;92;104;78;85;58;623
"293180 Tremedal";105;127;145;147;153;145;156;91;1069
"293190 Tucano";276;229;269;258;322;346;318;268;2286
"293200 Uauá";158;169;142;186;228;215;186;144;1428
"293210 Ubaíra";128;128;136;150;165;156;138;109;1110
"293220 Ubaitaba";148;155;171;186;185;183;160;130;1318
"293230 Ubatã";140;151;171;158;166;176;162;122;1246
"293240 Uibaí";99;87;98;109;127;132;118;71;841
"293245 Umburanas";63;54;77;78;86;79;42;36;515
"293250 Una";141;172;140;152;178;186;150;126;1245
"293260 Urandi";100;101;89;118;90;123;106;92;819
"293270 Uruçuca";141;151;183;207;208;188;170;134;1382
"293280 Utinga";103;107;132;138;140;147;142;96;1005
"293290 Valença";555;559;620;644;644;674;614;462;4772
"293300 Valente";149;125;118;160;184;198;187;88;1209
"293305 Várzea da Roça";73;79;105;111;98;107;118;59;750
"293310 Várzea do Poço";62;62;54;75;63;76;62;51;505
"293315 Várzea Nova";74;79;93;98;116;125;97;74;756
"293317 Varzedo";65;60;71;77;63;85;69;55;545
"293320 Vera Cruz";311;255;330;375;403;364;360;295;2693
"293325 Vereda";39;63;50;52;51;43;60;39;397
"293330 Vitória da Conquista";2285;2155;2189;2578;2837;2600;2483;2062;19189
"293340 Wagner";52;57;66;60;64;71;78;37;485
"293345 Wanderley";82;68;81;65;107;67;68;60;598
"293350 Wenceslau Guimarães";128;125;126;159;165;184;131;81;1099
"293360 Xique-Xique";294;331;300;303;391;381;306;244;2550
"290000 Município ignorado - BA";316;350;307;282;302;260;265;116;2198
"Total";91669;90308;93642;107315;115574;107730;103043;78065;787346
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
