Casos de Leishmaniose Visceral notificados no SINAN - Bahia
Número de Casos por Município Resid e Raça
Período:2019
"Município Resid";"Ign/Branco";"Branca";"Preta";"Amarela";"Parda";"Total"
"293080 Souto Soares";1;-;-;-;1;2
"293100 Tanhaçu";1;-;-;-;1;2
"293110 Tanquinho";-;-;1;-;1;2
"293150 Teofilândia";2;-;1;-;4;7
"293190 Tucano";-;-;-;-;7;7
"293220 Ubaitaba";-;-;-;-;1;1
"293245 Umburanas";-;-;-;-;1;1
"293280 Utinga";-;-;-;-;1;1
"293300 Valente";-;-;-;-;1;1
"293330 Vitória da Conquista";-;1;-;-;3;4
"293340 Wagner";-;-;-;-;1;1
"293360 Xique-Xique";-;-;-;-;11;11
"Total";85;53;70;6;399;613
 Fonte: SESAB/SUVISA/DIVEP/SINAN - Sistema de Informação de Agravos de Notificação
 
 Notas:
 
   Dados sobre Leishmaniose Visceral notificados no SinanNET na Bahia.
   "Períodos Disponíveis" refere-se ao ano de notificação do caso.
   Nos cálculos de incidência deve-se selecionar todos os anos do campo período, posteriores ao ano de primeiros sintomas para assegurar a inclusão de notificações tardias.
   Última atualização realizada em 28/10/2024.
 
